,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_000010,12,4,11,78,37,73
gene:AFUB_000020,192,113,102,725,692,829
gene:AFUB_000030,0,2,1,2,0,1
gene:AFUB_000040,138,143,111,125,124,195
gene:AFUB_000050,1,1,1,6,8,11
gene:AFUB_000060,0,1,2,2,0,0
gene:AFUB_000070,0,1,0,6,3,7
gene:AFUB_000080,36,35,33,38,41,39
gene:AFUB_000090,71,50,69,59,59,76
gene:AFUB_000100,26,32,41,49,44,62
gene:AFUB_000110,1521,1223,1295,3146,2996,3732
gene:AFUB_000120,2,3,5,19,44,39
gene:AFUB_000130,16,20,32,42,56,44
gene:AFUB_000140,4,4,4,49,114,90
gene:AFUB_000150,3,1,1,17,17,24
gene:AFUB_000160,2,0,0,3,0,2
gene:AFUB_000170,0,0,0,1,0,0
gene:AFUB_000180,0,0,0,0,2,1
gene:AFUB_000190,2,2,0,12,21,17
gene:AFUB_000200,0,0,0,6,2,8
gene:AFUB_000210,0,0,1,3,3,6
gene:AFUB_000220,1,0,0,1,1,0
gene:AFUB_000230,0,0,0,2,0,1
gene:AFUB_000240,106,87,101,258,268,349
gene:AFUB_000250,0,0,0,0,1,1
gene:AFUB_000260,203,811,797,216,218,245
gene:AFUB_000270,1,0,1,19,22,26
gene:AFUB_000280,15,9,15,111,104,134
gene:AFUB_000290,0,0,1,20,11,18
gene:AFUB_000300,37,19,29,4,1,2
gene:AFUB_000310,758,683,775,3311,4277,4545
gene:AFUB_000320,6,12,9,80,73,98
gene:AFUB_000330,3,6,6,82,89,76
gene:AFUB_000340,27,21,21,144,127,175
gene:AFUB_000350,40,24,26,65,64,98
gene:AFUB_000360,10,6,9,26,19,37
gene:AFUB_000370,0,0,0,1,0,0
gene:AFUB_000380,212,576,619,240,449,364
gene:AFUB_000390,41,51,51,188,144,207
gene:AFUB_000400,216,197,206,748,634,811
gene:AFUB_000410,1443,613,1017,294,264,396
gene:AFUB_000420,3397,5068,6148,3837,2999,4128
gene:AFUB_000430,1482,1542,1713,2573,2497,3255
gene:AFUB_000440,838,884,954,1919,1918,2465
gene:AFUB_000450,1316,1656,1750,5997,6617,7774
gene:AFUB_000460,485,549,545,577,574,676
gene:AFUB_000470,63,454,881,7244,11886,11735
gene:AFUB_000480,5,52,138,1722,2509,2789
gene:AFUB_000490,2528,3267,3774,3539,3185,4223
gene:AFUB_000500,1509,1488,1545,2151,2150,2509
gene:AFUB_000510,1678,1866,2430,1585,1692,2001
gene:AFUB_000520,619,598,612,612,562,765
gene:AFUB_000530,3034,3138,3702,3142,2783,3900
gene:AFUB_000540,638,763,836,1606,1823,2222
gene:AFUB_000550,258,656,697,3698,3395,4211
gene:AFUB_000560,478,481,484,471,397,512
gene:AFUB_000570,896,727,781,581,553,718
gene:AFUB_000580,1490,1278,1287,1252,1102,1469
gene:AFUB_000590,31,17,33,97,56,94
gene:AFUB_000600,105,93,112,174,174,199
gene:AFUB_000610,74,95,127,80,54,61
gene:AFUB_000620,1273,1268,1536,1449,1456,1655
gene:AFUB_000630,2209,2190,2261,20160,21687,25910
gene:AFUB_000640,221,420,388,130,118,137
gene:AFUB_000650,1547,2719,3141,840,901,1066
gene:AFUB_000660,12104,17258,14903,1979,2441,2761
gene:AFUB_000670,180,119,171,114,88,125
gene:AFUB_000690,684,685,865,2926,2803,4118
gene:AFUB_000700,110,85,119,576,470,733
gene:AFUB_000710,9,6,6,323,347,446
gene:AFUB_000720,4,7,14,61,50,88
gene:AFUB_000730,44,11,28,84,88,95
gene:AFUB_000740,3,8,9,8,11,8
gene:AFUB_000750,0,3,2,12,16,19
gene:AFUB_000760,5,2,6,40,45,52
gene:AFUB_000770,0,0,2,5,9,9
gene:AFUB_000780,2,3,0,17,5,17
gene:AFUB_000790,0,0,0,3,0,2
gene:AFUB_000800,0,1,1,41,24,53
gene:AFUB_000810,1,0,0,27,14,19
gene:AFUB_000820,1,3,7,344,90,191
gene:AFUB_000830,4,4,3,9,8,10
gene:AFUB_000840,363,345,344,264,286,317
gene:AFUB_000850,417,383,420,698,662,798
