,WT_no_1,WT_no_2,WT_no_3,WT_XO_1,WT_XO_2,WT_XO_3,aspf3_no_1,aspf3_no_2,aspf3_no_3,aspf3_XO_1,aspf3_XO_2,aspf3_XO_3
Afu1g00100,0,0,0,0,3,1,1,0,0,0,0,0
Afu1g00110,12,8,13,10,6,12,32,26,33,22,15,16
Afu1g00120,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00130,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00140,0,0,0,1,0,0,0,0,0,0,0,0
Afu1g00150,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00160,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00170,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00180,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00200,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00210,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00220,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00230,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00240,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00250,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00270,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00280,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00290,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00300,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00310,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00320,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00330,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00340,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00350,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00390,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00400,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00410,0,0,0,1,1,0,1,0,0,0,0,0
Afu1g00420,2,2,1,0,0,1,0,2,1,0,0,0
Afu1g00440,123,139,71,8,12,8,147,64,90,29,18,8
Afu1g00450,11,8,6,4,5,4,12,2,3,1,0,1
Afu1g00460,144,149,123,125,80,182,189,109,156,120,149,177
Afu1g00470,1,0,0,2,1,0,0,0,0,0,0,0
Afu1g00480,107,106,60,33,44,59,89,41,97,43,41,44
Afu1g00490,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00500,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00510,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00520,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00530,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00540,5,4,3,5,2,4,2,2,1,1,7,0
Afu1g00550,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00560,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00570,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00580,2,0,0,1,0,0,0,1,1,0,1,5
Afu1g00590,143,82,96,144,106,167,142,67,136,89,99,123
Afu1g00610,3,2,0,0,0,4,2,0,1,1,5,2
Afu1g00620,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00630,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00640,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00650,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00660,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00670,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00680,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00690,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00700,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00710,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00720,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00730,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00740,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00750,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00760,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00770,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00780,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00790,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00800,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00810,10,12,12,15,17,17,15,9,5,7,13,17
Afu1g00820,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00830,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00840,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00850,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00880,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00890,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00910,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00920,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00930,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00940,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00950,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00960,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00970,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00980,0,0,0,0,0,0,0,0,0,0,0,0
Afu1g00990,0,0,0,0,0,0,0,0,0,0,0,0
