,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00000001,10,1,0,4,10,2,1,20,6,6,2,2
CADAFUBG00000002,18,9,22,110,54,26,33,228,29,12,43,82
CADAFUBG00000003,5,3,6,14,7,3,3,45,5,2,2,15
CADAFUBG00000004,187,62,146,246,433,149,175,697,177,104,171,220
CADAFUBG00000005,0,0,0,0,0,0,0,2,0,0,0,3
CADAFUBG00000006,0,0,0,2,0,1,0,0,0,0,1,1
CADAFUBG00000007,1,0,0,0,0,0,1,1,0,0,0,0
CADAFUBG00000008,13,2,1,7,7,10,6,18,5,4,2,6
CADAFUBG00000009,4,0,1,6,10,1,0,25,3,2,1,4
CADAFUBG00000010,11,1,3,4,25,12,6,21,4,6,12,5
CADAFUBG00000011,797,281,963,851,1690,762,899,2956,683,509,1050,653
CADAFUBG00000012,10,7,15,19,16,20,27,52,13,14,12,13
CADAFUBG00000013,2,0,3,1,5,6,2,11,2,0,3,4
CADAFUBG00000014,2,1,6,3,2,8,6,11,1,3,3,2
CADAFUBG00000015,8,3,7,15,7,10,7,35,4,4,4,8
CADAFUBG00000016,0,0,1,2,2,1,0,3,1,0,2,1
CADAFUBG00000017,0,0,0,1,0,0,0,1,0,0,0,0
CADAFUBG00000018,0,0,0,1,1,0,0,2,1,0,1,1
CADAFUBG00000019,0,0,0,1,4,0,0,14,1,0,0,6
CADAFUBG00000020,1,0,0,0,2,0,0,3,1,1,0,0
CADAFUBG00000021,1,2,1,1,0,1,2,5,0,1,1,0
CADAFUBG00000022,0,0,0,0,0,1,1,2,0,0,0,0
CADAFUBG00000023,1,0,0,1,0,0,0,0,0,0,0,0
CADAFUBG00000024,280,243,352,181,615,593,368,628,205,274,342,124
CADAFUBG00000025,9,20,20,12,27,45,31,28,12,16,18,11
CADAFUBG00000026,230,27,86,75,636,67,85,331,146,30,31,43
CADAFUBG00000027,4,1,3,3,11,1,2,20,1,0,2,2
CADAFUBG00000028,66,48,35,20,223,142,59,186,56,65,77,50
CADAFUBG00000029,58,7,11,20,73,20,21,110,43,15,23,28
CADAFUBG00000030,2652,1134,693,676,7656,4778,1534,4778,4813,2804,1725,1500
CADAFUBG00000031,1002,373,1189,372,1473,609,1324,1355,799,376,1122,420
CADAFUBG00000032,14,7,10,16,42,18,30,50,12,14,16,13
CADAFUBG00000033,5,8,13,0,6,12,26,16,6,8,13,4
CADAFUBG00000034,37,43,70,53,73,70,66,212,46,41,78,37
CADAFUBG00000035,46,45,133,67,93,107,115,187,52,72,127,37
CADAFUBG00000036,9,6,12,13,39,15,23,80,29,8,25,25
CADAFUBG00000037,0,0,5,7,10,2,4,27,1,0,3,6
CADAFUBG00000038,13,79,116,12,35,137,117,26,22,86,64,13
CADAFUBG00000039,247,1392,1223,80,548,2478,1694,308,176,947,916,89
CADAFUBG00000040,229,287,415,113,460,489,456,448,228,309,366,139
CADAFUBG00000041,5136,2987,3614,1284,10470,10332,3832,6801,5821,6414,4757,2094
