Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu8g05820,46,16,38,63,82,24
Afu1g11050,62,40,82,216,187,208
Afu5g13370,111,72,71,155,179,148
Afu6g13800,51,103,16,3,4,3
Afu3g04030,230,127,210,170,237,205
Afu2g15312,19,11,13,31,14,34
Afu1g13950,37,28,57,14,25,12
Afu1g05760,0,5,4,18,6,18
Afu4g12640,156,117,134,300,256,234
Afu7g08410,42,64,67,16,26,26
Afu5g05640,399,348,173,33,20,39
Afu2g12330,617,573,718,1307,599,783
Afu4g08450,24,20,15,38,15,69
Afu5g02650,2617,1904,2457,373,275,388
Afu5g08970,230,146,148,263,292,278
Afu2g16480,1071,684,1209,1064,568,564
Afu2g17720,11,6,8,5,1,2
Afu3g05800,53,35,58,71,96,42
Afu5g14060,451,451,348,371,307,271
Afu3g13140,375,665,316,197,175,119
Afu6g10380,1725,1182,1950,953,950,718
Afu8g04650,858,648,499,216,210,222
Afu4g13220,10,12,12,58,46,28
Afu3g12350,8669,5434,10299,4035,1700,3994
Afu3g09280,379,300,261,526,645,557
Afu3g08010,11537,7912,10284,9240,5511,8995
Afu6g10300,1966,1029,1638,529,461,517
Afu2g14680,3618,2521,3385,1694,2388,1355
Afu1g12650,522,362,827,257,355,201
Afu6g05045,80,63,64,68,71,53
Afu2g12810,22,24,34,27,23,13
Afu3g05420,610,564,410,563,641,591
Afu7g05250,781,594,584,567,596,393
Afu7g04020,281,288,937,390,704,292
Afu5g14010,55,44,52,102,134,132
Afu3g12310,115,75,98,145,141,86
Afu2g11340,2724,2469,3399,1745,1565,1422
Afu2g08100,3,9,3,4,3,6
Afu1g17160,0,1,1,1,3,4
Afu1g15780,671,465,281,441,476,404
Afu5g14950,392,365,414,551,369,348
Afu2g14210,523,693,294,1041,793,950
Afu1g12610,4616,5381,3252,5489,10965,3759
Afu2g04150,299,256,211,398,291,291
Afu1g17150,151,81,211,162,158,126
Afu4g01350,1498,2115,2903,829,1273,624
Afu3g12990,201,171,302,358,348,221
