,Sample_DAfu2g03950_0_starv_I,Sample_DAfu2g03950_0_starv_II,Sample_DAfu2g03950_0_starv_III,Sample_DAfu2g03950_1h_starv_I,Sample_DAfu2g03950_1h_starv_II,Sample_DAfu2g03950_1h_starv_III,Sample_DAfu2g03950_2h_starv_I,Sample_DAfu2g03950_2h_starv_II,Sample_DAfu2g03950_2h_starv_III,Sample_WT_0_starv_I,Sample_WT_0_starv_II,Sample_WT_0_starv_III,Sample_WT_1h_starv_I,Sample_WT_1h_starv_II,Sample_WT_1h_starv_III,Sample_WT_2h_starv_I,Sample_WT_2h_starv_II,Sample_WT_2h_starv_III
AFUB_002830-T,62,85,107,194,165,90,61,186,65,54,99,95,141,112,67,58,56,56
AFUB_017470-T,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
AFUB_096010-T,1273,1781,2686,5156,4440,2778,2049,5115,1476,1653,2034,2300,4088,2847,1859,1844,1834,1834
AFUB_018440-T,71,87,221,288,269,223,154,316,59,79,95,268,340,271,130,152,130,130
AFUB_031780-T,60,86,208,269,270,338,308,784,49,77,100,175,262,160,211,222,193,193
AFUB_095270-T,43,32,95,119,97,151,104,347,58,57,89,102,140,111,128,133,162,162
AFUB_066130-T,682,841,2309,3572,3404,3002,2505,6021,793,732,1049,2162,3160,2449,2024,2113,1972,1972
AFUB_078670-T,25,37,57,128,72,79,75,231,24,33,41,46,75,57,66,71,83,83
AFUB_067050-T,8,6,8,11,14,13,16,29,9,8,14,8,11,5,4,10,9,9
AFUB_078910-T,305,368,243,319,328,335,310,810,320,297,430,203,298,259,268,232,269,269
AFUB_003550-T,133,198,118,127,190,276,227,561,144,151,230,98,121,135,204,200,194,194
AFUB_037730-T,368,510,935,1158,1327,874,643,1813,497,462,642,856,1014,1005,754,682,712,712
AFUB_054620-T,154,258,383,613,613,295,274,740,267,190,322,333,575,418,258,267,261,261
AFUB_048990-T,18,24,19,49,30,50,38,128,32,26,32,16,28,20,35,35,50,50
AFUB_022790-T,130,156,322,523,430,366,383,845,115,142,178,273,507,365,317,305,305,305
AFUB_037150-T,119,177,431,634,623,378,301,859,167,176,250,351,520,421,317,267,274,274
AFUB_061420-T,16,30,9,26,30,24,36,32,4,5,12,5,6,10,3,3,4,4
AFUB_001980-T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AFUB_053790-T,986,1338,1480,2508,2605,1627,1073,3135,1414,1232,1641,1415,1850,1614,1197,1224,1199,1199
AFUB_056080-T,2141,3035,4742,7082,7480,5860,5540,12887,2526,2423,3511,4569,5797,5046,4661,4469,4614,4614
AFUB_050450-T,1352,1684,557,812,940,702,575,1663,1617,1771,2075,600,724,928,696,573,598,598
AFUB_093440-T,79,122,93,180,152,245,185,523,149,112,167,116,178,142,197,147,185,185
