,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000001,9,5,4,4,9,3,10,12
CADAFUBG00000002,57,57,24,30,108,71,49,49
CADAFUBG00000003,25,24,14,17,44,39,19,17
CADAFUBG00000004,214,218,222,150,454,358,221,202
CADAFUBG00000005,1,0,0,0,2,2,0,1
CADAFUBG00000006,1,0,0,0,0,0,0,0
CADAFUBG00000007,1,1,1,0,4,1,0,1
CADAFUBG00000008,11,11,15,29,24,8,5,3
CADAFUBG00000009,2,2,10,8,0,0,1,0
CADAFUBG00000010,21,31,37,23,20,21,23,29
CADAFUBG00000011,1438,1503,2291,1179,1687,1493,1176,1338
CADAFUBG00000012,118,122,154,86,168,130,117,117
CADAFUBG00000013,9,9,18,14,18,8,14,17
CADAFUBG00000014,19,11,20,31,622,832,874,1142
CADAFUBG00000015,16,6,7,7,157,216,151,249
CADAFUBG00000016,1,2,1,0,9,3,2,8
CADAFUBG00000017,0,1,0,0,6,0,1,2
CADAFUBG00000018,0,0,1,1,0,2,0,1
CADAFUBG00000019,31,29,267,272,6,5,73,49
CADAFUBG00000020,3,2,41,33,2,3,39,27
CADAFUBG00000021,0,0,2,3,1,0,3,0
CADAFUBG00000022,3,0,1,1,1,0,0,0
CADAFUBG00000023,3,1,74,194,1,0,2,4
CADAFUBG00000024,504,490,946,614,1984,2042,1777,1960
CADAFUBG00000025,83,55,98,80,199,280,194,190
CADAFUBG00000026,141,91,149,148,298,200,278,147
CADAFUBG00000027,2,6,8,16,1,5,8,5
CADAFUBG00000028,291,287,152,141,225,200,123,135
CADAFUBG00000029,67,68,68,22,29,39,40,26
CADAFUBG00000030,2370,2257,2291,2075,1450,1733,608,166
CADAFUBG00000031,1143,1040,940,608,1098,655,523,549
CADAFUBG00000032,13,12,5,11,90,104,53,77
CADAFUBG00000033,62,22,93,93,92,260,59,99
CADAFUBG00000034,172,146,145,66,77,94,83,87
CADAFUBG00000035,187,112,174,136,47,54,59,49
CADAFUBG00000036,43,33,58,66,53,54,85,84
CADAFUBG00000037,42,16,38,27,226,277,661,687
CADAFUBG00000038,104,43,132,168,761,1109,618,573
CADAFUBG00000039,915,522,893,1004,2340,3691,3751,4469
CADAFUBG00000040,573,401,694,723,1010,1168,1530,1587
CADAFUBG00000041,4243,4178,3456,2602,1497,1482,380,147
