Replicate,Treatment ,Time 
1,AF Alone,45 min
2,AF Alone,45 min
3,AF Alone,45 min
1,AF Alone,90 min
2,AF Alone,90 min
3,AF Alone,90 min 
1,AF Alone,180 min 
2,AF Alone,180 min 
3,AF Alone,180 min 
1,PA Added,45 min 
2,PA Added,45 min 
3,PA Added,45 min 
1,PA Added,90 min 
2,PA Added,90 min 
3,PA Added,90 min 
1,PA Added,180 min 
2,PA Added,180 min 
3,PA Added,180 min 
1,Heat-Killed PA,45 min 
2,Heat-Killed PA,45 min 
3,Heat-Killed PA,45 min 
1,Heat-Killed PA,90 min 
2,Heat-Killed PA,90 min 
3,Heat-Killed PA,90 min 
1,Heat-Killed PA,180 min 
2,Heat-Killed PA,180 min 
3,Heat-Killed PA,180 min 
