gene_id,MMGlucose_1,MMGlucose_2,MMGlucose_3,MMAAGP_1,MMAAGP_2,MMAAGP_3
BT_0001,58,49,50,64,71,58
BT_0002,34,31,48,51,47,24
BT_0003,5,5,15,9,18,5
BT_0004,4,10,5,20,8,14
BT_0005,6,2,0,7,3,4
BT_0006,3,4,6,7,2,1
BT_0007,394,304,385,716,799,588
BT_0008,1083,1006,1307,1975,2381,1627
BT_0009,18,14,20,7,14,20
BT_0010,12,14,4,6,5,9
BT_0011,1,2,5,11,5,5
BT_0012,7,4,7,5,8,5
BT_0013,0,2,3,4,5,2
BT_0014,32,31,38,35,29,38
BT_0015,8,5,1,1,1,2
BT_0016,0,0,1,0,3,0
BT_0017,8,2,5,2,5,0
BT_0018,2,0,0,0,0,1
BT_0019,0,0,0,0,2,0
BT_0020,0,0,1,1,1,1
BT_0021,5,4,5,10,6,11
BT_0022,14,22,8,15,12,17
BT_0023,237,209,235,504,596,387
BT_0024,3,5,4,8,10,3
BT_0025,1,1,3,5,4,1
BT_0026,0,1,1,0,5,1
BT_0027,6,9,6,19,12,7
BT_0028,10,8,4,28,26,11
BT_0029,153,144,156,313,333,262
BT_0030,77,60,63,139,142,107
BT_0031,50,37,45,110,94,89
BT_0032,12,11,7,26,23,17
BT_0033,16,20,24,46,49,39
BT_0034,7,5,13,26,40,19
BT_0035,2,0,2,5,4,5
BT_0036,175,150,200,328,414,273
BT_0037,1144,918,1234,1576,2170,1479
BT_0038,123,123,124,173,216,151
BT_0039,99,86,113,68,109,84
BT_0040,180,164,196,295,379,317
BT_0041,235,227,253,420,506,448
BT_0042,100,76,86,200,189,164
BT_0043,9,15,10,13,20,18
BT_0044,97,106,97,180,212,188
BT_0045,95,81,91,145,203,139
BT_0046,187,119,183,284,343,255
BT_0047,49,55,40,75,101,88
BT_0048,54,47,52,88,94,81
BT_0049,145,115,139,224,243,199
BT_0050,96,89,123,113,162,133
BT_0051,86,78,108,147,168,131
BT_0052,203,209,244,442,512,347
BT_0053,220,180,211,378,408,291
BT_0054,153,132,141,306,308,261
BT_0055,130,89,125,175,210,166
BT_0056,137,132,166,206,206,200
BT_0057,137,85,128,132,186,148
BT_0058,557,474,693,923,1207,870
BT_0059,371,313,408,767,827,592
BT_0060,146,80,151,112,144,132
BT_0061,644,538,690,1400,1744,1241
BT_0062,18,20,20,27,27,25
BT_0063,33,18,18,34,48,33
BT_0064,532,449,542,892,773,660
BT_0065,658,622,709,1207,1083,911
BT_0066,528,506,578,733,752,657
BT_0067,50,50,70,118,88,90
BT_0068,156,130,164,420,361,255
BT_0069,555,454,592,937,1032,770
BT_0070,643,561,717,1034,1305,1020
BT_0071,538,477,585,935,1125,837
BT_0072,897,826,1014,1193,1546,1274
BT_0073,10857,9159,12169,14698,19907,14718
BT_0074,3908,3361,4558,4454,6145,4829
BT_0075,20,14,10,37,59,32
BT_0076,54,61,98,97,121,101
BT_0077,48,26,54,121,139,99
BT_0078,3,3,1,9,7,5
BT_0079,4,1,4,6,8,7
BT_0080,4,1,4,18,16,12
BT_0081,14,29,20,70,82,52
BT_0082,1109,1000,1133,3501,4117,3082
BT_0083,1787,1623,1835,5070,5976,4431
BT_0084,8,3,6,7,7,4
BT_0085,4,0,4,0,3,0
BT_0086,3,7,7,3,1,1
BT_0087,3,3,7,4,2,6
BT_0088,0,0,0,0,3,1
BT_0089,0,2,1,0,2,0
BT_0090,4,6,11,16,22,5
BT_0091,1,1,0,2,1,0
BT_0092,0,0,0,1,0,0
BT_0093,13,5,5,8,13,5
BT_0094,1,1,6,4,3,2
BT_0095,2,1,0,2,1,1
BT_0096,10,1,11,7,15,9
BT_0097,1,0,2,2,1,1
BT_0098,5,1,5,1,9,5
BT_0099,0,0,0,0,0,0
BT_0100,0,2,0,1,3,1
BT_0101,0,2,2,8,6,3
BT_0102,10,7,8,11,12,15
BT_0103,3,6,5,15,11,9
BT_0104,1,1,0,3,0,0
BT_0105,240,208,257,478,547,410
BT_0106,1758,1537,1955,2850,3382,2603
BT_0107,8,7,4,17,7,12
BT_0108,16,14,13,10,29,10
BT_0109,3,4,3,4,3,7
BT_0110,29,16,34,62,56,44
BT_0111,94,60,97,206,226,166
BT_0112,57,35,42,65,66,75
BT_0113,33,18,29,51,42,60
BT_0114,51,44,37,92,94,73
BT_0115,19,25,15,39,30,29
BT_0116,88,77,88,196,143,167
BT_0117,12,10,10,22,22,22
BT_0118,24,16,21,41,35,38
BT_0119,18,17,21,14,28,30
BT_0120,2,6,11,6,14,7
BT_0121,241,208,282,497,532,408
BT_0122,6367,5358,7135,9563,9469,8127
BT_0123,454,393,502,737,965,825
BT_0124,365,390,444,1415,1443,1211
BT_0125,640,635,810,1655,1924,1756
BT_0126,1202,1060,1407,1509,1800,1494
BT_0127,555,471,571,675,850,664
BT_0128,5919,5196,6371,9480,11657,8655
BT_0129,239,255,254,360,374,319
BT_0130,35,30,33,59,71,47
BT_0131,1,3,0,1,1,3
BT_0132,243,205,297,424,460,381
BT_0133,1131,885,1190,2350,2409,1881
BT_0134,245,194,265,426,486,384
BT_0135,812,716,932,1401,1777,1405
BT_0136,156,149,205,366,403,272
BT_0137,77,48,87,154,194,119
BT_0138,2853,2478,3233,5261,6084,4660
BT_0139,1,2,5,7,2,7
BT_0140,256,212,294,375,413,386
BT_0141,166,173,198,298,336,282
BT_0142,125,88,116,143,187,161
BT_0143,408,368,470,961,1023,834
BT_0144,1,2,7,12,12,4
BT_0145,9,6,5,5,9,17
BT_0146,77,70,76,100,106,84
BT_0147,9387,6870,9638,12255,12481,11120
BT_0148,3381,2966,3683,5504,6351,5045
BT_0149,3955,3593,4582,6340,6541,5387
BT_0150,1988,1772,2213,3534,4212,3198
BT_0151,270,211,296,112,159,173
BT_0152,1745,1585,2065,3302,3890,3215
BT_0153,1400,1219,1471,2158,2538,2185
BT_0154,4902,4259,5263,8622,9521,7608
BT_0155,310,264,340,372,488,459
BT_0156,891,817,1046,1559,1879,1351
BT_0157,7178,5398,7049,9094,10827,8711
BT_0158,2155,1853,2257,1906,2193,1707
BT_0159,1833,1526,1974,2476,2661,2097
BT_0160,868,703,970,825,950,773
BT_0161,1185,1122,1387,1789,2045,1593
BT_0162,2336,1940,2539,4396,4738,3414
BT_0163,783,679,905,1599,1629,1193
BT_0164,8865,7714,9813,14658,15768,12555
BT_0165,707,583,783,1207,1413,1012
BT_0166,1230,1121,1430,2551,2840,2185
BT_0167,1238,1117,1451,2858,3364,2396
BT_0168,1719,1447,1877,3813,4289,2827
BT_0169,7120,6178,8101,12172,14882,10672
BT_0170,1169,881,1180,733,855,608
BT_0171,57,37,65,94,113,71
BT_0172,284,229,342,302,366,289
BT_0173,124434,113481,140509,173823,198412,165310
BT_0174,117029,105364,130304,164967,185739,154210
BT_0175,227,172,208,175,205,171
BT_0176,1099,937,1316,1136,1524,1355
BT_0177,14708,13083,16759,18875,22988,17076
BT_0178,2277,1994,2561,2751,3318,2663
BT_0179,1551,1380,1822,1964,2536,1959
BT_0180,10789,9351,11913,12410,14422,11443
BT_0181,1098,973,1185,1209,1443,1044
BT_0182,6313,6202,7582,7808,8728,6972
BT_0183,2502,2256,2809,4316,4895,3850
BT_0184,2427,2067,2708,4445,4719,3785
BT_0185,2387,1941,2673,3196,3705,2812
BT_0186,13551,11574,14803,15195,16401,13862
BT_0187,2735,2264,2749,2299,2560,2199
BT_0188,925,872,1134,2497,2867,1996
BT_0189,212,171,264,376,500,393
BT_0190,236,194,278,471,548,387
BT_0191,86,59,86,67,88,81
BT_0192,207,201,231,313,387,281
BT_0193,62,63,55,102,100,80
BT_0194,92,80,102,164,186,138
BT_0195,127,132,198,274,334,242
BT_0196,5,6,9,12,8,15
BT_0197,973,808,1031,1673,2082,1472
BT_0198,262,240,308,400,537,364
BT_0199,1219,1071,1249,2127,2591,1892
BT_0200,5261,5445,6775,3838,4464,3583
BT_0201,6992,7143,8756,5129,5603,4511
BT_0202,3908,4044,4926,2866,3133,2725
BT_0203,4480,4608,5430,3565,3779,3164
BT_0204,675,722,890,681,786,635
BT_0205,8994,7884,10222,14322,16948,13188
BT_0206,17,16,15,26,27,33
BT_0207,4,9,4,15,14,9
BT_0208,8,4,5,7,14,9
BT_0209,8,18,27,17,43,15
BT_0210,19,19,20,35,51,31
BT_0211,37,24,37,84,69,59
BT_0212,37,42,48,67,72,54
BT_0213,29,16,28,28,28,17
BT_0214,13,12,12,19,40,26
BT_0215,2095,1935,2612,3421,4234,3279
BT_0216,16582,15023,18397,25091,29755,22364
BT_0217,2111,1716,2244,4582,5454,3954
BT_0218,1678,1361,1771,1584,1988,1422
BT_0219,446,354,503,387,532,366
BT_0220,2,1,1,1,1,1
BT_0221,2493,2017,2591,3617,4222,3082
BT_0222,1143,979,1125,1507,1871,1387
BT_0223,954,809,1048,1424,1775,1267
BT_0224,786,647,793,5253,5682,4582
BT_0225,1624,1455,1782,10610,12627,9851
BT_0226,895,878,1062,6648,7649,6221
BT_0227,10101,9719,12042,73278,85388,67585
BT_0228,11,11,15,13,22,9
BT_0229,18,10,18,14,24,17
BT_0230,44,28,32,51,55,55
BT_0231,59,59,88,110,157,100
BT_0232,121,111,158,208,232,200
BT_0233,406,371,424,688,742,651
BT_0234,297,213,297,474,517,421
BT_0235,42,27,32,59,76,70
BT_0236,10076,8769,10441,15681,15016,12359
BT_0237,11682,10493,12044,18121,17340,14565
BT_0238,2765,2457,2971,4251,4869,4059
BT_0239,3750,3077,3973,8671,10277,7048
BT_0240,1214,1049,1221,2055,2487,1789
BT_0241,21986,18455,23018,45320,57489,39948
BT_0242,22665,18692,24631,39336,54789,40544
BT_0243,2048,1817,2298,3771,4332,3232
BT_0244,1182,1007,1249,2288,2474,2006
BT_0245,1573,1311,1773,1877,2311,2145
BT_0246,580,571,668,910,1016,863
BT_0247,329,286,427,416,534,415
BT_0248,427,347,467,587,721,527
BT_0249,2616,2304,2749,4469,4893,3812
BT_0250,3346,2799,3601,5365,6652,5601
BT_0251,2240,1792,2427,3847,4900,3995
BT_0252,8645,7434,9245,12296,14348,11422
BT_0253,915,898,1098,2044,2585,1886
BT_0254,2728,2439,3014,4087,4548,3681
BT_0255,688,590,785,1476,1730,1129
BT_0256,1239,1070,1344,2398,2679,2116
BT_0257,2125,1760,2310,2474,2853,2276
BT_0258,18726,16582,20950,41242,44739,39064
BT_0259,3008,2706,3431,5452,5353,4398
BT_0260,11666,9899,12854,20362,23957,17284
BT_0261,4896,4185,5347,7376,8746,6927
BT_0262,8,5,0,9,3,7
BT_0263,28,26,27,53,58,50
BT_0264,22,24,33,47,65,46
BT_0265,21,18,25,40,36,26
BT_0266,59,43,45,54,66,59
BT_0267,1079,950,1123,3149,3585,2599
BT_0268,222,205,273,429,458,393
BT_0269,103,98,100,205,266,209
BT_0270,57,39,71,82,103,83
BT_0271,63,53,54,126,139,90
BT_0272,226,169,205,343,377,350
BT_0273,83,85,110,157,176,169
BT_0274,45,58,56,106,100,86
BT_0275,122,122,120,245,245,212
BT_0276,102,74,109,119,114,138
BT_0277,134,125,144,160,182,160
BT_0278,138,143,188,317,369,242
BT_0279,38,39,51,54,69,66
BT_0280,7,5,3,5,13,11
BT_0281,502,462,568,1120,1389,991
BT_0282,27,22,25,19,22,24
BT_0283,0,2,4,1,1,0
BT_0284,442,345,475,909,1150,809
BT_0285,460,451,500,812,956,835
BT_0286,100,80,114,168,207,140
BT_0287,65,47,58,93,101,92
BT_0288,205,158,208,312,361,317
BT_0289,397,329,403,1066,1192,850
BT_0290,155,137,156,222,264,211
BT_0291,211,195,262,433,521,396
BT_0292,20,16,17,33,37,30
BT_0293,12,8,10,7,19,6
