LocusID,mRNA1,mRNA2,mRNA3,mRNA4,mRNA5,mRNA6,mRNA7,mRNA8,mRNA9,mRNA10,mRNA11,mRNA12,mRNA13,mRNA14,mRNA15,mRNA16_Mxn1,mRNA17_Mxn2,mRNA18_Mxn3,mRNA19_Mcp1,mRNA20_Mcp2,mRNA21_Mcp3,mRNA22_MG1,mRNA23_MG2,mRNA24_MG3
CW3_0001,221,326,227,1881,1090,643,704,565,1022,580,622,586,624,745,665,1416,1295,1693,1576,990,1273,1045,1265,1316
CW3_0002,0,5,3,85,31,21,24,15,22,35,25,27,17,17,9,56,33,41,40,28,40,34,23,64
CW3_0003,15,21,32,799,573,600,343,900,966,754,847,750,478,474,465,1142,1186,1103,767,691,664,1056,993,1654
CW3_0004,37,39,73,413,357,271,220,345,410,295,335,264,207,233,220,359,425,394,408,315,345,550,528,742
CW3_0005,94,205,318,2605,1809,1199,1276,2505,2507,1865,2085,1862,1275,1526,1343,2817,2281,1742,2725,2153,2525,4378,3868,4291
CW3_0006,232,358,273,1572,942,711,52,995,1923,139,583,684,292,305,271,1148,1115,2214,3166,4304,3297,6874,7303,4838
CW3_0007,35,86,74,433,252,191,14,377,692,55,185,216,107,98,79,369,392,531,708,1130,855,2543,2288,1845
CW3_0008,45,85,75,446,263,206,15,435,829,59,220,248,112,140,101,360,437,526,765,1083,915,2408,2339,1783
CW3_0009,55,69,95,636,319,252,27,573,860,66,264,269,136,141,120,455,433,458,924,1332,1264,3246,2975,2250
CW3_0010,28,38,44,232,140,124,8,273,387,21,101,127,47,79,48,182,167,161,395,487,608,1305,1236,902
CW3_0011,61,66,87,366,338,220,23,527,822,59,235,235,110,117,79,328,440,242,729,1100,1263,2798,2578,1871
CW3_0012,153,206,202,669,571,402,38,745,1075,56,415,392,246,285,176,490,692,430,1442,1703,2349,4923,4630,2716
CW3_0013,34,62,52,190,118,87,76,191,281,63,207,175,165,160,127,247,273,338,227,183,223,572,645,473
CW3_0014,1,6,2,145,72,28,8,62,146,30,179,129,106,104,97,85,214,227,144,98,107,302,367,279
CW3_0015,24,30,24,585,293,273,90,330,651,221,358,421,357,377,323,202,546,451,511,430,417,741,838,778
CW3_0016,5,12,20,695,377,287,72,445,778,243,386,465,348,393,364,198,551,532,532,423,500,809,963,1202
CW3_0017,3,6,8,93,83,72,28,131,254,72,118,132,133,140,153,99,192,201,224,175,121,243,262,309
CW3_0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW3_0019,45,45,47,1139,590,516,167,797,1262,528,791,859,593,643,613,555,974,1250,1227,903,1056,1575,1665,1805
CW3_0020,1,11,11,246,167,107,37,178,267,124,167,159,114,137,126,145,240,263,282,204,216,340,315,364
CW3_0021,3,8,9,335,181,148,64,249,410,137,230,244,167,206,161,156,322,305,354,246,348,410,432,476
CW3_0022,0,1,0,38,16,18,4,22,26,10,19,19,18,23,11,22,26,43,34,31,22,33,18,46
CW3_0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW3_0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW3_0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CW3_0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW3_0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW3_0028,2003,2551,2564,680,340,199,8769,292,363,3758,248,230,201,364,629,1035,460,744,319,204,260,278,228,573
CW3_0029,0,0,0,0,2,0,0,0,0,0,3,0,2,3,0,0,1,0,0,1,0,1,1,0
CW3_0030,18,22,17,291,190,93,73,130,213,131,99,84,176,181,131,202,245,407,315,220,229,171,169,244
CW3_0031,10,13,15,598,333,189,131,160,327,159,163,121,254,334,192,539,480,844,604,478,397,288,264,381
CW3_0032,4,5,10,650,353,211,124,160,351,127,146,135,244,298,203,461,496,831,502,480,458,229,218,297
