Replicate,Growth Phase,Culture State
1,Late Log Phase,Xylan Carbon Source
2,Late Log Phase,Xylan Carbon Source
3,Late Log Phase,Xylan Carbon Source
1,Late Log Phase,Citrus Pectin Carbon Source
2,Late Log Phase,Citrus Pectin Carbon Source
3,Late Log Phase,Citrus Pectin Carbon Source
1,Late Log Phase,Apple Pectin Carbon Source
2,Late Log Phase,Apple Pectin Carbon Source
3,Late Log Phase,Apple Pectin Carbon Source
1,Late Log Phase,Glucose Carbon Source
2,Late Log Phase,Glucose Carbon Source
3,Late Log Phase,Glucose Carbon Source
1,Late Log Phase,Xylose Carbon Source
2,Late Log Phase,Xylose Carbon Source
3,Late Log Phase,Xylose Carbon Source
1,Mid Log Phase,Xylan Carbon Source
2,Mid Log Phase,Xylan Carbon Source
3,Mid Log Phase,Xylan Carbon Source
1,Mid Log Phase,Citrus Pectin Carbon Source
2,Mid Log Phase,Citrus Pectin Carbon Source
3,Mid Log Phase,Citrus Pectin Carbon Source
1,Mid Log Phase,Glucose Carbon Source
2,Mid Log Phase,Glucose Carbon Source
3,Mid Log Phase,Glucose Carbon Source
