GeneID,E264_1,E264_2,E264_3,BPM_1,BPM_2,BPM_3
BPMhun00001,284,254,282,482,635,760
BPMhun00002,960,748,935,1807,2410,2366
BPMhun00003,466,499,519,558,659,735
BPMhun00004,24714,24509,23934,41223,50472,60092
BPMhun00005,200,209,175,438,576,650
BPMhun00006,324,287,350,1453,1658,1802
BPMhun00007,962,899,1020,1702,2326,2619
BPMhun00008,436,424,426,760,784,889
BPMhun00009,342,366,391,410,534,596
BPMhun00010,157,136,187,301,460,520
BPMhun00011,1163,940,1176,1321,1458,1542
BPMhun00012,160,135,148,201,243,334
BPMhun00013,32,34,34,43,40,37
BPMhun00014,84,100,127,143,167,202
BPMhun00015,107,77,97,112,106,153
BPMhun00016,170,158,183,173,263,302
BPMhun00017,83,105,75,88,80,90
BPMhun00018,462,434,547,430,494,519
BPMhun00019,309,257,306,248,275,348
BPMhun00020,1330,1088,1403,404,305,344
BPMhun00021,590,559,622,1286,1443,1608
BPMhun00022,511,473,538,734,712,913
BPMhun00023,840,803,792,1308,1433,1695
BPMhun00024,846,922,1033,1321,794,1194
BPMhun00025,390,323,370,394,279,417
BPMhun00026,206,141,201,60,113,108
BPMhun00027,352,353,344,123,174,197
BPMhun00028,399,464,542,156,206,271
BPMhun00029,99,121,130,59,47,47
BPMhun00030,122,131,168,55,78,72
BPMhun00031,67,31,38,12,23,20
BPMhun00032,153,167,185,79,94,97
BPMhun00033,261,293,282,229,258,280
BPMhun00034,842,760,873,356,256,353
BPMhun00035,170,154,171,127,88,154
BPMhun00036,34,33,26,31,32,26
BPMhun00037,18,22,20,35,36,18
BPMhun00038,233,242,266,145,136,152
BPMhun00039,34,36,45,25,24,27
BPMhun00040,10,13,5,12,22,15
BPMhun00041,170,148,173,344,451,538
BPMhun00042,266,276,321,399,505,611
BPMhun00043,4,22,25,20,22,43
BPMhun00044,308,259,295,27,11,9
BPMhun00045,15,9,15,7,3,8
BPMhun00046,15,10,17,6,9,6
BPMhun00047,71,50,74,22,26,19
BPMhun00048,13,17,12,9,5,13
BPMhun00049,17,22,31,18,26,24
BPMhun00050,42,42,51,21,32,41
BPMhun00051,7,8,10,5,9,11
BPMhun00052,30,22,46,16,32,37
BPMhun00053,31,19,25,20,13,23
BPMhun00054,260,225,300,327,215,329
BPMhun00055,44,49,59,42,72,80
BPMhun00056,109,81,103,78,90,145
BPMhun00057,7806,6987,8241,1853,1300,1635
BPMhun00058,24812,22586,26906,3815,2045,2881
BPMhun00059,79,78,82,92,82,147
BPMhun00060,2,2,2,3,6,6
BPMhun00061,49,43,47,104,113,168
BPMhun00062,21,21,8,6,25,16
BPMhun00063,25,24,25,40,32,33
BPMhun00064,59,75,68,69,66,83
BPMhun00065,9,8,14,9,7,14
BPMhun00066,10,3,8,5,15,13
BPMhun00067,128,132,150,135,171,204
BPMhun00068,122,112,128,193,225,288
BPMhun00069,89,66,113,107,120,141
BPMhun00070,308,224,295,502,622,696
BPMhun00071,190,198,197,290,305,357
BPMhun00072,70,57,59,60,60,67
BPMhun00073,70,55,78,60,79,72
BPMhun00074,56,75,87,54,63,88
BPMhun00075,3,11,5,2,2,5
BPMhun00076,53,78,75,59,60,70
BPMhun00077,1256,1128,1271,961,993,1038
BPMhun00078,981,894,1058,774,839,893
BPMhun00079,1151,1185,1333,1560,2102,2593
BPMhun00080,11323,10400,11771,8310,7871,9130
BPMhun00081,1275,1139,1356,2284,2495,3035
BPMhun00082,1982,1769,1872,5685,6402,7878
BPMhun00083,658,566,563,1163,1605,1977
BPMhun00084,1191,1098,1336,2365,3347,3699
BPMhun00085,3546,3529,3650,5612,5996,7835
BPMhun00086,150,133,197,199,255,272
BPMhun00087,0,0,0,681,930,1125
BPMhun00088,162,129,165,643,838,903
BPMhun00089,502,424,520,306,270,283
BPMhun00090,7873,7246,8493,8528,6407,7662
BPMhun00091,420,460,514,923,1010,1344
