gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
"BCAL2048,BCAL2049",20,1,8,788,1727,162
BCAM0695,18,4,5,1189,848,133
BCAL1105,14,4,17,676,797,388
BCAL0950,26,3,19,1155,1389,149
BCAL0199,26,3,10,710,772,109
BCAL1652,31,7,6,609,1142,132
BCAM2418,6,1,3,157,187,24
BCAL0198,22,1,17,391,610,88
BCAL1622,1,1,4,98,201,18
BCAM0694,17,1,6,260,280,44
BCAM0953,42,8,8,692,889,111
BCAM1379,7,0,12,209,243,31
BCAS0420,4,1,3,53,103,10
BCAM2365,16,1,5,227,194,27
"BCAM2361A,BCAM2362",12,1,3,162,147,31
BCAS0733,7,0,6,82,123,18
BCAM2360,25,4,6,317,382,54
BCAL2224,437,65,177,5410,7719,717
BCAL0151,185,15,66,1634,2337,289
BCAL0200,65,17,35,1101,1354,186
BCAL1522,79,9,27,843,999,127
BCAL2834,34,1,11,246,269,46
BCAM1770,46,1,16,315,359,57
"BCAL0018,BCAL0019",14,1,3,94,126,15
BCAL0010,11,0,5,130,28,16
BCAL0017,57,7,32,767,739,107
BCAS0731,10,1,3,61,121,14
BCAM0548,13,0,3,22,67,18
BCAM2340,31,4,0,224,190,34
BCAL2381,13,1,1,91,56,12
BCAL2223,17,1,8,105,202,19
BCAL1431,2,2,5,83,135,14
BCAM2620,5,1,2,40,91,6
BCAL1690,7,0,6,49,75,10
BCAL2222,18,0,4,62,71,14
"BCAL2435,BCAL2436",23,2,5,101,89,13
BCAL1742,5,1,4,69,71,9
BCAL2685,32,2,27,218,413,46
BCAS0267a,6,1,4,40,80,10
BCAL0064,893,63,164,4886,4217,622
BCAL2708,39,1,4,82,141,26
BCAM0952,18,2,2,68,124,13
BCAL3473,150,7,18,462,624,99
BCAM0544,48,2,6,274,154,15
BCAM0721,16,0,4,23,45,15
BCAL2833,13,3,3,88,115,14
"BCAL3039,BCAL3040",16,1,9,74,123,15
BCAS0595,20,0,5,102,41,8
BCAL0138,8,0,4,37,46,4
BCAL2625,16,2,4,78,96,13
BCAL2819,6,0,5,35,45,5
BCAL2196,27,3,11,169,163,22
BCAL0598,13,0,8,56,74,9
BCAM0545,47,3,4,236,98,18
BCAL2198,222,21,41,1011,793,134
BCAL1432,8,2,1,53,66,4
BCAL0066,5,1,3,32,32,7
BCAL1500,25,2,6,73,139,10
BCAL1490,28,0,4,61,43,11
BCAM2094,69,11,22,340,379,51
BCAL0605,9,0,8,45,71,4
BCAL1240,46,2,11,150,80,30
BCAS0110,8,3,3,55,61,12
BCAM2618,136,21,75,613,914,127
BCAM2311,17,1,5,48,34,14
BCAL1655,13,0,4,27,49,4
BCAL0925,7,1,8,54,18,15
BCAL1557,15,2,10,87,87,14
BCAL0058,29,0,11,89,79,13
BCAS0256,48,4,18,183,202,29
BCAL1539,5,1,1,25,21,4
BCAL3041,94,11,42,376,477,69
"BCAL0015,BCAL0016",70,3,41,299,295,41
BCAL1525,760,130,442,4699,4246,570
BCAM1487,13,5,1,101,93,8
BCAL0599,10,0,12,44,67,9
BCAL2199,25,3,9,144,77,12
BCAL2382,200,21,49,773,631,94
BCAL2194,36,1,6,75,73,12
BCAL3029,17,0,4,42,41,3
BCAM1954,6,0,4,9,16,6
BCAL2698,33,1,19,109,146,13
BCAM0187,84,22,113,869,608,107
BCAM0774,10,0,5,15,61,1
BCAS0251,14,0,3,22,16,6
BCAL0600,9,1,4,33,36,5
BCAL2300,7,1,4,27,29,6
BCAM0508,20,2,9,119,36,10
BCAL0602,14,2,11,76,94,7
