,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0001,10,18,74,8,110,121,12,37
Bcen_0002,7,17,100,11,145,183,7,54
Bcen_0003,10,29,24,2,22,41,4,19
Bcen_0004,2,16,42,3,313,249,25,51
Bcen_0005,196,99,259,131,203,93,229,184
Bcen_0006,11,29,58,17,158,178,9,65
Bcen_0007,2,8,28,7,53,77,4,22
Bcen_0008,26,74,164,49,302,308,35,133
Bcen_0009,3,18,57,17,306,218,21,66
Bcen_0010,4,16,55,12,144,179,14,60
Bcen_0011,0,7,11,1,40,36,2,15
Bcen_0012,5,13,28,10,42,42,8,18
Bcen_0013,5,5,34,8,90,91,23,29
Bcen_0014,2,4,9,1,81,51,4,17
Bcen_0015,1,5,21,1,104,82,5,22
Bcen_0016,0,12,38,5,191,134,11,21
Bcen_0017,7,12,38,6,198,137,12,31
Bcen_0018,6,6,25,5,80,68,4,13
Bcen_0019,3,6,28,3,165,97,5,27
Bcen_0020,1,13,45,6,247,161,9,58
Bcen_0021,4,1,16,1,41,22,5,3
Bcen_0022,2,11,23,3,72,74,4,21
Bcen_0023,2,9,80,2,230,212,5,60
Bcen_0024,5,10,35,13,35,65,4,16
Bcen_0025,5,2,27,5,48,57,1,17
Bcen_0026,2,10,35,1,147,108,4,27
Bcen_0027,17,9,10,5,78,56,32,35
Bcen_0028,12,9,31,7,103,106,32,27
Bcen_0029,15,22,19,8,74,71,8,35
Bcen_0030,24,25,74,26,123,135,24,34
Bcen_0031,8,13,18,8,63,60,6,19
Bcen_0032,1,8,5,0,88,36,8,13
Bcen_0033,4,7,33,3,130,88,5,36
Bcen_0034,1,0,15,2,57,48,1,12
Bcen_0035,1,4,34,2,119,101,1,24
Bcen_0036,1,3,52,1,145,144,2,29
Bcen_0037,1,8,40,0,130,109,2,30
Bcen_0038,0,3,42,0,125,124,3,20
Bcen_0039,0,2,32,0,218,179,6,47
Bcen_0040,0,5,21,0,98,84,1,19
Bcen_0041,0,3,49,0,156,174,5,30
Bcen_0042,11,18,84,5,343,244,20,75
Bcen_0043,16,11,145,4,517,399,28,102
Bcen_0044,0,3,5,0,61,31,2,9
Bcen_0045,0,1,6,1,26,26,1,5
Bcen_0046,0,2,9,0,44,33,1,10
Bcen_0047,1,16,36,17,174,135,3,62
Bcen_0048,3,26,21,23,187,145,11,49
Bcen_0049,3,19,4,1,32,18,1,29
Bcen_0050,0,2,17,0,70,49,4,19
Bcen_0051,2,6,35,3,116,111,3,29
Bcen_0052,1,4,34,0,48,60,3,23
Bcen_0054,6,3,60,12,28,81,3,14
Bcen_0055,0,8,22,7,28,41,2,20
Bcen_0056,0,2,17,0,21,43,3,4
Bcen_0057,1,3,21,3,26,42,0,7
Bcen_0058,1,1,21,1,40,42,0,7
Bcen_0059,2,12,19,0,122,93,8,27
Bcen_0060,0,7,13,0,64,63,0,21
Bcen_0061,0,4,21,2,160,133,8,40
Bcen_0062,0,4,12,1,65,107,1,24
Bcen_0063,12,25,74,14,193,284,10,60
Bcen_0064,40,29,96,14,245,322,18,65
Bcen_0065,2,39,6,0,29,15,0,9
Bcen_0066,26,152,169,70,143,183,36,71
Bcen_0067,11,12,18,6,92,70,12,32
Bcen_0068,18,20,44,6,36,58,6,30
Bcen_0069,34,110,72,48,96,96,33,68
Bcen_0070,4,12,28,4,30,39,2,18
Bcen_0071,15,38,124,17,206,280,13,88
Bcen_0072,21,37,66,14,254,198,36,81
Bcen_0073,10,21,61,7,191,130,11,51
