,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
aat,841,695,1024,612,413,859,284,324,340,440,480,444
accA,4837,3771,5790,4393,2452,4118,2006,1619,2373,3050,2100,2453
accB,586,446,630,629,293,597,282,361,347,470,238,379
accC (BPs_C1 3557043..3558411),3737,2958,4645,4169,1787,3882,1727,2718,2453,3245,1615,2556
accC (BPs_C1 4336361..4337807),291,259,188,572,148,353,112,118,126,68,148,112
accD,3798,3197,4351,4073,1688,3788,1794,1981,2297,2735,1741,2027
aceA,36981,50449,30636,40008,20224,36165,17885,8204,15249,8765,19012,14920
aceB,13554,11564,10989,9077,5723,8421,4654,2869,4046,2519,4342,4780
aceE (BPs_C1 2770568..2773265),12531,9412,19052,14888,6713,9854,4960,8850,7075,13455,5285,8173
aceE (BPs_C1 6422351..6425075),5669,4857,4616,6190,3180,6419,2477,2189,3587,1700,2765,2413
aceK,5761,5127,5535,4914,3131,4265,2280,2594,2188,2807,2288,2861
acnA (BPs_C1 4355157..4357752),10519,8448,6968,7454,2851,9073,1660,2088,3913,1990,5124,3893
acnA (BPs_C1 6439627..6442345),39216,30242,32389,39719,14477,24538,12101,18029,14291,12158,11147,15247
acoD,2537,2116,600,1233,1017,1171,616,81,623,124,1639,792
acoE,12434,11565,11899,12038,6715,10209,6273,7986,7015,5719,6157,6204
acpA,2074,1714,2611,4119,1346,2381,1023,4288,1422,1670,1057,1134
acpD,573,518,736,555,265,611,298,307,330,315,254,293
acpP,4340,3930,5468,5287,2736,5045,2548,2896,3058,3690,2195,2652
acpS,398,253,374,343,138,337,139,195,135,245,168,173
actP,352,450,339,230,160,205,129,86,129,89,227,157
adc,864,806,650,564,340,690,470,275,514,284,291,340
add,1269,1079,1097,782,467,1101,527,388,603,521,460,448
adhA,25272,25017,23741,18435,18430,14108,14475,27462,12067,15313,13101,15829
adhC,131,98,122,97,49,75,44,53,60,63,44,47
adk,6185,6133,8173,6378,3783,6309,2984,2685,3777,3829,3161,3539
aer,19416,26830,21962,23527,15095,13298,10441,9558,7080,9717,10982,9329
ahcY,51779,52050,56744,63947,28623,42332,17333,17931,28245,15954,17936,17928
ahpC,1039,871,1095,662,318,734,369,215,533,531,343,539
ahpF,431,301,632,247,124,332,142,126,239,344,186,283
aidB,1705,1783,1196,822,605,795,338,232,281,292,914,647
alaS,10519,8878,16490,8727,4798,8634,3482,4790,5170,9176,5325,6362
ald,790,655,734,676,373,667,322,342,413,371,406,319
alr (BPs_C1 2616341..2617412),3221,2690,3369,2821,1460,2608,1162,1275,1451,1919,1468,1613
