,WTCA14,CA14 ^GDT1,CA14 ^PMR1,CA14 ^GDT1^PMR1
CAWG_06150,0,1,0,0
CAWG_06151,0,0,0,0
CAWG_06147,164,142,144,155
CAWG_06148,7,5,2,0
CAWG_06149,22,18,12,19
CAWG_06152,9,20,14,22
CAWG_06153,0,0,0,0
CAWG_06154,4,4,3,6
CAWG_06155,0,0,0,0
CAWG_06156,0,0,0,0
CAWG_06159,0,0,0,0
CAWG_06157,931,1031,989,961
CAWG_06158,154,204,70,88
CAWG_06160,0,0,0,0
CAWG_00001,422,307,439,434
CAWG_00002,406,447,438,425
CAWG_00005,2546,2558,2616,2576
CAWG_00006,273,246,284,233
CAWG_00010,7829,6931,7167,7293
CAWG_00014,492,582,531,410
CAWG_00016,339,382,348,332
CAWG_00018,1999,1631,2015,1755
CAWG_00020,2009,1395,683,789
CAWG_00022,819,783,691,844
CAWG_00024,4240,4604,5815,3776
CAWG_00025,10865,10466,11298,10691
CAWG_00028,475,318,329,476
CAWG_00029,1150,1728,1390,1084
CAWG_00031,157,169,130,201
CAWG_00032,52,18,13,19
CAWG_00033,1776,3131,3993,3993
CAWG_00035,137,74,41,30
CAWG_00039,123,97,50,68
CAWG_00040,965,1310,859,1027
CAWG_00042,870,867,280,369
CAWG_00043,8129,4396,5865,12061
CAWG_00048,597,717,948,867
CAWG_00053,505,723,831,694
CAWG_00055,218,219,284,242
CAWG_00056,57,42,41,56
CAWG_00058,33,44,38,41
CAWG_00062,247,286,172,160
CAWG_00063,547,628,738,904
CAWG_00064,973,2298,535,752
CAWG_00066,22927,18658,18289,18685
CAWG_00067,6,14,35,16
CAWG_00069,2194,1720,2411,2528
CAWG_00070,54,43,35,35
CAWG_00072,87,72,50,64
CAWG_00073,67,73,55,55
CAWG_00075,41,38,69,83
CAWG_00077,7,3,2,2
CAWG_00079,84,24,41,47
CAWG_00081,13,9,9,8
CAWG_00083,5,8,3,8
CAWG_00084,1751,1458,989,1227
CAWG_00087,302,469,134,175
CAWG_00091,905,876,1048,732
CAWG_00097,180,227,92,121
CAWG_00100,57,49,22,31
CAWG_00101,127,179,111,194
CAWG_00102,74,72,105,119
CAWG_00107,0,2,0,0
CAWG_00108,633,744,783,420
CAWG_00109,760,1123,628,807
CAWG_00111,326,385,245,470
CAWG_00115,13,4,4,7
CAWG_00117,808,798,879,726
CAWG_00118,810,925,670,893
CAWG_00120,2506,2506,2991,2480
CAWG_00122,401,483,472,629
CAWG_00127,1237,2115,1601,2413
CAWG_00128,12,3,5,3
CAWG_00129,12,16,24,17
CAWG_00132,472,635,448,755
CAWG_00135,10368,7355,4456,4841
CAWG_00136,196,177,327,225
CAWG_00137,307,443,391,527
CAWG_00138,671,971,1449,1596
CAWG_00141,251,133,118,286
CAWG_00142,1552,1074,923,1635
CAWG_00144,410,340,201,423
CAWG_00145,131,179,277,315
CAWG_00147,404,454,157,230
CAWG_00148,1155,1544,1201,1204
CAWG_00150,12,12,34,34
CAWG_00151,0,98,83,69
CAWG_00154,225,307,238,247
CAWG_00155,7799,8030,11563,6663
CAWG_00159,347,492,94,147
CAWG_00160,183,144,102,131
CAWG_00163,180,172,172,280
CAWG_00167,63,56,23,41
CAWG_00170,32,22,47,34
CAWG_00171,109,169,62,99
CAWG_00173,11,8,4,8
CAWG_00175,71,58,30,34
CAWG_00177,36,48,22,31
CAWG_00179,16,23,5,11
CAWG_00182,179,70,42,67
CAWG_00185,351,367,146,178
CAWG_00186,1,2,0,0
CAWG_00187,95,217,109,208
CAWG_00189,65,87,42,67
CAWG_00195,4,2,1,2
CAWG_00196,663,655,804,743
CAWG_00199,0,1,0,0
CAWG_00200,1417,1677,434,659
CAWG_00202,85,36,48,70
CAWG_00203,173,118,80,177
CAWG_00205,2436,2583,1745,1870
CAWG_00207,289,262,132,205
CAWG_00209,67,56,35,53
CAWG_00210,93,45,28,64
CAWG_00212,755,774,1080,1172
CAWG_00213,14,12,10,5
CAWG_00217,980,774,2269,954
CAWG_00218,196,172,124,127
CAWG_00224,377,293,387,387
CAWG_00225,0,0,0,0
CAWG_00227,13,12,20,8
CAWG_00229,117,95,67,92
CAWG_00231,11,17,9,8
CAWG_00232,121,449,285,371
CAWG_00233,0,1,0,1
CAWG_00235,128,115,213,248
CAWG_00236,87,84,160,169
CAWG_00241,45,58,46,86
CAWG_00242,1,1,0,3
CAWG_00245,52,58,51,48
CAWG_00247,37,45,29,45
CAWG_00251,49,51,16,39
CAWG_00258,36,59,44,52
CAWG_00260,387,442,260,500
CAWG_00261,195,177,126,196
CAWG_00266,0,0,0,0
CAWG_00267,5759,6056,4535,3910
CAWG_00269,3,5,2,4
CAWG_00273,109,124,169,222
CAWG_00274,1,8,11,11
CAWG_00276,2328,1291,1542,1517
CAWG_00281,201,141,133,112
CAWG_00283,6093,6007,5351,5172
CAWG_00284,84,116,9,32
CAWG_00285,185,248,160,254
CAWG_00286,548,618,382,415
CAWG_00287,94,138,210,201
CAWG_00288,2,3,1,0
CAWG_00290,79,81,141,214
CAWG_00291,1565,1003,749,1697
CAWG_00292,76,86,21,78
CAWG_00295,1,0,2,2
CAWG_00296,227,281,147,338
CAWG_00299,385,265,422,613
CAWG_00301,285,284,161,385
CAWG_00303,1397,1711,1832,1818
CAWG_00304,937,1428,1855,1165
CAWG_00305,825,1647,678,889
CAWG_00306,330,403,380,278
CAWG_00311,942,968,1279,1409
CAWG_00313,776,498,229,415
CAWG_00314,778,827,332,612
CAWG_00318,31,27,33,60
CAWG_00322,970,1007,1010,815
CAWG_00323,21,19,4,10
CAWG_00325,318,285,195,228
CAWG_00328,436,399,263,634
CAWG_00333,133,170,175,180
CAWG_00334,52,44,21,30
CAWG_00335,676,667,385,448
