,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
COX2,11.8306,0.000228677,9.41766,1.01E-08,0.00044385,3.10E-15,2.33E-14,4.92595
NAD6,4.66768,1.24E-19,3.98E-09,1.63775,8.06E-07,7.95634,6.40994,7.50054
NAD1,29.9243,28.7726,23.8621,12.2416,26.1254,20.2259,24.043,16.1788
COX3A,0,0,0,0,0,0,0,0
ATP9,23.5379,57.5621,19.794,36.0808,2.58454,0,1.79257,8.73966
ATP6,194.497,381.189,190.647,195.867,73.2287,101.901,82.4581,316.57
ATP8,12.3884,34.5372,23.9611,31.9573,6.89212,14.5573,8.06656,61.1776
COX1,151,185.974,106.015,166.629,86.2337,111.479,73.0321,335.116
CaalfMp08.1,3.32493,3.33455,2.74171,1.40299,4.746,6.07731,1.81E-18,22.4074
CaalfMp08.2,2.61538,13.3755,8.54101,2.03043,6.1243,10.3946,5.96518,27.7164
CaalfMp08.3,20.213,9.65618,8.7582,11.3727,14.8928,21.4534,16.0088,53.6853
CaalfMp08.4,4.53E-10,2.45E-05,0.000479852,1.41E-05,2.94E-07,3.18E-10,5.52E-05,3.31E-05
NAD2,21.0602,10.2333,20.8358,14.4323,3.44606,10.7265,4.48142,26.219
NAD3,2.47767,3.83747,1.04179,5.1544,0,0,0.896284,3.88429
COB,29.4704,22.6652,22.8219,18.5891,31.3962,30.5761,15.1138,174.665
CaalfMp11.1,1.36E-30,5.46862,2.48127,1.63394,5.67082,5.09747,6.62049,17.5242
NAD4L,0,0,2.08358,1.03088,0,0.766175,3.58514,1.94215
NAD5,12.3884,7.67494,13.5432,6.18529,6.89212,7.66175,5.37771,40.7851
NAD4,7.43301,11.5124,7.29252,6.18529,16.3688,10.7265,10.7554,45.6405
COX3B,0,0,0,0,0,0,0,0
ALK8,32.2097,35.8164,14.585,21.6485,47.3833,42.1396,39.4365,32.0454
orf19.100,47.0757,53.7246,65.6327,77.3161,66.3366,96.5381,109.347,114.587
orf19.1002,286.171,317.231,291.701,331.944,440.234,452.043,524.326,501.074
orf19.1005,24.7767,28.1414,18.7522,28.8647,71.5057,79.6822,68.1176,52.438
KCS1,349.352,387.585,487.557,513.379,472.971,547.815,457.105,463.202
orf19.1008,0.0291945,0,6.84E-40,3.83094,1.47E-14,0.103426,1.12E-53,1.67E-14
RIM9,200.691,235.365,226.068,186.589,209.348,206.867,186.427,225.289
MNT3,181.155,201.334,207.705,198.364,221.962,280.019,323.077,247.199
MNN21,1257.12,1268.92,1380.47,1294.92,1355.45,1403.92,1365.02,1508.11
