gene_name,SC5314_count,JL01_count
CAALFM_C100020CA,372,4
CAALFM_C100030CA,141,4
VPS53,2347,2071
MBF1,10078,9980
FGR41,3014,3215
CAALFM_C110410WA,107,145
CAALFM_C110420CA,428,200
PHO8,84,20
CAALFM_C110440WA,194,155
GLY1,3534,4020
CAALFM_C110460WA,451,292
CAALFM_C110470WA,2084,1334
DJP1,585,572
LKH1,1004,1095
CAALFM_C101070CA,57,155
CAALFM_C110500WA,478,313
CAALFM_C110510WA,114,15
CAALFM_C110520WA,33,109
SNL1,153,425
CAALFM_C110540CA,87,167
GCA2,40,19
CAALFM_C110560CA,132,200
CAALFM_C110570CA,33,8
CAALFM_C110580CA,381,68
CAALFM_C110590WA,123,63
CAALFM_C101080WA,90,111
FCY23,452,379
CAALFM_C110620WA,844,3059
CAALFM_C110630CA,91,98
PEA2,80,189
APN2,46,65
TBP1,939,1423
RPA190,1705,1814
CAALFM_C110680CA,1576,1452
CAALFM_C110690WA,719,612
NIT3,805,601
CAALFM_C101090CA,1787,1322
CAALFM_C110710CA,506,186
MNN2,692,457
CAALFM_C110730WA,295,248
ASR1,369,616
CAALFM_C110750CA,1212,775
VPS23,461,314
SFT2,819,569
HNT1,1965,1638
CDC48,14240,11040
ALP1,1791,1020
CCH1,587,515
CAALFM_C110810WA,11,39
CAALFM_C110820CA,1354,2632
BIG1,270,478
CAALFM_C110840CA,1158,2635
CAALFM_C110850WA,1,6
ADA2,130,142
RPS17B,18708,24484
CAALFM_C110880WA,503,536
CAALFM_C110890CA,392,315
tI(UAU)1,6,0
ZPR1,819,1520
CAALFM_C110910CA,179,169
CAALFM_C110920WA,167,160
UBA4,1401,583
ERP5,1760,1425
CAALFM_C110950CA,87,192
CAALFM_C110960WA,1670,813
CAALFM_C110970WA,134,507
CAALFM_C110980WA,14,6
RTG3,595,456
CAALFM_C111000CA,277,411
CAALFM_C101130WA,311,904
CAALFM_C111010CA,680,220
CAALFM_C111020WA,79,102
RPL82,12420,6878
RPL29,20838,17697
CAALFM_C111050WA,27,30
RPL2,80927,60731
PET127,150,285
CAALFM_C111080WA,713,2336
CAALFM_C111090CA,391,329
CAALFM_C111100WA,344,538
CAALFM_C101140CA,948,1047
CAALFM_C111110CA,86,294
CAALFM_C111120CA,863,871
FGR16,430,65
CAALFM_C111140WA,425,219
CAALFM_C111150WA,785,610
CAALFM_C111160CA,548,406
WBP1,2199,1676
CAALFM_C111180CA,4,1
ARL 3.00,367,107
CAALFM_C111200WA,986,983
CAALFM_C101150CA,411,448
HAP43,299,339
TIM50,1686,1480
FGR39,255,233
CHO1,832,450
CAALFM_C111250WA,2244,1243
CAALFM_C111260CA,7,0
CAALFM_C111270WA,2903,1931
CAALFM_C111280WA,169,125
CAALFM_C111290WA,182,170
CAALFM_C111300CA,248,237
