,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.6115,0,0,0,0,0,0,0,0,0
orf19.6114,73,20,42,84,92,73,96,48,64
orf19.6113,10,4,2,0,5,0,10,8,8
orf19.6112,33,9,19,22,16,3,22,6,18
orf19.6110,0,0,0,0,0,0,2,0,0
orf19.6109,718,330,438,1507,1501,1075,2374,1647,2149
orf19.6105,101,46,60,408,424,309,583,533,706
orf19.6102,122,61,57,147,118,142,163,101,133
orf19.6103,14,6,2,18,12,2,13,6,4
orf19.6100,33,28,26,113,169,106,174,173,207
orf19.6099,247,111,151,1067,1124,977,1265,1145,1383
orf19.6096,32,29,20,156,164,163,166,106,114
orf19.6094,132,64,77,499,416,193,846,584,578
orf19.6092,390,194,205,2064,1791,796,3202,2265,2789
orf19.6091,254,142,148,80,104,78,176,70,136
orf19.6090,458,248,278,2844,3263,3050,3008,2945,3264
orf19.6086,4,6,0,322,396,384,312,120,260
orf19.6085,786,583,510,4493,5317,4122,7710,7194,8541
orf19.6084,84,30,40,104,62,24,228,154,99
orf19.6083,2,6,7,34,28,9,58,43,54
orf19.6082,84,60,39,970,963,722,972,792,997
orf19.6081,210,124,144,446,370,332,985,719,1044
orf19.6080,24,24,26,88,68,48,178,128,147
tT(AGU)6,0,0,0,0,0,0,0,0,1
orf19.6079,94,67,80,68,70,32,70,52,48
orf19.6078.1,0,0,0,0,0,0,0,0,2
orf19.6078,410,254,254,237,308,133,320,208,304
orf19.6077,212,146,186,18,38,14,118,52,94
orf19.6076,8,4,10,18,24,28,52,30,45
orf19.6075,45,27,28,98,89,91,119,116,115
orf19.6074,46,24,18,100,137,108,81,116,142
orf19.6073,874,576,567,1080,1037,830,113,57,141
orf19.6072,2,4,6,80,81,50,54,60,68
orf19.6072.1,11,6,12,1,13,9,8,8,9
orf19.6071,57,33,39,206,138,80,264,202,214
orf19.6070,92,52,40,2172,2144,1123,3292,2858,2056
orf19.6068,172,82,67,113,150,182,165,197,281
orf19.6066,84,58,72,229,218,106,439,327,378
orf19.6065,106,38,42,128,120,46,278,178,232
orf19.6064,222,94,158,111,78,44,176,104,126
orf19.6063,160,50,62,264,262,196,350,200,309
orf19.6062.3,30,18,22,176,318,142,454,301,465
orf19.6062,136,54,60,188,240,187,374,314,325
orf19.6061,48,14,20,36,50,41,92,52,92
orf19.6060,68,34,48,398,455,376,345,430,510
orf19.6059,144,76,58,88,72,66,156,92,130
orf19.6058,32,24,20,10,36,12,68,34,84
orf19.6057,36,14,24,72,88,72,114,90,112
orf19.6056,42,22,22,32,50,60,48,36,54
orf19.6055,32,14,28,34,12,6,152,50,46
orf19.6054,112,52,68,96,176,172,84,120,235
orf19.6053,40,6,14,62,36,46,70,28,48
orf19.6052,76,55,48,109,162,196,114,107,268
orf19.6049,32,20,24,88,87,64,135,82,139
orf19.6048,36,30,28,66,52,20,154,50,64
orf19.6047,286,188,181,3019,3036,2100,5244,4225,5219
orf19.6046,66,30,22,58,94,58,242,170,202
orf19.6045,238,100,144,432,476,262,878,590,734
orf19.6044,40,28,44,160,128,96,122,108,104
orf19.6043,44,12,14,38,40,14,61,42,52
orf19.6041,140,132,144,961,1360,879,1180,995,1358
orf19.6040,115,51,52,166,159,97,239,178,188
orf19.6039,52,26,30,94,78,74,132,82,104
orf19.6038,6,4,6,24,10,10,75,36,44
orf19.6037,6,6,0,26,20,20,36,36,36
orf19.6036,18,8,0,8,24,8,78,39,30
orf19.6035,34,10,12,80,124,72,166,108,164
orf19.6034,13,24,11,414,477,272,1264,930,1277
tP(UGG)3,0,0,0,4,4,0,4,0,0
orf19.6033,55,40,34,225,213,150,305,183,270
orf19.6032,130,58,64,368,459,342,402,341,518
orf19.6031,142,46,66,122,121,50,257,160,136
orf19.6030,104,35,50,48,88,32,124,84,114
orf19.6029,22,12,12,31,49,36,60,30,59
orf19.6028,22,2,14,4,2,8,11,4,14
orf19.6027,0,1,4,10,6,10,56,32,46
orf19.6026,8,8,2,84,107,60,153,172,171
orf19.6025,4,0,4,8,12,12,12,12,6
orf19.6024,1,10,2,11,6,1,4,4,8
orf19.6023,10,4,2,100,108,52,135,118,151
orf19.6022,2,2,0,55,45,38,312,228,258
orf19.6021,26,6,22,18,12,18,59,31,52
orf19.6020,16,4,8,10,11,6,53,16,12
orf19.6018,134,70,98,85,74,74,242,98,190
orf19.6017,30,20,12,0,4,2,26,8,16
orf19.6016,48,32,48,74,54,48,144,79,102
orf19.6014,52,14,42,199,294,248,172,166,233
orf19.6013,4,2,4,18,14,8,48,18,18
orf19.6012,32,8,10,92,66,40,166,80,108
orf19.6011,104,46,64,708,612,438,1168,635,888
orf19.6010.1,24,20,12,88,100,109,126,100,129
orf19.6010,26,20,18,56,62,49,364,179,211
orf19.6009,45,8,17,158,193,118,235,174,259
orf19.6008.3,10,6,6,0,7,4,32,12,14
orf19.6008.4,22,6,14,78,98,72,128,88,170
orf19.3288,78,60,70,640,886,722,618,576,718
orf19.3289,18,4,14,66,26,18,112,50,92
orf19.3290,106,44,52,326,402,204,566,340,550
