,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_00010W_A,17.0934,11.7352,18.0261,12.3408,2.95195,0,10.5144,7.61781
C1_00010W_B,29.6965,15.5332,18.0261,12.3408,18.3097,10.4085,28.3566,18.9962
C1_00020C_A,356.732,339.252,287.039,251.34,204.007,204.183,116.102,114.892
C1_00020C_B,566.776,539.503,627.964,605.792,499.621,420.966,522.55,475.987
C1_00030C_A,41.2834,39.4099,43.8678,39.5561,62.0708,64.1475,92.5245,83.6557
C1_00030C_B,41.2834,39.4099,43.8678,39.5561,62.0708,64.1475,92.5245,83.6557
C1_00040W_A,1.5166,1.02716,13.1674,8.04266,21.0789,3.48117,4.5401,4.34701
C1_00040W_B,190.649,184.453,168.423,176.619,177.544,194.124,225.674,220.081
C1_00050C_A,15.0423,15.6217,22.3082,21.8017,10.171,9.95839,4.69099,4.58495
C1_00050C_B,15.0423,15.6217,22.3082,21.8017,10.171,9.95839,4.69099,4.58495
C1_00060W_A,142.842,139.961,167.056,163.263,165.669,162.205,149.045,146.296
C1_00060W_B,142.842,139.961,167.056,163.263,165.669,162.205,149.045,146.296
C1_00070W_A,140.985,145.764,97.5387,100.52,108.262,110.464,79.8503,79.9127
C1_00070W_B,140.985,145.764,97.5387,100.52,108.262,110.464,79.8503,79.9127
C1_00080C_A,47.5968,35.754,38.4858,29.3462,53.0443,45.8461,31.7244,28.9381
C1_00080C_B,47.5968,35.754,38.4858,29.3462,53.0443,45.8461,31.7244,28.9381
C1_00090W_A,11.3575,11.6961,11.0706,10.8192,14.4805,15.9402,10.6164,10.699
C1_00090W_B,11.3575,11.6961,11.0706,10.8192,14.4805,15.9402,10.6164,10.699
C1_00100C_A,33.5979,33.4328,27.8957,26.5346,31.1673,30.5157,35.6975,34.1058
C1_00100C_B,33.5979,33.4328,27.8957,26.5346,31.1673,30.5157,35.6975,34.1058
C1_00110W_A,80.2948,78.58,62.6039,61.1827,68.8716,65.838,70.7805,67.7225
C1_00110W_B,80.2948,78.58,62.6039,61.1827,68.8716,65.838,70.7805,67.7225
C1_00120C_A,53.8987,51.4022,50.2619,47.5198,43.8014,46.4239,49.776,51.2404
C1_00120C_B,53.8987,51.4022,50.2619,47.5198,43.8014,46.4239,49.776,51.2404
C1_00130C_A,17.6267,17.0572,13.511,13.2042,22.6122,21.5427,16.3548,15.7667
C1_00130C_B,17.6267,17.0572,13.511,13.2042,22.6122,21.5427,16.3548,15.7667
C1_00140W_A,21.59,21.0122,16.1383,15.7719,15.222,14.9037,15.9144,15.4094
C1_00140W_B,21.59,21.0122,16.1383,15.7719,15.222,14.9037,15.9144,15.4094
C1_00150C_A,13.9804,13.6172,47.3564,46.0508,11.0111,10.4412,46.2264,45.1814
C1_00150C_B,13.9804,13.6172,47.3564,46.0508,11.0111,10.4412,46.2264,45.1814
C1_00160C_A,203.17,198.126,32.7474,32.004,143.431,139.867,33.6146,32.8547
C1_00160C_B,203.17,198.126,32.7474,32.004,143.431,139.867,33.6146,32.8547
C1_00170W_A,5.87978,5.76118,6.77037,6.61667,7.70062,7.17147,9.50509,9.29023
C1_00170W_B,5.87978,5.76118,6.77037,6.61667,7.70062,7.17147,9.50509,9.29023
C1_00180W_A,1211.28,1236.98,770.717,795.267,1060.1,1070.31,664.404,681.329
C1_00180W_B,1211.28,1236.98,770.717,795.267,1060.1,1070.31,664.404,681.329
C1_00190C_A,0.718073,0.70359,0,0,3.00685,2.94399,0,0
C1_00190C_B,0.718073,0.70359,0,0,3.00685,2.94399,0,0
C1_00200C_A,17.7452,10.325,24.8735,14.2804,29.0342,21.0397,18.5206,15.3985
C1_00200C_B,17.7452,10.325,24.8735,14.2804,29.0342,21.0397,18.5206,15.3985
C1_00210C_A,153.849,151.881,155.591,153.671,168.172,165.843,97.0633,94.8692
C1_00210C_B,153.849,151.881,155.591,153.671,168.172,165.843,97.0633,94.8692
C1_00220W_A,178.498,174.615,622.396,607.194,151.835,148.266,126.406,122.682
C1_00220W_B,178.498,174.615,622.396,607.194,151.835,148.266,126.406,122.682
C1_00230C_A,12.7962,12.6627,11.4384,11.8868,12.5595,12.2969,12.7234,12.8175
C1_00230C_B,12.7962,12.6627,11.4384,11.8868,12.5595,12.2969,12.7234,12.8175
C1_00270W_A,7.97466,7.58018,15.6827,17.0159,3.95162,2.21179,1.2071,1.34536
C1_00270W_B,3.01278,3.18564,5.47423,4.76054,10.6123,8.80685,7.04373,6.71895
C1_00280C_A,0,0,0,0,0,0,0,0
C1_00280C_B,0,0,0,0,0,0,0,0
C1_00290W_A,3.58998,3.56867,11.2125,9.87706,2.13322,2.05816,1.57227,1.54116
C1_00290W_B,24.0091,24.5497,20.4732,22.3983,24.0935,28.1221,16.6927,15.8402
C1_00310W_A,16.8265,16.4871,18.6039,17.898,29.493,28.4586,31.9471,30.9192
C1_00310W_B,16.8265,16.4871,18.6039,17.898,29.493,28.4586,31.9471,30.9192
C1_00320W_A,27.7574,24.6529,42.7349,38.4799,38.132,39.2707,30.8557,28.033
C1_00320W_B,27.7574,24.6529,42.7349,38.4799,38.132,39.2707,30.8557,28.033
C1_00330C_A,53.9776,56.775,39.6357,44.2542,61.6107,55.4445,51.2578,53.6693
C1_00330C_B,53.9776,56.775,39.6357,44.2542,61.6107,55.4445,51.2578,53.6693
C1_00340W_A,65.8878,65.0545,33.4847,32.7246,58.7756,57.5468,26.7848,27.6972
C1_00340W_B,65.8878,65.0545,33.4847,32.7246,58.7756,57.5468,26.7848,27.6972
C1_00350C_A,79.3481,76.9456,88.4218,86.9839,36.6338,35.0289,38.7945,37.3035
C1_00350C_B,79.3481,76.9456,88.4218,86.9839,36.6338,35.0289,38.7945,37.3035
C1_00360W_A,6.97388,6.83322,8.1538,7.96869,3.38555,3.31477,6.19342,6.05342
C1_00360W_B,6.97388,6.83322,8.1538,7.96869,3.38555,3.31477,6.19342,6.05342
C1_00370W_A,53.1572,48.2335,31.9727,31.2469,19.587,35.2931,26.4277,33.6934
C1_00370W_B,53.1572,48.2335,31.9727,31.2469,19.587,35.2931,26.4277,33.6934
C1_00380C_A,18.2835,18.1141,16.8994,16.3269,18.6022,17.3788,15.7212,14.9586
C1_00380C_B,18.2835,18.1141,16.8994,16.3269,18.6022,17.3788,15.7212,14.9586
C1_00390W_A,14.3792,13.8637,36.749,35.6586,14.9191,14.4185,34.5355,32.9262
C1_00390W_B,14.3792,13.8637,36.749,35.6586,14.9191,14.4185,34.5355,32.9262
C1_00400W_A,61.2548,60.8761,45.7712,45.1377,35.5779,36.0291,24.7417,24.1824
C1_00400W_B,61.2548,60.8761,45.7712,45.1377,35.5779,36.0291,24.7417,24.1824
C1_00410C_A,11.9279,11.4977,14.675,14.3418,11.4508,11.2114,10.4748,9.94762
C1_00410C_B,11.9279,11.4977,14.675,14.3418,11.4508,11.2114,10.4748,9.94762
C1_00420W_A,64.8513,63.5432,103.537,101.187,114.75,112.351,75.8782,74.163
C1_00420W_B,64.8513,63.5432,103.537,101.187,114.75,112.351,75.8782,74.163
C1_00430W_A,12.9536,12.784,14.7567,14.4217,13.0764,12.803,13.3236,13.0224
C1_00430W_B,12.9536,12.784,14.7567,14.4217,13.0764,12.803,13.3236,13.0224
C1_00440W_A,79.3623,77.652,80.1787,78.0473,85.6108,83.8209,90.9095,88.8545
C1_00440W_B,79.3623,77.652,80.1787,78.0473,85.6108,83.8209,90.9095,88.8545
C1_00450C_A,105.501,107.124,135.333,136.826,109.71,118.627,150.952,154.103
C1_00450C_B,105.501,107.124,135.333,136.826,109.71,118.627,150.952,154.103
C1_00460W_A,370.225,362.757,253.742,247.982,346.707,339.459,328.53,321.104
C1_00460W_B,370.225,362.757,253.742,247.982,346.707,339.459,328.53,321.104
C1_00470C_A,18.7492,18.4913,22.2604,21.7551,27.0793,26.5132,22.8698,22.3528
C1_00470C_B,18.7492,18.4913,22.2604,21.7551,27.0793,26.5132,22.8698,22.3528
C1_00480C_A,38.2348,37.5295,29.5885,28.7297,35.065,34.3319,29.4244,28.961
C1_00480C_B,38.2348,37.5295,29.5885,28.7297,35.065,34.3319,29.4244,28.961
C1_00490C_A,486.373,476.563,618.864,607.161,553.442,545.329,775.992,760.981
C1_00490C_B,486.373,476.563,618.864,607.161,553.442,545.329,775.992,760.981
C1_00500C_A,105.291,103.004,86.9669,84.5283,104.84,101.28,128.086,125.691
C1_00500C_B,105.291,103.004,86.9669,84.5283,104.84,101.28,128.086,125.691
C1_00510W_A,31.2393,30.4235,17.1899,16.2724,34.8015,34.0739,26.0965,25.5066
C1_00510W_B,31.2393,30.4235,17.1899,16.2724,34.8015,34.0739,26.0965,25.5066
C1_00520W_A,36.9796,36.2337,31.367,30.6549,26.3619,25.8107,42.8772,41.9079
C1_00520W_B,36.9796,36.2337,31.367,30.6549,26.3619,25.8107,42.8772,41.9079
C1_00530C_A,10.539,10.2056,19.1208,18.5151,17.0146,16.1532,15.693,15.1532
C1_00530C_B,10.539,10.2056,19.1208,18.5151,17.0146,16.1532,15.693,15.1532
C1_00540C_A,12.4538,12.1338,9.66566,9.44623,8.03916,7.87109,7.18749,6.81429
C1_00540C_B,12.4538,12.1338,9.66566,9.44623,8.03916,7.87109,7.18749,6.81429
C1_00550W_A,12.5486,11.9211,14.6896,16.0699,18.1873,19.9263,13.9911,22.0246
C1_00550W_B,5.36433,5.63057,8.70061,6.7893,10.7962,8.4513,31.0769,22.0246
C1_00560W_A,19.6652,18.5721,14.3059,12.7944,8.53897,8.36045,14.5516,12.9431
C1_00560W_B,19.6652,18.5721,14.3059,12.7944,8.53897,8.36045,14.5516,12.9431
C1_00570C_A,9.2368,8.10723,8.69089,10.3686,5.10916,4.27693,11.3401,8.69107
C1_00570C_B,8.07356,9.47404,17.5338,15.6129,10.1383,10.6518,4.50123,8.69107
C1_00580W_A,15.3221,15.0131,23.1249,22.0726,12.5844,12.3213,14.4618,14.1349
C1_00580W_B,15.3221,15.0131,23.1249,22.0726,12.5844,12.3213,14.4618,14.1349
C1_00590W_A,189.292,184.972,85.8117,83.8636,120.304,118.313,127.085,124.596
C1_00590W_B,189.292,184.972,85.8117,83.8636,120.304,118.313,127.085,124.596
C1_00600W_A,6.35361,6.34055,7.87637,8.69746,5.79833,6.04165,4.50198,5.19665
C1_00600W_B,4.63785,4.42921,6.09437,4.95613,7.39235,6.87326,6.1317,5.19665
C1_00610W_A,54.7284,53.5384,75.481,74.012,73.088,71.1995,64.1101,62.6609
