GeneName,wt_0_I,wt_15_I,wt_45_I,gcn5_0_I,gcn5_15_I,gcn5_45_I,wt_0_II,wt_15_II,wt_45_II,gcn5_0_II,wt_0_III,wt_15_III,wt_45_III,gcn5_0_III,gcn5_15_III,gcn5_45_III
orf19.6115,7,15,13,32,38,14,4,14,9,12,8,20,24,33,20,16
orf19.6115,8,10,16,33,45,18,3,19,8,14,8,17,26,36,20,18
orf19.6114,1,0,1,1,2,3,2,0,1,0,0,2,5,3,1,3
orf19.6114,1,1,1,0,3,3,2,0,3,1,0,2,6,4,2,5
orf19.6113,4,2,8,13,24,22,3,2,9,14,5,5,9,37,25,20
orf19.6113,4,2,8,13,24,22,3,2,9,14,5,5,9,37,25,20
CTA2,794,971,1045,1068,1707,1366,808,1156,1051,979,1235,1245,1399,1623,1986,1823
CTA2,611,662,765,767,1231,1031,619,875,788,740,936,896,1077,1220,1480,1420
orf19.6110,3,14,14,25,40,24,8,17,10,12,5,8,10,33,21,19
orf19.6110,3,14,14,25,40,24,8,17,10,12,5,8,10,33,21,19
TUP1,6082,5293,5313,6336,8802,7453,5660,5704,6004,6508,7752,5338,7431,8485,10326,10196
TUP1,6082,5293,5313,6336,8802,7453,5660,5704,6004,6508,7752,5338,7431,8485,10326,10196
MVD,2424,2806,2417,2945,3986,3074,2532,3156,2647,2547,3422,3106,3357,3864,4683,4443
MVD,2424,2806,2417,2945,3986,3074,2532,3156,2647,2547,3422,3106,3357,3864,4683,4443
RCA1,705,678,527,576,748,580,699,647,577,732,944,707,713,745,817,758
RCA1,705,678,527,576,748,580,699,647,577,732,944,707,713,745,817,758
orf19.6103,46,34,38,55,84,51,43,46,29,42,55,31,38,109,87,53
orf19.6103,46,34,38,55,84,51,43,46,29,42,55,31,38,109,87,53
orf19.6100,117,188,169,209,302,228,111,187,152,156,155,181,176,300,320,300
orf19.6100,117,188,169,209,302,228,111,187,152,156,155,181,176,300,320,300
CCT8,1318,2638,2559,2065,4229,3246,1769,2676,2765,1737,2065,3039,3484,2694,4537,4444
CCT8,1318,2638,2559,2065,4229,3246,1769,2676,2765,1737,2065,3039,3484,2694,4537,4444
TRP1,156,256,205,203,367,269,169,238,237,198,210,320,329,262,382,407
TRP1,156,256,205,203,367,269,169,238,237,198,210,320,329,262,382,407
VPS53,339,481,482,549,775,710,367,484,505,412,499,491,633,719,953,887
VPS53,339,481,482,549,775,710,367,484,505,412,499,491,633,719,953,887
KEL1,1565,2121,2189,1940,3478,3080,1773,2586,2368,1682,2351,2452,3116,2470,4101,3992
KEL1,1565,2121,2189,1940,3478,3080,1773,2586,2368,1682,2351,2452,3116,2470,4101,3992
RIM8,334,190,427,507,681,458,439,275,405,434,639,279,589,780,561,643
RIM8,334,190,427,507,681,458,439,275,405,434,639,279,589,780,561,643
orf19.6090,6700,11392,7857,4053,8729,4261,6391,9058,7686,7101,7344,9887,9675,4753,8407,4743
orf19.6090,6700,11392,7857,4053,8729,4261,6391,9058,7686,7101,7344,9887,9675,4753,8407,4743
LEU4,1156,960,494,927,1159,671,861,685,487,1446,1289,664,607,1252,954,773
LEU4,1156,960,494,927,1159,671,861,685,487,1446,1289,664,607,1252,954,773
RPL16A,18792,31749,27192,12384,25051,20476,18729,33249,31500,18528,24368,34573,37136,16797,29003,26322
RPL16A,18792,31749,27192,12384,25051,20476,18729,33249,31500,18528,24368,34573,37136,16797,29003,26322
orf19.6084,86,82,45,96,78,25,84,48,47,118,91,80,45,83,41,34
orf19.6084,86,82,45,96,78,25,84,48,47,118,91,80,45,83,41,34
orf19.6083,47,54,71,104,103,72,77,79,87,65,45,61,89,110,93,93
orf19.6083,47,54,71,104,103,72,77,79,87,65,45,61,89,110,93,93
orf19.6082,2008,1924,2167,939,1377,1374,1962,2046,2362,1749,2674,2339,2753,1406,1818,1864
orf19.6082,2008,1924,2167,939,1377,1374,1962,2046,2362,1749,2674,2339,2753,1406,1818,1864
PHR2,10085,6365,15735,10307,18358,32489,9233,7547,17607,12327,12869,8315,18988,13132,20092,36317
PHR2,10085,6365,15735,10307,18358,32489,9233,7547,17607,12327,12869,8315,18988,13132,20092,36317
BFA1,252,284,296,350,421,391,261,343,362,274,350,284,448,466,518,516
BFA1,252,284,296,350,421,391,261,343,362,274,350,284,448,466,518,516
tT(AGU)6,124,408,305,348,271,663,311,619,168,600,806,731,407,1235,445,670
tT(AGU)6,124,408,305,348,271,663,311,619,168,600,806,731,407,1235,445,670
orf19.6079,206,153,201,445,215,114,115,123,133,319,195,109,171,645,225,129
orf19.6079,190,142,184,358,165,106,120,147,132,305,221,137,190,563,192,121
RFC52,44,69,72,54,83,76,56,77,64,44,66,68,75,52,95,102
RFC52,44,69,72,54,83,76,56,77,64,44,66,68,75,52,95,102
POL93,726,360,434,1195,549,283,430,289,369,974,625,243,340,1510,620,370
POL93,710,341,425,1145,524,273,435,298,373,937,643,236,353,1479,608,373
CAWG_01341,215,460,393,430,684,523,207,652,461,286,238,684,566,615,806,738
CAWG_01341,215,460,393,430,684,523,207,652,461,286,238,684,566,615,806,738
CAWG_01340,249,243,269,191,312,321,257,322,349,213,373,324,415,275,424,414
CAWG_01340,249,243,269,191,312,321,257,322,349,213,373,324,415,275,424,414
orf19.6075,389,461,384,380,498,466,395,474,480,385,590,453,532,543,631,606
orf19.6075,389,461,384,380,498,466,395,474,480,385,590,453,532,543,631,606
HBR1,203,414,223,376,385,231,286,297,226,356,318,432,302,431,330,294
HBR1,203,414,223,376,385,231,286,297,226,356,318,432,302,431,330,294
HMX1,1055,3865,930,3084,4160,1018,1212,2544,1094,2011,1496,3053,1144,3574,3035,1063
HMX1,1055,3865,930,3084,4160,1018,1212,2544,1094,2011,1496,3053,1144,3574,3035,1063
CDC13,148,220,265,223,257,258,151,215,287,135,221,213,353,227,226,325
CDC13,148,220,265,223,257,258,151,215,287,135,221,213,353,227,226,325
orf19.6072.1,142,130,106,119,163,136,135,117,129,190,154,168,152,198,237,169
orf19.6072.1,142,130,106,119,163,136,135,117,129,190,154,168,152,198,237,169
orf19.6071,1356,1160,944,1271,1237,1115,1295,1146,1149,1467,1576,1294,1287,1643,1565,1582
orf19.6071,1356,1160,944,1271,1237,1115,1295,1146,1149,1467,1576,1294,1287,1643,1565,1582
ENA2,3374,10583,3339,3771,19187,7309,1300,8061,3743,4158,1951,8881,3880,4024,18842,9328
ENA2,3374,10583,3339,3771,19187,7309,1300,8061,3743,4158,1951,8881,3880,4024,18842,9328
SVF1,1663,1889,1405,1285,2004,1562,1569,2107,1836,1752,1899,2107,2076,1651,2452,2174
SVF1,1663,1889,1405,1285,2004,1562,1569,2107,1836,1752,1899,2107,2076,1651,2452,2174
orf19.6066,254,528,621,282,577,745,212,746,881,226,343,688,949,277,870,1041
orf19.6066,254,528,621,282,577,745,212,746,881,226,343,688,949,277,870,1041
orf19.6065,1599,622,449,959,713,807,1735,666,513,1508,2381,607,681,1603,1280,1285
orf19.6065,1599,622,449,959,713,807,1735,666,513,1508,2381,607,681,1603,1280,1285
orf19.6064,452,410,353,463,520,442,432,394,360,472,677,379,428,650,599,591
orf19.6064,452,410,353,463,520,442,432,394,360,472,677,379,428,650,599,591
UBP6,1634,2064,2221,1528,2550,2433,1542,2281,2828,1725,2044,2199,3182,1800,3351,3136
UBP6,1634,2064,2221,1528,2550,2433,1542,2281,2828,1725,2044,2199,3182,1800,3351,3136
