,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.100,6.59983,2.21861,6.27537,4.27498,10.9881,8.60807,63.2202,56.3891,31.497,29.8938,29.7595,2.17522,4.04759,4.07018,3.94588,3.08009,3.04635,24.1842,35.0998,31.3136,45.8028,33.6695
orf19.1007,5.20118,5.33897,7.17124,5.37315,11.2661,8.47549,31.1552,20.7407,16.5126,22.2772,23.6876,3.77408,7.44642,7.24169,5.8548,6.23279,3.49692,18.8601,28.6737,33.1401,27.6624,26.5615
orf19.101,2.99158,4.22487,4.05545,3.61912,6.70922,5.44517,23.7462,36.5146,11.6447,8.8146,13.0006,1.56052,3.22212,4.03104,3.08791,4.14063,2.09401,9.47151,12.2215,9.21384,10.5757,9.20512
orf19.1010,6.31607,3.87161,4.8648,3.64184,5.48574,6.12891,19.0601,13.8861,10.6692,14.425,14.6204,3.33347,3.46783,4.36384,2.74732,3.16755,1.9263,17.37,18.211,30.1645,14.7141,18.1376
orf19.1011,20.7227,20.4569,24.4545,19.3198,36.7416,30.2853,35.8564,34.3885,26.2045,36.1134,31.6259,10.5914,23.889,21.0038,15.952,15.7829,9.37111,28.5203,31.0607,27.1766,27.2916,31.1265
orf19.1012,45.6163,48.7256,57.3087,35.3506,74.8835,60.449,161.074,136.929,162.924,174.785,129.238,33.46,57.5338,49.514,33.2993,32.3537,25.6786,120.318,131.327,97.4182,90.4264,115.277
orf19.102,4.40258,3.1332,6.60803,6.45897,12.2358,10.5905,9.26806,10.5917,12.1838,9.62805,11.9822,2.08032,5.64119,5.23501,8.58293,7.91547,4.79494,13.7856,10.5327,15.3959,10.4887,12.7867
orf19.1026,4.02837,4.116,7.69295,4.70448,12.481,11.6864,22.5362,14.0752,12.4406,19.4614,28.6386,6.10821,7.22638,7.7585,7.84994,10.4966,3.91997,21.9197,21.5399,55.7409,24.6394,31.9556
orf19.1026.1,1,1,1.9875,1,3.97883,11.6107,1,2.03368,1,1,13.8612,1,1,1,3.89725,2.13591,2.73594,4.83897,6.65522,34.8883,10.0452,4.64249
orf19.1027,26.3515,28.2578,32.8438,12.9959,14.1976,12.2562,63.5196,51.9712,48.8306,41.2776,57.0069,23.6242,36.7806,26.7504,19.5403,18.3796,14.4934,73.3089,62.2426,75.6847,75.619,80.4122
orf19.1028,1,1,1.3809,1,1.45258,2.48793,6.57198,7.84949,6.49874,9.89519,9.36421,1,1.77847,1.15613,1,2.27975,1,9.43441,6.51653,11.0365,7.53344,8.05813
orf19.1029,1.05477,1,2.4566,2.01624,5.25324,5.5116,13.119,11.1701,8.15044,11.4701,16.2159,1,1.82118,1.89796,1.77363,2.47113,1.25774,18.3206,21.1971,52.1286,16.5784,19.4795
orf19.1030,220.757,171.142,412.796,250.917,360.578,263.583,209.462,100.274,206.946,285.5,312.155,215.525,462.416,422.037,298.928,304.84,262.434,173.337,254.032,464.897,207.243,278.87
orf19.1031,59.1107,53.295,82.9699,72.4722,75.7375,73.8115,46.3568,48.1099,52.7066,55.1047,50.7146,56.3895,74.9963,75.0629,60.3635,54.0445,47.4956,48.6915,40.6846,42.3573,37.1575,52.1746
orf19.1032,7.83736,6.18985,15.0816,4.75986,5.37304,8.79817,17.847,13.7243,15.5019,14.0851,17.3447,10.7799,15.3306,17.0375,9.02775,9.67967,5.22178,16.4227,17.2674,13.766,11.382,17.1557
orf19.1033,17.2144,11.9577,27.9457,8.92423,17.2835,17.2988,51.2464,42.9243,38.1947,44.9887,52.9903,12.379,24.2545,29.0797,10.2223,11.6567,5.9562,48.1478,49.0612,52.701,39.41,50.5769
orf19.1034,42.8872,43.705,38.9497,25.9981,55.1485,63.8097,101.292,78.3983,78.8589,61.6452,101.799,30.3522,41.8537,31.659,21.9694,32.9985,18.6864,71.4175,85.3404,63.8472,94.6571,89.0919
orf19.1035,2.167,1.70422,4.27332,2.87051,4.34777,3.13647,18.9995,12.2958,9.81157,8.52424,11.4038,1.5241,3.69703,3.3771,4.54799,4.39107,2.307,10.2908,11.5288,14.3933,15.8427,16.4924
orf19.1036,17.3556,23.4446,27.8831,23.8902,34.8102,28.2373,57.751,75.3454,56.1533,65.0152,59.1801,15.9751,29.596,29.7441,22.0958,18.5896,14.8377,51.0617,51.2001,37.6955,37.0977,48.0223
orf19.1037,7.92842,11.7172,13.9975,8.06154,17.3914,15.7801,86.9319,138.232,84.8185,93.7674,95.668,5.84106,15.5445,13.5621,7.57266,6.70872,5.26594,87.3695,78.026,56.7177,60.9099,72.4786
orf19.1039,3.4941,1.65752,6.13098,1.6225,7.01633,6.81834,17.2989,20.4825,6.9268,22.7006,27.6174,1.68336,3.97219,2.80139,2.1855,2.80813,1.84817,15.8253,16.5399,17.1607,13.7254,19.4716
orf19.1040,6.75819,6.98734,7.85853,3.77999,7.61947,15.056,27.0294,23.418,22.299,32.0239,31.6597,4.60125,5.10837,6.7673,6.22619,4.2856,3.82038,21.7942,27.7367,25.1668,25.2004,23.1574
orf19.1041,5.97268,3.30694,5.96025,4.03323,8.13542,7.44355,18.133,14.1733,8.06397,12.4775,18.1531,2.4567,5.40624,6.70985,5.99134,4.64978,4.18239,14.7495,18.5001,16.1075,15.0195,14.7097
orf19.1042,1528.38,1540.66,1624.15,1893.68,2475.86,2229.58,2502.58,2843.29,2514.52,2180.06,2119.27,1715.54,1712.23,1623.92,2069.89,1989.95,2490.78,2240.27,2224.82,1853.77,2461.24,2461.92
orf19.1043,6.47129,4.56815,9.55227,1.82678,5.3763,4.82774,19.0081,30.4105,9.45016,11.4207,14.6629,4.60261,5.62244,5.75408,1.37761,1.87217,1.22851,13.9806,12.8989,14.9837,11.5171,16.5742
orf19.1045,7.68619,9.15585,13.6327,7.80482,14.398,14.8008,60.0642,42.8986,39.2684,67.3365,94.7771,6.70394,17.7588,16.8185,9.39306,9.17942,9.48354,51.6423,68.58,126.054,76.9418,60.8034
orf19.1047,43.9128,25.9321,73.9398,39.0316,66.7054,56.9523,33.6508,21.8021,33.222,27.241,45.1963,26.0015,61.4156,76.8456,76.9759,72.7073,49.2858,35.4485,44.1279,98.8594,43.8494,58.4559
orf19.1048,7.39924,13.137,6.92967,3.4314,4.72169,4.94147,14.9607,31.3703,37.2899,42.0682,73.804,5.93274,9.39468,6.04211,4.78827,6.17593,4.93451,62.0469,67.3812,166.082,97.2818,119.42
orf19.1049,5.8403,3.01735,5.97641,2.8794,13.3924,7.85289,23.7589,24.1633,13.2586,25.2341,26.66,4.45479,5.45936,5.36215,3.15366,4.50877,2.55681,15.1508,18.2396,11.6245,12.8705,12.5708
orf19.105,35.233,34.4541,50.4185,20.3034,29.8871,24.6658,17.4605,15.9935,17.9529,17.8491,16.0485,26.7637,54.9542,43.2138,25.8526,30.0003,21.1885,16.3069,16.7016,14.7156,10.853,18.5983
orf19.1050,6.12318,2.74276,4.95434,3.39098,6.30675,5.49358,19.5881,21.0483,14.5295,22.1907,23.9461,1.4226,4.88092,3.60646,2.8303,3.78694,2.19833,18.1361,20.8806,16.1927,19.5949,27.9585
orf19.1051,1052.09,777.686,1057.95,606.187,1067.78,1110.97,1959.56,2388.8,2586.68,3013.87,2131.05,977.764,1138.51,1144.65,829.29,926.241,626.334,1678.47,1998.95,1005.16,1407.09,1882.06
orf19.1052,1413.02,1177.92,1361.68,1543.26,1741.34,1201.16,1805.14,2249.97,2390.15,2764.98,1908.62,1339.3,1530.66,1439.1,1122.66,1237.64,1188.7,1652.58,1842.84,904.377,1278.82,1479.01
orf19.1053,4.571,5.50618,9.61859,8.27149,14.8456,14.3992,34.9303,29.953,26.6942,39.3307,30.017,4.37928,7.57869,7.40029,7.50922,8.75715,4.11277,30.1618,29.0587,30.7233,22.8113,26.1058
orf19.1054,32.9505,35.1138,47.9647,43.9654,59.5489,57.7388,111.71,143.399,94.8874,114.376,97.2707,24.4084,46.6211,41.9092,32.8085,29.1712,40.5082,101.272,79.7106,58.6831,71.5408,84.7284
orf19.1055,71.1516,80.3448,113.752,95.43,135.655,139.103,500.097,633.922,330.792,561.305,487.5,58.6307,120.271,112.534,84.805,86.2604,51.3664,317.135,358.643,236.976,245.962,291.447
orf19.1057,30.8621,29.3089,39.2444,55.2739,66.209,50.5811,130.265,147.466,103.957,154.324,160.071,28.8026,38.0999,33.1732,41.4972,48.6595,41.4379,109.591,124.99,102.38,104.421,135.701
orf19.1058,39.5139,45.6518,56.7378,55.5665,71.412,58.9581,107.248,108.221,94.6655,123.751,144.975,44.7642,54.6308,52.9976,58.5011,47.97,36.6474,103.215,106.514,125.762,112.419,101.3
orf19.1059,1010.16,731.387,1038.03,369.395,650.965,595.862,1738.91,1456.16,2370.73,2826.5,1649.79,353.105,877.62,908.061,483.221,555.258,504.55,1153.79,1510.58,1079.76,1621.52,1807.12
orf19.1061,1821.29,1675.32,1922.81,1247.97,1816.94,1408.01,2108.32,2291.95,3160.08,2949.89,2088.33,1984.58,2184.53,1839.67,1196.27,1326.22,1278.79,1877.62,1786.14,1034.35,1480.98,1790.71
orf19.1063,3.19161,1.48461,4.57421,3.19403,7.3506,5.76145,20.6364,19.0954,18.5886,30.8438,19.1005,2.46314,2.50228,2.57348,1.55086,3.40017,1.47189,15.3464,16.8485,17.8972,13.9474,18.1
orf19.1064,540.793,590.489,949.779,584.814,844.895,676.28,175.289,157.65,194.775,182.687,257.394,458.023,979.817,957.37,619.584,655.282,433.142,159.74,125.373,121.946,112.889,190.096
orf19.1065,5414.77,4856.06,6600.41,2958,2506.1,2212.12,195.093,248.052,355.658,501.231,718.586,5315.29,5947.15,6826.71,4313.55,4680.89,2612.37,832.799,234.583,126.79,209.083,270.08
orf19.1066,2.6684,2.79039,2.2976,2.36618,2.76114,2.56049,48.9536,27.0034,18.3844,35.2943,57.8914,2.07586,4.11069,2.26255,1.37533,2.05965,1.4198,17.2469,27.1896,31.5721,17.5852,14.7509
orf19.1067,113.703,150.853,145.032,74.7251,143.092,108.083,246.227,218.156,135.125,154.423,251.361,60.4394,159.576,131.501,54.7816,65.4894,44.4401,205.319,229.75,236.924,196.368,165.125
orf19.1069,15.185,14.9201,21.2344,12.3322,20.7718,22.1445,117.142,65.1309,62.4862,59.1614,112.744,10.2465,25.5909,25.2884,18.4785,21.4448,10.5641,101.491,102.123,165.569,127.321,123.591
orf19.107,1.06244,1.01838,2.48341,3.21973,7.45717,7.30746,8.92054,5.78473,6.85074,8.82259,10.3404,1.0666,2.14861,2.45849,7.93007,9.40464,4.33459,11.4085,14.1358,32.6356,16.2159,15.6716
orf19.1070,3.58922,2.33162,5.23695,3.58993,6.12843,6.83232,17.4423,12.3557,21.2272,17.4385,18.3037,2.29823,3.72745,4.45874,1.30718,3.40772,1.72449,18.4976,17.4637,24.6239,15.8965,26.7231
orf19.1077,7.52897,4.92823,12.8335,5.28856,9.1464,7.19274,34.273,36.1106,30.5861,28.514,23.833,6.09471,12.6285,11.0957,5.69319,3.84675,2.9085,30.0192,30.5825,27.1256,29.2675,24.0888
orf19.1078,14.0747,11.5279,24.5929,11.5481,26.445,26.2229,154.668,112.64,109.291,103.008,97.3919,11.7573,27.4779,25.1998,11.1434,18.465,8.27241,106.066,84.1074,88.7963,115.12,138.061
orf19.1082,4.5475,3.33525,4.18705,9.27356,8.47005,12.8194,16.3003,11.4484,20.3002,9.63011,15.6054,2.87255,4.32586,4.65452,11.4138,11.1595,5.50057,13.0862,22.82,39.3441,20.4334,3.03022
orf19.1082.1,334.218,1,19.8868,29.0252,286.277,339.414,1,1,64.1638,1,1,1,1,1,5.93676,3.17737,368.492,7.51773,1,1,1,1
orf19.1083,5.39425,4.30802,9.59488,7.42518,17.5189,17.4261,15.377,9.98362,18.6296,16.7247,23.8871,5.08142,11.5707,8.77149,5.52437,10.1248,4.65594,13.012,21.6962,39.1554,21.4947,24.1006
orf19.1084,19.9425,16.6453,30.3278,15.0484,23.5148,22.279,37.9846,30.3836,26.9141,16.0849,25.9138,16.8684,23.8144,28.8726,23.5377,20.1605,14.2998,30.134,25.958,21.097,25.9331,27.9081
orf19.1085,30.8051,38.5519,48.8204,40.7829,74.1919,66.4893,151.885,155.564,128.897,191.603,153.641,24.0338,59.4769,45.0546,29.2904,41.8305,20.3758,152.416,145.751,143.143,125.08,131.141
orf19.1086,65.2191,62.5992,76.2283,58.8344,55.8605,61.0445,59.8939,56.5857,50.5755,48.0988,52.2281,47.4349,69.8881,78.6826,69.8659,63.9541,55.0812,61.9594,67.7727,60.623,47.1453,53.3052
orf19.1087,4.58915,5.30565,5.2489,4.19746,7.49271,6.58633,16.1044,12.2718,9.93875,11.2278,17.6246,2.93921,4.8072,6.22606,4.67488,4.12171,2.85822,19.8656,20.8623,23.8698,13.9577,13.192
orf19.1089,11.34,5.23093,11.6296,3.58311,13.5279,14.1509,144.167,145.361,105.797,105.521,122.64,5.4657,8.78784,9.49265,3.65438,4.01861,2.59576,113.99,111.268,143.147,105.399,129.995
orf19.109,14.9887,13.6742,20.1038,23.4978,37.0568,29.3123,43.8508,51.6423,51.4294,48.4803,43.9275,16.7051,18.3804,18.2185,23.8414,21.6335,25.2411,55.5449,52.3577,66.4096,43.852,65.3272
orf19.1090,1,2.31483,2.43362,4.53453,3.81897,2.64447,1.09338,1,4.05453,8.48475,5.27471,1,2.66084,4.7806,2.72816,5.98816,3.80029,1.79171,7.43446,7.47106,10.0289,1.92492
orf19.1091,1,1.00627,2.6152,1.52925,4.59375,6.09469,13.4701,10.983,7.56908,10.1631,13.6812,1,1.47371,1.59787,5.26469,5.88156,2.23181,14.5703,18.443,45.9129,17.7465,11.9317
orf19.1092,3.01591,2.54199,4.58412,3.64498,7.09258,7.51237,18.6042,24.6453,19.987,25.3848,20.9462,2.88885,4.30364,5.28573,1.76163,2.77368,1.79447,19.9469,16.3077,19.6657,17.7059,19.9296
orf19.1093,40.9217,27.2401,41.7817,38.1829,28.0963,32.094,26.6143,21.6436,24.7657,12.4034,24.7676,30.9799,34.4865,38.3214,56.8822,45.6348,33.9973,39.877,32.687,21.6508,21.9372,23.1798
orf19.1095,36.1403,34.6731,45.5548,38.2811,57.4746,59.6751,81.571,70.6992,81.544,96.5458,85.4197,24.955,42.7583,39.5446,42.5591,43.992,31.0521,82.9769,84.3385,118.816,86.4818,94.3382
orf19.1096,1.75149,1.3322,2.3404,1.48645,4.35465,4.49242,9.76133,8.80276,11.8366,8.07351,10.0546,1.04154,1.5228,1.76584,1.79466,2.52068,1.26045,10.8541,9.1254,11.8605,9.31999,11.4834
orf19.1097,130.004,216.047,88.2891,94.2046,55.3473,79.0298,10.4364,5.83247,5.03788,1.93206,4.3186,123.926,87.252,80.5189,212.562,149.876,183.807,12.651,8.2813,6.13719,14.2811,15.012
orf19.11,1,1,1,2.61629,1.19469,2.13277,24.0497,6.89693,16.8529,15.414,13.3208,1,1,1,1,1,1,9.91971,13.256,11.4018,23.365,19.8945
orf19.1105.2,26900.1,1,3004.34,1872.18,2367.66,9344.73,1,1,1837.22,1,1,1,1,1,1291.73,1353.67,4064.65,976.585,1,277.556,238.566,1
orf19.1107,25.7007,22.609,31.7913,22.9652,34.6311,22.6661,244.102,243.135,163.922,206.124,206.857,25.8971,42.3085,35.9878,19.0687,17.6056,12.8048,181.96,200.413,201.9,269.964,210.112
orf19.1108,28.1508,23.7822,49.4856,30.4603,67.2744,61.9954,74.3632,87.7047,71.5719,109.182,112.054,27.0695,51.7337,36.856,28.3266,41.2274,17.4931,86.2999,62.9189,152.207,91.5444,80.6874
