,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C3_03320W_B,162.935,160.649,92.1577,89.54,83.327,81.3396,125.741,122.812,129.915,127.173,95.8041,93.8195,91.3246,89.23,156.026,157.775,47.4164,46.2197,108.918,106.374,101.444,93.136,256.147,253.74,127.908,125.211,167.608,166.694
C3_03580C_A,27.2088,26.827,9.31272,9.04819,22.0819,21.5553,17.1165,16.0377,24.1767,23.6663,33.8168,33.1163,21.9299,21.4269,19.6453,19.1914,12.8577,12.5332,17.8727,17.4553,43.693,42.708,9.93261,8.6653,20.9889,20.5464,1.46301,1.41817
C2_05660W_A,42.6196,40.8817,38.0819,35.1646,39.1563,35.9357,37.6122,37.0969,34.9884,33.0337,36.8689,37.6541,23.8671,24.717,47.1853,46.4656,5.90347,5.75449,7.75542,10.5183,21.6018,19.5286,42.3106,35.1297,29.0028,26.5506,18.1858,15.1173
C7_02860C_A,15.2312,17.7257,17.8589,16.4235,19.3688,19.3839,22.7778,20.9414,17.5674,17.0414,17.2031,21.724,16.3769,14.9608,15.5878,14.1076,26.3668,29.0006,21.1236,22.4551,14.1581,14.7979,25.2601,28.0554,18.0425,11.8413,17.7762,18.3328
CR_08640C_B,30.8198,29.5551,42.6752,39.1949,41.1779,39.2244,46.5011,42.5876,31.233,29.8143,37.6054,35.114,42.2423,39.0045,33.0159,30.6737,39.1843,37.2826,43.6046,40.4371,34.3824,32.7192,19.7157,18.3107,31.5031,28.9417,35.2437,33.1253
C4_06570C_B,1149.52,1137.11,756.164,737.305,1250.37,1225.35,850.397,836.739,3697.9,3639.16,4123.86,4068.43,709.778,698.807,1089.57,1070.96,11.8185,11.2038,12.9883,12.685,2080.93,2045.41,1565.31,1516.97,3581.24,3520.18,97.4365,94.6662
CR_02210W_B,10.1082,9.27192,17.1512,17.544,2.48158,2.36434,2.26065,2.08683,15.8649,15.6631,18.4308,17.4942,12.9654,12.7098,8.69995,10.3759,21.5025,19.7568,36.3051,34.6698,19.1389,18.5252,44.4324,45.9667,15.9558,16.5071,35.6658,36.2714
C3_05180W_A,72.1062,72.318,71.0418,67.9125,82.3961,77.2183,76.795,76.1405,101.099,103.987,109.667,117.967,88.4623,82.6814,67.8604,69.7749,53.8364,52.4777,42.5866,41.5921,82.9491,81.0791,36.184,36.3696,78.5003,75.4508,31.2764,30.3178
C7_04210C_A,132.444,129.62,82.7755,79.1072,124.457,121.066,150.144,146.646,128.504,123.807,177.404,173.132,95.6671,93.4729,130.584,127.108,71.3414,69.0109,78.6753,76.8379,109.311,106.331,183.202,173.524,158.791,155.994,92.2428,89.054
C3_03780W_A,9.63209,19.0242,29.1405,33.762,19.6016,35.6289,9.92927,16.4149,9.64467,24.2647,3.0536,11.9231,2.18473,14.0053,13.9587,26.8404,4.96915,17.9627,2.28985,11.5172,2.98663,6.92603,2.68364,9.21381,15.2327,21.5652,15.4989,21.6247
