,T0_1,T0_2,T0_3,pH4_T30_1,pH4_T30_2,pH4_T30_3,pH6_T30_1,pH6_T30_2,pH6_T30_3,pH4_T2_1,pH4_T2_2,pH4_T2_3,pH6_T2_1,pH6_T2_2,pH6_T2_3,pH4_T4_1,pH4_T4_2,pH4_T4_3,pH6_T4_1,pH6_T4_2,pH6_T4_3,pH4_T6_1,pH4_T6_2,pH4_T6_3,pH6_T6_1,pH6_T6_2,pH6_T6_3,pH4_T8_1,pH4_T8_2,pH4_T8_3,pH6_T8_1,pH6_T8_2,pH6_T8_3
CaalfMp01,36.71,55.6,103.94,7.92,27.76,46.9,9.78,8.94,38.09,6.1,22.22,2.58,82.53,12.41,20.71,8.64,14.47,3.58,10.01,14.11,36.28,8.52,20.01,9.47,10.04,19.77,20.31,25.82,18.88,11.92,8.77,75,37.19
CaalfMp02,7.28,13.72,16.65,1.99,4.51,9.65,2.22,2.13,8.88,2.66,4.58,1.38,25.69,2.1,6.66,2.16,2.32,0.66,1.89,4.09,7.95,2.99,7.8,0.94,1.14,10.11,4.84,5.23,7.6,1.71,3.17,15.98,8.42
CaalfMp03,17.11,18.78,41.49,2.76,8.48,14.28,3.48,2.87,12.07,2.32,9.48,0.64,27.37,5.01,9.32,2.55,5.61,1.28,3.36,5.39,15.88,3.43,12.48,3.51,3.03,11.95,8.2,11.47,8.52,4.93,2.13,28.12,12.04
CaalfMp04,7.43,11.56,14.82,2.71,7.42,10.45,1.98,2.22,9.1,0.96,5.78,0.75,21.19,1.95,6.49,1.24,3.18,0.06,2.46,3.08,8.35,1.94,4.72,2.67,2.17,5.37,3.96,6.85,2.84,2.73,1.96,16.5,5.97
CaalfMp05,38.8,70.02,203.13,7.59,27.48,45.53,12.85,12.21,62.79,10.71,39.74,3.97,119.79,19.63,39.58,9.49,24.56,5.28,24.73,21.58,65.21,9.76,37.76,14.95,16.87,17.95,35.7,21.68,9.14,15.88,17.3,84.12,68.21
CaalfMp06,28.25,40.36,72.53,4.73,12.03,26.39,6.93,6.56,23.03,4.1,14.87,1.85,50.75,7.79,13.9,7.33,14.32,2.43,10.83,11.52,32.1,9.59,23.97,10.29,9.16,23.01,14.01,27.1,13.74,12.12,8.48,57.01,25.04
CaalfMp07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,
CaalfMp08.1,2.15,1.99,3.08,0.81,3.99,4.83,1.17,1.63,4.26,0.58,3.53,0.37,9.73,1.63,3.66,0.99,1.44,1.01,1.42,1.88,5.31,2.14,3.75,2.07,2.31,5.86,3.26,1.87,0.71,0.94,0.98,5.05,2.53
CaalfMp08.2,5.21,5.27,7.3,1.45,5.37,7.28,2.03,1.08,5.46,1.74,5.15,0.82,19.15,2.62,5.73,2,3.99,1.34,1.69,5.31,9.71,4.16,7.1,3.03,3.69,10.94,6.89,3.65,2.53,1.83,0.99,8.07,4.79
CaalfMp08.3,3.02,1.41,3.22,1.3,2.16,2.84,1.08,0.93,2.35,1.16,3.48,0.36,12.37,1.65,3.48,0.71,2.09,0.75,1.18,1.92,6.58,2.6,4.38,1.65,1.34,7.35,5.55,1.86,1.25,0.75,1.05,9.32,4.9
CaalfMp08.4,0.4,0.95,0.73,0.06,0.26,0.54,0.19,0.3,0.99,0.26,0.52,0.28,3.25,0.35,0.36,0.52,1.43,0.55,1.53,0.63,2.26,0.62,1.17,0.95,0.51,1.8,0.79,0.9,0.64,,0.24,1.67,1.06
CaalfMp08,68.48,98.09,156.86,11.47,37.17,59.25,13.45,15.17,50.98,7.8,27.06,4.37,90.13,14.94,35.39,8.39,14.33,6.54,16.89,13.89,58.22,13.54,31.47,13.85,15.16,25.4,25.49,50.66,27.15,24.51,17.05,96.21,62.48
CaalfMp09,9.93,11.04,21.43,3.99,9.43,20.36,5.67,3.73,17.41,4.1,12.86,2.53,52.9,5.51,14.11,2.67,13.3,2.36,6.92,16.26,19.46,7.51,23.63,3.39,5.02,13.25,8.35,11.07,9.56,3.03,2.13,15.46,6.42
CaalfMp10,4.8,4.33,11.96,1.12,3.23,5.03,3.4,3.42,8.25,0.56,5.18,1.57,20.63,3.79,9.97,1.59,6.42,0.75,1.32,7.07,10.81,4.04,9.79,1.72,1.13,9.7,3.4,4.53,0.8,1.81,0.16,8.91,2.33
CaalfMp11.1,14.89,16.06,13.66,2.67,3.27,6.38,2.45,1.2,6.63,1.27,3.38,0.57,10.45,2.34,5.61,1.69,2.97,1.59,3.12,3.21,5.77,3.14,4.87,2.62,1.53,6.85,3.83,8.5,4.96,3.96,1.46,7.79,5.84
CaalfMp11,51.6,65.98,107.56,6.78,19.78,36.6,8.01,9.29,28.72,5.44,14.83,2.4,74.56,8.91,23.14,5.12,10.93,2.76,10.53,15.72,30.79,10.2,19.25,8.41,11.29,22.71,16.67,28.13,20.69,13.37,7.69,74.6,35.19
CaalfMp12,,0.68,1.14,,0.38,0.94,,0.31,0.46,0.68,,,4.51,0.4,0.32,0.93,,,,1.46,0.33,1,1.5,0.2,0.25,0.81,0.17,1.16,1.46,0.18,1,4.8,1.1
CaalfMp13,7.7,8.7,17.74,0.86,4.59,7.78,1.62,1.13,4.72,1.41,4.45,0.58,17.08,3.15,6.26,1.58,3.19,0.85,3.4,2.75,12,2.87,6.14,2.7,3.03,5.62,3.37,7.63,6.14,3.54,4.05,15.84,8.91
CaalfMp14,11.32,14.51,34.43,2.91,9.28,20.97,4.68,3.54,15.04,2.71,9.08,2.01,43.09,4.97,10.02,2.7,9.95,1.29,3.77,10.95,14.69,4.21,15.75,3.29,3.47,10.14,4.93,11.68,5.38,3.2,2.68,20.28,5.37
CaalfMp15,6.77,10.41,13.82,2.71,5.98,9.44,2.54,1.84,8.52,1.34,6.74,0.57,18.75,2.16,6.03,1.41,2.26,0.18,2.85,3.21,8.19,1.84,5.19,2.23,1.86,4.8,3.64,6.67,4.06,2.79,3.37,15.83,6.31
orf19.6115,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,
orf19.6114,135.07,114.87,158.43,36.88,23.92,51.79,54.38,26.12,120.07,31.01,39.87,41.26,87.11,45.26,47.34,42.76,28.69,31.25,63.56,42.49,47.61,48.83,38.97,44.44,55.8,32.56,69.84,39.33,30.24,49.59,65.48,44.08,55.89
orf19.6113,15.65,12.87,17.56,5.27,7.14,4.29,5.59,6.03,8.45,1.11,7.65,4.57,1.32,9.91,5.83,4.73,6.78,4.53,7.82,3.74,9.23,4.77,3.47,4.63,4.63,3.49,10,5.35,3.78,6.48,14.64,15.06,14.81
orf19.6112,275.05,165.6,279.6,69.2,55.47,109.31,87.87,59.89,60.69,282.1,226.51,205.21,227.08,365.92,216.84,427.14,442.08,324.76,656.09,521.84,455.3,441.58,402.88,416.85,565.05,253.95,712.8,188.56,106.28,181.54,182.17,143.84,183.73
orf19.6110,0.38,2.34,1.67,,,,0.1,,0.33,0.12,,,0.24,0.3,,0.27,,,0.74,,0.24,,,,0.18,1.04,0.49,0.56,1.43,0.81,0.18,1.83,0.6
orf19.6109,150.04,97.42,242.05,77.33,43.45,116.15,102.38,70.62,109.44,232.71,149.9,164.47,118.23,250.13,200.5,382.65,197.46,312.06,390.29,246.73,367.49,275.24,241.13,331.34,371.87,89.85,306.34,370.64,170.28,690.22,528.08,180.68,521.71
orf19.6105,96.25,64,126.53,74.36,42.14,97.73,82.58,60.44,102.56,309,228.36,248.18,29.63,247.9,236.62,338.03,213.81,309.17,357.79,255.69,348.49,277.35,264.66,345.43,342.5,100.04,307.61,110.8,55.23,180.15,194.6,87.56,194.26
orf19.6102,90.6,45.41,118.7,44.24,24.29,65.77,45.16,37.06,56.99,71.1,93.63,65.88,77.39,119.11,82.6,123.76,82.73,95.39,167.83,102.01,115.63,75.71,84.14,103.88,93.25,33.34,77.38,73.52,38.03,96.36,106.49,52.39,96.74
orf19.6103,7.05,3.12,7.59,3.78,1.67,3.76,3.88,1.65,3.71,11.47,12.22,10.14,0.31,14.48,11.33,16.06,8.44,15.04,17.21,9.55,17.43,7.5,6.1,11.45,10.6,2.18,8.02,7.34,2.38,12.16,15.56,5.34,17.04
orf19.6100,10.64,9.98,8.08,52.61,40.95,75.42,40.18,26.23,49.21,70.35,43.51,65.2,7.66,50.38,60.05,51.31,48.39,56.44,43.58,38.48,60.96,45.7,53.27,56.28,40.78,17.63,50.93,5.59,5.62,11.87,17.06,9.87,18.15
orf19.6099,89.81,52.98,109.25,120.59,68.59,184.58,115.3,75.51,150.44,261.07,171.1,212.61,61.21,179.69,216.48,243.25,160.18,265.3,208.24,179.86,250.54,186.12,164.75,211.77,200.15,59.05,191.31,50.3,31.55,88.19,111.77,63.12,117.87
orf19.6096,86.54,65.1,112.38,81.9,60.27,97.37,68.95,41.77,86.27,79.45,65.51,71.21,41.11,68.26,66.77,91.93,74.42,79.97,127.61,76.62,96.02,88.48,88.72,109.14,94.42,50.99,125.11,64.37,45.85,107.17,107.52,81.72,108.89
orf19.6094,42.3,25.82,46.44,26.25,15.95,36.13,29.48,15.6,39.81,47.5,42.97,36.93,43.64,48.47,43.92,62.53,45.63,61.5,53.09,50.2,49.64,49.97,43.99,46.64,56.03,23.45,49.91,50.52,20.78,54.77,54.81,35.15,53.99
orf19.6092,25.23,18.25,30.3,12.44,8.89,20.38,16.87,11.82,20.79,47.83,32.54,34.14,20.68,42.04,49.29,54.21,30.62,73.89,48.71,44.34,54.46,51.95,37.15,43.2,53.71,17.63,54.51,35.79,20.75,52.96,62.68,29.17,62.99
orf19.6091,16.32,14.72,35.65,37.47,20.22,73.9,16.59,7.38,25.25,68.63,80.11,57.59,4.04,26.05,25.52,100.62,58.19,106.97,48.69,40.2,50.72,74.99,61.42,73.36,61.17,17.14,67.21,51.74,19.66,69.31,72.34,30.61,67.22
orf19.6090,103.31,57.11,121.81,701.21,"1,380.44","1,228.97",683.55,"1,096.93",993.74,865.98,635.43,930.7,260.59,533.49,703.57,411.39,372.72,571.57,347.95,364.09,489.45,354.95,323.14,413.43,241.55,126.54,347.61,17.75,13.72,18.65,68.25,54.44,73.11
orf19.6086,7.04,3.41,8.37,9.95,2.81,29.07,3.71,3.29,15.96,19.53,16.8,16.85,19.63,19.78,17.41,77.03,41.56,64.3,79.78,48.18,51.49,53.34,45.19,55.75,71.49,22.49,52.23,1.86,1.25,2.43,5.36,2.81,6.28
orf19.6085,"1,819.47","1,132.61","2,166.24","3,962.76","6,481.76","5,217.24","5,146.42","6,434.35","5,198.63","6,399.54","5,955.42","7,019.21","1,548.63","5,768.90","6,195.75","5,157.69","5,502.29","5,218.35","4,877.49","4,593.51","5,367.84","4,670.37","4,563.61","4,867.39","4,660.91","2,541.31","5,424.51",647.28,686.37,913.01,"2,026.89","1,536.41","2,099.61"
orf19.6084,385.12,297.63,658.14,0.69,0.3,0.3,0.66,1.1,1.09,0.81,0.65,0.64,0.26,1.56,0.65,0.6,0.5,0.31,1.91,1.08,0.07,0.27,0.5,0.48,0.98,0.24,0.67,147.04,167.17,159.25,256.77,204.06,225.53
orf19.6083,28.06,31.6,43.38,13.23,20.33,8.79,25.48,24.09,28.19,8.23,18.73,14.04,11.09,18.26,20.69,8.21,6.78,6.58,8.48,4.27,9.47,3.91,4.21,6.96,3.61,7.6,5.16,21.72,23.19,21.89,13.49,17.86,13.48
orf19.6082,140.67,100.34,142.47,84.16,80.85,143.59,118.85,105.15,142.86,131.07,141.48,129.44,80.62,232.84,172.95,296.72,229.45,256.55,365.13,252.23,262.54,309.58,281.72,317.75,351.01,213.87,359.69,112.84,90.98,126.9,205.01,152.86,192.92
orf19.6081,122.9,82.55,419.96,381.36,216.31,584.5,254.91,180.2,403.17,454.93,340.39,396.71,67.29,263.01,328.59,569.24,329.85,648.96,391.44,339.3,425.9,528.81,427.2,544.86,490.58,167.7,435.17,182.67,96.12,265.37,590.29,376.93,707.28
orf19.6080,20.84,10.85,18.34,17.97,19.88,28.98,29.03,19.85,33.69,18.95,21.04,21.23,4.59,24.29,24.3,22.84,20.54,22.46,21.09,22.66,25.42,26.05,22.9,24.39,29.99,13.81,32.8,25.75,13.5,27.26,24.11,16.2,22.25
orf19.6079,37.24,36.98,107.96,3.9,2.26,12.27,28.36,20.63,31.93,2.56,4.84,3.62,3.83,15.57,28.73,20.28,4.58,13.49,58.12,73.41,102.51,51.77,25.11,27.66,70.82,39.91,134.69,50.78,6.41,56.48,91.72,72.06,166.66
orf19.6078.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orf19.6078,105.93,96.96,248.07,9.33,8.47,26.85,54.45,45.01,67.5,6.04,9.5,9.88,7.16,23.83,55.97,28.27,9.52,25.84,119.86,127.27,175.93,90.79,40.07,55.12,157.11,98.06,232.98,107.94,12.34,111.78,171.85,157.04,341.24
orf19.6077,56.45,41.55,51.96,0.84,0.62,1.32,8.68,4.63,8.34,2.59,1.83,2.26,6.8,10.83,8.03,28.03,13.17,17.35,54.04,31.33,31.73,44.98,36.15,42.74,59.34,23.27,50.05,67.19,36.88,103.35,130.97,72.65,149.72
