,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C1_00010W,15.53244,18.70655,23.73127,32.4314,21.7164,60.8899,3.67848,7.83727,7.61337,13.95692,12.82901,15.39097
C1_00020C,531.648,493.539,526.47,802.047,777.461,1040.946,473.819,435.256,553.482,655.23,531.134,455.862
C1_00030C,135.7835,117.7907,128.7915,196.8622,176.715,202.4267,93.7804,69.54,69.6185,124.3826,98.8265,64.744
C1_00040W,194.2159,198.5322,174.6567,265.8996,423.327,262.311,204.38,236.8832,207.2818,224.8409,267.3458,199.9824
C1_00050C,2.788845,5.4215,7.50344,4.344187,4.84817,4.2396,2.91848,3.53821,2.141601,2.348892,3.18418,4.81044
C1_00060W,494.862,372.921,486.742,392.158,318.26,379.869,425.064,309.622,472.622,340.23,300.298,381.749
C1_00070W,339.789,306.285,369.332,283.571,213.171,259.532,327.807,263.673,346.766,269.01,292.741,321.56
C1_00080C,73.3468,84.5021,91.7332,107.4782,121.0274,112.3435,68.9186,82.6874,94.1533,81.5107,91.1765,89.2388
C1_00090W,18.5415,15.0046,20.5589,28.3643,17.75687,26.9158,13.67505,14.06652,20.3656,11.60629,19.41457,21.6927
C1_00100C,42.1108,30.0304,42.8452,61.5932,44.183,68.352,24.9127,28.6143,41.886,39.5869,32.2743,38.177
C1_00110W,157.8764,154.8685,180.3252,211.686,170.8963,225.334,153.109,136.6358,171.7778,168.3578,178.4137,172.3389
C1_00120C,157.206,130.7686,129.3584,113.6782,88.8944,120.3117,168.3892,121.8723,148.709,171.5221,142.0489,137.196
C1_00130C,45.7913,37.7344,42.0739,76.9196,63.8574,80.6696,38.642,33.5832,40.5118,44.1154,42.8237,35.3017
C1_00140W,34.1298,35.4832,47.0426,46.37,31.6594,51.7465,32.4824,33.3214,45.3405,32.4432,34.1379,40.5172
C1_00150C,9.07491,15.05017,24.9839,47.674,94.5205,57.8946,14.47451,28.2166,33.6691,21.0019,51.4217,46.3222
C1_00160C,215.91,242.851,308.658,254.61,174.3258,208.553,224.961,203.681,245.142,256.464,199.5275,242.607
C1_00170W,38.4608,33.0146,33.4055,23.8914,15.1903,12.07829,39.6467,36.3742,55.3342,26.7002,27.3813,38.8077
C1_00180W,4832.63,4740.48,5021.85,1946.198,1576.228,1727.486,4563.71,5170.69,4741.36,3230.18,2887.4,3457.39
C1_00190C,7.32128,14.65683,10.38404,37.2053,33.9979,23.6013,7.81425,7.48758,4.62092,23.5671,23.0161,11.93639
C1_00200C,30.3675,23.91832,38.5522,67.5021,55.2692,66.9858,19.89869,18.77976,14.99118,66.1045,43.8708,42.4922
C1_00210C,378.874,311.688,375.917,255.075,149.3752,191.4533,394.243,347.171,401.126,292.908,232.064,280.137
C1_00220W,460.886,486.541,525.935,847.46,1041.459,816.263,527.336,608.808,610.809,597.872,614.484,642.429
C1_00230C,33.7904,27.7059,35.3851,37.5168,32.2456,37.8887,24.486,24.4872,32.788,28.0706,27.4532,29.2456
C1_00270W,33.2937,32.725,23.11448,14.18687,8.77928,6.82424,32.8305,27.8191,30.4982,14.58336,16.72866,25.0843
C1_00280C,340.997,275.743,376.249,433.401,406.488,522.087,375.385,352.993,299.266,356.074,389.335,441.136
C1_00290W,39.5427,43.3988,26.9505,20.72523,17.25504,14.4623,45.5622,39.9054,42.6731,33.2514,34.5253,36.8336
C1_00310W,92.0354,93.2085,96.874,93.3973,74.2132,96.6473,67.8922,53.7702,66.4329,90.0849,82.6581,79.1962
C1_00320W,68.0428,65.1082,68.1032,85.0573,91.0716,103.0074,67.8518,67.0462,70.3755,75.3003,75.6415,68.4099
C1_00330C,158.4061,160.0227,164.9103,186.0202,187.5996,181.3015,129.4349,147.9406,135.9706,167.9622,168.9773,145.6472
C1_00340W,80.757,74.1255,83.2186,138.7549,119.665,150.6087,80.1892,84.4423,91.2992,107.6649,104.5534,98.1501
C1_00350C,51.999,88.351,320.542,132.1446,203.879,254.409,38.1066,195.6252,185.5665,132.0637,315.214,236.57
C1_00360W,8.87646,11.47782,13.61987,20.4131,26.9053,23.9432,12.27716,14.85996,14.7688,15.56847,19.83633,17.71545
C1_00370W,93.418,138.2058,133.8462,174.5828,209.2736,177.195,122.251,177.158,123.5019,138.5218,177.5653,146.9444
C1_00380C,66.5154,56.3625,74.1001,68.7801,47.5873,60.0317,47.7985,42.8855,43.4882,50.6222,50.7344,46.8658
C1_00390W,574.691,407.996,456.973,617.336,238.892,319.359,126.9325,71.9767,78.4287,226.173,173.5611,109.3943
C1_00400W,45.9497,74.8251,71.5327,79.788,95.9511,126.7798,54.7583,87.6795,95.0563,50.8994,63.0814,65.6663
C1_00410C,38.8626,51.6645,52.5476,116.0856,127.7725,131.5868,36.2337,37.5957,39.9927,69.7239,69.6031,64.9028
C1_00420W,446.338,447.448,409.409,293.635,283.948,263.754,467.573,420.991,365.033,351.099,320.358,346.695
C1_00430W,38.7052,48.8574,46.2007,78.9265,71.4451,76.5718,39.8432,47.0793,46.5424,46.2634,61.3998,50.7543
C1_00440W,218.903,231.098,239.805,434.288,617.732,530.982,220.147,193.9631,199.1128,243.197,274.79,220.1
C1_00450C,184.3611,174.0644,222.998,285.334,299.992,329.373,116.9109,145.5973,148.2376,205.204,182.5908,176.6421
C1_00460W,305.241,426.032,408.811,603.827,603.852,635.884,327.421,359.585,404.871,530.182,522.546,420.449
C1_00470C,46.0618,41.1377,52.7191,107.4527,95.7277,112.6819,26.5015,30.3009,35.0756,55.5147,60.469,56.9457
C1_00480C,59.4339,48.9428,55.2792,58.4941,38.4848,57.6817,56.1983,51.6487,59.7181,55.1853,58.2094,53.4432
C1_00490C,2123.92,2594.53,2163.47,3340.43,5112.31,4371,1840.073,1869.782,1664.581,2371.16,2810.78,2284.28
C1_00500C,445.577,463.278,415.12,453.325,567.265,524.278,498.394,468.225,406.904,482.338,477.254,434.409
C1_00510W,78.3315,80.6781,76.8308,48.3258,54.0328,53.7357,80.5743,91.8923,88.0026,61.2726,56.8265,54.7253
C1_00520W,133.1031,99.9418,104.1738,121.6043,94.9344,119.2686,88.1219,88.6695,95.3737,114.8009,94.7142,107.0734
C1_00530C,23.0873,26.26,29.2706,32.4833,24.041,31.0779,22.2263,24.984,29.8642,22.0793,26.9762,29.8174
C1_00540C,9.48559,10.25946,12.76059,22.6372,30.8498,31.4436,7.12529,9.73937,12.29197,12.00757,19.05316,16.70242
C1_00550W,23.3662,19.23304,22.1499,45.2424,44.4711,56.2113,17.08341,11.26114,17.38008,20.7024,18.7384,19.00697
C1_00560W,14.96458,18.84914,17.00847,40.1281,38.0202,45.5527,13.69256,16.36119,15.29917,26.5568,27.8984,25.4847
C1_00570C,17.97699,21.0049,22.0452,34.7209,26.0531,33.4257,17.91516,21.2788,24.3293,21.2017,26.509,25.6099
C1_00580W,62.498,72.2536,66.4536,87.824,57.3359,85.0725,58.0135,50.853,58.7755,83.983,60.8515,65.624
C1_00590W,182.6313,270.426,363.916,504.095,622.256,535.795,186.5659,234.284,262.694,459.562,585.525,391.261
C1_00600W,8.43046,8.92802,8.87675,15.388,10.79279,14.79042,9.16938,9.0197,11.22038,10.19889,11.94813,12.42443
C1_00610W,103.4513,91.4859,106.1892,131.4773,94.7289,126.1901,98.8974,86.562,112.0724,105.708,104.353,108.6599
C1_00620W,86.4504,88.0045,95.3962,127.7697,121.3734,140.0166,75.6301,73.919,79.2938,89.2247,92.8672,88.877
C1_00630W,23.496,21.09756,18.96417,34.3682,22.2875,27.9449,20.5492,15.8654,19.48382,31.994,32.0705,27.2803
C1_00640C,7.59399,10.72836,12.73041,31.891,32.7284,35.09,7.40957,9.36057,11.11748,17.88468,21.0777,17.59892
C1_00650C,184.701,191.5933,184.8087,246.073,308.129,295.697,178.0092,189.1066,187.9204,208.813,195.4475,178.7921
C1_00660C,59.231,71.2565,67.0153,99.9386,135.5049,119.0815,56.5784,67.7682,57.8519,68.3702,82.5944,65.9654
C1_00670C,17.10013,18.51768,17.09684,24.5779,22.4335,27.6834,12.99332,14.03953,14.24538,15.1342,16.78503,17.53866
C1_00680W,13.73141,14.40954,12.40384,18.68581,12.82229,15.70201,9.94825,12.10023,12.46018,11.24343,14.93377,13.51911
C1_00690W,14.74797,14.14652,13.44311,17.00176,14.2422,16.26422,14.50007,15.03473,13.14469,12.22038,13.76911,13.0664
C1_00700W,172.7763,157.7131,158.7389,157.2476,263.721,157.8438,153.1158,159.4878,123.3817,184.1179,163.3429,146.2809
C1_00710C,157.9919,188.9696,187.3745,324.605,374.022,357.774,203.252,212.711,222.597,271.729,289.904,265.748
C1_00730C,87.3844,82.692,86.822,104.3729,98.2086,98.5477,80.9581,73.3709,72.2218,91.8672,90.0096,92.4361
C1_00740C,78.6504,82.5885,89.8547,90.5585,120.2407,95.1767,93.8102,110.9788,110.355,98.8135,117.5172,122.0414
C1_00750C,51.9475,61.3381,57.1001,101.3459,125.1825,105.7761,56.2616,55.6759,55.6082,53.9806,65.3336,58.1686
C1_00760W,147.156,160.4722,143.1597,187.4732,212.908,182.5157,145.175,133.4224,144.8871,151.2144,149.7221,139.8242
C1_00770C,55.9357,45.6675,49.3387,54.006,48.2411,48.9656,32.0785,36.7981,37.9378,36.6684,30.518,37.6865
C1_00780C,13.13658,13.62285,14.22947,18.48569,17.90044,18.10108,10.73334,10.60607,10.4876,19.29973,17.7424,18.52276
C1_00790W,5.11775,8.59622,8.14339,8.53888,16.81996,8.45526,7.68897,10.68643,10.30698,5.64651,10.3083,7.7449
C1_00800C,55.428,51.4602,53.483,70.9557,112.7982,121.885,49.6984,57.1955,70.8409,39.1404,33.966,47.6364
