Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
APR1,2720,4142,6205,13641,14974,12729
SEP7,1175,689,768,189,183,388
AAF1,719,677,455,263,301,293
AAH1,148,418,290,150,166,588
AAP1,75,60,103,99,139,78
AAT1,802,1548,2463,501,500,1514
AAT21,2149,3885,3472,2080,2422,2353
AAT22,39,53,49,54,29,66
ABC1,1069,2792,1834,1250,1438,1337
ABD1,779,682,579,191,181,293
ABG1,782,651,975,150,143,426
ABP1,7342,7669,4918,1269,1371,2257
ABP140,76,156,112,49,33,182
ABP2,27,36,60,19,35,51
ABZ1,682,635,690,185,182,595
ACB1,551,321,495,176,49,129
ACC1,57599,42153,48898,28512,32758,50511
ACE2,528,413,275,288,289,259
ACF2,633,692,483,199,263,312
ACH1,17227,12163,20726,25559,28030,21074
ACO1,9832,18488,7607,16322,17717,13567
ACO2,1430,2421,2641,1392,1521,2531
ACS1,1466,2162,1571,1515,1528,1951
ACS2,56028,41067,49239,43264,48873,44482
ACT1,80512,77961,82664,60837,68293,55421
ADA2,251,278,235,94,124,213
ADAEC,4538,2946,3374,1541,1812,3207
ADE1,812,1167,1125,317,312,1129
ADE12,3188,4983,4007,2544,2769,4683
ADE13,355,2492,1747,1394,1661,4663
ADE17,9002,14885,12459,11434,12502,20356
ADE2,594,1595,946,790,815,1389
ADE4,623,1335,1395,934,1022,2031
"ADE5,7",738,2320,1923,1531,1760,3694
ADE6,736,1187,1808,896,995,3505
ADE8,427,605,624,180,193,451
ADH1,525614,407587,397138,412180,429572,340871
ADH2,894,347,394,601,430,347
ADH3,15,7,26,12,11,31
ADH4,0,0,1,0,1,0
ADH5,39583,49197,64311,53679,56136,35226
ADK1,3933,3750,3194,1125,1186,1919
ADO1,1416,1826,3099,2680,2823,3975
ADP 1,1353,1499,1736,949,1107,1098
ADR1,31,127,69,16,21,37
AFG1,97,69,68,22,29,33
AFG3,1446,1662,1743,464,501,1070
AFP99,35,92,41,22,13,23
AFT2,414,404,313,85,89,180
AGA1,0,0,0,0,0,0
AGC1,184,371,244,192,218,265
AGE1,2258,1188,1346,677,629,895
AGE3,876,707,807,138,163,358
AGM1,1010,1130,1262,449,489,473
AGO1,1296,1031,1172,556,609,787
AGP2,349,1831,794,654,806,969
AGP3,178,311,271,226,273,200
AHA1,888,1076,565,134,152,317
AHP1,27462,16847,29040,15719,16696,37013
AHP2,736,1106,1660,669,617,1747
AHR1,760,572,644,875,1023,1081
AIP2,2605,3166,4013,2221,2387,3063
AKL1,2376,2070,2011,756,776,1104
AKR1,1299,1700,1861,290,283,443
ALA1,3090,3214,4306,777,770,2847
ALD5,9576,10453,5968,10932,11831,7552
ALD6,47,76,141,62,55,140
ALG1,402,349,406,93,93,243
ALG11,180,287,258,222,270,252
ALG2,268,452,482,228,230,411
ALG5,158,154,121,35,26,65
ALG6,396,492,472,219,208,220
ALG7,870,956,924,741,827,666
ALG8,308,457,394,245,288,184
ALG9,891,906,980,609,729,724
ALI1,262,341,209,190,181,248
ALK 2.00,82,248,158,145,200,155
ALK 6.00,3,4,2,5,3,1
ALK 8.00,9,5,12,8,10,8
ALO1,2020,1700,1357,712,918,1332
ALP1,1128,2452,3604,4076,4534,3005
ALR1,1109,1964,1681,986,1102,1855
ALS1,38297,52376,61875,70363,87103,83763
ALS2,2285,3144,2212,2996,3447,5613
ALS3,81455,84391,120536,494820,571713,360627
ALS4,2774,3640,2971,3758,4274,7487
ALS5,323,1099,536,1253,1493,1332
ALS6,167,621,246,557,480,329
ALS7,176,322,216,347,400,240
ALS9,416,753,500,648,764,1108
ALT1,532,973,624,387,404,362
AMN1,40,86,35,19,13,22
AMO1,187,70,130,277,347,236
AMO2,148,217,334,89,98,187
AMS1,1322,2372,5586,210,213,1022
ANB1,20365,15101,14619,6054,6082,12084
ANP1,408,581,542,430,449,409
ANT1,164,217,285,324,369,374
AOX1,408,81,189,41,44,158
AOX2,118,17,85,52,68,67
APA2,719,541,413,70,74,322
APC1,725,894,612,427,444,486
APE2,19537,14314,15868,7822,8880,14273
APE3,1019,1255,1029,976,1132,1001
APG7,387,321,436,157,173,168
APL2,1252,979,1260,307,356,450
APL4,1420,769,836,149,144,251
APL5,901,688,834,184,175,335
APM1,3042,1974,2116,567,575,1023
APM4,450,324,385,89,126,215
APN1,1391,888,928,265,248,552
APN2,100,111,94,19,8,66
APS3,546,410,578,251,256,323
APT1,760,815,1245,565,616,1197
AQY1,139,199,280,444,466,912
ARA 1.00,183,107,154,24,21,69
ARC1,1786,1836,1248,457,476,1097
ARC15,522,407,376,110,76,195
ARC18,49,39,45,10,2,7
ARC19,193,126,175,23,39,63
ARC35,252,276,353,73,51,78
ARC40,4143,4155,5074,1832,2154,2293
ARD,4486,7521,6870,4186,4065,3525
ARE2,2945,2541,4495,968,1150,3343
ARF1,698,591,629,434,376,456
ARF2,9309,6838,13420,2101,2446,5389
ARF3,1414,782,1809,1059,1199,738
ARG1,108,375,781,128,155,226
ARG11,13,87,34,28,31,42
ARG2,239,197,259,39,36,161
ARG3,10,69,74,11,13,20
ARG4,126,267,598,70,80,154
"ARG5,6",296,756,1223,562,670,1121
ARG8,27,53,86,12,14,28
ARG81,178,218,141,26,44,66
ARG83,19,50,43,19,22,24
ARH2,690,339,406,85,78,177
ARL 1.00,886,524,620,101,92,184
ARL 3.00,490,244,307,115,138,203
ARO1,5499,6155,5176,5023,6080,7084
ARO10,917,868,526,600,636,872
ARO2,4595,3593,3773,1763,2014,3772
ARO3,1868,2215,1872,1508,1541,2053
ARO4,5714,6035,7788,3538,3802,5407
ARO7,170,244,236,59,56,134
ARO8,3046,4698,4063,5038,5264,4067
ARO80,227,369,213,150,157,200
ARO9,385,333,907,762,846,748
ARP 1.00,265,146,135,35,39,74
ARP 2.00,7530,5706,6450,2995,3096,3457
ARP 3.00,4725,4184,4502,2187,2413,2418
ARP 4.00,374,250,304,73,88,181
ARP 8.00,884,499,838,135,135,289
ARP 9.00,210,241,203,44,30,91
ARR3,110,209,298,212,242,255
ARV1,25,43,27,10,18,37
ARX1,864,1495,1738,1252,1449,3211
ASC1,31820,36852,26796,81007,85070,63145
ASE1,152,96,48,24,8,48
ASF1,166,132,96,41,44,95
ASG1,303,364,320,100,101,170
ASG7,0,0,0,0,0,0
ASH1,549,899,570,841,894,499
ASH2,868,465,555,166,204,327
ASK1,308,110,105,18,24,52
ASM3,499,550,565,909,1093,2040
ASN1,10631,12214,11638,12161,13778,15792
ASR1,353,1119,1804,1523,1446,1740
ASR2,165,101,104,14,14,52
ASR3,685,851,1676,374,399,578
ATC1,235,586,425,253,298,510
ATF1,1954,1021,1349,594,650,712
ATG15,636,510,563,134,130,177
ATG9,92,112,85,25,21,46
ATM1,188,253,211,32,28,67
ATO1,17,60,21,253,264,58
ATO10,1,1,2,2,0,3
ATO2,4314,792,1957,2346,2425,3087
ATO5,7,22,14,7,11,10
ATO6,25,39,16,18,24,29
ATO7,0,0,0,0,0,0
ATO9,3,2,3,5,7,3
ATP1,24810,29149,18895,28168,30839,19949
ATP14,1723,1629,2111,663,746,1391
ATP16,11143,11147,8238,8244,8182,7617
ATP17,6828,5714,7291,4302,3962,6100
ATP18,782,497,570,322,275,761
ATP19,181,83,59,28,32,57
ATP2,29510,34841,23496,41358,44310,26912
ATP20,253,255,321,179,153,241
ATP3,3919,3712,4624,2420,2914,4929
ATP4,3706,3121,3314,1798,1875,2916
ATP5,4003,3666,3154,2389,2433,2923
ATP6,5,5,3,5,4,4
ATP7,97,68,96,15,8,24
ATP8,0,0,0,0,0,0
ATP9,15,8,0,9,13,14
ATS 1.00,364,352,319,161,146,216
ATX1,30,20,22,28,23,29
AUR1,2565,3963,2338,5760,6619,4404
AUT7,509,631,723,482,529,398
AVT1,342,525,319,545,647,421
AVT4,470,386,477,178,190,171
AVT7,742,861,1145,867,977,726
AXL1,109,92,73,27,16,23
AXL2,554,574,495,1003,985,904
AYR1,1123,954,1155,783,829,950
AYR2,1370,1113,2277,1480,1701,1995
BAS1,422,745,370,247,260,434
BAT21,2125,1975,1986,846,875,1134
BAT22,2285,2363,2356,1842,2064,2282
BBC1,2040,2237,2019,800,866,940
BCK1,618,637,411,301,316,409
BCR1,1517,1523,1341,1714,1732,1599
BCY1,5175,5439,4652,1283,1322,2076
BDF1,3042,2556,2721,588,569,1332
BEM1,409,456,309,157,127,240
BEM2,1689,1571,1632,811,797,1296
BEM3,721,495,652,98,132,249
BET2,768,481,803,400,406,463
BET4,19,31,35,12,3,8
BFR1,7536,5655,7723,866,936,2577
BGL 2.00,12016,12691,10348,8404,8828,8037
BGL 22.00,427,508,440,374,411,402
BIG1,312,193,464,68,69,177
BIO2,2198,716,830,763,819,929
BIO32,38,43,102,21,19,24
BLM3,1765,1524,1769,672,805,1368
BLP1,94,191,148,105,64,68
BMH1,26468,24981,21986,22314,25390,21147
BMS1,398,677,772,93,135,661
BMT1,38,75,57,30,26,63
BMT3,949,842,1505,187,213,333
BMT4,825,1073,909,100,115,353
BMT5,1570,1706,1684,569,673,711
BMT6,1831,2906,1484,539,524,1031
BMT7,22,40,84,6,7,27
BMT8,477,377,403,249,248,291
BMT9,5,11,18,4,4,16
BNA4,2506,2777,2488,2020,2123,2387
BNI1,1444,1116,1397,191,183,447
BNI4,640,670,768,139,145,401
BNR1,411,502,416,74,80,159
BOI2,2066,1394,1253,335,340,913
BPH1,178,287,252,92,124,163
BRE 1.00,1099,1359,1280,318,316,700
BRF1,956,677,603,155,148,411
BRG1,9516,7748,7240,4854,5275,6206
BRN 1.00,428,268,194,60,62,186
BRO1,318,294,269,74,68,111
BTA1,8,7,9,4,6,6
BTS1,374,261,496,99,128,203
BUB1,1038,575,550,133,177,313
BUB2,144,112,98,71,72,80
BUB3,605,411,472,164,183,356
BUD14,1028,582,735,123,139,329
BUD16,27,26,26,3,10,12
BUD2,829,493,725,189,196,318
BUD20,0,0,1,1,3,0
BUD21,195,338,235,66,87,209
BUD22,139,375,184,53,80,140
BUD23,124,286,170,77,81,192
BUD31,114,101,76,16,21,66
BUD5,203,309,203,40,50,127
BUD6,701,548,414,105,104,235
BUD7,1535,1281,1991,360,392,510
BUL1,169,204,167,121,140,157
