Gene,CanAlb_plus_plus_1,CanAlb_plus_plus_2
C1_00040W_A-T,29,16
C1_00060W_A-T,2144,1898
C1_00070W_A-T,2004,1633
C1_00080C_A-T,258,219
C1_00090W_A-T,9,14
C1_00100C_A-T,136,131
C1_00110W_A-T,1777,1460
C1_00120C_A-T,213,211
C1_00130C_A-T,193,167
C1_00140W_A-T,537,483
C1_00150C_A-T,129,118
C1_00160C_A-T,6878,5402
C1_00170W_A-T,587,484
C1_00180W_A-T,20017,16323
C1_00200C_A-T,18,10
C1_00210C_A-T,706,638
C1_00220W_A-T,2851,2450
C1_00230C_A-T,95,96
C1_00270W_A-T,10,11
C1_00290W_A-T,3,5
C1_00310W_A-T,113,87
C1_00320W_A-T,122,101
C1_00330C_A-T,415,327
C1_00340W_A-T,592,497
C1_00350C_A-T,322,318
C1_00360W_A-T,56,69
C1_00370W_A-T,73,79
C1_00380C_A-T,242,224
C1_00390W_A-T,83,94
C1_00400W_A-T,1179,1005
C1_00410C_A-T,308,236
C1_00420W_A-T,238,217
C1_00430W_A-T,113,97
C1_00440W_A-T,921,672
C1_00450C_A-T,853,735
C1_00460W_A-T,880,916
C1_00470C_A-T,164,154
C1_00480C_A-T,784,696
C1_00490C_A-T,1055,774
C1_00500C_A-T,1257,1043
C1_00510W_A-T,178,132
C1_00520W_A-T,220,158
C1_00530C_A-T,159,129
C1_00540C_A-T,207,195
C1_00550W_A-T,56,50
C1_00560W_A-T,525,401
C1_00570C_A-T,56,45
C1_00580W_A-T,30,23
C1_00590W_A-T,6091,5282
C1_00600W_A-T,75,99
C1_00610W_A-T,404,363
C1_00620W_A-T,184,164
C1_00630W_A-T,23,23
C1_00640C_A-T,1520,1310
C1_00650C_A-T,351,272
C1_00660C_A-T,312,244
C1_00670C_A-T,10,10
C1_00680W_A-T,2,1
C1_00690W_A-T,105,81
C1_00700W_A-T,994,804
C1_00710C_A-T,2886,2297
C1_00730C_A-T,382,353
C1_00740C_A-T,411,343
C1_00750C_A-T,295,307
C1_00760W_A-T,151,108
C1_00770C_A-T,654,541
C1_00780C_A-T,4,2
