,WT_1_FPKM,WT_2_FPKM,WT_3_FPKM,YCK2_1_FPKM,YCK2_2_FPKM,YCK2_3_FPKM
CAALFM_C100020CA,136.603,146.891917,137.752159,287.649708,240.746222,229.713691
CAALFM_C100030CA,33.396264,42.454634,30.79628,52.882362,35.511484,40.586182
CAALFM_C100040WA,234.934853,227.998581,212.360691,184.750956,137.030238,153.328963
CAALFM_C100060WA,239.957907,272.498744,288.27968,202.837981,204.09601,186.988603
CAALFM_C100070WA,276.470122,277.061604,294.583638,174.229642,182.963495,191.721777
CAALFM_C100080CA,78.817286,80.84886,53.512581,44.097175,42.379562,48.436861
CAALFM_C100090WA,12.9998,17.10148,14.324353,13.165497,10.778145,10.351535
CAALFM_C100100CA,72.910843,62.816053,82.764924,66.941409,64.520614,67.182582
CAALFM_C100110WA,242.986988,248.491893,297.616958,217.529357,219.881414,224.527461
CAALFM_C100120CA,134.115289,142.943631,144.228567,94.950731,108.786213,7.962064
CAALFM_C100130CA,40.451161,42.86246,44.892157,41.046089,40.817352,39.41023
CAALFM_C100140WA,56.293846,51.811386,59.928037,59.953134,58.326653,59.030316
CAALFM_C100150CA,14.29876,11.11075,21.425323,21.339867,20.751739,19.980514
CAALFM_C100160CA,1104.152749,1016.847759,1281.328403,825.268418,910.958433,1035.117764
CAALFM_C100170WA,16.970552,16.295116,17.760665,200.090938,212.420937,200.111978
CAALFM_C100180WA,6439.45234,6238.426026,6480.147997,4818.183646,5057.934282,5518.600181
CAALFM_C100190CA,0.545622,0.465938,0.388091,4.009932,5.369734,2.754682
CAALFM_C100200CA,12.317363,13.92632,15.015576,22.951344,38.048129,41.506204
CAALFM_C100210CA,182.420498,222.171987,185.609675,236.20104,238.042353,253.098734
CAALFM_C100220WA,179.318521,225.145994,236.799826,283.199153,334.282973,307.879123
CAALFM_C100230CA,16.083406,19.483802,21.932697,26.096071,25.903203,28.146877
CAALFM_C100240CA,0.559071,0.182282,0.571554,0.070957,0.024327,0
CAALFM_C100270WA,1.311106,5.542031,0.388722,9.577815,11.086447,5.347429
CAALFM_C100280CA,0.983586,1.481328,1.742776,1.78961,1.059546,0.963111
CAALFM_C100290WA,10.29932,25.78965,4.915688,44.087435,33.091021,27.524188
CAALFM_C100310WA,12.837162,12.560538,12.35508,29.253528,28.502762,27.705715
CAALFM_C100320WA,39.198809,43.347181,40.606454,37.309647,34.792284,37.166962
CAALFM_C100330CA,118.788542,112.225093,117.711731,116.807432,111.917577,123.070086
CAALFM_C100340WA,226.644474,183.12252,264.099813,175.727305,180.140686,205.649188
CAALFM_C100350CA,115.432112,69.17017,163.167951,100.117599,91.168235,144.779615
CAALFM_C100360WA,14.061016,12.771602,20.671625,17.623765,19.212347,21.242326
CAALFM_C100370WA,52.345938,41.798931,50.567127,36.335695,30.364945,32.923538
CAALFM_C100380CA,41.795079,37.632049,43.156606,41.557633,37.605684,41.126592
CAALFM_C100390WA,37.816029,34.557144,25.629168,68.649859,47.512444,66.311559
CAALFM_C100400WA,135.962392,126.303726,158.358738,119.314713,120.538058,132.451975
CAALFM_C100410CA,24.659089,18.496986,35.430244,35.034524,42.786909,35.973893
CAALFM_C100420WA,65.05832,97.068621,44.030533,69.455069,60.404803,59.983913
CAALFM_C100430WA,26.898337,26.79363,26.208606,30.648549,26.283906,28.137562
CAALFM_C100440WA,282.573958,285.965197,252.528524,226.356787,202.544763,218.863418
CAALFM_C100450CA,297.523339,261.904928,316.897351,290.090308,318.437042,328.654532
CAALFM_C100460WA,353.229488,358.542982,351.684476,342.102633,363.944239,368.025879
CAALFM_C100470CA,41.754417,43.160594,40.927056,30.279489,34.946492,33.556403
CAALFM_C100480CA,117.63474,106.980849,125.12449,94.921969,102.523679,101.216791
CAALFM_C100490CA,521.621448,479.370268,535.576579,463.767073,471.083577,479.514223
CAALFM_C100500CA,221.843509,211.014224,218.40633,134.845691,140.862363,142.335256
CAALFM_C100510WA,87.739242,90.108402,83.215617,65.574606,63.317764,76.237395
CAALFM_C100520WA,68.341845,68.021236,56.264591,51.560235,47.831748,56.689956
CAALFM_C100530CA,16.636672,18.586223,12.23365,20.395297,16.302068,13.038366
CAALFM_C100540CA,37.258599,24.454404,49.602725,37.571805,35.021972,39.839528
CAALFM_C100550WA,8.372945,8.94154,11.017516,11.410699,12.163415,11.918351
CAALFM_C100560WA,82.672081,53.527793,105.263741,66.403148,66.524644,81.567324
CAALFM_C100570CA,12.86408,11.058112,17.362286,15.120286,14.31838,14.855362
CAALFM_C100580WA,8.557388,16.404267,8.891903,17.98157,14.21313,15.387665
CAALFM_C100590WA,816.838481,821.505904,931.228197,763.045678,899.256395,817.388455
CAALFM_C100600WA,12.498723,12.101782,14.796566,13.297524,13.511678,12.1319
CAALFM_C100610WA,89.677569,106.436824,83.444901,85.492026,80.018847,77.977025
CAALFM_C100620WA,37.998506,41.481758,45.765285,55.709116,57.73597,52.821156
CAALFM_C100630WA,3.270115,3.649904,2.907979,7.602068,6.968285,6.894704
CAALFM_C100640CA,66.067415,52.441235,93.046747,65.610358,73.675571,72.153286
CAALFM_C100650CA,118.568438,115.264064,117.860474,117.826709,115.609223,111.646984
CAALFM_C100660CA,56.1883,53.577263,62.568943,62.265339,68.982581,64.075205
CAALFM_C100670CA,11.216688,11.354941,11.861088,12.036183,11.547888,12.07039
CAALFM_C100680WA,9.890936,8.917242,9.967987,9.670976,9.642098,9.75517
CAALFM_C100690WA,10.044344,9.579854,9.425841,12.392696,10.558785,10.353642
CAALFM_C100700WA,176.237788,152.375539,178.531265,209.771079,236.831351,233.099497
CAALFM_C100710CA,286.050062,328.302151,357.007582,316.766685,342.869265,320.878294
CAALFM_C100720WA,0,0,0,0,0,0
CAALFM_C100730CA,53.723902,55.853004,55.128383,55.258772,56.485964,53.273
CAALFM_C100740CA,277.060573,240.199558,296.708343,224.549807,197.182202,216.026015
CAALFM_C100750CA,32.922776,36.924905,30.484502,44.257346,41.718403,33.604796
CAALFM_C100760WA,72.009612,65.957344,68.583691,75.510508,85.057722,89.483841
CAALFM_C100770CA,27.337667,21.271231,32.955916,36.513551,37.82646,39.054977
CAALFM_C100780CA,1.635354,9.441232,1.536922,37.07428,34.954071,27.46364
CAALFM_C100790WA,5.605781,4.252217,5.132177,4.938694,7.085755,6.480703
CAALFM_C100800CA,94.643553,76.847571,140.655109,69.499834,91.661239,99.238094
CAALFM_C100810WA,7.947048,6.133047,9.8889,13.76723,14.33881,10.323924
CAALFM_C100820WA,0.585815,0.473477,0.480715,9.602787,0.934342,0.515359
CAALFM_C100830WA,11.91553,8.893524,7.957817,27.884138,19.944527,18.99486
CAALFM_C100840CA,23.639862,15.604392,39.355514,40.113398,45.314,45.075595
CAALFM_C100850WA,3.437306,8.424963,4.529736,41.103658,45.678514,37.965068
CAALFM_C100860WA,6.51982,8.993324,9.817695,14.136276,13.206092,13.833136
CAALFM_C100870WA,27.397166,23.934511,32.313693,34.163132,35.616286,33.65337
CAALFM_C100880WA,1.223791,0.838138,1.418176,3.105381,2.706267,2.417508
CAALFM_C100890WA,18.33552,20.546754,15.695913,16.001455,15.633248,14.929044
CAALFM_C100900WA,233.586861,181.899344,271.03599,175.74999,174.726204,233.797773
CAALFM_C100910WA,9.486733,11.866767,22.663786,17.433697,25.290061,24.673349
CAALFM_C100920WA,10.784323,12.420639,11.831499,15.56574,14.763532,14.817159
CAALFM_C100930CA,65.38341,58.836731,70.103154,66.470218,63.107351,60.765898
CAALFM_C100940WA,174.884369,174.382444,204.851547,145.430605,178.888718,183.255087
CAALFM_C100950CA,96.633051,88.953406,107.290913,105.689975,118.222764,120.017799
CAALFM_C100960CA,17.097942,14.173457,23.947237,18.081275,21.298393,21.00991
CAALFM_C100970WA,9.344273,7.151779,10.821332,6.39144,17.333079,15.202121
CAALFM_C100980WA,225.90284,207.56586,251.879465,227.93355,260.136802,261.751337
CAALFM_C100990CA,82.931062,67.647901,97.305231,69.819749,72.3372,72.337316
CAALFM_C101000CA,27.166993,21.794261,30.961087,32.503153,32.093825,28.570217
CAALFM_C101010WA,316.278736,303.924866,333.021507,380.795851,412.477332,395.565967
CAALFM_C101020WA,0,0,0.909656,2.589467,0.896095,0.864162
CAALFM_C101030WA,337.656011,300.569462,385.045399,224.80004,239.061945,285.733886
CAALFM_C101040WA,90.881894,87.384213,96.688963,80.778042,79.966012,85.24381
CAALFM_C101050CA,104.179971,108.19136,127.156091,121.124054,131.600842,136.628497
CAALFM_C101060WA,1200.661144,1213.552229,1154.166986,963.057372,925.482943,1005.385596
CAALFM_C101070CA,11.918786,11.96345,19.080822,15.073862,13.317525,16.453915
CAALFM_C101080WA,9.412115,8.451343,13.153151,16.342438,14.175533,16.688217
CAALFM_C101090CA,202.100368,190.205181,210.568461,175.287359,194.401735,191.466413
CAALFM_C101100WA,10.55902,11.623568,10.07803,13.247832,11.665614,11.696693
CAALFM_C101110CA,231.461702,194.390248,251.939256,176.396914,170.74168,198.421621
CAALFM_C101130WA,36.966214,30.855031,31.70325,45.971764,41.708136,40.396326
CAALFM_C101140CA,67.612723,72.192657,20.851523,52.36154,24.419668,24.19537
CAALFM_C101150CA,48.121731,35.242556,51.801007,31.288093,32.079415,35.138971
CAALFM_C101160CA,100.869348,69.06425,114.580995,73.94249,75.122322,110.60046
CAALFM_C101170CA,24.345547,16.849269,30.981064,26.547862,27.379385,29.680272
CAALFM_C101180CA,2.23591,1.617117,2.400113,3.384196,2.674388,4.242107
CAALFM_C101190CA,33.965315,36.034608,27.821961,32.468335,35.99503,31.793839
CAALFM_C101200WA,18.142476,20.671987,19.745242,26.308394,25.810702,20.070952
CAALFM_C101210WA,74.944689,88.111958,67.358921,82.630489,76.305074,86.444564
CAALFM_C101220CA,1.310077,2.409936,0.383965,2.932938,2.973372,1.141344
CAALFM_C101240WA,10.513434,10.357465,10.213989,20.92764,23.113271,23.38914
CAALFM_C101250WA,67.123482,68.398069,67.124836,74.792984,80.010401,76.382512
CAALFM_C101260CA,25.094779,35.73628,21.875524,31.191101,27.660003,25.424293
CAALFM_C101270WA,30.030629,41.788533,20.348668,28.701705,26.066901,27.890913
CAALFM_C101280CA,20.643982,20.41231,27.661962,20.788237,26.701772,28.834472
CAALFM_C101290CA,5.460081,7.713395,6.352557,7.119646,7.951387,7.545049
CAALFM_C101300WA,162.475393,187.519563,170.619168,134.943678,142.12953,141.906182
CAALFM_C101320WA,162.116158,129.891071,173.468433,170.69702,189.205504,176.270505
CAALFM_C101330CA,147.346466,116.485514,197.309782,131.40658,136.933862,162.456358
CAALFM_C101340CA,17.152672,18.859271,16.122194,18.491335,14.400121,17.617558
CAALFM_C101350CA,1728.13265,1607.618889,1806.517342,1210.577295,1272.600311,1347.440169
CAALFM_C101360CA,58.354533,92.338428,29.999998,79.147897,63.639953,58.043099
CAALFM_C101370CA,7684.097865,7647.819797,8535.56715,5597.961141,5585.473597,6438.104779
CAALFM_C101380CA,61.767821,42.216778,79.055805,59.30559,67.642625,70.90211
CAALFM_C101390CA,19.558701,12.860027,27.821108,38.348439,36.713017,39.271191
CAALFM_C101400CA,30.781733,37.288713,40.940703,58.068958,54.16086,56.095178
CAALFM_C101420CA,37.927807,26.605126,43.838099,54.812493,45.757544,51.266962
CAALFM_C101440CA,0.32147,0.275136,0,2.127714,1.059457,1.363441
CAALFM_C101450WA,98.452345,99.37088,93.391066,135.587727,106.870004,113.738925
CAALFM_C101460WA,11.780785,12.672087,12.870594,15.896153,14.010748,12.93272
CAALFM_C101470WA,134.496124,115.921582,153.155107,112.888888,123.157294,127.413311
CAALFM_C101490WA,314.8376,288.934888,340.675681,511.217161,588.975851,566.028704
CAALFM_C101510WA,0.272027,0.355984,0.212254,2.352293,3.296445,2.893412
CAALFM_C101520CA,252.175274,247.671045,278.882325,276.067146,319.310116,309.867425
CAALFM_C101530CA,324.211606,296.095535,335.767205,266.24065,300.058456,306.208204
CAALFM_C101540WA,39.545931,47.444301,33.422631,39.978363,37.931442,32.736753
CAALFM_C101550WA,34.386859,36.112872,34.692693,43.914494,42.656772,42.509828
CAALFM_C101560WA,23.769128,20.464666,32.408404,29.514177,30.15094,26.007553
CAALFM_C101570CA,99.69157,99.221373,125.615015,88.696994,100.171663,104.128707
CAALFM_C101580WA,263.853825,256.175237,312.430584,230.348797,253.178069,274.404309
CAALFM_C101590CA,95.333011,90.632292,105.589006,79.940092,85.691994,79.512717
CAALFM_C101600WA,224.695588,192.598691,244.026387,216.82569,242.584534,248.758294
CAALFM_C101610CA,3.482212,2.947519,3.605754,3.997855,4.745914,3.271581
CAALFM_C101620CA,12.851773,11.312461,17.165502,13.992201,19.609454,13.593572
CAALFM_C101630WA,151.389409,124.098072,113.75232,82.301552,86.761006,86.198283
CAALFM_C101640WA,550.63417,570.695018,618.685921,508.304199,559.312907,563.881752
CAALFM_C101650WA,62.464818,73.787408,34.359286,75.465435,56.727353,57.874036
CAALFM_C101660CA,0,0,0,0,0,0
CAALFM_C101670CA,7.337777,7.679402,10.789463,9.424369,10.487028,9.34179
CAALFM_C101680CA,202.752666,170.738298,227.336241,169.880523,192.433261,200.609664
CAALFM_C101690CA,992.158807,989.006647,994.225915,868.747622,818.910321,1019.648379
CAALFM_C101700WA,51.883368,45.128912,37.449536,45.105514,39.128676,33.097212
CAALFM_C101710WA,30.340586,36.541295,13.041289,39.69819,26.127182,19.051533
