Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C1_00010W_A,2,2,1,1,5,7,7,4,12,3
C1_00020C_A,4206,4059,3048,4618,5493,9224,4519,3478,4554,4438
C1_00030C_A,484,550,407,522,717,921,416,360,715,559
C1_00040W_A,6861,6938,4392,11129,5509,14507,6314,4669,6042,10156
C1_00050C_A,7,5,3,4,3,4,1,5,3,1
C1_00060W_A,36268,29842,25986,36160,29181,52060,39262,28523,24222,37463
C1_00070W_A,23011,16561,17103,21139,17914,30944,25317,14515,15831,22048
C1_00080C_A,4049,3287,2991,4663,4535,6711,4313,4516,4975,5558
C1_00090W_A,506,385,447,474,899,784,572,347,627,595
C1_00100C_A,2917,1677,2229,2101,2310,3101,4026,2370,2001,1975
C1_00110W_A,26429,16863,19962,21158,20220,30880,32637,27469,17851,20820
C1_00120C_A,5948,4216,4390,5072,5403,7220,6098,4650,4281,5020
C1_00130C_A,4629,3612,3550,4178,4312,6634,5729,5353,3913,4725
C1_00140W_A,10222,7329,7646,8592,9835,14164,13589,7858,7572,9681
C1_00150C_A,2471,2060,2111,2694,1576,3353,6807,8652,1553,2994
C1_00160C_A,67648,35709,54404,41688,50773,52858,81286,36122,47872,26981
C1_00170W_A,2469,1288,1957,1797,2128,3408,3108,4386,1746,4719
C1_00180W_A,244069,175901,187774,205066,211145,293954,288341,128846,186562,186084
C1_00190C_A,10,3,6,12,64,22,9,4,54,26
C1_00200C_A,225,150,169,207,350,256,225,172,330,156
C1_00210C_A,14403,16507,10449,17613,18800,32319,14628,11069,18084,23033
C1_00220W_A,28773,24952,24185,27573,20783,27826,53157,46616,19062,26950
C1_00230C_A,2152,1851,2063,2099,2014,2770,2423,1607,1455,1775
C1_00240C_A,1,0,5,0,3,3,5,10,1,0
C1_00270W_A,82,83,65,129,3368,4949,106,103,183,397
C1_00280C_A,0,0,0,0,0,0,0,0,2,0
C1_00290W_A,299,218,198,356,13059,17489,398,594,1142,1219
C1_00310W_A,1838,2599,1486,1919,1583,5380,2365,1034,1143,3007
C1_00320W_A,2157,2038,1583,2261,2121,3526,2420,2888,1956,2265
C1_00330C_A,3619,2508,2684,2996,3236,4571,3789,3396,2857,3207
C1_00340W_A,7664,3832,6012,5617,5393,7406,9291,5356,5119,4699
C1_00350C_A,17510,7749,10762,13691,6282,6615,10528,17890,4541,4363
C1_00360W_A,1085,765,880,977,695,1226,1385,1942,592,895
C1_00370W_A,1162,598,872,809,989,1103,1066,694,848,681
C1_00380C_A,6240,4509,5088,5122,4686,5996,6735,4763,4035,4112
C1_00390W_A,3180,3080,3073,3373,6669,4532,2606,1563,4256,2672
C1_00400W_A,11378,5927,8563,7055,9190,9861,14387,8084,6937,5742
C1_00410C_A,2642,2391,2266,2017,2429,4249,4762,3385,1853,1516
C1_00420W_A,4669,7235,3760,7196,9519,13616,4029,5694,8491,10462
C1_00430W_A,2621,2151,2035,2561,2692,3548,2883,2609,2317,2535
C1_00440W_A,19664,15567,14178,16789,18619,27136,22080,35284,16215,14812
C1_00450C_A,9031,5510,6775,5834,8970,10963,10954,5471,8329,4517
C1_00460W_A,8121,5919,6251,8506,8565,9459,7829,4876,8071,5574
C1_00470C_A,2765,1941,2256,2143,2839,4340,3662,2871,2610,2353
C1_00480C_A,14977,9601,11640,12713,13012,17820,19780,10738,12363,12359
C1_00490C_A,16152,12488,10557,12652,9517,16173,10621,28879,8994,8681
C1_00500C_A,14267,14412,10556,17456,16870,21630,13064,20798,14906,14781
C1_00510W_A,4143,2888,3191,3582,4639,5073,3780,2227,4330,3339
C1_00520W_A,2336,1693,1706,2096,2601,3372,2535,1929,2552,2609
C1_00530C_A,2829,2848,2646,3253,3448,5082,2830,2934,3383,3719
C1_00540C_A,3634,2109,2917,2827,1370,2716,4085,2890,1227,1565
C1_00550W_A,1738,1893,1390,1626,1358,1774,1845,2458,954,1073
C1_00560W_A,4299,1579,3291,2512,1230,2230,6122,3109,919,1534
C1_00570C_A,1812,1917,1807,1982,1990,2795,2676,2426,1324,1854
C1_00580W_A,977,1231,944,1042,1848,1848,734,907,1014,884
C1_00590W_A,49762,34773,39595,53435,46457,48470,45773,25193,40913,25554
C1_00600W_A,3386,2736,2441,3200,2489,4831,4518,3301,2389,3270
C1_00610W_A,13477,12491,10377,13555,14871,22995,14154,11784,13893,14484
C1_00620W_A,2275,1890,1948,1970,1940,3073,2562,1886,1275,1913
C1_00630W_A,510,612,407,668,1000,1021,617,974,607,677
C1_00640C_A,20491,9938,15541,14256,7672,10206,18362,8764,5526,5314
C1_00650C_A,7629,6680,5816,7310,7497,10773,7919,8538,6186,6704
C1_00660C_A,3736,2937,2945,3364,3607,5109,4397,4527,2866,3308
C1_00670C_A,1034,1091,932,993,1046,1901,1065,951,846,968
C1_00680W_A,821,768,637,931,1227,1739,976,569,1078,1233
C1_00690W_A,1952,2085,1857,2137,2696,3255,2487,1774,2557,2268
C1_00700W_A,4586,3297,4228,3584,6894,7043,7031,4005,6946,3567
C1_00710C_A,27968,21378,20885,23809,22935,37695,35632,21026,19032,23173
C1_00720W_A,32,19,32,25,24,22,13,30,8,4
C1_00730C_A,7037,5817,5721,6392,6794,9273,8024,6109,5632,5919
C1_00740C_A,23646,16168,19522,18552,15951,23517,26213,14513,13316,13064
C1_00750C_A,4841,4965,4129,4794,7194,8456,6191,10727,5872,5726
C1_00760W_A,2600,2487,2008,3051,2806,4473,2931,3215,2714,2881
C1_00770C_A,2270,1518,2030,1501,2389,2716,2778,1121,1817,1748
C1_00780C_A,19,9,19,12,58,40,51,48,27,7
C1_00790W_A,1103,1004,959,1123,982,1539,1363,1812,645,1165
C1_00800C_A,6963,4170,5841,4576,5117,4215,7473,2575,3756,3314
C1_00810W_A,684,788,580,866,1177,1095,936,565,833,1012
C1_00820W_A,958,823,887,895,1062,1337,1083,767,973,852
C1_00830W_A,884,824,779,803,2275,2037,1340,1991,1724,919
C1_00840C_A,3661,2350,3293,2659,1997,3508,5716,2449,1187,2408
C1_00850W_A,644,564,416,629,209,855,598,915,152,326
C1_00860W_A,789,811,794,733,941,1171,852,1428,670,704
C1_00870W_A,5785,5677,4474,5511,3713,7709,6976,4197,2647,5141
C1_00880W_A,105,304,99,139,236,357,315,86,230,261
C1_00890W_A,2681,2460,2259,2442,4212,4255,2969,2277,3573,3272
C1_00900W_A,9310,3424,7498,5151,5296,6040,10755,4534,4651,3105
C1_00910W_A,1056,928,1011,821,650,1249,1342,390,337,690
C1_00920W_A,2646,2534,2202,2604,4058,4548,3203,2065,2761,2794
C1_00930C_A,17377,14902,13412,16757,15243,22460,20671,13969,12751,15288
C1_00940W_A,5183,3501,4075,4305,3832,5594,5119,3892,3285,3425
C1_00950C_A,12255,8203,9858,8643,5270,11304,16852,8715,3891,7116
C1_00960C_A,4820,4298,3792,4645,3225,6495,6495,4393,2720,3965
C1_00970W_A,767,606,699,572,748,851,562,375,597,352
C1_00980W_A,3589,2214,2828,3025,2771,2899,2478,1234,2324,1310
C1_00990C_A,12063,5226,9277,7912,5592,8106,14707,8137,4595,4116
C1_01000C_A,1413,1141,1245,1463,1133,2344,2165,1411,1136,1621
C1_01010W_A,7345,4416,6333,5622,9619,11428,11228,6129,8807,5667
C1_01020W_A,4,0,1,4,0,2,2,52,0,0
C1_01030W_A,17251,9624,14022,12541,13392,14419,19892,12083,12205,8011
C1_01040W_A,913,970,614,980,1047,1784,1055,3053,858,1136
C1_01050C_A,10058,7804,7997,7912,7009,12296,11809,10710,5917,7562
C1_01060W_A,39529,28620,28685,33720,39212,47629,39221,44664,33839,34688
C1_01070C_A,2255,1631,1932,1877,1467,2621,2297,955,1056,1453
C1_01080W_A,1224,1018,955,1253,864,1812,1467,898,849,1177
C1_01090C_A,3759,2714,2988,3334,3645,3923,3105,1855,3459,1804
C1_01100W_A,5737,5149,4368,5512,6560,7291,5572,4890,5824,5072
C1_01110C_A,16773,8562,14376,11790,9768,12836,19828,12018,9296,7325
C1_01130W_A,7630,3529,4706,4895,4726,5169,5710,10660,3377,3892
C1_01140C_A,11106,10032,7153,12491,12495,18282,5844,9938,14756,17786
C1_01150C_A,5040,2368,3689,3206,1550,3726,6689,3394,1520,2272
C1_01160C_A,3968,1566,2817,2405,1627,2553,4365,2294,1286,1520
C1_01170C_A,3913,2613,3275,3111,1695,3370,4367,2018,1360,1604
C1_01180C_A,21,45,17,31,57,32,36,46,52,20
C1_01190C_A,2459,2444,2003,2913,3250,4852,2952,3493,3298,3752
C1_01200W_A,1819,1365,1765,1643,2703,2795,2247,1996,2189,1523
C1_01210W_A,2618,2450,1999,2742,3566,4056,2808,6969,2721,2105
C1_01220C_A,70,183,69,121,414,573,127,308,262,388
C1_01240W_A,534,444,350,430,1216,1376,895,570,726,720
C1_01250W_A,8943,8754,6708,9639,8133,11307,8162,6983,7189,5462
C1_01260C_A,1025,1091,1047,1210,1415,1792,886,724,1079,1096
C1_01270W_A,2432,2549,2133,2737,3266,4584,2633,1982,2802,3700
C1_01280C_A,845,604,705,712,553,898,715,489,544,521
C1_01290C_A,1137,1347,1092,1209,2248,2371,1197,1342,1408,1311
C1_01300W_A,8789,7772,6617,8082,8012,11936,8996,12241,7061,7801
C1_01310W_A,24,9,15,11,15,9,17,32,20,8
C1_01320W_A,22377,15168,17293,17321,20739,27210,27337,20854,16079,12889
C1_01330C_A,4323,3485,3329,4404,3662,7231,6515,2920,3668,4574
C1_01340C_A,961,805,820,799,1248,1422,905,1352,776,914
C1_01350C_A,104250,67101,81929,81267,82270,116348,123586,67170,73033,74668
C1_01360C_A,6576,13117,4799,11975,12375,28464,6821,4724,12103,22927
C1_01370C_A,126777,90501,98209,111426,113543,157538,136378,58295,107156,99669
C1_01380C_A,4032,1681,3496,2285,1453,3055,6590,3746,1389,1801
C1_01390C_A,2295,1676,1978,1989,924,1741,2801,2066,619,1306
C1_01400C_A,3128,2931,2688,2988,3561,4777,3446,3489,3086,2976
C1_01420C_A,2769,2195,2201,2582,1948,3501,3607,2432,2209,2177
C1_01440C_A,43,17,57,20,28,21,19,16,20,21
C1_01450W_A,10749,4300,8018,6580,7996,9391,11501,5891,5943,4567
C1_01460W_A,2744,3027,2892,3005,3291,4393,2827,1657,2718,3046
C1_01470W_A,12064,7820,9802,9656,9243,12843,14411,13457,8006,7497
C1_01480C_A,279749,201663,214399,238981,227738,328452,323406,125991,211237,207179
C1_01490W_A,13759,13855,10297,10282,15805,27862,26695,13298,13697,15011
C1_01500W_A,0,0,0,2,0,0,0,2,1,2
C1_01510W_A,486,206,366,178,239,144,213,303,93,52
C1_01520C_A,6810,5870,5868,5782,12074,14597,13169,15998,11141,7268
C1_01530C_A,40180,24762,30919,30171,30362,39637,43241,22038,26007,25075
C1_01540W_A,4473,4110,3420,4141,5333,6625,4289,6291,4753,4345
C1_01550W_A,3730,2960,2936,3595,3859,5434,4220,4345,3149,3599
C1_01560W_A,7655,5853,5452,6722,5407,9790,10882,7036,4848,6523
C1_01570C_A,4338,3124,3534,3190,4287,4567,4503,2122,3393,3106
C1_01580W_A,8600,5256,6651,7424,6944,7294,7289,3404,5704,3401
C1_01590C_A,32722,24980,25902,28697,26813,39989,39918,33366,22960,24911
C1_01600W_A,14441,8348,11416,11429,10259,10300,11209,5728,8525,5399
C1_01610C_A,241,323,198,214,369,411,238,834,193,256
C1_01620C_A,777,348,829,347,1508,981,1841,547,551,423
C1_01630W_A,6850,5573,5560,7345,6605,10768,7655,6293,3086,6515
C1_01640W_A,16543,10342,12134,12016,15556,24874,22202,5046,12944,10363
C1_01650W_A,6685,7835,4774,8965,10449,15262,5564,5892,9688,10148
C1_01660C_A,1,0,0,2,1,2,0,4,1,0
