,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C100020CA,0,0.061400593,0.065574347,0.067157782,0.145268168,0.083600003,0.087569632,0,0.209142182,0.080349735,0.10795965,0,0,0,0,0.062016438
CAALFM_C100030CA,0.401921335,0,0,0.134315563,0,0.334400011,0,0,0,0.401748675,0.377858773,0.244838682,0.118662825,0.111200135,0.059367741,0.310082188
CTA2,23.37842433,17.25356665,18.88541195,12.7599785,13.00150104,10.28280032,12.7851662,16.33629994,11.29367782,14.94505072,16.1399676,21.85185234,11.15430552,11.56481398,16.44486418,17.42661895
TUP1,288.9144531,231.9714405,258.6907991,172.8641298,170.0363907,124.4804039,158.2383242,172.2353002,137.5109845,143.8260257,210.1434578,297.540208,253.819782,166.6334015,186.5928091,168.0645457
MVD,38.38348752,32.60371491,32.65602483,20.61743895,22.2986638,17.13800054,39.49390382,34.43297702,33.88103345,39.2106707,42.85998086,53.06878426,54.05091664,33.30444027,37.57977988,38.88430634
RCA1,39.52226463,39.78758429,40.06592605,35.12351978,29.12626769,24.82920078,34.06458666,25.27901585,22.37821345,28.68485541,29.31104484,32.25749632,29.19105487,27.85563368,26.83421881,28.40352839
CAALFM_C100090WA,2.679475568,1.780617198,2.032804759,1.343155632,1.234779428,1.170400037,1.401114104,1.54913189,1.045710909,2.089093111,0.647757897,1.285403079,1.067965422,1.390001681,1.781032222,1.922509564
CAALFM_C100100CA,6.095806918,4.850646851,6.295137317,3.626520206,2.977997445,1.922800061,3.327645998,1.689962062,2.823419454,4.258535958,3.562668434,4.101047919,3.025902029,3.336004034,3.324593481,3.472920502
CCT8,147.5721169,102.600391,102.033684,88.44679836,69.72872066,51.07960161,63.0501347,70.62633119,67.7620669,70.70776684,80.16003977,98.30273071,89.82775828,48.76125896,55.44946984,59.90787867
TRP1,9.713098935,9.210088957,10.81976726,9.133458297,6.464433478,6.604400208,8.494254258,8.168149968,7.215405272,6.508328539,12.03750092,19.21983652,14.95151591,5.504406656,8.727057887,8.930367006
VPS53,48.36453401,34.50713329,36.85278304,31.09405288,23.46080914,19.72960062,24.1692183,25.41984602,17.04508782,22.09617714,35.08688609,44.25459172,25.86849578,24.68642985,25.9437027,21.95381889
KEL1,269.4212684,209.867227,243.2808276,148.3515396,138.5131982,66.21120209,88.18261894,111.7487414,67.23921145,80.91218319,278.0500773,265.221502,176.6889459,130.4377577,196.922796,147.9092035
RIM8,162.1752588,165.9044024,140.0668053,135.3900877,144.396559,90.70600286,99.12882288,78.37199064,104.2573776,83.96547312,100.726353,76.02241068,58.97542386,52.98686407,53.60906988,58.4815006
CAALFM_C100160CA,525.7131065,513.8615632,433.1841366,397.1039626,369.3443173,424.7716134,499.1468997,323.9798104,435.4340225,389.696215,481.6619763,567.5972739,434.3059383,352.0040256,187.7801639,273.0583745
LEU4,21.43580455,18.72718088,16.13128937,12.49134738,14.59945089,8.610800272,10.59592541,8.872300827,10.14339582,11.49001211,16.5718062,29.07459345,20.94398855,12.67681533,10.27061915,12.52732038
RPL16A,715.8218981,679.5203632,637.5793764,561.3718964,548.6778707,536.0432169,628.3121062,428.1237224,526.6200138,472.8581908,748.9700685,839.6130493,784.8952538,520.5278294,389.1555405,439.8825915
CAALFM_C100190CA,40.12514663,36.47195227,41.50856168,41.16772012,36.97074877,18.9772006,21.45455972,15.98422451,26.66562818,31.4167464,30.22870186,17.32233673,15.12951015,16.4576199,11.10176752,16.55838882
CAALFM_C100200CA,1.875632898,3.070029652,2.88527127,2.08189123,3.123265613,3.1768001,2.88979784,1.760377148,3.555417091,2.089093111,2.645011413,2.264757806,2.135930844,3.280403966,1.424825778,2.418641064
CAALFM_C100210CA,107.5139572,104.3810082,112.3944308,93.28215864,90.64733686,98.48080311,105.0835578,105.5522138,96.41454581,96.41968206,124.8553347,137.6605488,144.175332,116.1485404,91.54505621,84.28033862
PHR2,564.096594,349.3693744,289.6418909,205.3684961,188.9938866,213.9324068,262.4461857,268.2110623,294.0539076,276.4834383,443.1743613,400.433664,271.7971999,171.6374075,203.9875571,185.4291483
BFA1,27.73257213,36.59475345,33.44291699,39.69024892,41.03825747,34.10880108,32.31319403,32.67259987,29.38447654,30.93464799,19.48671674,24.78991652,24.20721623,22.85162763,22.79721244,24.6205257
tT(AGU)6,0,0.491204744,0.196723041,0.134315563,0.145268168,0.083600003,0.350278526,0,0.418284364,0,0.431838598,0.367258023,0.059331412,0,0.296838704,0.062016438
CAALFM_C100270WA,504.0093544,503.3620618,580.8575662,558.0140073,515.7019966,604.2608191,880.3375057,127.7329659,874.9463176,330.237411,528.1925853,670.9191976,601.3831954,337.7704084,183.5056866,278.4538046
RFC52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL93,1236.176053,1231.757297,1429.783063,1396.478911,1330.002713,1619.833651,2308.773335,354.2582973,2301.50514,855.8853777,1461.125897,1727.887787,1592.870427,1036.552053,507.7722865,768.6317269
CAALFM_C100310WA,31.75178548,21.61300875,18.75426326,13.16292519,12.34779428,16.63640053,21.36699009,19.36414863,19.76393618,28.36345647,38.05577645,48.04959129,51.20300885,25.85403126,32.29605096,34.60517215
CAALFM_C100320WA,10.65091538,9.210088957,8.393516422,7.857460447,6.246531226,6.855200216,7.355849048,9.85811203,6.274265454,9.159869795,8.258913188,8.018466827,10.26433433,8.395610151,11.220503,9.798597132
CAALFM_C100330CA,20.36401432,20.38499689,19.01656064,14.17029192,15.03525539,17.89040056,19.61559746,16.97003571,17.04508782,16.23064648,18.89293867,17.56717541,16.55346404,23.63002857,14.90130292,14.6978957
HBR1,9.043230043,5.341851595,4.393481252,7.655987102,5.374922218,8.610800272,8.844532784,6.196527562,9.097684909,8.27602271,8.150953539,8.936611883,7.35709513,7.450409008,4.749419258,6.697775255
HMX1,258.770353,331.4404013,430.8234601,343.1091062,446.917519,1633.293252,1484.655533,845.8964273,919.0753179,839.735081,224.3401517,196.8503001,72.20632881,1038.998456,440.8648427,628.7846602
CDC13,15.20602385,12.64852217,14.09848462,12.4241896,11.91198978,23.07360073,25.22005388,16.82920554,19.554794,20.64988191,9.014630735,8.018466827,6.823112419,23.29642817,15.31687711,18.79098058
CAALFM_C100370WA,3.617292017,4.23664092,4.262332558,5.305464746,7.045506151,10.45000033,7.180709785,5.069886187,7.947402909,8.999170325,4.102466682,2.570806158,4.212530276,11.06441338,6.886657925,8.248186193
CAALFM_C100380CA,61.35999051,75.39992826,95.80412104,108.3926595,140.038514,116.2040037,89.84644194,87.03304621,103.52538,77.13574565,72.65684412,80.18466826,86.97985049,108.0309306,82.28368865,88.74552212
ENA2,1278.779715,2013.079844,2385.463597,2512.439767,2955.480879,1546.098449,1553.660402,771.3972663,1396.442348,1003.166442,718.5254474,1052.683912,1329.023636,1266.069131,768.456036,1039.45751
SVF1,222.3964722,195.9292924,194.4935133,160.6414136,141.781732,156.917205,133.0182703,178.0797523,120.2567545,150.8968024,242.3694132,279.2385165,204.752704,178.1426154,184.8117769,158.2039322
CAALFM_C100410CA,222.5304459,162.650171,171.0834715,119.8766402,108.5153215,151.2324048,149.2186521,141.4639076,128.831584,141.1744845,156.9193506,157.2476433,94.09961997,134.9969632,200.0099185,122.9785956
CAALFM_C100420WA,61.4269774,50.47128748,54.22998501,45.2643448,53.89449035,48.98960155,42.90911945,75.90746263,44.23357145,33.90758819,55.43728003,59.25096098,59.80606364,51.09646178,49.98763769,31.75241602
CAALFM_C100430WA,76.3650537,69.68967311,72.06620741,63.39694583,64.06326211,50.07640158,52.19150039,50.06512609,46.22042218,44.83515216,53.49400634,49.45741371,49.71972354,45.9812556,45.29758618,38.57422415
UBP6,188.032198,142.9405806,138.886467,120.1452713,112.2922939,137.0204043,105.521406,113.8611939,87.00314763,113.3734762,105.962396,85.32628058,76.12220203,114.7585388,92.96988198,84.46638793
CAALFM_C100450CA,16.94768297,17.43776842,22.09855496,17.39386543,18.52169143,20.56560065,16.55066036,17.25169605,16.31309018,15.50749886,22.29366763,29.93152884,27.05512403,23.0740279,16.80107063,16.43435595
