,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C1_00010W,0,0,0,0,1,0,0,0,0,0,0,0
C1_00020C,0,0,0,0,76,1,0,24,5,272,99,138
C1_00030C,0,0,0,0,0,0,0,0,0,0,0,0
C1_00040W,17,7,0,18,93,5,26,20,23,200,183,591
C1_00050C,0,0,0,0,4,0,4,2,0,2,2,0
C1_00060W,2321,3766,3800,3639,37950,3426,8333,6097,7074,16725,13273,23618
C1_00070W,7,8,3,63,288,3,0,88,203,174,156,182
C1_00080C,200,295,151,425,1666,288,698,487,580,2492,1134,3987
C1_00090W,4,30,3,2,189,0,98,30,47,125,153,140
C1_00100C,117,174,2,65,461,44,109,250,223,452,425,510
C1_00110W,2434,3038,2892,2112,18685,2511,7191,5908,5453,13473,9963,12501
C1_00120C,349,166,39,175,2941,120,567,752,544,1894,894,1067
C1_00130C,187,171,56,200,3639,39,732,885,756,3085,1518,2229
C1_00140W,709,1016,1115,1101,14445,1115,5254,3113,3068,9758,6454,7112
C1_00150C,93,208,73,205,834,73,581,441,389,1923,666,874
C1_00160C,10384,11480,5930,1626,26564,2907,36220,18049,14827,14063,12942,18213
C1_00170W,114,298,99,387,4268,168,452,523,348,2406,1339,1599
C1_00180W,16068,18142,13824,5691,113280,4469,96253,42701,31293,48032,45027,27559
C1_00190C,0,0,0,0,4,0,0,2,0,13,3,0
C1_00200C,5,7,0,0,66,47,1109,112,33,147,52,0
C1_00210C,1065,1402,466,1292,6969,1273,4853,2927,1533,11311,3761,6327
C1_00220W,1968,3279,2158,1206,12843,758,9650,8130,5859,9483,4826,5539
C1_00230C,68,155,108,120,3074,34,546,633,294,1389,657,585
C1_00270W,0,0,0,0,4,0,0,0,0,0,1,0
C1_00280C,0,0,0,0,0,0,0,0,0,0,0,0
C1_00290W,0,5,0,0,7,0,0,3,0,0,6,0
C1_00310W,63,61,57,94,360,32,681,354,229,519,321,592
C1_00320W,132,135,158,199,1316,26,510,271,326,960,422,1035
C1_00330C,207,231,116,77,980,295,806,848,519,1178,821,648
C1_00340W,617,526,620,138,6174,323,2952,1005,652,2088,1103,1128
C1_00350C,139,175,40,346,2150,99,909,464,263,2870,1181,1702
C1_00360W,4,80,26,86,332,85,183,174,102,760,316,226
C1_00370W,28,93,3,17,140,1,492,124,75,224,147,15
C1_00380C,179,276,94,136,2917,22,3568,1228,745,1937,1333,947
C1_00390W,157,183,93,30,1969,116,546,868,647,1038,1270,909
C1_00400W,777,1406,1238,568,6562,624,6174,3254,2132,4089,3055,1884
C1_00410C,324,353,223,112,4311,45,1515,933,614,1193,1138,681
C1_00420W,175,319,213,617,1445,531,1390,589,432,2780,932,1876
C1_00430W,133,163,73,142,2357,108,738,492,529,1561,778,741
C1_00440W,57,26,27,9,66,2,0,20,21,48,40,0
C1_00450C,304,290,127,85,3173,11,3944,892,696,1380,880,324
C1_00460W,274,271,249,114,2289,52,2688,1318,898,1289,859,445
C1_00470C,214,169,142,100,1173,97,2225,670,357,1424,725,1193
C1_00480C,740,1056,934,363,7054,432,6473,3023,2252,5564,3969,1941
C1_00490C,1249,757,407,422,4107,629,4568,3022,1223,2675,1456,2243
C1_00500C,751,902,564,662,7851,536,5145,3523,1783,6667,3381,2249
C1_00510W,134,179,127,69,888,2,1754,905,629,1327,709,404
C1_00520W,136,51,14,57,565,129,409,443,195,1190,428,483
C1_00530C,146,115,41,222,1134,172,1313,628,468,2928,1021,1932
C1_00540C,197,310,189,172,2265,340,1839,893,594,1622,1311,577
C1_00550W,40,66,95,44,1020,115,170,241,183,650,390,303
C1_00560W,435,597,350,105,2916,143,2652,994,502,1044,951,769
C1_00570C,50,49,19,30,814,4,493,409,326,1561,776,847
C1_00580W,45,48,0,33,496,5,269,235,109,413,176,150
C1_00590W,6656,9448,8362,5049,67850,4859,33658,23310,17119,35637,26457,23533
C1_00600W,70,152,122,107,2960,51,1828,1213,872,3333,2144,1129
C1_00610W,436,702,579,532,5187,417,3066,2191,1820,5031,2306,2321
C1_00620W,99,181,204,180,3023,111,961,600,402,729,764,717
C1_00630W,14,24,2,44,346,0,116,126,83,591,263,283
C1_00640C,2403,3073,2212,870,24601,1427,24771,10394,7565,13014,10972,6063
C1_00650C,212,166,71,157,2421,29,2385,709,592,2447,1001,704
C1_00660C,162,157,188,275,2533,41,2254,614,520,1111,643,381
C1_00670C,16,3,1,33,313,38,616,159,140,544,273,75
C1_00680W,0,10,3,37,363,6,355,196,139,733,333,108
C1_00690W,63,110,15,61,2282,21,2326,666,400,1803,791,221
C1_00700W,292,265,102,164,4683,202,6624,905,343,1199,690,80
C1_00710C,1886,3148,2193,1838,34970,2011,19958,9557,5728,17100,12701,8215
C1_00730C,444,488,534,223,8553,227,5801,1443,1091,3148,2015,1199
C1_00740C,103,119,172,54,5142,15,18277,5983,2763,5745,3799,905
C1_00750C,112,194,193,256,2956,328,3372,873,778,3405,1422,2834
C1_00760W,122,103,61,98,3151,77,1056,483,249,1616,739,468
C1_00770C,185,373,343,73,694,27,4613,1394,666,1128,626,202
C1_00780C,26,24,124,186,2691,50,825,84,45,3128,2347,722
C1_00790W,38,42,1,15,1371,3,457,121,95,132,105,105
C1_00800C,258,288,376,259,4010,77,3639,1089,746,1220,960,219
C1_00810W,45,73,2,18,133,17,270,141,140,339,159,252
C1_00820W,53,20,105,16,474,1,1075,239,132,175,144,0
C1_00830W,48,20,3,26,334,2,159,174,115,544,241,612
C1_00840C,216,328,356,87,2364,90,2878,718,492,772,893,82
C1_00850W,29,87,22,119,1440,29,446,131,69,632,308,654
C1_00860W,62,26,27,20,119,61,184,94,65,315,135,221
C1_00870W,213,345,162,190,3096,116,2177,1003,708,2299,1411,484
C1_00880W,5,4,0,23,82,1,24,44,35,276,65,1
C1_00890W,73,84,17,31,1878,125,1210,391,362,1091,540,389
C1_00900W,591,557,287,39,2474,56,5275,1030,589,784,849,323
C1_00910W,0,0,0,0,6,0,0,3,1,27,5,0
C1_00920W,69,143,57,114,1598,27,1780,875,729,2963,1598,824
C1_00930C,940,1294,661,780,20769,711,11102,5704,4368,16582,7763,6356
C1_00940W,13,23,9,4,262,0,119,98,65,90,73,4
C1_00950C,489,1107,734,172,4795,233,3652,2446,1512,2550,2061,1218
C1_00960C,175,141,354,106,1711,49,1550,812,616,2091,1209,654
C1_00970W,0,0,0,0,18,0,0,14,5,0,7,0
C1_00980W,70,213,178,62,2068,45,4424,1207,934,2073,948,1002
C1_00990C,816,819,847,188,6940,96,5176,3650,2410,4123,3821,2745
C1_01000C,84,72,16,56,473,105,335,252,245,626,409,534
C1_01010W,680,656,115,283,3190,353,4140,1723,1239,2763,1924,1985
C1_01030W,1114,1225,1152,309,6183,255,8283,2976,2401,2623,2736,981
C1_01040W,109,90,54,105,774,252,569,256,160,725,342,307
C1_01050C,369,591,471,190,4305,92,3572,1619,663,1665,1278,518
C1_01060W,1878,1163,879,958,14504,417,15669,4686,4723,11235,7975,8269
C1_01070C,75,53,217,12,1703,4,1479,396,322,736,397,515
C1_01080W,20,75,2,49,300,32,68,205,120,434,277,177
C1_01090C,355,165,135,38,1325,74,5330,1106,782,1719,997,818
C1_01100W,194,345,272,187,5756,238,4726,2339,1595,8976,4223,3077
C1_01110C,1172,1367,1050,397,9335,379,14390,4122,2481,3744,3431,1431
C1_01130W,115,126,215,81,1226,27,1308,865,809,1332,1092,576
C1_01140C,36,79,245,108,2597,78,1254,747,988,4012,1786,2013
C1_01150C,162,276,97,107,1929,167,3472,1350,753,1112,1112,520
C1_01160C,247,173,110,35,2925,41,1914,555,352,386,601,261
C1_01170C,134,123,80,118,1009,97,2257,1198,782,1306,843,616
C1_01180C,0,0,0,0,18,0,0,10,0,0,19,0
C1_01190C,111,228,20,122,1600,177,875,408,288,1688,712,1323
C1_01200W,78,77,75,63,881,8,685,517,346,1161,864,628
