,Untreated_1,Untreated_2,Untreated_3,SH9051_3,SH9051_2,SH9051_1,SH1009_1,SH1009_2,SH1009_3
CAALFM_C100020CA,2020.417817,2205.04166,2071.672441,1800.532583,1782.416647,1717.346713,1347.680801,1778.27761,1581.370332
CAALFM_C100030CA,76.98709807,84.98759026,73.70910034,89.04807883,71.61495458,107.524366,38.19338303,50.11947734,43.7683726
CTA2,1381.819709,1517.414793,1410.524147,984.4216187,976.4642219,948.4460582,838.0719477,873.2355091,712.6632843
TUP1,10337.98545,10455.79145,10993.824,8790.317496,8211.848125,9118.269109,10621.0342,8869.219817,9839.320458
MVD,5002.187346,5406.755969,4593.417116,4812.510458,4660.655774,3947.970116,3414.488443,4355.575348,4020.029875
RCA1,2077.664634,2353.383636,2038.168305,2071.591021,2021.133163,1449.550179,1166.535042,1681.893999,1598.497086
CAALFM_C100090WA,195.4287874,194.6988431,223.3609101,181.0318086,206.8876466,200.8474006,201.8793103,171.5628263,237.8715902
CAALFM_C100100CA,1199.222105,1052.30089,1084.417219,1253.522956,1233.368662,1124.948319,1240.739329,1289.612705,1274.040237
CCT8,10504.79083,9933.504072,10571.67188,9331.455821,9209.910508,9094.93835,9818.973158,9272.103308,9924.002745
TRP1,3728.939186,3445.087863,3720.075958,3221.387643,3253.365079,3098.933377,3309.72945,3198.008189,3359.69834
VPS53,1421.300272,1272.496011,1326.763806,1416.940859,1474.358668,1419.118754,1331.312209,1411.056054,1526.184123
KEL1,2345.145449,2198.08813,2296.150156,2117.582886,1851.758111,2046.006096,2030.796738,1954.659616,2098.027426
RIM8,468.8316869,498.3363247,415.4512928,1096.954905,1065.130356,1061.042328,505.2438955,533.9652009,526.1719576
CAALFM_C100160CA,35289.70134,33877.59871,35284.32297,28479.72842,29120.00463,29153.3045,31098.1437,35177.12624,32269.65993
LEU4,670.1825588,656.7222884,649.9802484,559.7307812,521.7660976,507.1904054,629.6452003,587.9400227,726.9355798
RPL16A,88017.9674,84146.98573,87013.59295,80650.16001,79027.67075,75509.49318,91800.52422,95280.98177,86139.01174
CAALFM_C100190CA,25.66236602,24.72366262,39.08815927,16.63535539,20.46141559,27.38828189,32.73718546,26.98741088,20.93269994
CAALFM_C100200CA,110.5455767,124.3909276,128.4325233,104.7048839,132.9992014,90.27989217,115.6713886,123.3710211,128.4506587
CAALFM_C100210CA,6055.331367,6061.933029,5859.873477,5267.536355,5215.387486,4873.085415,4474.082012,4597.49821,4437.732387
PHR2,7458.865386,7112.68869,7815.398245,14053.93965,14033.12086,13808.76598,8955.802701,8672.597252,9660.441023
BFA1,675.1176292,801.2011918,743.7918307,640.9504575,629.7569022,592.3983935,567.4445479,661.1915665,637.4958618
tT(AGU)6,3.948056311,6.180915655,11.16804551,3.914201267,4.546981243,2.028761622,15.27735321,10.60219713,3.805945444
CAALFM_C100270WA,136.2079427,115.1195541,132.8997415,157.546601,125.0419842,159.2577873,142.9523765,133.9732183,120.8387678
POL93,765.9229244,798.8833484,722.5725442,691.835074,660.4490256,735.4260879,563.0795899,613.9635974,481.4520986
CAALFM_C100310WA,1557.508215,1605.492841,1603.731335,694.7707249,638.8508646,657.3187654,1129.432898,1212.505817,1182.697547
CAALFM_C100320WA,855.7412054,907.0493724,801.8656673,897.3306405,883.2511065,793.2457941,628.5539608,862.6333119,745.965307
CAALFM_C100330CA,1644.365454,1494.23636,1557.942348,1322.021478,1355.00041,1306.522484,1656.501584,1601.895603,1539.504932
HBR1,3532.523384,3167.719273,3362.698502,3200.838086,3274.96324,2992.423392,3578.17437,3975.823924,3572.831285
HMX1,4841.304052,4804.116693,4678.294262,2739.940887,2841.863277,2482.189844,5830.49273,6377.703492,5949.644215
CDC13,318.8055471,320.6349996,368.5455017,324.8787052,355.8012823,312.4292897,338.2842497,394.208966,411.0421079
CAALFM_C100370WA,403.6887578,388.6250718,340.6253879,460.8971992,439.9204353,395.6085162,297.9083877,465.5328376,331.1172536
CAALFM_C100380CA,1522.962722,1496.554203,1580.278439,1534.366897,1575.529001,1621.994917,1606.304566,1538.28242,1633.702082
ENA2,3446.65316,3411.865442,3519.051139,4757.71164,4392.383881,5152.040138,4503.545479,4114.616323,4845.920036
SVF1,3489.094765,3665.282984,3439.758016,3914.201267,3705.789713,3424.549617,2934.343056,3895.825527,3306.415104
CAALFM_C100410CA,620.8318549,584.0965294,582.9719754,553.8594793,550.1847304,665.4338119,632.9189188,590.831531,665.0889663
CAALFM_C100430WA,1016.6245,1032.212914,979.4375908,1177.196031,1013.976817,1090.459372,902.4550791,922.3911503,915.3298792
UBP6,4262.913802,4301.144682,4480.619857,3756.654666,3451.158763,4029.120581,3878.265237,3537.278497,3749.807748
CAALFM_C100420WA,2310.599956,2603.71072,2035.934696,1808.360985,1725.579382,1536.786928,1615.034483,1668.400294,1588.030736
CAALFM_C100450CA,2191.171253,2293.119708,2244.777147,2385.705672,2396.259115,2031.804764,2126.825815,2499.227014,2146.55323
CAALFM_C100460WA,2618.548348,2617.61778,2544.080766,2938.586601,2913.478231,2537.980789,2603.697483,2798.980042,2582.333984
CAALFM_C100470CA,1195.274048,1128.789722,1094.46846,1185.024434,1200.403048,1116.833273,951.5608573,1105.52001,1085.645938
GCN20,3773.354819,3370.916875,3816.121149,3162.674624,3282.920457,3433.679045,4406.425162,3375.354032,3981.970421
TTR1,3661.822229,4558.425296,3283.405379,5066.93354,4315.0852,3956.085162,1942.406337,3492.942036,2387.27928
GLO1,4308.31645,4197.614344,4121.008792,3643.142829,3495.491831,3522.944556,3662.199813,3087.167037,3456.749949
CAALFM_C100510WA,1617.716073,1543.683685,1494.284489,972.6790149,973.053986,968.7336744,1165.443802,1118.049879,1137.026201
CAALFM_C100520WA,765.9229244,736.3015774,699.1196486,712.3846306,663.8592615,623.8441987,673.2947809,619.7466141,609.9027574
CAALFM_C100530CA,998.8582467,1096.339914,952.6342816,950.1723576,859.3794549,946.4172965,686.3896551,705.5280272,714.5662571
CAALFM_C100540CA,743.2216006,662.903204,701.3532577,1408.133906,1462.991215,1295.364295,1747.074464,1713.700591,1909.633126
CIS2,639.5851224,532.3313608,572.9207344,663.4571148,704.7820927,788.17389,1000.666635,787.4540959,1039.023106
CNS1,1806.235762,1342.803926,1743.331903,2346.56366,2447.412654,2427.41328,3550.893383,3001.385624,3484.343054
CAALFM_C100570CA,503.3771797,545.4658066,528.2485524,649.7574103,639.98761,629.9304835,814.0646784,717.0940604,803.0544886
CAALFM_C100580WA,303.0133219,360.0383369,339.5085834,170.2677551,172.7852872,195.7754965,141.861137,123.3710211,164.6071404
TUF1,13781.67757,13043.27726,14031.53237,13503.99437,13748.93453,13876.72949,15568.71416,13422.38157,14549.17795
APC1,644.5201928,543.1479632,634.3449847,668.3498664,707.0555833,806.4327446,939.5572226,770.1050461,922.9417701
PSD1,4305.355407,4698.268512,4365.588988,4136.332189,4020.668164,3990.57411,3648.013699,3648.119649,3579.49169
MOB2,1053.144021,1056.163963,981.6711999,895.3735399,795.7217175,827.7347417,811.8821993,936.8486919,818.2782704
CAALFM_C100630WA,231.9483083,204.7428311,208.842451,330.7500071,326.2459042,360.1051879,164.7771668,172.5266624,146.5288996
RPO41,4268.835886,3313.743406,4374.523425,5562.080001,5929.263541,5972.674214,7568.837278,7050.461091,7531.966033
SNF7,2497.145617,2558.126467,2494.941366,2340.692358,2137.081184,2277.28492,2406.183131,2385.494354,2434.853598
CAALFM_C100660CA,942.5984443,1044.574746,905.7284905,838.6176215,816.1831331,804.403983,925.3711089,897.3314116,931.5051474
UGA32,272.4158855,288.1851924,275.850724,252.4659817,237.5797699,240.4082522,247.71137,280.4763059,221.6963221
ASM3,224.0521957,262.6889153,209.9592555,215.2810697,263.7249121,188.6748308,158.2297297,217.8269592,187.4428131
RIC1,367.1692369,362.3561803,374.1295244,360.1065166,368.3054807,463.5720306,440.8607641,385.5344411,441.4896715
CAALFM_C100700WA,875.481487,876.1447941,913.5461224,906.1375933,949.1823345,945.4029157,836.9807082,852.0311148,745.965307
TUB2,6646.5528,6985.979919,6734.33144,5555.230148,5964.502646,5260.578885,6022.550884,6305.415784,6137.087028
NMA111,6143.17562,5222.101114,6208.316497,5926.100718,6129.330716,6201.924278,9016.912114,7821.529974,8649.011021
tP(UGG)3,5.922084467,11.58921685,3.350413652,9.785503168,1.136745311,6.086284865,2.18247903,6.746852719,3.805945444
CMP1,1728.26165,1797.873841,1892.983713,1665.492639,1848.347875,1707.202905,1960.957409,1727.194296,2053.307567
SPE1,5887.538974,5910.500595,6088.81841,4813.489008,5006.226349,5377.232678,5973.445106,5381.096962,5745.074647
VPS27,1171.58571,1354.393143,1366.96877,1191.874286,1165.163944,1459.693987,1069.414725,928.1741669,1047.586483
CAALFM_C100760WA,860.6762758,961.9049989,891.2100313,792.6257566,845.7385112,856.1374044,668.9298228,724.8047493,679.3612617
ROT1,324.7276316,305.9553249,301.5372286,426.6479381,420.595765,449.3706992,332.8280521,310.3552251,274.0280719
HGC1,246.7535194,313.6814695,266.9162876,248.5517805,254.6309496,245.4801562,147.3173346,139.7562349,114.1783633
CAALFM_C100790WA,227.0132379,231.7843371,271.3835058,139.9326953,169.3750513,187.66045,315.3682199,229.3929925,269.2706401
