,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
CaalfMp01,-0.678656675,-5.708308745,-2.190046716,-1.291814952,-2.956947123,-5.708308745,-2.204504237,-2.284180091,-2.476889484,-5.708308745,-2.820095471,-2.395756594,-2.808462927,-2.205497935,-1.969753213,-5.708308745,-5.708308745,-2.253368014,-3.631442613,-5.708308745,-3.620760513,-5.708308745,-2.617052194,-5.708308745
CaalfMp02,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.959656593,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.475827829,-3.576866392,-3.596630599,-3.631442613,-5.708308745,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp03,-1.635152206,-1.929068464,-1.647677988,-0.325995734,-2.068260879,-0.820566757,-3.082619412,-0.388677086,-1.944061158,-1.740231414,-1.920974538,-0.194940919,-1.519598454,-2.728189275,-1.170611113,-2.111583171,-0.58664961,-1.871601985,-1.913831417,-1.742715356,-0.169040672,-1.631550899,-1.704278259,-1.294289262
CaalfMp04,-5.708308745,-5.708308745,-1.647677988,-5.708308745,-2.956947123,-2.959656593,-5.708308745,-5.708308745,-3.330919196,-5.708308745,-2.820095471,-3.257398189,-5.708308745,-5.708308745,-3.913536438,-5.708308745,-5.708308745,-3.596630599,-5.708308745,-3.735768076,-3.620760513,-5.708308745,-5.708308745,-5.708308745
CaalfMp05,-3.05813741,-5.708308745,-3.069327771,-1.291814952,-2.956947123,-2.959656593,-5.708308745,-3.155674075,-3.330919196,-3.151686868,-5.708308745,-1.860028092,-4.050902538,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.631442613,-3.735768076,-3.620760513,-2.548491928,-5.708308745,-3.368129056
CaalfMp06,-3.05813741,-5.708308745,-3.069327771,-2.747619203,-5.708308745,-5.708308745,-3.082619412,-5.708308745,-1.944061158,-5.708308745,-2.820095471,-1.470252338,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.735768076,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp08,1.096800307,-1.929068464,0.50513216,0.397067527,-0.346025985,0.00560709,-1.662570956,-0.222771549,-0.148953705,0.597890723,-0.663143251,1.589674786,-0.961250902,-0.560490227,-1.170611113,-2.111583171,-2.230028125,-1.108184055,-0.655676455,-0.220668116,0.405543472,-1.23804743,-5.708308745,-0.828328621
CaalfMp08.1,-1.635152206,-0.415915508,-1.254418422,-1.843387785,-2.068260879,-5.708308745,-1.662570956,-1.744728968,-3.330919196,-0.571502407,-0.663143251,-1.860028092,-3.299874716,-2.728189275,-3.138036672,-1.726670082,-1.296250863,-0.758893538,-2.813433652,-3.735768076,-2.801321374,-0.929195744,-1.704278259,-2.518118375
CaalfMp08.2,-5.708308745,-5.708308745,-5.708308745,-2.747619203,-5.708308745,-2.959656593,-3.082619412,-5.708308745,-3.330919196,-3.151686868,-1.920974538,-3.257398189,-3.299874716,-5.708308745,-5.708308745,-3.475827829,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp08.3,-1.241702963,-1.929068464,-3.069327771,-0.108553067,-2.068260879,-5.708308745,-5.708308745,-0.073992109,-1.944061158,-2.279821992,-0.974188828,-1.860028092,-3.299874716,-2.728189275,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.842104684,-1.704278259,-5.708308745
CaalfMp09,-3.05813741,-5.708308745,-1.647677988,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.155674075,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-4.050902538,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.368129056
CaalfMp11,-2.177883805,-2.827641339,-1.647677988,-2.747619203,-2.068260879,-1.525404504,-1.662570956,-3.155674075,-1.555814683,-3.151686868,-2.820095471,-0.911001815,-2.442578567,-5.708308745,-5.708308745,-2.638120669,-2.75167471,-5.708308745,-2.813433652,-2.419395127,-5.708308745,-3.842104684,-5.708308745,-5.708308745
CaalfMp11.1,-5.708308745,-5.708308745,-3.069327771,-2.747619203,-5.708308745,-2.959656593,-3.082619412,-0.79172295,-5.708308745,-2.279821992,-5.708308745,-2.395756594,-4.050902538,-3.556041748,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-1.612849362,-2.932378931,-2.281942714,-1.877586552,-1.704278259,-2.518118375
CaalfMp13,-3.05813741,-5.708308745,-5.708308745,-5.708308745,-1.522396989,-5.708308745,-3.082619412,-5.708308745,-3.330919196,-5.708308745,-2.820095471,-3.257398189,-5.708308745,-3.556041748,-5.708308745,-2.638120669,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745
CaalfMp14,-2.177883805,-2.827641339,-5.708308745,-2.747619203,-2.956947123,-2.0711879,-5.708308745,-5.708308745,-2.476889484,-1.740231414,-5.708308745,-3.257398189,-2.808462927,-2.728189275,-2.636405151,-5.708308745,-3.576866392,-3.596630599,-2.813433652,-3.735768076,-2.801321374,-5.708308745,-5.708308745,-3.368129056
