Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_alpha-1a_Name_alpha-1a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca1_B_about_388_bp_long_2C_5-10_copies_per_genome_Alias_alpha,2392,902,2183,1140,225,1729,1418,398,1154
ID_alpha-2a_Name_alpha-2a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca1_B_about_388_bp_long_2C_5-10_copies_per_genome_Alias_alpha,626,181,554,347,67,471,391,123,310
ID_alpha-Ra_Name_alpha-Ra_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca1_B_about_388_bp_long_2C_5-10_copies_per_genome_Alias_alpha,4036,1319,3863,1697,236,2265,1929,456,1631
ID_alpha-Rb_Name_alpha-Rb_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca1_B_about_388_bp_long_2C_5-10_copies_per_genome_Alias_alpha,4451,1349,3986,1934,274,2334,2095,540,1739
ID_alpha-Rc_Name_alpha-Rc_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca1_B_about_388_bp_long_2C_5-10_copies_per_genome_Alias_alpha,44,5,38,23,5,56,43,17,52
ID_beta-1a_Name_beta-1a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca8_B_about_395_bp_long_2C_6-8_copies_per_genome_Alias_beta,34,14,37,8,5,26,16,11,20
ID_beta-1b_Name_beta-1b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca8_B_about_395_bp_long_2C_6-8_copies_per_genome_Alias_beta,52,30,57,25,8,33,21,7,16
ID_beta-1c_Name_beta-1c_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca8_B_about_395_bp_long_2C_6-8_copies_per_genome_Alias_beta,69,35,89,39,22,67,29,16,29
ID_beta-2a_Name_beta-2a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca8_B_about_395_bp_long_2C_6-8_copies_per_genome_Alias_beta,50,27,61,9,6,31,25,12,26
ID_Ca3-1_Name_Ca3-1_Note_Ca3_region_on_Chromosome_1_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,335,141,382,291,80,567,304,210,485
ID_Ca3-2_Name_Ca3-2_Note_Ca3_region_on_Chromosome_2_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,429,169,474,349,133,695,404,223,567
ID_Ca3-4_Name_Ca3-4_Note_Ca3_region_on_Chromosome_4_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,451,186,413,343,142,597,434,178,539
ID_Ca3-5_Name_Ca3-5_Note_Ca3_region_on_Chromosome_5_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,489,231,518,389,106,508,481,183,384
