,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
CaalfMp01,56,23,129,48,2,1,306,91
CaalfMp02,7,6,20,9,2,0,35,17
CaalfMp03,14,6,79,33,7,5,151,29
CaalfMp04,16,3,57,22,1,0,100,21
CaalfMp05,62,25,111,35,6,1,228,59
CaalfMp06,25,7,99,15,0,4,186,56
CaalfMp07,2,3,11,8,0,0,19,11
CaalfMp08,172,53,631,218,10,7,1735,459
CaalfMp08.1,2,0,2,2,0,0,2,1
CaalfMp08.2,3,0,1,3,1,1,2,2
CaalfMp08.3,0,3,18,1,6,3,1,1
CaalfMp08.4,3,1,2,3,0,2,3,1
CaalfMp09,29,11,63,21,0,1,120,33
CaalfMp10,6,7,12,3,1,0,36,7
CaalfMp11,144,49,236,81,18,14,489,149
CaalfMp11.1,0,2,4,1,1,13,0,0
CaalfMp12,2,0,6,3,0,0,17,5
CaalfMp13,35,12,71,24,5,6,218,52
CaalfMp14,35,10,67,21,2,1,176,54
CaalfMp15,10,4,58,19,0,0,98,17
CaalfMr16,4070,1113,12719,5555,396,131,38783,14014
CaalfMr17,2399,687,6295,2565,201,84,19427,5911
CaalfMt18,0,0,0,0,0,0,0,0
CaalfMt19,0,0,0,0,0,0,0,0
CaalfMt20,0,0,0,0,0,0,0,0
CaalfMt21,0,0,0,0,0,0,2,1
CaalfMt22,1,0,0,1,0,0,0,0
CaalfMt23,0,0,0,0,0,0,0,0
CaalfMt24,0,0,0,0,0,0,0,0
CaalfMt25,0,0,0,0,0,0,0,0
CaalfMt26,0,0,0,0,0,0,0,0
CaalfMt27,0,0,0,0,0,0,0,0
CaalfMt28,0,0,0,0,0,0,0,0
CaalfMt29,0,0,0,0,0,0,0,0
CaalfMt30,0,0,0,0,0,0,0,0
CaalfMt31,0,0,0,0,0,0,0,0
CaalfMt32,0,0,0,0,0,0,0,0
CaalfMt33,0,0,0,0,0,0,0,0
CaalfMt34,0,0,0,0,0,0,0,0
CaalfMt35,0,0,0,0,0,0,0,0
CaalfMt36,0,0,0,0,0,0,0,0
CaalfMt37,0,0,2,0,0,0,1,0
CaalfMt38,1,0,2,0,0,0,0,0
CaalfMt39,0,0,0,0,0,0,2,0
CaalfMt40,0,0,0,0,0,0,0,0
CaalfMt41,0,0,0,0,0,0,0,0
CaalfMt42,0,0,0,0,0,0,0,0
CaalfMt43,0,0,0,0,0,0,0,0
CaalfMt44,0,0,0,0,0,0,0,0
CaalfMt45,1,0,0,1,0,0,0,0
CaalfMt46,0,0,2,0,0,0,1,1
CaalfMt47,0,0,0,0,0,0,0,0
CD39,0,0,0,0,0,0,0,0
ITS1,56,28,703,420,34,31,1047,1046
ITS2,156,68,964,581,72,66,1406,1376
LSU-C2809,0,1,9,6,1,1,6,2
LSU-G1431,0,1,6,9,0,0,13,3
orf19.10,66,49,140,110,168,180,102,133
orf19.100,1373,1533,1524,1298,918,1016,895,1211
orf19.1002,267,337,231,243,381,386,175,224
orf19.1005,127,187,39,38,204,218,36,53
orf19.1007,364,335,565,623,281,303,320,414
orf19.1008,0,2,10,22,4,0,7,9
orf19.1009,3,2,23,23,5,3,19,12
orf19.101,1086,1437,1039,1085,425,517,471,601
orf19.1010,183,200,228,228,244,236,118,156
orf19.1011,1411,1585,1402,1275,1767,1904,522,752
orf19.1012,521,574,467,495,755,719,451,412
orf19.102,140,157,263,273,255,255,179,192
orf19.1026,278,351,266,217,382,440,131,138
orf19.1026.1,52,34,21,41,64,57,13,17
orf19.1027,846,618,1677,1894,532,542,566,794
orf19.1028,76,82,143,140,48,43,116,138
orf19.1029,81,102,197,175,53,83,167,204
orf19.103,29,22,15,9,27,24,18,23
orf19.1030,119,174,590,624,190,165,352,438
orf19.1031,772,1074,1289,1148,1504,1568,710,740
orf19.1032,420,362,484,520,254,242,376,502
orf19.1033,867,1246,2349,1954,984,1159,973,1607
orf19.1034,3105,2387,527,521,1480,1549,314,332
orf19.1035,562,627,1119,1051,293,368,457,641
orf19.1036,2111,1883,1287,1066,2242,2361,818,865
orf19.1037,685,745,757,770,1836,1820,2426,2429
orf19.1039,164,203,336,345,277,292,341,279
orf19.104,41,56,63,53,56,60,40,45
orf19.1040,167,176,277,303,233,171,216,178
orf19.1041,130,139,210,172,162,192,117,146
orf19.1042,26120,18378,28433,28697,21369,20604,25160,24661
orf19.1043,337,250,374,416,207,266,151,258
orf19.1045,210,164,308,268,167,194,150,200
orf19.1047,325,329,539,557,282,279,257,313
orf19.1048,1731,1739,2381,2693,1882,1667,385,845
orf19.1049,126,156,231,229,157,184,232,233
orf19.105,353,453,485,528,641,684,115,169
orf19.1050,198,138,124,128,218,200,106,95
orf19.1051,12345,12460,8877,9633,13628,13387,10564,9007
orf19.1052,9109,9417,7386,7456,8871,8768,8004,6154
orf19.1053,354,348,623,602,308,362,362,425
orf19.1054,2826,2602,1356,996,1834,2015,736,748
orf19.1055,12553,6706,26828,35055,10801,16413,24907,18389
orf19.1057,1206,1089,2104,2328,834,874,1045,1151
orf19.1058,2309,2055,1765,1865,1729,1780,843,1041
orf19.1059,13144,13810,8787,9588,10927,10175,10339,8026
orf19.1060,69,90,96,85,49,55,104,88
orf19.1061,16258,16318,10124,11049,12443,11160,11535,8281
orf19.1062,25,15,218,228,8,11,93,81
orf19.1063,98,70,72,100,92,113,48,51
orf19.1064,10063,12403,36655,38640,11821,13614,33682,28085
orf19.1065,747,588,45122,38183,675,897,51663,57590
orf19.1066,4947,4513,506,528,2363,2402,1367,1515
orf19.1067,4701,3818,940,818,2630,3169,907,1040
orf19.1069,3236,2670,12477,10328,3692,4066,9777,14305
orf19.107,65,69,241,273,63,101,99,164
orf19.1070,76,73,116,112,91,111,73,88
orf19.1075,466,668,174,210,633,628,146,171
orf19.1077,750,860,2397,2436,723,783,1215,1524
orf19.1078,3857,3261,4464,4192,3488,3588,3125,2886
orf19.1080,20,30,124,77,19,23,65,61
orf19.1082,22,42,139,97,54,54,166,159
orf19.1082.1,12771,10539,15844,15931,9198,9803,15606,13517
orf19.1083,142,177,220,250,145,118,250,210
orf19.1084,2434,2148,3758,3127,2247,2202,2798,3769
orf19.1085,2124,2194,1479,1537,2461,2363,845,987
orf19.1086,957,1072,1670,1616,1254,1142,805,1207
orf19.1087,437,432,278,192,308,355,110,176
orf19.1089,754,530,1316,1150,504,529,1262,1307
orf19.109,880,668,1382,1204,927,944,750,887
orf19.1090,21,18,30,37,18,17,17,14
orf19.1091,88,99,223,229,54,66,143,216
orf19.1092,627,552,316,286,488,531,175,192
orf19.1093,1704,2302,1694,1363,2494,2670,812,1274
orf19.1095,1054,1021,878,896,1101,1124,494,501
orf19.1096,271,354,400,360,232,327,143,229
orf19.1097,2527,4588,1336,940,5764,6618,686,858
orf19.11,938,548,164,154,192,147,79,118
orf19.1105,12,9,6,10,5,6,2,8
orf19.1105.2,89637,87523,43995,47039,80973,82152,34966,41663
orf19.1105.3,6,5,16,9,9,8,23,36
orf19.1106,175,161,44,29,58,74,122,135
orf19.1107,936,1004,1765,1915,1500,1434,6997,8135
orf19.1108,735,712,3020,3434,570,538,943,1575
orf19.1109,336,231,524,562,350,315,355,344
orf19.111,27,24,269,178,56,64,759,1086
orf19.1110,69,114,46,49,56,106,42,39
orf19.1111,341,287,305,338,260,249,174,197
orf19.1112,1573,1279,1166,1178,1707,1709,766,792
orf19.1113,20,50,102,151,156,166,30,41
orf19.1114,286,331,2128,1657,322,283,1203,1041
orf19.1115,82,85,281,284,140,162,180,132
orf19.1116,337,509,204,230,569,547,206,155
orf19.1117,17,15,187,173,9,8,12,15
orf19.1119,673,786,831,846,1009,1086,687,653
orf19.1120,355,406,932,1072,143,106,1773,1711
orf19.1121,462,321,298,298,419,457,107,122
orf19.1122,26,19,17,23,56,45,23,43
orf19.1123,2,0,0,4,1,0,1,4
orf19.1124,1530,1179,516,522,1229,1065,342,569
orf19.1124.2,443,344,1065,874,477,426,359,542
orf19.113,805,784,592,586,938,977,1155,874
orf19.1133,229,304,1507,1484,397,355,1765,2007
orf19.1135,812,764,761,692,721,765,305,326
orf19.1136,184,136,261,286,120,194,147,140
orf19.1137,104,139,139,164,144,167,111,126
orf19.1139,1172,1330,1444,1230,1543,1523,868,1275
orf19.114,125,121,108,113,144,144,79,82
orf19.1140,538,523,1119,1089,545,633,771,751
orf19.1142,732,699,1032,949,723,695,797,861
orf19.1143,149,165,260,308,252,240,247,261
orf19.1144,1070,1268,2486,2478,1586,1437,1919,2472
orf19.1146,40,43,28,47,49,44,41,40
orf19.1148,4,1,30,17,1,0,13,24
orf19.1149,8464,8991,1632,1641,4589,4995,309,363
orf19.115,38,53,50,17,58,49,25,23
orf19.1150,314,316,1579,1626,240,256,1071,1455
orf19.1150.1,88,133,221,244,91,81,308,302
orf19.1152,33397,25766,18700,16310,22588,22754,14016,16827
orf19.1153,28608,30404,5021,4597,31482,32307,1326,1518
orf19.1154,5318,4781,2602,2704,5692,5840,1306,1283
orf19.1155,206,197,456,447,328,326,362,400
orf19.1156,19,16,84,70,16,18,62,45
orf19.1158,73,93,356,379,240,235,199,239
orf19.1159,385,712,895,944,3012,2893,248,425
orf19.1160,745,653,621,652,573,505,394,448
orf19.1161,2242,1992,4087,3510,2395,2395,3176,3991
orf19.1162,1709,1355,1120,1055,739,674,929,926
orf19.1162.1,136,137,68,54,83,95,66,61
orf19.1163,357,307,489,378,347,293,249,317
orf19.1164,240,330,577,644,375,454,180,294
orf19.1166,5943,5959,6609,6118,5129,5355,2921,3232
orf19.1167,24,26,60,75,12,18,31,28
orf19.1168,143,285,1039,1115,221,230,785,926
orf19.1169,304,315,2841,2343,270,284,1903,1811
orf19.117,1025,839,1356,1316,924,958,934,1238
orf19.1170,163,201,280,336,248,270,165,208
orf19.1171,2,3,31,19,7,3,23,54
orf19.1177,287,324,371,392,402,409,243,237
orf19.1178,47,55,70,69,40,35,57,57
orf19.1179,2654,2321,2728,3145,2507,2104,2087,1911
orf19.118,1379,2106,2018,1983,2832,3332,1944,1859
orf19.1180,977,1021,1054,928,1116,1208,490,624
orf19.1181,439,404,378,343,423,410,307,390
orf19.1182,770,759,584,515,840,864,441,482
orf19.1183,3984,3826,2178,1800,3361,3447,954,1244
orf19.1185,1022,849,1523,1525,1275,1210,844,1149
orf19.1186,962,832,997,1005,984,1009,515,527
orf19.1187,7294,6617,23839,19278,5904,6127,18607,20171
orf19.1189,5392,5281,9640,8697,3675,3978,4722,5978
orf19.119,43,34,38,55,40,59,31,28
orf19.1190,2455,2341,1822,1603,2204,2376,972,1096
orf19.1191,2797,2263,3897,3529,2258,2334,1506,1803
orf19.1192,207,287,471,430,511,445,298,306
orf19.1193,12496,12772,13284,12968,13451,14003,2082,2140
orf19.1195,352,385,731,652,599,612,260,364
orf19.1196,823,959,975,829,921,977,535,786
orf19.1198,685,468,639,667,552,470,396,436
orf19.1199,345,517,946,874,670,813,480,713
orf19.120,4,8,8,15,9,13,10,12
orf19.1200,406,391,293,219,287,238,134,185
orf19.1201,1134,955,1143,1224,782,791,595,735
orf19.1202,245,378,651,578,601,605,482,465
orf19.1203,1824,1695,1232,1081,1689,1750,761,907
orf19.1203.1,1092,819,484,531,1097,1105,459,353
orf19.1204,496,595,658,594,695,737,472,599
orf19.1207,0,0,2,4,0,1,3,6
orf19.1208,146,216,155,103,384,401,123,155
orf19.121,657,575,509,578,641,771,525,432
orf19.1210,1867,1383,3030,2569,1942,2255,4882,5773
orf19.1212,1252,1211,2251,2053,1861,1613,1633,1646
orf19.1214,2669,2318,1776,1614,1835,1772,885,914
orf19.1215,16,15,43,33,14,11,37,41
orf19.1217,701,838,675,751,928,993,542,707
orf19.1219,82,113,75,78,156,210,74,101
orf19.122,2872,1682,5031,7099,1738,2819,4764,3306
orf19.1220,4776,4132,5513,4912,2750,2767,2566,3318
orf19.1221,813,807,623,623,677,654,392,418
orf19.1223,743,835,2369,2222,744,881,1936,2219
orf19.1224,946,603,5426,3921,1070,999,33693,37553
orf19.1225,673,708,498,483,650,791,485,601
orf19.1227,11,17,103,117,19,16,24,40
orf19.1228,171,202,530,442,454,479,687,816
orf19.1229,2203,2347,835,764,1811,2099,491,609
orf19.123,28,42,83,77,39,33,18,25
orf19.1232,471,536,762,721,778,938,433,456
orf19.1233,768,946,1400,1331,760,962,585,914
orf19.1234,151,262,95,86,534,568,108,106
orf19.1235,958,1834,1809,2122,1111,1361,754,1070
orf19.1236,2463,2477,1968,1780,2616,2539,1761,1519
orf19.1237,452,457,1060,1132,250,254,438,434
orf19.1238,246,352,443,445,481,485,381,333
orf19.1239,274,99,2243,1247,101,72,67,599
orf19.124,38,44,89,130,47,88,93,119
orf19.1240,3569,3090,3924,2816,1491,1650,1030,1315
orf19.1244,954,1055,1602,1442,1558,1545,1230,1390
orf19.1246,5577,6334,4472,4089,5838,5365,2457,2720
orf19.1247,410,376,359,329,406,373,189,232
orf19.1248,1249,1240,2081,2242,1352,1345,1157,1217
orf19.1249,336,257,304,280,288,294,154,190
orf19.125,121,115,87,130,36,29,16,32
orf19.1250,259,268,298,230,259,266,165,227
orf19.1251,272,300,553,480,546,577,362,391
orf19.1252,9182,7462,17522,13368,5030,5587,12162,15423
orf19.1253,1566,1604,1536,1263,1743,1812,926,1305
orf19.1254,4281,4013,3575,3379,6323,6652,2737,2466
orf19.1255,64,62,296,182,68,61,165,229
orf19.1257,3,1,0,2,5,10,1,3
orf19.1258,11,17,33,32,5,14,15,10
orf19.1259,1595,1816,1594,1482,1802,1843,1134,1272
orf19.1260,196,282,275,226,351,359,166,203
orf19.1261,314,400,503,456,445,485,362,415
orf19.1263,587,554,570,445,501,481,264,336
orf19.1264,9,1,101,58,76,74,181,355
orf19.1265,220,259,507,442,497,461,361,347
orf19.1266,1268,1248,778,677,915,880,413,473
orf19.1267,1511,1426,2151,1896,1079,1132,814,1152
orf19.1267.1,602,485,1008,1161,508,510,751,764
orf19.1268,20,11,25,27,4,10,25,42
orf19.1270,75,76,274,187,33,30,215,337
orf19.1272,184,323,406,411,195,268,223,258
orf19.1273,767,737,1052,1156,791,742,864,773
orf19.1274,28,31,173,146,20,29,82,91
orf19.1275,516,1343,513,580,455,481,294,404
orf19.1276,255,114,186,245,163,162,206,167
orf19.1277,4516,3731,9347,8531,1299,1268,5137,6527
orf19.1279,1610,1446,1567,1461,1709,1896,1848,1839
orf19.1280,2487,2051,3544,4026,2510,2551,4110,4607
orf19.1281,354,316,864,934,367,338,607,928
orf19.1282,454,413,687,684,405,446,837,804
orf19.1283,941,1100,998,960,1179,1192,567,656
orf19.1285,3412,3638,1561,1526,2694,2816,558,552
orf19.1286,6,6,5,8,2,2,6,5
orf19.1287,3302,4205,1352,1383,2575,3525,663,896
orf19.1288,2156,1362,11918,10384,2026,1711,7208,8486
orf19.1289,3137,3232,2772,2328,2111,2368,1356,1611
orf19.1290,6521,4957,6255,5395,3192,3513,2606,2758
orf19.1291,970,893,1716,1411,742,788,746,793
orf19.1295,1263,2194,3346,3202,2869,3148,1048,1644
orf19.1296,212,225,282,256,172,164,100,121
orf19.1297,381,404,397,417,322,361,322,299
orf19.1298,508,591,755,650,833,951,528,571
orf19.1299,1690,1575,1735,1721,1347,1247,1223,1203
orf19.130,965,1152,699,598,899,951,328,385
orf19.1300,533,425,1907,1572,470,493,903,862
orf19.1301,161,124,249,227,176,215,430,311
orf19.1302,1,2,4,7,3,6,8,5
orf19.1303,90,86,260,274,157,183,151,181
orf19.1304,736,401,1113,1411,410,744,583,402
orf19.1305,85,76,267,244,121,134,102,106
orf19.1306,194,174,561,384,117,122,111,171
orf19.1307,140,113,295,264,80,92,105,117
orf19.1308,712,620,1043,858,591,756,330,508
orf19.1309,136,102,331,366,96,69,292,281
orf19.131,80,98,30,17,106,96,21,17
orf19.131.2,1952,1640,1084,1162,1228,1185,674,592
orf19.1310,159,150,187,137,196,218,181,194
orf19.1311,491,503,637,600,519,515,563,630
orf19.1313,316,273,1789,1212,245,306,577,1005
orf19.1314,1105,1132,1345,1211,956,982,893,1132
orf19.1317,998,1020,1609,1426,1026,1053,1096,1143
orf19.1318,207,250,318,296,409,400,371,376
orf19.132,1107,933,1412,1217,805,935,1143,1202
orf19.1321,665,188,79366,85212,461,351,160871,137297
orf19.1323,651,918,1915,1583,993,980,1589,1457
orf19.1324,715,860,596,584,683,766,331,432
orf19.1325,168,174,1880,1542,190,208,776,984
orf19.1326,24,42,76,66,70,93,55,67
orf19.1327,159,139,16267,15590,62,87,6757,8378
orf19.133,178,271,451,390,278,329,203,215
orf19.1330,198,193,150,114,245,260,101,130
orf19.1331,6562,5344,3777,3997,4164,4658,2226,2736
orf19.1332,1153,1043,1114,1042,1159,1292,1260,1226
orf19.1333,1569,1844,1725,1600,1727,1842,2109,2463
orf19.1334,287,338,1491,1489,360,390,2717,3188
orf19.1335,576,736,631,520,668,768,341,386
orf19.1336,2801,2518,2827,2954,2174,2190,1878,2187
orf19.1336.2,346,267,1614,1712,305,268,1280,1047
orf19.1338,2130,2143,1640,1560,2168,2391,1047,1013
orf19.1339,11453,12176,9834,9839,9576,9160,5945,5939
orf19.134,235,291,314,304,367,443,167,179
orf19.1340,46,34,1363,1372,19,26,191,260
orf19.1341,57,48,535,407,56,49,436,581
orf19.1342,1379,1416,5240,4958,1825,1820,2087,3190
orf19.1343,935,1155,1006,824,1186,1179,461,554
orf19.1344,151,278,46,71,346,498,47,65
orf19.1345,508,855,43,22,801,808,37,57
orf19.1348,27,7,52,30,0,2,118,80
orf19.1349,15,13,102,115,29,28,413,486
orf19.135,1046,1078,1172,1035,955,969,710,838
orf19.1350,2279,2049,5261,5018,2466,2580,5100,5856
orf19.1351,36,25,53,92,46,60,101,90
orf19.1352,4802,1600,11325,14375,1124,1602,11270,5540
orf19.1353,9023,8948,4037,4010,6381,8047,3730,4008
orf19.1354,232298,190341,126921,117926,142432,147132,109323,107731
orf19.1355,35046,11238,18057,29451,12802,17270,30493,15601
orf19.1356,191,153,286,331,193,247,181,212
orf19.1357,2253,2919,3685,3233,1614,1825,710,975
orf19.1358,19921,29123,22247,22770,20648,19509,13139,15806
orf19.1359,249,248,838,689,295,306,542,566
orf19.136,195,209,2131,1869,157,169,771,1126
orf19.1360,41,49,69,65,35,34,47,43
orf19.1360.1,330,309,123,127,371,345,111,95
orf19.1361,150,171,270,287,188,270,211,215
orf19.1362,19,9,402,520,8,15,777,841
orf19.1363,133,41,9535,8435,17,9,9615,11774
orf19.1364,489,437,663,702,326,382,412,461
orf19.1365,328,396,167,155,260,302,76,78
orf19.1366,59,54,85,99,28,32,65,59
orf19.1367,218,205,157,166,169,237,113,127
orf19.1367.1,1337,1160,1786,1921,1320,1407,1816,1703
orf19.1368,16437,19414,1860,1685,14863,15796,602,688
orf19.1369,461,412,850,640,341,353,368,415
orf19.137,933,913,1058,1119,251,260,387,441
orf19.1370,3,1,540,342,4,5,29,168
orf19.1371,321,267,884,855,260,273,570,680
orf19.1372,1543,1165,487,574,1691,1560,395,348
orf19.1373,530,548,810,788,576,572,562,635
orf19.1374,434,447,917,876,402,409,589,567
orf19.1375,10655,8864,19407,17533,5823,6622,7142,11457
orf19.1376,804,926,1260,1313,1258,1281,1253,1320
orf19.1377,211,156,495,503,188,230,447,603
orf19.1378,2907,2903,4037,3782,3612,3610,2178,3136
orf19.138,19,13,39,29,13,12,32,49
orf19.1381,4527,3854,4610,4406,2891,3287,4054,5484
orf19.1382,97,91,186,177,118,119,142,149
orf19.1383,626,620,685,743,861,867,483,507
orf19.1386,387,340,1049,984,267,330,605,735
orf19.1387,1610,1391,2765,2539,925,1019,1625,2069
orf19.1388,69,63,312,320,75,86,252,297
