,T1_nt_r1,T1_nt_r2,T1_nt_r3,T1_To_r1,T1_To_r3, T1_To_r2,T3_nt_r1,T3_nt_r2,T3_nt_r3,T3_To_r3,T3_To_r2,T3_To_r1
AAF1,1222,1459,1507,2063,3106,3239,1585,1911,1534,2880,4635,2938
AAH1,608,602,535,380,535,602,514,620,917,290,367,64
AAP1,60,60,60,113,171,175,36,21,29,872,1909,3190
AAT1,6073,6778,4963,4993,6041,4168,5633,4422,4187,5160,6918,11999
AAT21,3016,3102,2652,2698,2772,3113,2928,2359,2547,3769,3521,4950
AAT22,1904,2013,1461,707,871,371,908,1370,1256,458,381,179
ABC1,3383,3180,2938,2883,2770,2820,2065,2493,2496,2238,2155,2680
ABD1,1406,1486,1250,1212,1314,1455,1006,884,1143,1397,1105,1527
ABG1,1781,1662,1470,1541,1500,1360,1826,1187,1433,1632,1559,2360
ABP1,5450,6077,5129,7006,7385,8475,9532,6717,6364,17259,16056,19679
ABP140,830,861,680,678,618,534,219,308,511,255,159,103
ABP2,130,120,117,43,57,41,130,195,151,110,165,94
ABZ1,3043,3375,2956,2941,3715,2852,1834,1574,2581,3105,2770,2601
ACB1,1379,1649,1032,894,1393,401,442,750,577,1153,1386,1274
ACC1,24831,28438,23322,20722,20943,20404,14809,14124,12782,12448,12475,9933
ACE2,2565,2174,2211,2067,1934,1628,2851,2717,2529,1850,1647,1396
ACF2,905,956,952,1109,1221,1167,1088,961,1110,1970,1513,1271
ACH1,7470,7336,7812,8022,9497,9161,5613,3932,4564,29552,27057,40198
ACO1,50048,56181,55832,53226,61752,66003,16468,16214,19040,46963,43540,54707
ACO2,11170,11210,11220,8115,9358,9752,5866,4734,7478,7280,6212,5226
ACS1,2515,2163,2044,1563,1554,1388,4092,2655,2669,2811,2738,4800
ACS2,32043,33001,26800,24364,23947,29876,23096,18166,19484,14326,11935,13453
ACT1,31974,32337,24999,29367,26699,34156,36581,24659,26542,36395,34473,47965
ADA2,1077,863,799,937,751,669,436,321,495,518,415,697
ADAEC,6005,7314,5760,4850,6426,6937,9733,11405,9562,10341,17770,11728
ADE1,2386,2830,2404,2448,2651,2549,3362,2421,2660,1467,1540,1942
ADE12,10109,10190,7910,8413,7870,9150,11815,7360,8008,6177,6356,8491
ADE13,5814,6750,6129,6657,7462,6197,8049,5077,4705,3305,3793,4698
ADE17,22306,25957,22251,23976,26908,26906,27216,21008,20601,17838,18107,20482
ADE2,3166,3460,2821,3351,3349,3480,3158,2155,2334,1831,1835,2367
ADE4,5307,5604,4467,4629,5156,3599,3251,2722,3336,1797,2072,1882
"ADE5,7",6870,7981,6777,6586,7259,6073,7646,5312,5597,2572,2770,3294
ADE6,6244,8942,7501,5858,8236,6468,6212,5801,6189,3274,4040,3154
ADE8,2478,2730,2160,2227,2168,2066,1964,1585,2132,831,742,581
ADH1,136195,131897,69809,84637,77468,148206,329513,215769,187952,173589,186419,260040
ADH2,1108,1035,550,691,632,1217,2629,1772,1354,1835,1865,3760
ADH3,23,41,23,31,28,29,34,34,40,115,149,266
ADH4,0,4,0,1,2,0,0,0,0,1,4,10
ADH5,1026,1322,821,1190,1682,2644,14350,5503,3383,33398,43990,82622
ADK1,10883,11278,10230,9862,11497,11602,12331,9457,10956,11595,10470,10944
ADO1,3482,3605,2673,2243,2502,2316,1658,1766,1808,2245,2228,2756
ADP1,1333,1229,1044,1453,1321,1220,1838,1044,1059,2151,2458,3736
ADR1,608,523,596,596,635,406,242,289,520,848,763,1255
AFG1,196,197,200,201,210,147,124,140,192,322,263,415
AFG3,3649,3706,3511,3992,4370,4093,2697,2098,2884,4484,4117,4801
AFP99,20,21,15,45,30,28,56,43,24,194,160,268
AFT2,1034,819,931,1024,1075,829,1029,1012,874,905,877,725
AGA1,0,0,1,1,0,2,0,0,1,2,3,3
AGC1,1913,2096,1901,1652,2261,1172,801,964,1118,1860,1912,2120
AGE1,1860,2020,1721,1381,1516,1339,1810,1976,1998,1681,1849,1109
AGE3,2460,2575,2260,1999,2219,1798,2151,1945,2448,2176,1874,1740
AGM1,1612,1482,1378,1204,1366,993,1181,1166,1189,1512,1337,998
AGO1,792,892,714,795,869,604,1098,970,676,1299,1253,1238
AGP2,1110,811,663,1323,981,926,1191,604,724,1097,1336,2243
AGP3,356,321,249,447,347,430,1013,457,402,590,689,819
AHA1,2230,2251,1912,2171,2162,2187,2087,1796,2310,1862,1638,1977
AHP1,5232,5345,3226,4274,3551,3853,19777,17156,11924,8862,9396,11903
AHP2,1293,1379,1108,1268,1341,1008,1509,1138,1278,2288,2309,2945
AHR1,1558,1546,1842,1824,2682,2056,518,885,975,1087,942,406
AIP2,6003,7764,6162,6493,6725,7495,3548,3052,3951,3152,2634,3340
AKL1,2252,2805,2290,2561,2941,3284,2547,2102,2344,3598,3225,4039
AKR1,1099,1485,1087,1461,2080,1730,1754,1552,1568,3573,4923,3914
ALA1,8785,9028,8747,7531,8768,7556,5706,5500,8410,6331,5384,4635
ALD5,29149,33757,26232,17902,13928,12313,12461,9421,14720,12309,10228,17170
ALD6,132,104,74,119,77,51,176,115,123,1592,1979,2976
ALG1,586,531,503,523,621,513,469,438,507,905,625,742
ALG11,599,503,467,414,519,306,270,284,409,388,223,124
ALG2,1085,1066,885,799,934,648,767,606,819,1075,946,1169
ALG5,495,457,358,478,471,375,426,239,380,372,281,290
ALG6,630,626,550,475,669,467,632,548,597,659,568,538
ALG7,1122,1196,966,1056,1121,1102,1370,801,892,1070,720,1128
ALG8,716,640,634,488,709,372,371,384,553,576,470,405
ALG9,1142,1112,961,895,986,1008,1443,1080,1157,1224,1065,1372
ALI1,1876,2108,1804,1349,2322,879,654,932,860,1883,2203,1746
ALK2,246,280,189,289,240,271,281,194,199,376,264,411
ALK6,18,19,9,16,10,12,15,14,13,23,18,18
ALK8,6,16,8,16,9,9,36,14,15,51,70,128
ALO1,5170,5791,4441,2781,3402,3662,4980,4579,4796,2904,3196,3407
ALP1,1384,1163,864,863,683,787,2979,1650,1601,644,435,313
ALR1,3278,3650,3371,2392,3059,2294,1751,2900,3651,2638,2239,1640
ALS1,2407,4678,4123,19502,29845,31543,1746,1568,928,2971,17952,8600
ALS2,2475,2598,2342,2072,2494,2370,17832,12838,4967,2748,4417,3712
