Replicate,Strain,Treatment
1,CAI4,Control 
2,CAI4,Control 
1,CAI4,α-pheromone
2,CAI4,α-pheromone
1,cek1/cek2,Control 
2,cek1/cek2,Control 
1,cek1/cek2,α-pheromone
2,cek1/cek2,α-pheromone
1,cek1/cek1,Control 
2,cek1/cek1,Control 
1,cek1/cek1,α-pheromone
2,cek1/cek1,α-pheromone
1,cek2/cek2,Control 
2,cek2/cek2,Control 
1,cek2/cek2,α-pheromone
2,cek2/cek2,α-pheromone
1,cpp1/cek1,Control 
2,cpp1/cek1,Control 
1,cpp1/cek1,α-pheromone
2,cpp1/cek1,α-pheromone
1,cpp1/cek2,Control 
2,cpp1/cek2,Control 
1,cpp1/cek2,α-pheromone
2,cpp1/cek2,α-pheromone
1,cpp1/cpp1,Control 
2,cpp1/cpp1,Control 
1,cpp1/cpp1,α-pheromone
2,cpp1/cpp1,α-pheromone
