,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_00010,5342,1988,4434,25,15,11
CD630_00020,1749,337,1767,3,0,1
CD630_00030,737,249,690,8,3,2
CD630_00040,1596,295,1418,16,4,5
CD630_00050,4690,1554,4673,106,49,55
CD630_00060,5967,1796,6458,210,118,120
CD630_00070,65,2,62,3,0,0
CD630_00080,107,21,90,4,3,4
CD630_00090,121,10,57,0,2,3
CD630_00100,353,33,224,18,8,7
CD630_00110,536,97,320,21,11,17
CD630_00120,383,87,254,4,2,0
CD630_00130,353,57,262,5,1,1
CD630_00140,6024,1607,3676,171,67,70
CD630_00150,4321,2475,2692,11,8,0
CD630_00160,7842,1870,7697,31,17,15
CD630_00170,1290,424,1187,10,0,6
CD630_00180,7602,2794,6546,84,50,38
CD630_00181,30,14,29,0,0,0
CD630_00190,311,40,132,13,9,10
CD630_00200,464,295,458,0,1,0
CD630_00210,17678,4085,7691,63,49,41
CD630_00220,977,432,1099,715,577,672
CD630_00230,284,107,135,83,25,31
CD630_00240,657,166,221,245,131,86
CD630_00250,1569,571,571,888,410,287
CD630_00260,9223,3897,4557,5512,2509,1728
CD630_00270,1670,701,1064,171,86,51
CD630_00280,675,261,426,44,28,23
CD630_00290,4990,1415,2390,88,43,35
CD630_00300,1646,323,1215,13,5,5
CD630_00310,5,0,4,0,0,0
CD630_00320,17,5,10,0,0,0
CD630_00330,19,5,19,4,1,2
CD630_00340,22,3,18,2,1,0
CD630_00350,15,7,6,4,0,0
CD630_00360,21,5,7,9,3,2
CD630_00370,11,5,12,8,7,6
CD630_00380,32,12,20,25,31,12
CD630_00390,65,23,44,9,12,5
CD630_00400,23,4,14,0,0,0
CD630_00410,2,2,3,0,0,0
CD630_00420,4,2,5,0,1,0
CD630_00430,14,7,10,0,0,0
CD630_00440,2,0,4,0,0,0
CD630_00450,10,1,13,1,3,0
CD630_00460,101,22,75,1,1,0
CD630_00470,1286,317,680,3,1,0
CD630_00480,1740,543,1014,5,7,1
CD630_00490,4486,1725,3478,64,24,32
CD630_00500,2160,902,2519,513,251,195
CD630_00510,3682,872,1963,32,17,21
CD630_00511,68,2,9,1,0,0
CD630_00520,10152,3891,8021,241,106,115
CD630_00530,4571,1773,4937,160,91,64
CD630_00540,3100,904,2237,31,11,14
CD630_00550,3245,978,2329,58,32,20
CD630_00560,1550,390,1357,33,9,17
CD630_00570,1657,369,1452,41,14,19
CD630_00580,26602,7064,29040,870,357,511
CD630_00581,1814,516,1675,7,8,11
CD630_00590,3293,1025,4379,23,10,15
CD630_00600,15624,4353,16397,126,86,86
CD630_00610,9912,2156,10466,93,55,59
CD630_00620,20625,5363,22748,207,157,98
CD630_00630,9324,3741,12259,182,121,88
CD630_00640,4532,2415,5989,156,112,80
CD630_00650,9579,3805,4293,299,165,111
CD630_00660,60655,19086,59434,820,574,418
CD630_00670,64098,13608,76423,1479,884,625
CD630_00680,31710,9225,31008,338,220,178
CD630_00690,23161,5448,26903,447,217,191
CD630_00700,103188,18972,113128,1815,1334,866
CD630_00710,27004,7026,29868,830,367,553
CD630_00720,11569,3691,8498,47,43,43
CD630_00730,21507,5944,19501,177,104,93
CD630_00740,14016,3772,14599,121,63,87
CD630_00750,6795,2088,7268,75,40,54
CD630_00760,23202,6679,21779,233,164,118
CD630_00770,6917,2327,7402,100,55,49
CD630_00780,9456,2598,9173,82,48,47
CD630_00790,15687,5879,17789,172,92,92
CD630_00800,5818,2160,6433,63,27,49
CD630_00801,1902,669,2646,30,12,13
CD630_00810,4333,1360,4753,77,33,52
CD630_00820,8636,2253,8748,98,67,78
CD630_00830,8122,1927,6808,87,40,53
CD630_00840,10001,2712,9573,143,92,70
CD630_00841,2514,567,1879,28,9,13
CD630_00850,8154,1956,6949,128,56,54
CD630_00860,10796,2321,10392,155,93,82
CD630_00870,7501,1810,8021,98,50,89
CD630_00880,8854,1975,9713,126,45,81
CD630_00881,3855,923,4956,57,34,32
CD630_00890,9835,1765,11919,91,42,68
CD630_00900,29439,5227,34788,198,172,118
CD630_00910,16734,3723,18357,165,118,72
CD630_00920,24444,5831,21575,200,129,87
CD630_00930,2786,401,2731,14,10,10
CD630_00940,3664,816,3592,37,16,21
CD630_00941,1093,345,1244,16,9,5
CD630_00950,4194,1110,3996,41,18,20
CD630_00960,8887,2072,7152,95,39,51
CD630_00970,16384,3616,13278,170,118,94
CD630_00980,30141,6922,27625,318,207,177
CD630_00990,12205,4214,11355,123,76,77
CD630_01000,1336,451,1052,9,5,1
CD630_01010,1308,436,1107,11,4,5
CD630_01020,1464,317,1118,18,4,4
CD630_01030,1156,194,860,8,4,5
CD630_01040,22446,9235,12498,111,50,46
CD630_01050,21038,8414,11551,127,73,63
CD630_01060,840,226,1085,1,1,1
CD630_01070,1367,245,418,5,1,1
CD630_01080,8525,4352,9544,66,47,31
CD630_01090,1911,1096,2186,18,12,5
CD630_01100,1830,526,1742,8,3,5
CD630_01110,3568,1134,3477,32,16,11
CD630_01111,0,0,3,0,0,0
CD630_01120,3879,1259,5108,76,53,40
CD630_01130,4046,1192,6369,103,68,50
CD630_01140,2527,694,4276,114,71,38
CD630_01150,899,274,1717,174,88,81
CD630_01160,7076,1930,10110,1797,1019,917
CD630_01170,5647,2030,8568,1495,769,801
CD630_01180,4928,2165,8555,1165,621,640
CD630_01190,37404,11638,29090,125,87,53
CD630_01200,34208,9693,31326,273,191,126
CD630_01210,1175,290,1180,11,7,4
CD630_01220,150,13,106,0,0,0
CD630_01230,9091,2413,5359,40,17,24
CD630_01240,3979,742,3146,20,14,3
CD630_01250,4180,1604,3579,18,5,8
CD630_01260,34,16,21,0,0,0
CD630_01270,687,237,363,37,11,12
CD630_01280,575,203,286,19,12,7
CD630_01290,0,0,4,0,0,0
CD630_01300,4686,2349,3329,119,89,54
CD630_01310,25,7,28,0,0,0
CD630_01320,228,82,214,5,2,3
CD630_01330,47,4,18,0,0,0
CD630_01340,230,42,260,1,0,0
CD630_01350,14,3,22,0,0,0
CD630_01360,13,4,16,0,0,0
CD630_01370,58,18,59,0,1,0
CD630_01380,4,0,2,1,0,0
CD630_01390,22,5,18,7,2,2
CD630_01400,29,8,20,0,0,1
CD630_01410,34,8,27,1,0,0
CD630_01420,7040,2349,5099,685,476,408
CD630_01430,9960,3799,11221,97,65,60
CD630_01440,3683,1338,4481,35,22,12
CD630_01450,2472,696,3587,26,20,6
CD630_01460,2071,575,2862,18,9,9
CD630_01470,4047,1738,2158,37,13,24
CD630_01480,294,84,271,8,3,3
CD630_01490,255,24,193,2,2,4
CD630_01500,402,69,323,14,5,5
CD630_01510,292,54,257,15,4,10
CD630_01520,1057,315,865,43,26,17
CD630_01530,865,128,857,42,19,12
CD630_01540,94,8,82,6,2,2
CD630_01550,358,90,443,14,14,8
CD630_01560,340,95,177,4,1,1
CD630_01570,10,1,6,0,0,0
CD630_015701,0,1,2,0,0,0
CD630_01590,90,37,156,1,1,0
CD630_01600,5,0,0,0,0,0
CD630_01610,6,0,2,0,1,0
CD630_01620,4,0,3,1,1,0
CD630_01630,19,4,5,0,0,0
CD630_01631,5,1,0,0,0,0
CD630_01632,16,6,28,2,0,0
CD630_01640,9,3,5,1,1,3
CD630_01650,8,1,4,0,0,0
CD630_01660,22,0,13,0,0,0
CD630_01670,92,20,34,2,2,1
CD630_01680,33,4,14,1,0,0
CD630_01690,515,137,370,10,6,2
CD630_01700,647,107,476,25,11,5
CD630_01710,5406,2369,3635,191,115,81
CD630_01720,349,97,293,1,2,0
CD630_01721,5060,6383,3345,2085,749,854
CD630_01730,567,174,577,5,2,1
CD630_01740,11848,3607,15125,1588,664,465
CD630_01750,2237,602,3528,299,106,95
CD630_01760,5269,1258,7565,456,181,136
CD630_01770,532,189,267,397,300,177
CD630_01780,8,6,24,0,0,0
CD630_01790,15206,6180,20120,4357,3394,2882
CD630_01800,37,9,31,0,0,0
CD630_01810,75,19,50,2,1,0
CD630_01811,1,0,1,0,0,0
CD630_01820,2,1,1,0,0,0
CD630_01830,7503,3570,5262,22,14,19
CD630_01840,4220,2179,4397,14,8,2
CD630_01850,1652,715,2083,7,6,2
CD630_01860,1460,918,1887,21,7,6
CD630_01870,1759,1258,1621,9,2,6
CD630_01880,213,88,284,21,20,19
CD630_01890,622,119,364,1,0,0
CD630_01900,79,304,82,2,0,1
CD630_01910,679,307,519,9,2,3
CD630_01920,1172,311,945,25,5,10
CD630_01930,351,210,190,326,101,309
CD630_01940,12250,4334,3960,7962,3778,5335
CD630_01950,269,82,210,9,2,5
CD630_01960,682,140,424,37,19,11
CD630_019601,134,9,91,6,1,2
CD630_01980,9097,2457,5666,171,98,67
CD630_01981,470,132,233,10,6,2
CD630_01990,452,118,385,8,9,7
CD630_02000,11,9,31,0,0,0
CD630_02010,22,8,32,0,1,0
CD630_02020,166,40,77,0,0,0
CD630_02030,71,18,74,1,1,2
CD630_02040,819,162,557,7,1,2
