,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_0001,768,867,529,894,170,292,521,350,260,286,147,216
CDR20291_0002,1167,1149,864,1322,315,452,828,656,370,444,276,438
CDR20291_0003,9647,10321,10100,11496,4146,4690,6650,6718,1952,2665,725,1070
CDR20291_0004,1177,1172,1016,1681,208,477,1108,507,378,652,155,395
CDR20291_0005,2863,2893,1610,3047,469,914,1669,856,422,547,160,435
CDR20291_0006,3594,3761,3235,3948,452,840,1234,806,440,596,113,220
CDR20291_0007,10484,9313,8469,10089,2047,3111,3900,3516,1839,2597,530,923
CDR20291_0008,2156,2031,2127,3273,663,842,1095,1075,522,675,469,676
CDR20291_0009,309,377,148,335,13,43,41,20,12,16,11,29
CDR20291_0010,7301,7296,9191,9355,4984,5743,4943,5307,5669,6150,4165,7125
CDR20291_0011,2410,2220,2857,4271,26954,26200,16382,14419,13330,15050,19519,14045
CDR20291_0012,690,493,1190,887,1065,1072,2055,2223,547,590,1671,2509
CDR20291_0013,567,653,1286,1056,1239,1014,2963,2756,627,602,2424,1999
CDR20291_0014,1501,1670,2657,2890,2744,2389,8023,7973,1530,1451,6798,4481
CDR20291_0015,8284,8557,15333,14440,17237,15370,51223,68316,6900,7079,31580,30659
CDR20291_0016,3162,3429,3673,4413,1496,2359,5488,5176,1337,1659,1925,2237
CDR20291_0017,1240,1504,1479,1799,419,731,2201,1553,630,795,388,639
CDR20291_0018,4807,4347,4634,6070,1868,2608,4245,3966,2026,2817,1392,2641
CDR20291_0019,3594,3404,2862,3530,1178,1409,2123,1816,1078,1442,300,451
CDR20291_0020,261,202,238,353,80,104,196,140,46,77,60,68
CDR20291_0021,33,18,21,31,25,21,23,38,12,20,11,24
CDR20291_0022,52,51,35,50,40,72,84,76,48,40,14,31
CDR20291_0023,132,126,89,131,35,55,63,72,47,35,18,29
CDR20291_0024,77,105,69,124,138,296,63,103,106,219,163,234
CDR20291_0025,284,271,205,277,970,1357,112,87,1436,2576,403,290
CDR20291_0026,343,333,268,292,1110,1351,174,95,1996,3219,553,299
CDR20291_0027,409,409,365,372,1239,1486,164,156,2435,3903,598,348
CDR20291_0028,1069,919,878,989,3586,4113,502,466,6949,11395,1646,977
CDR20291_0029,81,87,83,77,43,34,50,68,67,56,104,134
CDR20291_0030,32,28,25,35,25,31,48,24,6,5,10,7
CDR20291_0031,97,74,83,94,104,81,133,124,7,21,19,15
CDR20291_0032,35,38,55,45,29,12,50,41,30,25,27,20
CDR20291_0034,12,17,19,17,11,15,14,16,5,2,0,9
CDR20291_0035,313,280,302,513,178,224,279,221,11,20,12,10
CDR20291_0036,403,480,349,653,126,167,218,159,154,200,120,218
CDR20291_0037,644,628,621,1026,211,250,283,278,109,155,92,140
CDR20291_0038,9761,9138,11280,19493,3612,4349,3327,4502,171,274,70,186
CDR20291_0039,39656,39797,63339,82822,9772,11557,9108,7872,2312,3080,1111,2045
CDR20291_0040,14217,12601,13130,15115,2452,3261,4617,4405,5610,6948,2617,2522
CDR20291_0041,27192,29392,43817,32171,61917,50718,56868,52745,2026,2430,1294,1596
CDR20291_0042,10475,10293,15917,11923,28707,20720,24183,26422,30232,29109,114520,45282
CDR20291_0043,3640,3725,5334,4633,3361,3306,5837,4705,12443,11953,47552,24551
CDR20291_0044,1795,1973,2869,2651,1684,1615,3047,2532,2170,2600,3651,1967
CDR20291_0045,4789,4497,6540,6316,3814,3620,6719,5591,1145,1390,1881,953
CDR20291_0046,3140,2979,3939,3949,1756,1924,2971,2591,2845,3373,4487,2254
CDR20291_0047,1032,956,1181,1172,486,543,764,773,1431,1755,1787,1050
CDR20291_0048,3124,3108,3904,3665,1857,1979,2451,2340,383,441,385,278
CDR20291_0049,1673,1644,2020,1986,737,747,986,857,1460,1535,1268,958
CDR20291_0050,3790,3448,3726,3856,1049,1203,1472,1229,597,677,471,351
CDR20291_0051,232869,213034,189620,210975,19278,24949,29047,28699,930,961,564,447
CDR20291_0052,1565,1346,919,1326,79,86,114,100,13411,16298,4134,6277
CDR20291_0053,6642,5888,4453,6619,351,414,587,474,64,100,16,30
CDR20291_0054,20199,17928,13419,19752,979,1348,1563,1354,347,464,71,147
CDR20291_0055,25161,22250,18575,22545,1082,1346,1520,1215,942,1370,196,375
CDR20291_0056,59654,50504,44477,54379,2795,3602,3705,3097,872,1251,155,277
CDR20291_0057,67348,56858,50619,61142,2920,3792,2939,2284,2303,2982,385,726
CDR20291_0058,71114,47163,48926,58230,3253,4622,3993,3238,2748,3892,185,456
CDR20291_0059,8503,8775,8904,12162,7194,8031,10756,9956,2659,4102,260,842
CDR20291_0060,44915,44788,30946,48126,5024,7654,13171,9795,7045,7741,6058,7898
CDR20291_0061,65807,61885,51247,55940,10469,12581,15064,14996,5668,7809,1818,3647
CDR20291_0062,41006,39382,31047,38345,1882,2568,2947,2791,9177,10582,2416,2824
CDR20291_0063,35718,34412,26849,31996,1446,1970,2229,2202,1675,2552,210,729
CDR20291_0064,176459,153394,134797,152878,8937,12787,12983,12876,1382,1852,152,454
CDR20291_0065,16248,14518,12892,14335,758,1067,1027,923,6826,9213,927,2688
CDR20291_0066,17384,14877,12323,14650,904,1255,961,801,625,873,56,192
CDR20291_0067,37502,31113,28745,32207,2405,3067,2402,2202,1386,2029,108,270
CDR20291_0068,36105,29462,26837,29548,2157,2936,2185,1938,3244,4639,258,781
CDR20291_0069,14828,12664,11023,11926,907,1171,771,744,3117,4234,218,554
CDR20291_0070,41692,32914,32085,32742,2727,3529,2360,2263,1324,1834,103,236
CDR20291_0071,10112,8459,8096,8419,712,854,586,581,3686,4875,287,591
