,media_1,media_2,media_3,Cpmedia_1,Cpmedia_2,Cpmedia_3
CDR20291_3551,1294.470166,1452.13916,1463.89311,1387.923177,1387.453783,1700.746023
CDR20291_3552,2929.75031,2961.683993,2978.216668,2762.320493,3027.768107,3381.83135
16S rRNA.1,1,1,1,1,1,1
23S rRNA.1,1,1,1,1,1,1
5S rRNA.1,1,1,1,1,1,1
CDR20291_0001,1093.890793,1157.123391,971.7396323,1179.492067,1426.387253,1322.724601
CDR20291_0002,1572.137841,1532.919264,1426.478216,1606.110012,1904.960014,1943.146555
CDR20291_0003,9186.445284,10408.06315,10167.0534,9489.905463,8391.342935,10009.85878
CDR20291_0004,4740.472009,4572.901092,3459.10478,4060.044993,3539.117634,3789.902452
CDR20291_0005,7383.350848,7539.643008,6274.62272,7201.651143,9441.890262,8710.217325
CDR20291_0006,2167.37038,2579.380689,2529.265901,2501.774428,3006.322363,2735.490822
CDR20291_0007,5369.24678,6498.540383,6158.251192,5847.713845,7793.566653,7463.967557
CDR20291_0008,2737.831608,2579.067827,2679.457096,3464.311636,3615.814624,3830.186695
16S rRNA.2,1,1,1,1,1,1
23S rRNA.2,1,1,1,1,1,1
5S rRNA.2,1,1,1,1,1,1
CDR20291_0009,936.497933,1081.557012,848.8689296,618.3594908,658.7781979,690.3049408
CDR20291_0010,18698.69544,18538.59129,16513.24466,21092.88772,24301.52113,23266.87769
CDR20291_0011,848.397171,1061.369293,1053.412669,1745.000216,1357.811035,1806.236388
CDR20291_0012,1284.057418,1495.075888,2324.75183,1896.971121,2000.238062,1545.305109
CDR20291_0013,2034.961804,2092.578458,2828.355989,2523.751242,3018.395209,2603.175748
CDR20291_0014,4843.99614,5090.628252,6168.09812,5622.441384,7527.932622,6316.151233
CDR20291_0015,17779.26422,18494.79899,17951.20413,17010.0764,28218.58448,21416.34998
CDR20291_0016,6363.033492,6365.124422,5861.174196,5002.234583,4832.593733,4909.910461
CDR20291_0017,3469.961643,3800.380091,3199.589262,2373.997993,2236.606901,2177.767917
CDR20291_0018,11786.67358,12488.72867,10675.13726,12968.02359,12431.02812,12968.13146
CDR20291_0019,11538.98735,11264.08105,10198.44801,7793.150703,8104.463669,8035.25448
CDR20291_0020,201.1090228,172.4007213,216.7683025,319.3051474,356.1277385,389.9211227
CDR20291_0021,25.07931433,31.66757084,107.3975,12.40550706,15.92467473,14.22772609
CDR20291_0022,85.91877387,77.72176184,167.6000768,49.8679641,32.99306036,46.56135054
CDR20291_0023,160.9206879,175.1782194,219.499676,124.300992,101.956928,134.8713774
CDR20291_0024,172.8899263,205.1708128,236.0584636,237.4996044,271.0862258,272.3235615
CDR20291_0025,276.3446745,320.7283338,412.861763,274.2272255,289.7363732,307.5452748
CDR20291_0026,388.8071663,461.5605146,523.306729,354.2372212,368.0579185,423.8646966
CDR20291_0027,495.2410182,554.2864769,640.7869693,449.8090881,448.0655508,458.4876299
CDR20291_0028,765.0960157,873.6793006,1023.48199,682.6697427,594.7073105,637.4206732
CDR20291_0029,132.2270012,120.129911,242.8019167,95.60302086,59.70777902,80.60042272
CDR20291_0030,17.68829394,18.75970973,27.3610938,9.037712726,9.619803334,4.742575037
CDR20291_0031,31.67182289,24.34345441,31.49883793,18.58093248,12.73378142,4.03975472
CDR20291_0032,51.27984514,48.52110833,146.9424068,41.05566789,24.95710003,31.2355797
CDR20291_0033,2.714467103,9.15512637,28.78338976,4.098736089,1.949960095,4.46222574
CDR20291_0034,36.61580478,25.72286441,55.84834021,12.76073037,23.12653146,20.97946961
CDR20291_0035,405.6358914,412.6171568,425.8533829,608.2387833,525.309185,477.672165
CDR20291_0036,780.633194,951.9189949,851.8644059,877.4432441,552.0289049,748.1516898
CDR20291_0037,863.0850966,905.7474319,816.0874805,825.9513519,531.7578074,748.6247836
CDR20291_0038,24923.10164,31498.4671,36316.83859,16595.59805,10638.06399,12921.41997
CDR20291_0039,30727.63263,37815.60291,40540.09924,23836.42078,22223.46264,22501.14818
CDR20291_0040,10532.13282,11066.03675,10356.85963,11632.98729,9285.964177,11303.55535
CDR20291_0041,19632.78201,21120.26037,26785.69297,20340.06966,18881.73871,17043.22814
CDR20291_0042,7152.867491,7553.76926,8404.300314,6507.555521,6527.288088,6125.241453
CDR20291_0043,10657.74057,10619.55726,10416.75282,8241.92717,5286.898814,5560.35007
CDR20291_0044,6246.355653,5939.299213,5460.952906,4471.662224,2940.347597,3188.38471
CDR20291_0045,18325.98344,17918.50931,15699.50008,12778.58082,9127.063162,9583.666569
CDR20291_0046,12280.35376,11879.5618,9873.671968,8350.246087,6555.408639,7324.512371
CDR20291_0047,3079.8919,3244.022251,2639.544,2168.099121,1623.000805,1985.177097
CDR20291_0048,8134.164771,8726.00751,6818.737824,5797.75237,4898.15258,5664.641738
CDR20291_0049,4578.406992,5232.359673,3953.133606,3336.107356,2865.104412,3274.883795
CDR20291_0050,4489.278862,5470.306675,4293.290265,3552.054495,3247.333858,3695.964028
CDR20291_0051,92577.43688,107983.4732,103679.9211,83115.44664,70857.50272,82239.84928
CDR20291_0052,6792.712131,7907.999146,6900.747835,5975.948501,3371.70827,4815.824158
CDR20291_0053,12617.88949,14815.15398,13307.48205,11736.46242,6910.512534,9562.181007
CDR20291_0054,32124.29115,38433.85317,34063.82919,29967.58073,17872.71269,25089.0635
CDR20291_0055,31592.18279,37490.95617,35159.08732,26451.77656,15805.72947,21321.93869
CDR20291_0056,72029.9359,81034.57651,75775.82322,57437.80513,34819.4067,49170.79294
CDR20291_0057,71886.53771,76823.86888,70382.00535,44844.67299,25808.97096,35229.53959
CDR20291_0058,59803.3632,62405.38911,56395.99141,39351.82707,23992.8181,33162.9333
CDR20291_0059,3291.539966,3049.576095,4525.04367,3841.840742,4804.398151,3815.033473
CDR20291_0060,129966.1146,130628.1227,105285.3369,89095.19455,85869.72791,92321.49718
CDR20291_0061,148041.2811,148039.2288,137231.4858,110945.7594,119774.9761,120869.1885
CDR20291_0062,50553.34729,55287.70247,48195.8064,32810.9103,26235.97891,31002.37242
CDR20291_0063,59942.97222,66762.06692,59452.75316,41196.98108,32734.59479,37137.08608
CDR20291_0064,296055.8837,319004.2237,288746.5133,214371.115,183688.0184,222182.3979
CDR20291_0065,13824.60845,16140.21303,15244.0434,11081.67238,8914.634913,10566.9324
CDR20291_0066,34298.78855,42381.41101,34817.66902,23201.92683,15577.89847,20869.53738
CDR20291_0067,62569.06826,76828.66156,64915.66316,42330.47332,27827.52539,39557.42785
CDR20291_0068,54254.60595,64403.88065,55579.6065,36675.65217,22699.7376,31696.19411
CDR20291_0069,27511.11516,33014.72481,28915.73192,17908.92351,11267.65753,16270.21844
CDR20291_0070,103890.1967,120701.4097,106044.8475,68189.50067,43036.67501,63851.59331
CDR20291_0071,37973.30635,44561.8961,39672.48095,24894.51002,15905.6091,23728.05127
CDR20291_0072,34774.23122,42169.25753,37834.57188,23294.84321,14808.89629,21535.52688
CDR20291_0073,65650.6648,83379.55199,76693.25069,46002.63884,27235.8071,38114.59696
CDR20291_0074,29194.54083,37173.9404,35124.82702,21477.76124,12239.02489,17015.73677
CDR20291_0075,14370.70282,18366.34588,17050.80225,9956.431217,5942.371147,8391.406916
CDR20291_0076,23459.47326,30055.1375,27427.14816,16131.74628,9943.465275,14043.20879
CDR20291_0077,37676.96146,47164.83499,43140.43191,25924.23865,16303.55547,23572.8243
CDR20291_0078,29099.72704,36876.70158,33471.30082,19340.82882,12528.67737,17901.03025
CDR20291_0079,50055.08442,63035.15367,58053.20109,33891.24465,21398.54377,31056.12049
CDR20291_0080,13152.99751,17319.0719,16064.20539,9494.471624,5798.636551,8302.87924
CDR20291_0081,30663.95148,40726.83268,37864.49324,21614.29261,13243.00588,19091.27718
CDR20291_0082,47490.78556,63244.2851,58089.54866,33544.13684,20746.75382,29512.69401
CDR20291_0083,29252.43296,38982.14887,36251.57359,21177.26999,12758.77324,18219.18748
CDR20291_0084,48143.08594,59399.699,56603.72982,34586.37039,21127.84497,29572.77487
CDR20291_0085,18111.44457,22638.44116,21357.79368,12220.48565,7822.44015,10704.22703
CDR20291_0086,55911.36708,65878.26776,62804.48638,38023.58657,24153.22142,32946.62352
CDR20291_0087,138663.0621,151824.1746,139239.7883,81705.92045,53314.11799,77002.62461
CDR20291_0088,82851.14413,90419.60533,80390.81187,46283.4889,28928.6424,42263.04222
CDR20291_0089,87356.95811,98793.60244,87301.14771,47648.36202,30077.18651,44835.53524
CDR20291_0090,22991.89886,25708.05779,22981.41485,12070.62702,6833.035941,10579.95595
CDR20291_0091,14770.77599,17177.02419,15457.98874,8121.221377,4721.020395,6779.113922
CDR20291_0092,8516.742406,10047.87638,9062.742634,4762.934521,2699.416732,3826.561841
CDR20291_0093,22630.95742,27614.26294,25520.4297,13681.00886,7708.326684,10304.21514
CDR20291_0094,44804.84106,54181.81118,49913.692,27565.9366,16991.32807,22843.51438
CDR20291_0095,62436.88751,75205.31474,67715.89979,38023.63928,24880.95085,33661.99358
CDR20291_0096,112715.1566,132726.1393,123367.8545,68598.67071,46148.55965,62602.168
CDR20291_0097,37223.70401,43838.3537,40711.50684,23838.6679,15807.15378,20346.6266
CDR20291_0098,3094.85478,3009.549854,2499.128728,2307.55129,1896.240845,2226.262505
CDR20291_0099,2993.590147,2844.814762,2613.531804,2090.540098,1757.795472,1891.446166
CDR20291_0100,2714.391308,2547.120505,2403.946377,1939.464966,1693.22385,1862.775375
CDR20291_0101,2902.984191,2917.237239,2831.284481,2114.396168,2114.341942,2155.210397
CDR20291_0102,1,1,1,1,1,1
CDR20291_0103,35483.06467,36060.78044,30461.0489,25828.69263,24075.29741,26175.79982
CDR20291_0104,1016.124878,1161.038422,969.3373289,661.975494,918.4497622,748.3456636
16S rRNA.3,1,1,1,1,1,1
23S rRNA.3,1,1,1,1,1,1
16S rRNA.4,1,1,1,1,1,1
23S rRNA.4,1,1,1,1,1,1
5S rRNA.3,1,1,1,1,1,1
CDR20291_0105,15129.91225,13621.81195,12847.66001,18692.44931,18476.809,18379.5395
