,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
Cdi1_1,1,1,0,1,1,1,2,1,2,1,1,2
Cdi1_10,1,1,0,1,1,1,2,1,2,1,1,2
Cdi1_11,606,264,244,376,221,256,264,276,294,635,303,361
Cdi1_12,1,1,0,1,1,1,2,1,2,1,1,2
Cdi1_2,1,1,0,1,1,1,2,1,2,1,1,2
Cdi1_3,222,122,428,396,137,410,274,230,225,96,141,513
Cdi1_6,246,99,84,150,85,121,111,116,304,458,119,544
Cdi1_7,396,147,141,221,126,168,175,159,211,393,182,283
Cdi1_8,514,201,226,316,157,217,239,241,260,526,230,388
Cdi1_9,732,290,289,459,248,289,313,300,334,834,365,422
Cdi2_2,1,1,0,1,1,1,2,1,2,1,1,2
Cdi2_3,1,1,0,1,1,1,2,1,2,1,1,2
Cdi2_4,1,1,0,1,1,1,2,1,2,1,1,2
CDmisc_RNA_16,1,1,0,1,1,1,2,1,2,1,1,2
CDmisc_RNA_17,730,1097,1418,1600,973,2269,1306,1374,1523,1694,1555,3247
CDmisc_RNA_5,79,85,81,59,72,82,39,43,62,259,119,137
CDmisc_RNA_7,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_0001,533,425,480,498,395,452,486,616,222,221,390,210
CDR20291_0002,287,472,567,482,382,467,629,706,185,245,282,278
CDR20291_0003,6630,3503,5130,5269,5997,5665,7304,5860,6261,5633,6687,3975
CDR20291_0004,4945,6119,3108,3202,2609,2285,1725,1282,2546,5978,4144,1953
CDR20291_0005,2189,9864,1831,1540,951,659,780,690,1206,9458,2942,996
CDR20291_0006,2362,5775,2270,2270,1572,1863,1624,1149,2657,5504,3213,2590
CDR20291_0007,8709,22237,5997,6420,5425,5339,4443,3418,9764,18071,10010,8386
CDR20291_0008,1847,1006,2054,1726,1264,1196,906,748,1301,1171,2050,1084
CDR20291_0009,191,421,143,131,97,83,32,50,114,228,233,142
CDR20291_0010,60632,29665,33404,46241,27027,19716,15675,37849,4092,3250,3492,3833
CDR20291_0011,1833,1011,2737,2547,4409,3954,2970,3294,2408,1426,829,2632
CDR20291_0012,2622,792,1106,1802,1319,963,778,1554,362,279,125,151
CDR20291_0013,4678,1183,1507,2541,1798,1135,1170,3029,482,322,130,183
CDR20291_0014,13267,3497,3827,7674,4547,2382,2797,9687,1001,600,368,635
CDR20291_0015,58009,11600,16036,34831,23333,12139,16013,43806,2888,1531,1829,2161
CDR20291_0016,3660,2240,1848,3451,2306,1631,2261,5214,1683,800,1200,1528
CDR20291_0017,1439,824,906,1456,888,556,634,2229,730,287,423,605
CDR20291_0018,3403,3112,4169,5187,3292,4528,5705,5185,2056,3041,5414,2812
CDR20291_0019,1521,1259,1805,2562,846,838,832,1750,930,525,1579,1165
CDR20291_0020,84,41,104,53,47,20,12,24,81,81,61,56
CDR20291_0021,26,15,15,14,11,10,15,2,33,27,3,37
CDR20291_0022,10,33,15,12,7,11,10,7,49,45,10,44
CDR20291_0023,32,23,28,25,22,30,15,18,62,33,45,42
CDR20291_0024,299,212,224,270,102,112,67,87,83,77,58,51
CDR20291_0025,601,448,280,466,167,141,121,166,216,109,161,154
CDR20291_0026,717,568,343,629,196,136,143,232,276,91,193,225
CDR20291_0027,301,243,252,377,103,55,57,140,132,34,121,100
CDR20291_0028,868,480,494,754,275,238,183,253,299,198,394,259
CDR20291_0029,16,14,23,30,11,10,5,12,26,27,13,7
CDR20291_0030,4,3,2,3,2,2,2,1,9,3,2,2
CDR20291_0031,4,1,6,6,4,3,7,3,12,7,3,17
CDR20291_0032,11,23,20,16,11,12,5,22,32,17,9,10
CDR20291_0033,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_0034,1,8,4,4,3,9,7,4,7,5,5,2
CDR20291_0035,141,75,157,138,125,156,151,126,128,151,119,122
CDR20291_0036,332,260,341,268,175,143,148,87,236,335,647,327
CDR20291_0037,414,320,413,334,261,202,173,132,345,566,869,532
CDR20291_0038,8112,7838,6966,6847,4618,3532,3698,3513,11012,24825,10709,25554
CDR20291_0039,14022,11216,12175,12247,7092,7394,7171,6019,18212,45163,16512,42993
CDR20291_0040,4033,2450,4525,3757,2725,2752,2481,1788,4732,4203,5827,3784
CDR20291_0041,9483,8741,6066,6895,7355,7340,6865,7166,6359,4709,4630,4382
CDR20291_0042,2717,2104,1912,2198,2217,2327,2419,2312,1752,1486,1256,1389
CDR20291_0043,2191,1582,1047,1708,960,694,671,1463,1970,489,834,1360
CDR20291_0044,490,340,321,498,193,164,123,383,431,99,187,312
CDR20291_0045,1859,1141,1284,1838,725,535,496,1388,1432,358,612,1147
CDR20291_0046,1695,1406,1128,1653,696,472,669,1286,1120,576,714,920
CDR20291_0047,1098,521,417,700,346,139,217,504,633,317,410,364
CDR20291_0048,2050,1594,1156,1871,864,622,879,1429,1512,644,881,1196
CDR20291_0049,1782,1107,753,1312,600,319,516,1043,1254,325,706,913
CDR20291_0050,2393,1453,1182,1778,858,476,459,1222,1773,432,891,969
CDR20291_0051,183013,186612,136856,144210,105856,90766,53793,68332,183531,142864,259999,107827
CDR20291_0052,1839,1914,1958,1980,939,644,723,846,1585,1722,4034,1821
CDR20291_0053,3645,4874,4582,4299,2223,1668,1819,2195,3806,3566,8747,4429
CDR20291_0054,10789,17030,13732,12875,6633,5729,5566,6818,11909,10137,25639,16018
CDR20291_0055,10217,15708,10376,10080,5714,5979,5964,5385,15483,13633,30302,16265
CDR20291_0056,11597,22316,20222,17199,7795,11197,10972,9834,20500,18806,42677,29739
CDR20291_0057,12722,34347,16702,16039,6561,9552,9042,6292,24052,35793,56695,31191
CDR20291_0058,6058,19939,12238,10394,4484,10005,10730,5819,18748,18257,26408,28213
CDR20291_0059,1655,2765,891,1005,786,1141,1459,972,682,1575,560,657
CDR20291_0060,28891,65455,35547,32890,20634,21589,14786,13187,21142,32649,40908,29155
CDR20291_0061,28474,62181,34072,31279,17432,18306,15596,13205,22999,31879,42099,27444
CDR20291_0062,13509,28084,13997,13280,8969,9593,6966,6146,13165,20991,30826,20090
CDR20291_0063,15230,29487,14551,14265,9849,9886,6929,6384,15286,24402,36997,21638
CDR20291_0064,41511,109625,63994,53593,31270,41252,31150,26193,54288,65607,109941,85906
CDR20291_0065,183014,186748,136838,144184,105870,90782,53808,68306,183600,142964,260156,107903
CDR20291_0066,5791,9986,6565,7118,3493,3650,2982,4980,5438,3273,8748,6462
CDR20291_0067,15872,25053,13969,16413,8263,7562,7672,12335,14092,6064,20832,18311
CDR20291_0068,16867,24988,12443,16548,8130,5285,5900,11573,14577,4954,20935,16914
CDR20291_0069,7442,8016,4598,6379,2663,1018,1523,4023,5550,1799,8422,4790
CDR20291_0070,13609,22869,13356,16599,6605,4339,5843,12747,13049,3991,16679,14756
CDR20291_0071,5112,7899,4120,5489,2214,1446,2049,4194,4812,1580,5533,4707
CDR20291_0072,8832,11784,4723,6911,2938,1350,2046,4967,7221,2154,8864,5110
