,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1000001,23,1,1,295,14,1,2840,22,6,164,6,2,6,2,2061,12,572
BN165_1000002,4,1,14,22,57,13,1,122,1,35,61,2,19,3,2668,21,830
BN165_1000003,35,2,1,4,71,21,46,111,7,3,32,3,188,3,2371,89,742
BN165_1000004,1,12,1,30,24,2,37,60,10,51,65,6,167,548,3388,7,1007
BN165_1000005,3,19,2,28,50,21,114,24,17,25,42,13,204,419,2330,9,716
BN165_1000006,10,10,9,39,350,10,76,101,17,31,134,10,232,588,2388,18,683
BN165_1000007,7,3,7,10,23,41,117,43,15,22,111,18,248,496,2747,56,860
BN165_1000008,11,5,144,39,28,20,141,133,5,87,71,5,376,618,3518,49,1185
BN165_1000009,27,1,153,18,602,48,53,152,2,68,70,18,369,1005,3330,42,1205
BN165_100001,14,8,145,61,622,58,45,40,22,30,25,11,19,802,146,48,47
BN165_1000010,11,6,356,68,669,21,55,36,4,55,38,26,11,16,2496,84,791
BN165_1000011,10,5,606,26,830,17,72,32,230,8,35,26,27,201,3352,19,1103
BN165_1000012,20,14,441,15,847,24,57,81,133,24,29,9,20,44,3784,1,1252
BN165_1000013,18,8,484,11,1432,33,41,58,143,21,59,7,36,235,4093,1,1494
BN165_1000014,40,2,32,42,1317,28,552,2,22,3,14,5,41,833,2387,1,656
BN165_1000015,24,8,56,36,53,15,19,7,5,65,28,17,16,1162,2172,1,697
BN165_1000016,36,10,45,4,35,13,41,5,28,84,6,12,11,842,2461,1,708
BN165_1000017,8,32,5,1,80,11,6,9,33,25,88,5,16,1347,2558,3,751
BN165_1000018,1,9,16,3,40,3,82,11,47,15,59,15,20,16,3874,3,1239
BN165_1000019,1,16,26,55,84,7,63,23,28,17,1,19,18,53,3379,3,992
BN165_100002,18,2,13,80,98,10,10,12,16,29,10,15,1,30,53,16,17
BN165_1000020,1,1,39,7,32,53,11,54,65,20,10,3,1,80,2868,5,984
BN165_1000021,1,2,38,7,27,328,11,1,12,27,10,1,1,78,2587,1,810
BN165_1000022,1,21,11,21,33,381,11,29,1,1,10,6,1,29,1549,1,369
BN165_1000023,2,5,8,20,39,439,11,35,26,1,10,1,4,1,2349,2,629
BN165_1000024,13,11,5,3,37,294,11,55,1,1,4,32,4,1,2427,1,684
BN165_1000025,1,2,14,2,52,547,4,43,1,3,3,1,2,1,876,1,151
BN165_1000026,4,509,18,4,7,9,6,18,1,984,6,29,1,1,1452,1,353
BN165_1000027,4,4,11,224,7,13,9,2,2,16,24,66,13,5,1982,1,595
BN165_1000028,64,3,18,122,12,96,22,6,3,28,12,62,1,2,3508,4,1270
BN165_1000029,76,4,1,232,23,96,11,75,4,6,1,1,1,136,2646,17,826
