,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS00005,14,8,20,128,135,139
AT688_RS00010,14,2,6,51,34,62
AT688_RS00015,147,87,120,1076,818,1318
AT688_RS00020,18,10,17,155,140,227
AT688_RS00025,417,246,380,3246,2991,3749
AT688_RS00030,530,277,391,4441,3327,4463
AT688_RS00035,70,36,66,330,202,285
AT688_RS00040,593,376,534,2770,2258,2818
AT688_RS00045,429,163,292,1490,1190,1423
AT688_RS00050,33,20,20,77,49,57
AT688_RS00055,5,2,4,15,7,9
AT688_RS00060,36,27,25,63,47,114
AT688_RS00065,117,62,82,431,398,469
AT688_RS00070,165,96,120,712,603,829
AT688_RS00075,20,8,12,125,67,124
AT688_RS00080,21,15,16,60,50,61
AT688_RS00090,649,435,602,2583,2282,3095
AT688_RS00095,58,36,38,136,135,185
AT688_RS00100,1943,1408,2014,7378,6184,7580
AT688_RS00105,67,45,57,286,233,280
AT688_RS00110,73,33,44,302,273,315
AT688_RS00115,10,7,8,73,72,89
AT688_RS00120,24,21,20,156,102,134
AT688_RS00125,164,100,137,688,622,742
AT688_RS00130,93,75,81,567,475,620
AT688_RS00135,15,10,17,85,92,74
AT688_RS00140,992,557,703,2407,1768,2198
AT688_RS00145,4,3,6,15,9,21
AT688_RS00150,1,1,3,4,2,5
AT688_RS00155,12,1,2,49,48,106
AT688_RS00160,0,0,0,0,2,0
AT688_RS00165,30,15,13,203,204,226
AT688_RS00170,6,2,3,62,50,85
AT688_RS00175,3,6,2,27,20,29
AT688_RS00180,12,3,11,52,35,61
AT688_RS00185,0,0,0,0,2,4
AT688_RS00190,0,0,0,1,5,3
AT688_RS00195,3,2,1,10,9,10
AT688_RS00200,0,0,0,0,4,2
AT688_RS00205,0,0,0,1,0,2
AT688_RS00210,2,0,0,1,3,5
AT688_RS00215,55,18,26,82,60,113
AT688_RS00220,81,19,46,104,39,79
AT688_RS00225,108,77,98,532,381,551
AT688_RS00230,4,2,4,20,9,21
AT688_RS00235,2250,1396,1875,8438,7237,8399
AT688_RS00240,34,19,37,10,9,15
AT688_RS00245,6,5,1,4,1,7
AT688_RS00250,0,0,1,0,1,3
AT688_RS00255,63,31,67,321,277,370
AT688_RS00260,196,152,171,970,804,1199
AT688_RS00265,248,143,210,923,701,1133
AT688_RS00270,605,481,553,2489,2229,3147
AT688_RS00275,7,7,7,47,33,47
AT688_RS00280,55,25,26,239,195,271
AT688_RS00285,229,148,209,836,687,935
AT688_RS00290,59,33,31,119,80,123
AT688_RS00295,25,15,18,113,106,107
AT688_RS00300,44,15,52,228,172,219
AT688_RS00305,0,0,0,0,0,5
AT688_RS00310,22,9,12,44,34,44
AT688_RS00315,10,5,9,49,32,49
AT688_RS00320,34,17,35,90,58,97
AT688_RS00325,62,26,45,217,167,238
AT688_RS00330,195,102,167,1257,892,1304
AT688_RS00335,2277,1354,1669,8199,6340,9065
AT688_RS00340,54,29,36,384,281,423
