,Gal.1,Gal.2,Glc.1,Glc.2,NAG.1,NAG.2,Fru.1,Fru.2
GXM22_RS00005,1562.678986,1798.34001,1450.482456,1568.514382,1607.138756,1704.842309,924.4992747,894.5737145
GXM22_RS00010,1339.159031,1401.032334,1146.702168,1253.789672,1219.641839,1426.698393,818.89011,882.9104327
GXM22_RS00015,136.2687447,130.2911814,109.470374,139.9911858,117.4423398,139.7638581,80.46412545,79.31031628
GXM22_RS00020,491.1556913,582.2889836,491.2483034,499.6765685,482.958071,404.069768,257.3175678,292.7483733
GXM22_RS00025,95.09401609,78.01385554,61.57708538,64.37550882,76.6201361,89.94703741,51.96641435,85.14195719
GXM22_RS00030,1714.633342,1929.435458,1501.112504,1833.169251,1343.992551,1505.575026,971.4366812,1091.683177
GXM22_RS00035,2736.158752,2864.797458,2624.552217,2845.806223,2208.167201,2119.982482,1446.677922,1520.891948
GXM22_RS00040,34.31227385,28.95359587,30.10435285,28.61133725,40.82220366,33.21121381,28.4977111,31.49086088
GXM22_RS00045,299.9873085,332.9663525,287.3597318,307.5718755,223.5800693,238.013699,257.3175678,297.4136861
GXM22_RS00050,175.482772,172.1130421,119.0490317,165.5370227,99.85739049,102.4012426,125.725196,131.7950844
GXM22_RS00055,189.2076815,193.828239,164.205561,188.0173591,128.74695,124.5420518,176.0152744,156.2879762
GXM22_RS00060,80697.56633,78143.34245,73189.15531,73030.43834,64025.54422,58386.69768,56413.73362,51570.36683
GXM22_RS00065,35.29262453,35.38772829,42.41976993,35.76417157,24.4933222,22.14080921,51.96641435,53.65109631
GXM22_RS00070,43.13542998,33.77919518,25.99921383,33.72050462,25.1213561,26.29221093,63.70076598,57.15008085
GXM22_RS00075,1103.874867,1132.407305,1445.008937,1191.45783,992.2935659,939.6005908,652.0946833,786.1051937
GXM22_RS00080,5.882104088,4.02133276,6.841898376,5.109167367,18.21298317,8.302803453,10.05801568,13.99593817
GXM22_RS00085,265.6750346,303.2084901,250.4134806,269.764037,305.8525105,348.717745,271.5664234,410.5475196
GXM22_RS00090,189.2076815,200.2623714,157.3636626,190.061026,230.4884422,229.7108955,184.3969542,242.5962616
GXM22_RS00095,752.9093233,732.6868288,685.5582173,720.3925987,790.0666493,795.6853309,703.2229297,796.6021474
GXM22_RS00100,90.19226268,111.7930507,123.1541708,114.445349,164.5448824,136.996257,119.8580202,152.7889917
GXM22_RS00105,144.1115502,168.0917094,164.205561,152.2531875,121.2105432,106.5526443,119.0198522,132.9614126
GXM22_RS00110,230.3824101,203.4794376,176.5209781,231.9561984,145.7038654,190.9644794,163.4427548,216.9370416
GXM22_RS00115,311.7515167,329.7492863,321.5692237,337.2050462,249.9574932,262.9221093,260.6702397,321.9065779
GXM22_RS00120,197.0504869,202.6751711,232.6245448,177.7990244,142.5636959,124.5420518,140.8122195,153.9553198
GXM22_RS00125,3518.478595,3387.570717,3775.359524,3854.355861,3609.310837,3442.895832,4227.719258,4848.426247
GXM22_RS00130,492.136042,450.3892691,498.0902018,518.069571,518.7560034,500.9358083,312.6366541,401.2168941
GXM22_RS00135,2165.594655,2285.725541,2294.772715,2336.933153,3122.584563,3015.301454,1696.451978,1787.981101
GXM22_RS00140,238.2252156,205.0879707,192.9415342,216.6286963,209.7633234,233.8622973,302.5786384,233.2656361
GXM22_RS00145,704.8721399,648.2388409,532.2996936,648.8642556,437.1115961,494.0168055,1064.473326,870.0808227
GXM22_RS00150,386.2581684,391.6778108,384.5146887,442.4538939,203.4829844,279.5277162,420.7603227,415.2128323
GXM22_RS00155,8826.097184,8185.824966,1423.114862,1326.339848,268.1704764,258.7707076,455.1252096,528.3466658
GXM22_RS00160,549.9767322,555.7481874,485.7747847,507.8512362,415.1304095,355.6367479,480.2702488,482.8598668
GXM22_RS00165,71.56559974,95.70771968,77.99764149,80.72484439,226.0922049,267.0735111,124.0488601,138.7930535
GXM22_RS00170,173.5220706,205.8922373,168.3107,215.6068629,501.7990881,565.9744354,369.6320763,254.2595434
GXM22_RS00175,1884.23401,2149.804493,2307.088132,2290.950647,2404.741813,2250.059736,1786.135951,1751.824927
GXM22_RS00180,230.3824101,272.6463611,264.0972773,279.9823717,302.0843071,297.5171237,321.0183338,323.072906
GXM22_RS00185,252.9304758,230.8245004,186.0996358,225.8251976,252.4696288,218.6404909,253.126728,255.4258716
GXM22_RS00195,713.695296,645.8260412,619.8759929,683.6065936,661.9477332,678.062282,915.279427,782.6062092
GXM22_RS00200,146.0722515,102.1418521,114.9438927,151.2313541,126.2348144,164.6722685,161.7664189,209.9390725
GXM22_RS00205,368.6118562,311.2511556,435.1447367,408.7333893,570.8828173,484.3302014,538.1038389,541.1762758
GXM22_RS00210,107.8385749,110.1845176,124.5225504,124.6636837,202.8549505,170.2074708,168.4717627,190.1114934
GXM22_RS00215,442.1381573,405.3503422,539.141592,484.3490664,748.6164117,664.2242762,712.4427774,740.6183947
GXM22_RS00220,212.7360978,160.8533104,210.73047,207.4321951,308.99268,300.2847249,296.7114626,352.2311105
GXM22_RS00225,0,0,0,1.021833473,0.628033902,1.383800575,0,1.166328181
