geneid,Off1,On1,On2,Off3,On3,Off2
723_00001,778,684,671,820,691,785
723_00002,138,102,87,137,100,148
723_00003,326,224,193,357,208,370
723_00004,327,329,331,380,363,374
723_00005,128,96,109,153,89,139
723_00006,2311,2449,2545,2444,2589,2357
723_00007,388,296,334,409,324,405
723_00008,22,18,23,29,24,23
723_00010,17,19,27,31,28,25
723_00012,31,26,21,21,27,24
723_00015,7441,8174,8632,7741,8186,7611
723_00017,19714,19848,20227,21107,20018,20725
723_00019,32537,35898,36181,34751,36528,34099
723_00023,7700,6764,6806,8187,6646,8030
723_00024,6582,5893,6240,7181,6020,7178
723_00035,18183,20941,22097,19592,22011,19521
723_00036,12172,15589,16220,12562,16067,12716
723_00037,8207,11016,11809,8386,11385,8364
723_00048,12,10,12,10,9,17
723_00049,27,32,33,56,27,36
723_00050,343,221,215,380,198,383
723_00051,288,185,163,339,169,302
723_00061,2363,1979,2155,2535,2088,2599
723_00066,2620,3869,3913,2694,4030,2670
723_00067,1064,1411,1460,1156,1426,1143
723_00069,12815,13655,14218,13593,14077,13412
723_00073,1635,1435,1554,1806,1538,1687
723_00075,388,272,302,441,266,438
723_00083,21710,24586,24436,23615,24605,23024
723_00085,3366,1221,1311,3762,1281,3555
723_00086,405,161,133,452,141,427
723_00090,2331,2143,2407,2427,2296,2466
723_00096,95973,83224,84681,98181,88104,100838
723_00100,1561,1568,1650,1638,1705,1597
723_00101,2138,2292,2370,2127,2339,2231
723_00104,3454,3604,3819,3751,3706,3677
723_00105,2901,3043,3176,3086,3121,2956
723_00106,2145,2793,2885,2366,2849,2328
723_00123,545,353,457,637,466,613
723_00132,32748,35354,36862,34581,37300,35329
723_00135,175,58,129,192,115,110
723_00136,93,70,55,100,49,95
723_00137,69,24,41,80,25,83
723_00138,41,18,16,31,21,40
723_00139,24,10,4,24,11,21
723_00140,1772,551,601,1832,595,1943
723_00141,5455,7262,7658,5878,7646,6143
723_00142,12256,11915,11974,12244,12466,12654
723_00143,32,26,18,37,21,37
723_00144,59,46,62,63,44,59
723_00145,8668,9821,10326,9380,9934,9718
723_00146,9724,9870,10475,10447,10236,10649
723_00147,8538,8727,9058,9185,8999,8886
723_00148,16987,18744,19750,18047,19480,18478
723_00149,11505,11267,11333,11718,11353,12186
723_00150,12,3,1,11,3,4
723_00151,7,8,10,9,8,15
723_00152,56,47,34,49,47,56
723_00153,156,117,125,171,130,161
723_00154,170,110,129,172,126,142
723_00155,20,17,27,30,16,16
723_00156,47,64,59,55,46,62
723_00157,59,45,76,66,58,77
723_00158,198,210,246,221,195,222
723_00159,163,204,177,213,212,207
723_00160,3182,2175,2320,3179,2320,3342
723_00161,320,125,89,377,107,347
723_00162,1,2,2,5,2,9
723_00163,38,37,35,47,27,50
723_00164,156,117,103,160,113,148
723_00165,122,106,85,108,101,111
723_00166,249,220,227,238,262,267
723_00167,219,126,130,220,130,196
723_00168,445,281,289,430,269,458
723_00169,481,363,291,499,327,457
723_00170,50,44,52,65,48,46
723_00171,46,45,39,59,37,49
723_00172,4,4,3,3,3,4
723_00174,1714,1418,1509,1723,1453,1803
723_00175,2393,3281,3293,2480,3294,2510
723_00180,3715,3452,3500,3787,3368,4057
723_00181,4113,3608,3757,4424,3780,4386
723_00182,4121,3386,3580,4538,3564,4427
723_00183,1106,899,1164,1349,1042,1165
723_00188,476,646,643,576,672,565
723_00191,3337,3243,3539,3735,3417,3511
723_00201,7707,8330,8780,8289,8545,8338
723_00202,4999,4754,5568,5652,5453,4975
723_00205,12076,11424,13006,13233,12607,12190
723_00211,706,490,546,779,512,771
723_00225,1375,1244,1175,1465,1264,1424
723_00231,9011,11174,11375,9445,11721,9861
723_00237,10127,9946,10245,10610,10282,10570
723_00244,2826,3293,3360,2995,3208,2995
723_00249,12149,15863,15554,13137,16151,12810
723_00250,7676,8723,9115,8021,8929,8107
723_00251,5473,5651,6388,6066,6096,5590
723_00256,299,234,275,319,234,312
723_00258,4668,4698,4884,4934,4817,5185
723_00259,272,253,297,315,276,294
723_00260,122,115,122,134,141,142
723_00261,205,210,211,193,206,207
723_00262,44,32,41,44,38,26
723_00263,43,50,40,46,40,51
723_00264,98,114,111,104,111,132
723_00265,148,141,172,188,151,149
723_00266,301,235,245,305,218,272
723_00267,72,32,46,70,36,71
723_00268,169,73,70,168,75,150
723_00269,63,28,22,71,33,54
723_00270,145,56,56,141,48,155
723_00271,3535,3304,3528,3615,3476,3951
723_00272,10625,9858,10547,11100,10127,11654
723_00273,8755,9081,9601,9016,9501,9279
723_00274,5286,6008,6098,5394,6156,5714
723_00275,959,1029,1029,1068,988,1080
723_00276,64,67,81,73,86,103
