geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_00010,25341,63007,44827,23955,15996,29050
DLJ98_00015,624,1456,1080,1396,949,1455
DLJ98_00030,1688,3853,3016,3144,2087,3379
DLJ98_00045,3228,7692,5681,8933,5401,8399
DLJ98_00055,2278,5455,4104,4595,3086,4732
DLJ98_00065,616,1558,1139,1199,749,1217
DLJ98_00070,6653,16041,11985,12166,7639,12115
DLJ98_00075,26204,57886,44179,70620,45095,66056
DLJ98_00090,71855,173458,131195,120460,74699,119707
DLJ98_00100,3520,8130,6223,7466,4585,7427
DLJ98_00105,5961,13769,10502,11773,7346,11697
DLJ98_00110,50700,126504,94339,112828,70505,118672
DLJ98_00120,2532,6088,4425,4284,2581,3996
DLJ98_00125,406,1031,703,819,576,959
DLJ98_00130,144,355,255,303,209,351
DLJ98_00135,1200,2873,2129,2045,1322,2290
DLJ98_00140,8178,20098,14554,16107,10355,18688
DLJ98_00150,6633,14459,11158,18201,11136,17862
DLJ98_00155,1247,2964,2179,2851,1796,2941
DLJ98_00160,57360,121193,96331,85891,52667,78486
DLJ98_00165,1876,7202,3215,20084,12315,4810
DLJ98_00170,318,746,564,869,484,983
DLJ98_00175,385,1004,825,1016,682,1172
DLJ98_00180,12964,57381,25549,99767,68443,27546
DLJ98_00195,16689,43264,31505,28587,17637,30211
DLJ98_00200,16913,40079,29813,30628,19163,32655
DLJ98_00210,5904,15329,10955,3193,1823,3432
DLJ98_00215,192,422,329,408,271,359
DLJ98_00230,3492,8234,6198,6610,4169,6799
DLJ98_00235,2484,6055,4512,6939,4230,6660
DLJ98_00245,4147,10415,7578,8093,5067,8455
DLJ98_00265,5195,11142,8784,14174,8911,14492
DLJ98_00270,14205,32537,24612,25097,16063,26711
DLJ98_00275,17555,42016,31264,33825,21006,29204
DLJ98_00280,4849,12306,8946,10909,6920,11276
DLJ98_00285,8041,18752,14610,13402,8275,13032
DLJ98_00290,4948,10946,8779,8058,4944,8006
DLJ98_00300,6749,16264,12645,24656,14937,21614
DLJ98_00305,315,760,549,1035,626,1009
DLJ98_00310,185,383,330,530,343,532
DLJ98_00320,5066,13433,9560,12713,7536,11570
DLJ98_00335,2227,5289,4046,6517,3852,5000
DLJ98_00340,196,394,322,547,289,280
DLJ98_00345,294,693,489,651,531,519
DLJ98_00360,1488,3125,2538,3712,2363,3573
DLJ98_00365,2119,4381,3631,5017,3207,4661
DLJ98_00375,2440,5711,4303,4457,2848,4758
DLJ98_00380,334,813,617,774,438,795
DLJ98_00385,53825,118946,91771,44223,27469,42405
DLJ98_00390,11958,26986,20690,31409,18970,29372
DLJ98_00395,4967,11806,8845,10444,6227,11007
DLJ98_00400,242,643,476,888,602,961
DLJ98_00415,587,1450,1068,1399,901,1475
DLJ98_00425,1868,4756,3559,4806,3183,4918
DLJ98_00430,415,1058,762,959,641,842
DLJ98_00440,5079,11474,9189,16056,9468,13691
DLJ98_00445,1766,4873,3588,4788,2887,4240
DLJ98_00450,1056,2273,1883,2279,1490,1794
DLJ98_00455,3327,8176,6102,9166,5634,9204
DLJ98_00460,2420,5314,4257,5725,3540,5658
DLJ98_00465,9157,21049,16207,23524,14249,22407
DLJ98_00470,84808,199020,153264,213786,132602,213974
DLJ98_00475,15185,36306,27138,29355,18486,30338
DLJ98_00480,6357,13919,10784,16157,9874,15394
DLJ98_00485,3,3,0,0,2,3
DLJ98_00495,7297,16538,12523,13863,8948,13211
DLJ98_00500,6485,16034,11635,13281,8529,14220
DLJ98_00505,6941,17863,12845,16466,10427,17849
DLJ98_00510,4345,9471,7382,9971,6363,9187
DLJ98_00515,6177,13470,10484,14424,9279,14728
DLJ98_00520,16439,40327,29360,38620,24534,41072
DLJ98_00535,8761,21156,15997,17796,11260,18670
DLJ98_00550,9457,21711,16729,20861,13373,20005
DLJ98_00555,2816,7132,5339,4984,3213,7101
DLJ98_00560,4127,8651,7224,9460,5317,8066
DLJ98_00565,2054,5072,3613,4939,3057,5401
DLJ98_00570,397,901,761,1196,745,1445
DLJ98_00575,15687,37001,27622,44692,29360,51404
DLJ98_00585,2629,6319,4669,3497,2316,3776
DLJ98_00590,2211,5481,4042,3213,1903,3461
DLJ98_00595,1286,2885,2234,3108,1869,2306
DLJ98_00605,1384,3828,2772,3144,2170,3553
DLJ98_00610,25015,65135,46914,39576,24760,40636
DLJ98_00615,6299,14817,11356,11106,6584,10252
DLJ98_00620,2316,5063,3987,5591,3262,4604
DLJ98_00630,1800,4533,3312,4843,2943,4338
DLJ98_00635,3711,8577,6360,6625,4209,7119
DLJ98_00640,280,729,573,529,320,562
DLJ98_00650,281,848,575,746,437,668
DLJ98_00655,674,1723,1387,1455,932,1332
DLJ98_00660,443,1249,840,821,593,969
DLJ98_00665,163,335,254,356,254,391
DLJ98_00685,1399,3265,2489,3537,2012,3271
DLJ98_00690,15959,38234,28588,32434,20368,34943
DLJ98_00695,18726,41403,32562,35876,22014,33815
DLJ98_00700,7208,17476,13361,17531,11086,18412
DLJ98_00705,3649,10096,7304,10371,6752,11059
DLJ98_00710,4529,11076,8217,12818,7938,12426
DLJ98_00715,2471,5713,4501,6960,4214,6697
DLJ98_00720,21410,43454,35144,42523,25853,39332
DLJ98_00725,14784,35545,26036,25286,15984,25975
DLJ98_00730,357,1090,793,1059,615,932
DLJ98_00735,503,1042,782,1045,600,1017
DLJ98_00745,1051,2765,1977,2503,1610,2362
DLJ98_00750,1378,3641,2705,3994,2364,3599
DLJ98_00755,1974,4262,3386,6169,3603,5257
DLJ98_00760,2561,6178,4570,6072,3649,5951
DLJ98_00775,2017,4544,3560,5773,3521,5479
DLJ98_00790,5199,13933,10126,8800,5650,9635
DLJ98_00795,877,1912,1380,3096,1882,2764
DLJ98_00805,2789,6578,5017,5754,3569,5607
DLJ98_00815,10172,24607,18497,24065,15432,24708
DLJ98_00820,1164,2768,2093,1965,1228,1722
DLJ98_00825,509,1395,944,935,568,799
