geneid,A10_LOCK_OFF_1,A10_LOCK_OFF_2,A10_LOCK_OFF_3,A10_ON_1,A10_ON_2,A10_ON_3
gene0,35270,31687,34273,40514,31653,36510
gene1,108214,108653,127288,112808,84872,104181
gene10,516,576,666,528,390,557
gene100,2428,1983,1618,3474,2983,3162
gene1000,232,224,185,271,230,234
gene1001,189,200,196,218,174,174
gene1002,7320,7598,8015,7106,5518,6391
gene1003,745,829,921,713,554,668
gene1004,64,52,48,59,40,44
gene1005,209,206,199,201,170,187
gene1006,51,58,75,59,39,49
gene1007,44,27,27,49,38,45
gene1008,200,184,198,212,183,184
gene1009,382,319,276,422,341,349
gene101,1682,1421,1560,2126,1675,1944
gene1010,827,739,948,801,687,769
gene1012,46,42,43,27,38,42
gene1013,8,9,1,7,2,1
gene1014,3367,2995,3472,3679,2872,3491
gene1015,1464,1203,1010,1609,1433,1571
gene1016,6473,6317,6847,6675,5086,5337
gene1017,275442,282380,316176,318768,247246,302122
gene1018,3543,3131,3121,4467,3993,4252
gene102,3297,2959,3103,3737,2902,3186
gene1020,925,645,671,1284,1065,1049
gene1021,54104,48224,53530,57189,45510,56022
gene1022,338,377,446,371,323,403
gene1023,6315,5972,5960,6785,5308,5804
gene1024,5104,4178,4342,4958,3894,4223
gene1025,1553,1491,1476,1797,1386,1420
gene1026,3062,2877,3025,3348,2559,2771
gene1027,14453,12931,12961,14653,11140,12069
gene1028,7561,7654,8005,9250,7028,7325
gene1029,18957,19688,23190,22774,17165,20508
gene103,2378,1815,1884,2709,2172,2165
gene1030,20573,21692,23132,27025,19587,21872
gene1031,505,352,318,641,648,561
gene1032,455,343,347,569,516,540
gene1033,562,487,421,668,542,556
gene1034,5346,5954,6521,6574,5080,5933
gene1035,10205,10664,10575,12969,9656,10325
gene1036,6039,6216,6413,7764,5468,5906
gene1037,13651,13876,16240,14977,11413,13798
gene1038,4816,4635,5089,4918,3843,4217
gene1039,4052,3819,4308,4496,3357,3408
gene104,2322,1893,1781,2908,2264,2733
gene1040,43638,38232,40738,50843,40016,45044
gene1041,6650,5909,5676,8165,6725,7414
gene1042,16499,14897,16359,17026,13620,15290
gene1043,11405,11010,11943,10831,8440,9282
gene1044,2616,2636,2755,2779,2021,2167
gene1045,1222,1275,1694,1395,1100,1327
gene1046,957,856,1047,932,762,784
gene1047,1352,1340,1442,1566,1164,1280
gene1048,76268,75652,87012,73863,57478,70343
gene1049,2946,3265,3777,3388,2679,2975
gene105,887,818,777,1222,1052,1118
gene1050,54525,52129,60400,57945,45004,51981
gene1051,2049,2055,2459,2390,1803,2088
gene1052,57963,45174,49424,58601,48855,54180
gene1053,57948,40300,37592,61303,52465,58856
gene1054,21747,18273,17398,25705,21067,23385
gene1055,13336,11354,10032,16070,13024,15307
gene1056,22858,21661,20656,31769,26357,30768
gene1057,40704,35079,35570,49904,39035,44797
gene1058,59193,47651,50868,75013,59599,65152
gene1059,51480,48213,47928,64468,50762,58405
gene106,4526,3825,3556,6028,5166,5893
gene1060,1108,961,1071,1142,937,967
gene1061,24207,22581,25610,28125,22115,26212
gene1062,9637,9943,10776,11132,8775,10243
gene1063,11009,9725,10383,11484,9380,10591
gene1064,4249,3581,3879,5310,4355,4803
gene1065,12112,13080,15156,14762,11666,15299
gene1066,17469,18845,20860,25169,19598,23679
gene1067,23092,24427,26571,32875,25317,32372
gene1068,40380,38664,41812,43865,33731,39115
gene1069,29979,29557,31971,34432,27053,30536
gene107,6261,6089,7354,7302,6024,7571
gene1070,19648,20059,24146,22864,18071,21717
gene1071,166910,159497,164450,198192,152027,160680
gene1072,343,322,273,345,288,344
gene1073,102,86,94,104,108,81
gene1074,175,201,228,173,163,180
gene1075,41,36,35,29,29,42
gene1076,3160,3337,3927,3868,3026,3704
gene1077,9,17,16,31,20,10
gene1078,12636,11897,12989,14733,11779,14467
gene1079,6942,6325,7096,7062,5471,5936
gene108,21302,19627,20933,22452,17659,19701
gene1080,9391,7531,7505,11727,9918,10471
gene1081,20275,18197,18146,21929,17718,19108
gene1082,18247,16702,17607,20639,16483,17244
gene1083,3601,3414,3352,4343,3805,4189
gene1084,4760,5231,6532,5135,4256,5314
gene1085,35572,31555,31184,48126,39948,47188
gene1086,9747,8944,10511,10057,7858,8659
gene1088,8712,8956,9893,10630,7873,8418
gene1089,3980,3974,4260,4717,3528,3872
gene109,8204,7866,8860,9130,7227,8596
gene1090,5547,5245,4968,6980,5668,5653
gene1091,7513,8079,7785,10179,7636,7683
gene1092,17384,16662,18455,19674,15451,17503
gene1093,4720,5143,6293,5494,4187,5253
gene1094,7175,7326,9177,7590,5857,7263
gene1095,7544,7865,9627,8734,6265,7568
gene1096,7287,7466,8476,7360,6185,6898
gene1098,13503,13772,15229,15639,12366,14929
gene1099,7699,6850,7215,8707,7106,8115
gene11,55215,60232,73441,61580,48864,59614
gene110,6512,5522,6032,5985,4851,5191
gene1100,2911,2209,1875,3527,3214,3346
gene1102,3425,2831,2915,4317,3523,3847
gene1103,2519,1643,1348,3441,3104,2964
gene1104,8185,6414,6808,9313,7954,8357
gene1105,10705,7863,7983,12350,10341,11004
gene1106,9043,6245,5866,10158,8534,8755
gene1107,12101,9002,8592,13540,11817,12445
gene1108,15655,13791,15194,17363,13806,15823
gene1109,12454,10936,11693,13303,10564,11513
gene111,61844,56198,57966,54370,43340,50445
gene1110,6902,6015,6661,7367,5866,7025
gene1111,2381,1442,1109,3290,3268,3136
gene1112,5566,3787,3835,5875,5798,6294
gene1113,102,49,62,96,95,111
gene1114,47,9,22,30,45,26
gene1115,54,26,21,38,36,41
gene1116,100,79,85,117,112,125
gene1117,4203,4274,5033,4294,3542,4204
gene1118,27,17,20,21,17,26
gene1119,121,111,121,119,87,136
gene112,8323,8757,10461,8671,6724,7845
gene1120,151,148,172,145,130,155
gene1122,1121,1126,1493,929,779,923
gene1123,76065,72183,82585,82496,63079,73246
gene1124,20580,17987,18090,19967,15929,17101
gene1125,15686,13469,13769,16467,12596,13498
gene1126,34153,30892,32805,39829,30826,32574
gene1128,8000,8019,9755,10765,7896,8942
gene1129,1116,818,649,1743,1676,2041
gene113,3082,3103,3343,3526,2731,3072
gene1130,3006,2902,3190,4303,3462,3997
gene1131,5148,5303,6559,7019,5421,6217
gene1132,21473,19866,19719,23760,18976,20330
gene1133,3857,3830,4174,4690,3593,4179
gene1134,7234,6790,7339,8505,6943,8248
gene1136,3041,2987,3588,2811,2196,2788
gene1137,6863,7442,8109,8275,6584,7671
gene1138,3375,3168,3302,3631,2815,3002
gene1139,5272,4770,4397,5688,4333,4920
gene114,2892,3130,4028,3418,2599,3362
gene1140,6155,5881,6746,6551,5151,6142
gene1141,6508,6137,6656,6794,5432,5994
gene1142,20537,18554,19043,21955,17599,19171
gene1143,3734,3622,4102,3697,2908,3726
gene1144,4655,3831,3610,4778,4033,4489
gene1145,4308,4019,3792,5068,4075,4546
gene1146,2493,2156,2520,2456,2045,2266
gene1147,4232,3436,3723,4490,3858,3922
gene1148,784,560,374,1010,1035,1010
gene1149,1220,1121,1292,1423,1221,1329
gene115,46205,45743,52411,50341,40310,46631
gene1150,13267,12400,14128,13427,10151,11384
gene1151,22855,20107,20287,24897,20026,21273
gene1152,3958,3203,3221,4591,3627,3836
gene1153,6437,5154,5317,6250,4922,5294
gene1154,8132,8178,8936,8345,6569,7229
gene1155,13780,13617,13390,15334,12235,13641
gene1156,31922,31681,37691,32072,25590,31118
gene1157,24676,24244,26064,27456,20633,24490
gene1158,3353,3423,3699,4088,3052,3449
gene1159,5165,4839,5453,5428,4357,4870
gene116,6841,6173,7011,7041,5513,6462
gene1160,5848,5593,5577,8291,7061,8279
gene1161,37692,36053,37028,39957,31255,34720
gene1162,7601,7264,7858,6405,4839,5391
gene1163,3312,2856,2819,2588,2005,2352
gene1164,20193,17031,18441,12973,10289,11578
gene1165,7265,7034,8250,4641,3585,4578
gene1166,30791,32474,37287,40597,31656,38674
gene1167,703,758,802,929,830,892
gene1168,226,224,188,264,257,287
gene1169,485,504,731,427,382,516
gene117,4394,4347,5018,4797,3712,4615
gene1170,799,791,994,782,674,856
gene1171,19771,20586,22596,20655,15911,20251
gene1172,23,24,31,26,20,22
gene1173,490,503,512,528,426,469
gene1174,274,236,229,267,172,252
gene1175,180,130,131,179,152,160
gene1176,363,399,446,465,331,367
gene1177,1262,1270,1639,1397,1049,1316
gene118,8889,8069,8380,8425,6640,7121
gene1180,1747,1895,2280,1976,1568,1914
gene1181,1865,1726,1766,2011,1557,1648
gene1182,2426,2365,2452,2690,2217,2341
gene1184,39536,45268,64482,39218,30738,43509
gene1185,786,888,1787,967,668,982
gene1186,2237,2295,3493,2255,1751,2437
gene1187,1164,1269,1988,857,791,1494
gene1188,411,387,944,341,262,465
gene1189,3667,3856,4679,4411,3645,4635
gene119,289,280,288,260,153,213
gene1190,35223,33145,35030,41160,33379,39245
gene1191,21671,21713,22052,25571,21497,24964
gene1192,16508,17176,19271,17977,13809,17236
gene1193,128249,116600,125637,151164,119795,139841
gene1194,6675,6705,7821,7240,5822,6930
gene1195,15752,15327,16217,16012,12332,12816
gene1196,6568,6775,7942,7273,5609,6590
gene1197,6287,6390,7138,7342,5569,6057
gene1198,9960,9147,9127,11037,8366,8982
gene1199,5646,5151,4969,6118,4653,4909
gene12,33781,34545,41390,37493,28475,33664
gene120,9299,8529,10043,9379,7086,8440
gene1200,4850,4396,4377,5477,4531,4917
gene1201,2268,2065,2244,2670,2276,2777
gene1202,8594,8294,8601,11779,9209,10304
gene1203,251,232,372,313,211,267
gene1204,14683,13195,14869,13764,10533,11942
gene1205,24210,21572,21909,28558,22926,24934
gene1206,2974,2996,3530,3425,2814,3464
gene1207,1708,1471,1571,1838,1453,1661
gene1208,7654,6600,7381,8049,6634,7539
gene1209,11088,11972,13748,13615,10390,12628
gene121,5193,4507,4754,5367,4289,4936
gene1211,24322,23550,29760,28056,21961,27935
gene1212,29555,26840,29399,34959,27515,32525
gene1213,117523,113720,118439,155517,128102,158330
gene1214,3421,3401,3679,5625,4429,5514
gene1215,8252,7872,8238,11751,9490,10835
gene1216,6758,6416,6661,7375,5933,6855
gene1217,1846,1804,2205,1949,1514,1865
gene1218,5701,5951,9214,5656,4291,6024
gene1219,106739,101054,116570,109476,85057,94235
gene122,7756,7600,8900,8152,6513,7712
gene1220,106155,87396,95427,117709,91192,91676
gene1221,2314,2269,2695,2702,2065,2351
gene1222,14069,14541,15600,15994,12747,15472
gene1223,10162,8862,9414,10967,8671,10035
gene1224,11387,9826,10046,13544,10724,12212
gene1225,6311,5569,6501,6737,5407,6314
gene1226,1860,1119,822,2119,2175,2226
gene1227,1348,694,628,1554,1593,1530
gene1228,1576,1271,1322,1653,1398,1559
gene1229,1674,1555,1845,1672,1450,1571
gene123,8061,5762,5757,9101,7974,8004
gene1230,29971,30345,33038,31521,25384,31244
gene1231,927,1035,1478,1236,949,1035
gene1232,1142,1155,1212,1026,703,685
gene1233,490,478,463,506,306,397
gene1234,1226,1174,1300,1205,945,1020
gene1235,771,902,996,991,713,840
gene1236,24562,23296,25816,24627,19567,23865
gene1237,8486,7493,9204,9102,7155,8234
gene1238,9743,9072,9929,10322,8174,9460
gene1239,13333,11655,10980,14645,11824,13423
gene124,933,779,853,1100,1067,1281
gene1240,9478,9012,9600,10548,8380,9602
gene1241,303,277,384,491,343,392
gene1242,14789,16745,18392,18928,14515,16522
gene1243,34358,33910,39502,57865,45125,50640
gene1244,153621,154805,179673,184263,136978,162715
gene1245,63747,60513,68922,65604,51249,58039
gene1246,48018,45385,46676,49357,40787,43921
gene1247,1875,1779,1959,2228,1765,1961
gene1248,8132,7978,7749,11000,9026,10343
gene1249,3478,3296,3974,3225,2485,3111
gene125,857,659,509,1018,955,988
gene1250,9057,9074,10637,9057,7287,8990
gene1251,2190,2265,2378,2281,1847,2116
gene1252,5657,5429,5449,5666,4400,4799
