V1,Raw_33.1,Raw_33.2,Raw_33.5,Raw_33.6,Raw_86.1,Raw_86.2,Raw_86.5,Raw_86.6
NTHI_RS00005,127312,216437,98450,76327,71127,269678,187574,125848
NTHI_RS00010,4788,12259,2867,2509,6047,13891,5137,4410
NTHI_RS00015,1773,2163,2068,1674,1362,2143,2986,2221
NTHI_RS00020,1123,1453,1229,1237,795,1236,1746,1426
NTHI_RS00025,1156,1391,1345,1161,743,1014,1507,1310
NTHI_RS00030,18798,24419,21645,17355,11401,31212,34618,27194
NTHI_RS00035,43689,62806,48116,40056,23248,59121,44576,44526
NTHI_RS00040,19945,28468,18929,16707,9312,24315,15151,14474
NTHI_RS00045,12768,18419,12438,10807,6001,14960,9780,8984
NTHI_RS00050,3423,4133,3122,2677,1702,3465,2737,2424
NTHI_RS00055,641,843,852,684,558,692,1076,646
NTHI_RS00060,916,1274,1479,1220,894,1207,1715,1213
NTHI_RS00065,1201,1944,1781,1423,838,1884,2696,1626
NTHI_RS00070,4158,3927,4940,4262,2143,2842,4494,3897
NTHI_RS00075,3584,4107,3973,3252,1538,2918,3772,3036
NTHI_RS00080,9226,8709,8793,7287,4283,5985,8390,7837
NTHI_RS00085,15656,13581,15217,12645,7342,9896,13402,11955
NTHI_RS00090,5271,10484,7067,5485,5479,11565,12660,6956
NTHI_RS00095,1691,2108,2071,1697,1131,2062,2414,2014
NTHI_RS00100,16617,15070,18716,15656,9848,16109,20573,20505
NTHI_RS00105,17752,22660,19250,15588,11035,29790,27981,26499
NTHI_RS00110,7605,9632,8627,6980,4255,10103,10738,8891
NTHI_RS00115,12734,18010,14644,11597,5005,19637,19646,16760
NTHI_RS00120,7208,10404,8524,7044,3906,11121,11075,10005
NTHI_RS00125,1522,2480,1964,1598,1357,2718,2911,2186
NTHI_RS00130,4093,5295,4908,3960,3366,5432,7124,4918
NTHI_RS00135,7921,6244,9292,7663,4439,5463,8566,7592
NTHI_RS00140,2741,3454,3965,3318,1684,2990,4797,3686
NTHI_RS00145,1188,1565,1871,1516,888,1183,1771,1670
NTHI_RS00150,4445,5109,6738,5659,2813,3943,6202,5567
NTHI_RS00155,2090,2438,2632,2030,1317,1901,2721,2152
NTHI_RS00160,3655,3991,3791,3252,1736,2965,4652,2923
NTHI_RS00165,5598,5077,5737,5145,3006,3725,6120,4652
NTHI_RS00170,3666,3144,3891,3427,1793,2705,2806,2935
NTHI_RS00175,1996,2026,2428,2370,1635,1561,1785,1892
NTHI_RS00180,15227,36052,15449,13275,4677,24718,10637,8665
NTHI_RS00185,2345,2063,2776,2054,2090,2338,4111,3096
NTHI_RS00190,7951,10034,8493,6606,4955,10085,12550,8645
NTHI_RS00195,1769,2099,2522,1974,1263,1633,2858,1975
NTHI_RS00200,937,696,1210,896,634,794,1383,1110
NTHI_RS00205,3699,4941,4504,3599,3029,4841,5175,4247
NTHI_RS00210,5993,7517,6469,5682,4898,8122,8257,6827
NTHI_RS00215,608,640,866,600,584,700,1215,762
NTHI_RS00220,931,1022,1308,993,840,1044,1629,1276
NTHI_RS00225,8811,13052,10884,8370,6633,12896,15144,10238
NTHI_RS00230,14,27,22,17,16,20,163,15
NTHI_RS00235,918,1185,1216,1012,758,1149,1471,1271
NTHI_RS00240,884,881,937,817,793,942,1374,975
NTHI_RS00245,842,1178,931,840,452,1041,1445,1018
NTHI_RS00250,1793,2300,2015,1491,931,1910,2367,1678
NTHI_RS00255,740,980,842,718,479,829,1080,709
NTHI_RS00260,1097,1742,1205,1074,600,1210,1276,918
NTHI_RS00265,1940,3038,1785,1700,1352,2114,2069,1395
NTHI_RS00270,441,617,342,345,222,352,382,218
NTHI_RS00275,1131,1751,1019,955,780,1013,714,580
NTHI_RS00280,1054,1739,952,811,661,901,749,536
NTHI_RS00285,1722,2296,1803,1484,1282,2070,2078,1711
NTHI_RS00290,3353,4591,3907,3032,2804,4716,5714,4218
NTHI_RS00295,6077,6693,7078,5499,4981,6038,8049,6592
NTHI_RS00300,3326,3266,3484,2830,1824,3265,4759,3449
NTHI_RS00305,3935,3822,3899,3230,2231,4001,4994,4036
NTHI_RS00310,2920,3416,3332,2792,2199,3377,3981,2861
NTHI_RS00315,14171,16548,13594,11708,9569,15896,15773,13290
NTHI_RS00320,502,517,327,212,220,586,2046,456
NTHI_RS00325,4811,3355,5924,4704,3004,2805,4467,3893
NTHI_RS00330,4319,3318,5211,4113,2619,3585,5516,4422
NTHI_RS00335,1046,854,1170,924,563,823,1460,1016
NTHI_RS00340,1285,1632,1465,1225,1185,1654,2078,1515
NTHI_RS00345,1842,2379,2123,1421,1579,2219,2817,2226
NTHI_RS00350,4849,5607,5993,4481,3068,5876,8206,5781
NTHI_RS00355,2043,2299,2468,1791,974,2275,2992,2308
NTHI_RS00360,6939,7876,7956,6191,5027,8827,11030,9084
NTHI_RS00365,9540,11204,8911,6999,6157,12676,10359,10351
NTHI_RS00375,3384,3824,4768,3434,2838,4238,6754,4318
NTHI_RS00380,621,926,789,618,506,971,1343,778
NTHI_RS00385,885,1262,1000,910,986,1406,1586,1197
NTHI_RS00390,33015,27695,26878,24617,17733,14668,9638,11006
NTHI_RS00395,2719,2399,2705,2294,1733,2053,3013,2138
NTHI_RS00400,6922,8768,8123,6384,5375,8773,11415,8338
NTHI_RS00405,5588,5387,6780,5472,3715,4579,6066,5921
NTHI_RS00410,3402,3295,4107,3339,2311,2653,4103,3346
NTHI_RS00415,2591,4115,1925,1683,2059,4597,2532,2201
NTHI_RS00420,127,235,119,107,119,252,240,126
NTHI_RS00425,56,88,64,43,70,68,415,93
NTHI_RS00430,5557,6629,8433,6507,3980,5857,7150,5501
NTHI_RS00435,5898,7591,6390,5509,4208,7449,8670,7160
NTHI_RS00440,7489,9354,8110,6964,6220,9928,11251,9473
NTHI_RS00445,10,13,7,13,1,15,32,13
NTHI_RS00450,103,167,141,81,82,203,150,75
NTHI_RS00455,407,615,575,398,311,673,968,410
NTHI_RS00460,191,252,201,149,191,210,797,233
NTHI_RS00465,184,265,181,173,161,208,776,202
NTHI_RS00470,174,232,150,124,174,190,1073,171
NTHI_RS00475,53,73,48,45,60,99,476,65
NTHI_RS00480,168,259,201,147,139,229,929,212
NTHI_RS00485,6,15,16,11,5,11,135,25
NTHI_RS00490,140,192,198,144,123,245,747,218
NTHI_RS00495,75,128,129,82,77,112,435,144
NTHI_RS00500,143,201,176,156,118,205,688,243
NTHI_RS00505,229,381,318,222,225,413,886,364
NTHI_RS00510,281,498,300,276,316,550,901,461
NTHI_RS00515,229,237,186,179,134,200,2081,246
NTHI_RS00520,70,102,87,60,38,106,252,65
NTHI_RS00525,82,153,81,78,92,180,495,87
NTHI_RS00530,212,317,257,208,206,349,428,288
NTHI_RS00535,1430,1989,1925,1490,1056,1834,2698,1707
NTHI_RS00540,1424,1879,1739,1467,888,1845,2892,1668
NTHI_RS00545,254,240,198,154,175,274,926,235
NTHI_RS00550,33,60,41,35,35,46,577,58
NTHI_RS00555,93,70,51,40,49,68,688,121
NTHI_RS00560,92,118,139,107,82,159,710,125
NTHI_RS00565,69,77,80,75,47,75,526,84
NTHI_RS00570,559,641,588,473,341,661,2830,665
NTHI_RS00575,50,91,76,43,36,62,261,67
NTHI_RS00580,351,266,198,167,93,198,1149,280
NTHI_RS00585,55,85,75,48,71,117,234,93
NTHI_RS00590,26,24,21,22,31,42,159,32
NTHI_RS00595,67,109,55,59,81,156,483,113
NTHI_RS00600,58,52,19,19,18,34,645,87
NTHI_RS00605,21,37,25,19,23,44,469,56
NTHI_RS00610,163,325,157,128,125,301,1048,213
NTHI_RS00615,148,145,152,107,81,158,1693,160
NTHI_RS00620,33,85,55,44,18,54,304,42
NTHI_RS00625,862,1223,946,791,576,1053,4301,1037
NTHI_RS00630,136,218,176,156,81,227,413,178
NTHI_RS00635,80,170,115,65,44,138,453,107
NTHI_RS00640,769,1101,818,699,459,884,2547,853
NTHI_RS00645,1835,2368,1724,1435,1364,2598,3039,1852
NTHI_RS00650,1242,1900,1031,781,734,1866,7624,1283
NTHI_RS00655,1135,1583,1340,1138,644,1179,2971,1269
NTHI_RS00660,40995,50496,39820,32752,24284,46311,47511,36004
NTHI_RS00665,436,593,530,353,366,525,662,345
NTHI_RS00670,1047,1689,1322,1126,1219,1928,2470,1523
NTHI_RS00675,618,976,703,588,516,927,2467,747
NTHI_RS00680,62,113,59,56,44,69,1059,90
NTHI_RS00685,34,23,9,17,10,17,474,49
NTHI_RS00690,27,27,11,11,17,36,122,18
NTHI_RS00695,36,53,46,43,26,56,95,64
NTHI_RS00700,434,553,700,487,249,708,1329,578
NTHI_RS00705,217,295,299,180,226,254,1022,234
NTHI_RS00710,211,299,284,213,144,262,839,209
NTHI_RS00715,540,493,744,498,368,359,1100,558
NTHI_RS00720,486,425,592,442,203,450,776,578
NTHI_RS00725,508,474,621,407,228,373,882,600
NTHI_RS00730,466,414,501,339,249,366,873,558
NTHI_RS00735,35,20,31,25,20,29,230,25
NTHI_RS00740,279,475,340,291,224,391,825,377
