,PAO1-100UMRA-1,PAO1-100UMRA-2,PAO1-100UMRA-3,PAO1-DMSO-1,PAO1-DMSO-2,PAO1-DMSO-3
PA2302,4392.784626,3797.96523,3887.093607,483.1501525,446.8661689,484.360331
PA3724,3342.706155,3675.207779,4069.268021,404.1818499,453.2499713,428.8865837
PA2303,1046.150497,980.8069838,905.5763035,68.77884421,45.96337737,61.26951196
PA3330,666.4463113,705.2290318,683.1540535,61.98587194,40.85633544,60.44154558
PA4130,9338.104307,8848.557515,8078.164288,1655.78699,1869.177346,1548.297126
PA3328,879.8662499,736.5447082,731.8751178,56.04202121,38.30281447,38.91441976
PA2305,3485.422556,2864.758074,2993.167993,658.9183099,654.9781275,642.5019092
PA1247,1685.100988,1837.603889,1864.110286,406.7292145,423.8844802,431.3704828
PA4129,3298.189113,2784.589943,2511.253118,403.3327284,375.3675818,324.5628201
PA1431,7469.697851,7574.6358,11084.04212,667.4095253,658.8084089,817.2028149
PA3333,1250.405162,1262.648071,1472.223464,118.8770147,104.6943596,81.9686714
PA3327,6566.263755,6057.704437,5766.032042,1244.812168,1421.034417,1262.648726
PA1246,1218.981367,1270.163833,1234.973064,318.420575,317.9133601,288.9602659
PA4128,836.6585323,762.8498763,801.7792535,143.5015392,159.5950603,158.1415782
PA2587,1361.697768,1366.616117,1420.324939,338.7994918,301.3154739,354.3696097
PA3332,327.3311942,320.672526,365.4079821,22.9262814,29.3654911,23.18305858
PA3331,839.2771819,766.6077575,808.1341749,120.5752577,120.0154853,160.6254773
PA3326,2980.023192,3414.661351,2640.469853,675.9007406,611.5682711,687.2120936
PA4133,4882.472092,4883.992886,3835.195082,961.2055759,988.2126134,981.9681241
PA4211,772.5016183,983.312238,1343.006728,67.08060114,68.94506605,67.0652766
PA1248,1618.325424,1902.740496,1966.848182,461.9221142,417.5006778,437.9942139
PA4132,12054.95322,13528.37219,9556.742674,2287.533411,2516.494911,2138.637154
PA4131,8975.421344,8876.11531,7155.641528,2113.463497,1985.36255,1904.322669
PA3334,450.4077232,439.6720962,524.2810178,59.43850734,42.13309592,54.64578093
PA2304,864.1543526,913.1651229,794.3651785,200.3926819,199.1746353,201.1958298
PA1432,9420.591768,7856.476887,14278.44929,1142.917584,944.802757,1066.420695
PA2591,1654.986518,1613.383646,2126.780371,320.1188181,388.1351867,303.0356943
PA1249,4386.238002,4603.404426,5821.108028,1059.703674,966.5076852,1203.035147
PA3904,426.8398772,288.1042226,374.9403642,40.75783361,28.08873061,38.08645338
PA3329,857.6077287,692.7027613,740.3483463,108.6875563,162.1485813,134.1305532
PA1245,1435.019955,1406.700182,1578.138821,462.7712357,560.4978518,532.3823809
PA0572,1744.020603,2169.550059,2010.273478,695.4305359,709.8788282,685.5561608
PA1871,1108.998086,1212.542989,1316.527889,473.8098157,460.9105342,453.725575
PA3908,365.3016127,375.7881164,314.5686107,68.77884421,75.32886846,77.82883951
PA1657,881.1755747,1129.869603,1184.133693,297.1925367,302.5922343,344.4340132
PA4134,1380.028315,1385.405523,1261.451903,523.9079861,542.623205,498.4357594
PA3335,433.3865011,493.5350596,513.6894821,132.4629592,139.1668926,125.022923
PA1000,3433.049565,5457.696077,5090.292064,495.8869755,663.9154509,827.1384114
PA0122,2178.716428,2199.613108,2883.016021,844.8759258,906.4999425,882.6121587
PA1661,628.4758928,611.2820027,719.1652749,254.73646,254.075336,260.809409
PA3905,154.5003237,125.2627055,178.9969536,23.77540294,11.49084434,19.04322669
PA0999,3476.257282,5944.968002,5655.880071,551.0798752,731.5837564,1012.60288
PA4210,98.19935825,111.4838079,168.4054178,8.491215334,11.49084434,17.38729393
PA3907,415.0559542,408.3564198,309.2728428,44.15431974,90.64999425,77.00087314
PA2939,1357.769793,1455.552638,1787.851228,486.5466387,458.3570132,602.759523
PA1001,2784.9338,4513.215278,4254.619896,712.4129666,772.4400919,873.5045286
PA1663,498.8527399,537.3770065,520.0444035,220.7715987,213.2190006,220.2390565
PA1869,327.3311942,276.8305791,416.2473535,85.76127488,84.26619184,78.65680589
PA3476,1143.04053,931.9545287,1151.299932,401.6344853,406.0098334,437.9942139
PA2193,137.4791016,134.0310949,132.3941964,18.68067374,19.15140724,27.32289047
PA1002,975.4469586,1376.637133,1318.646196,372.7643532,406.0098334,447.101844
PA1658,1216.362718,1407.95281,1406.555943,544.2869029,610.2915106,670.652766
PA0852,1167.917701,1128.616976,1221.204068,616.4622333,545.176726,540.6620447
PA1250,349.5897154,318.1672719,325.1601464,74.72269494,89.37323377,108.4635955
PA2195,1374.791016,1738.646352,1831.276525,587.5921011,423.8844802,419.7789535
PA0998,1678.554364,2828.43189,2545.146032,265.77504,411.1168753,486.0162638
PA4127,446.4797489,449.6931126,409.8924321,171.5225498,201.7281562,169.7331074
PA2194,473.9755692,527.35599,544.4049357,166.4278206,176.1929466,177.1848048
PA2592,1325.036674,1310.247899,1490.229075,534.0974445,635.8267203,659.8892031
PA1670,498.8527399,533.6191253,481.9148749,266.6241615,250.2450546,231.8305858
PA1662,2698.518365,2457.654281,2495.365814,1407.843502,1329.107662,1381.047918
PA0144,619.3106194,682.6817448,691.6272821,365.9713809,346.0020907,365.961139
PA3906,127.0045033,152.8205007,158.8730357,23.77540294,10.21408386,42.22628527
PA1221,200.3266908,189.1466853,188.5293357,71.32620881,86.81971281,67.0652766
PA3535,862.8450278,896.8809712,764.7088785,457.6765065,486.4457438,406.5314915
PA5220,1260.87976,1455.552638,1347.243343,818.5531582,743.0746008,830.4502769
PA1659,137.4791016,146.5573654,200.180025,56.04202121,44.68661689,48.02204991
PA1665,502.7807143,423.3879445,423.6614285,217.3751126,178.7464675,204.5076953
PA4126,329.9498437,301.8831202,326.2193,149.4453899,160.8718208,154.8297126
PA1902,86.41543526,103.9680455,120.7435071,33.1157398,25.53520965,30.63475598
PA4213,86.41543526,103.9680455,120.7435071,33.1157398,25.53520965,30.63475598
PA1668,417.6746038,517.3349736,439.5487321,200.3926819,219.602803,214.4432918
PA0997,2278.225111,3482.303212,3232.5367,340.4977349,402.179552,621.8027497
PA1669,2041.237327,2056.813624,1968.966489,1246.510411,1392.945686,1322.262305
PA3479,273.6488783,410.8616739,495.6838714,149.4453899,146.8274555,126.6788558
PA0495,5839.588504,5056.85542,4341.470489,2934.56402,2438.612521,2635.416981
PA1900,162.3562723,182.88355,243.6053214,61.98587194,71.49858702,67.0652766
PA1656,2716.848912,3170.399076,4782.078374,1363.689183,1064.818242,1211.314811
PA4677,451.717048,402.0932846,428.9571964,235.2066648,201.7281562,240.1102496
PA1660,654.6623883,703.9764048,737.1708856,270.8697692,375.3675818,265.7772073
PA0496,8810.446422,7583.404189,6217.231464,4252.400639,3978.385663,3550.319828
