locus,HLR11.raw.counts,HLR12.raw.counts,HLR13.raw.counts,HLR14.raw.counts
PA1092,3834,5706,26,23
PA4525,2798,4349,27,26
PA1432,595,886,23,14
PA2462,642,876,95,85
PA2760,1014,1838,255,247
PA0482,225,358,2546,2680
PA1094,565,824,105,93
PA4131,377,481,19,26
PA4498,70,105,1046,1091
PA1658,311,431,23,15
PA5100,11,24,620,774
PA3326,358,705,70,53
PA2634,187,378,2417,2401
PA0085,546,887,150,193
PA0291,609,898,206,209
PA1080,267,349,14,25
PA0084,491,654,126,150
PA1342,495,826,166,178
PA3582,264,578,52,66
PA4133,202,283,25,21
PA0506,119,199,1089,1125
PA3729,334,517,92,115
PA1086,180,253,12,13
PA3349,407,648,149,166
PA1095,172,248,11,14
PA0998,652,956,316,310
PA4132,317,350,53,76
PA0996,400,629,153,176
PA1288,814,1393,439,470
PA5172,1832,2551,1152,1236
PA4130,180,239,24,27
PA4272,3970,5439,2645,2557
PA0122,152,235,9,19
PA2252,165,195,11,12
PA5106,8,11,321,404
PA0070,295,368,85,85
PA1093,183,270,5,3
PA5105,8,12,302,361
PA3728,256,359,76,87
PA2623,1178,2277,8133,8123
PA1587,954,1507,4535,4922
PA1585,1783,2997,9426,9456
PA1583,969,1446,4235,4745
PA2624,873,1647,5390,5705
PA0090,181,230,34,41
PA3716,308,428,119,129
PA1656,130,205,4,6
PA1159,312,659,138,134
PA0865,593,1208,330,334
PA4671,1382,1847,922,921
PA1096,121,181,4,10
PA2194,192,224,2,4
PA0997,379,546,171,202
PA4607,107,158,698,811
PA4843,131,180,18,18
PA5112,208,314,63,76
PA1939,255,447,109,91
PA4640,227,339,1246,1300
PA4249,927,1324,611,557
PA4568,769,1106,492,454
PA1589,1256,1965,5479,5817
PA0999,477,699,272,251
PA0938,261,373,106,111
PA4271,2711,3572,2003,1913
PA3656,1831,2454,1361,1329
PA4243,3302,4678,2627,2454
PA0083,135,214,31,37
PA1087,136,169,26,22
PA0588,212,339,1190,1194
PA3476,101,153,14,13
PA3082,141,216,37,41
PA5171,1192,1642,857,979
PA1091,169,258,59,36
PA4310,95,156,14,13
PA1338,117,240,33,31
PA3724,82,164,7,5
PA3190,117,278,36,29
PA4462,184,269,70,58
PA5235,124,189,32,26
PA1000,273,427,142,120
PA1657,86,148,5,3
PA3327,103,151,2,4
PA4248,1223,1633,916,847
PA1586,754,1188,3275,3297
PA2195,121,150,2,3
PA5369,49,73,443,392
PA2991,174,324,1105,1069
PA3655,1274,1632,959,993
PA4433,790,1090,590,573
PA1588,2043,3313,8311,8458
PA4251,2267,3335,2005,1921
PA3614,70,92,427,473
PA0459,47,50,315,382
PA0132,536,695,298,399
PA4246,1656,2149,1338,1372
PA1079,65,130,5,6
PA4221,13,21,206,212
PA5046,470,566,271,311
PA3908,84,131,1,4
PA4761,1693,2773,1516,1638
PA0783,402,743,294,299
PA4226,5,10,143,209
PA4385,7281,11675,7075,7343
PA5173,660,846,464,510
PA0958,2016,3549,1869,1907
PA4252,935,1291,775,773
PA0129,107,213,44,24
PA3836,148,276,64,82
PA1082,83,128,4,0
PA4241,800,1241,691,655
PA1596,965,1554,864,869
PA3187,48,135,5,7
PA2592,78,127,19,19
PA1584,593,1047,2610,2651
PA4067,3225,4251,2964,3002
PA4523,108,175,540,632
PA4307,139,219,64,67
PA4386,1195,1972,1129,1080
PA4489,223,298,109,140
PA4263,1974,2825,1854,1681
PA4567,634,798,480,430
PA4571,427,627,315,357
PA3477,123,230,60,59
PA1101,72,76,6,8
PA4333,196,331,873,993
PA0899,88,133,436,541
PA5167,86,178,22,39
PA0045,82,87,11,15
PA5554,2971,4050,2845,2813
PA3271,55,84,315,409
PA0130,648,1081,564,617
PA4274,1361,1815,1225,1218
PA1452,60,78,4,5
PA2398,81,138,27,23
PA0046,66,99,14,11
PA3162,5241,7737,5325,5011
PA1072,91,172,30,42
PA0872,381,664,295,337
PA1562,157,188,666,668
PA3186,56,129,15,13
PA0508,17,52,253,255
PA3602,51,78,298,369
PA2587,88,126,27,28
PA0805,183,264,106,103
PA3006,48,84,325,345
PA1370,112,173,45,54
PA1001,286,389,167,220
PA4244,1049,1472,976,964
PA4253,1390,1813,1267,1233
PA5441,180,239,91,107
PA1339,91,158,39,36
PA0041,103,157,47,34
PA1441,71,89,1,2
PA3471,171,264,704,777
PA2654,50,77,6,7
PA4273,1998,2759,1950,2124
PA4225,4,7,104,138
PA5555,1468,2017,1425,1356
PA2951,400,630,1403,1618
PA0563,113,153,50,46
PA4257,2376,3257,2379,2253
PA2445,58,77,4,13
PA1559,73,109,403,386
PA1183,43,79,2,4
PA4264,1115,1739,1127,1072
PA4267,1382,1814,1305,1266
PA4633,75,131,22,33
PA4266,7698,11134,8210,7681
PA3385,168,228,99,89
