geneID,PAK_AR2A.Expression,s1_9A.Expression
PA2412,0,10
PA2111,0,6
PA1664,0,1
PA2074,0,1
PA5420,147,1927
PA4220,1,13
PA5399,157,1837
PA5419,96,1058
PA5418,475,5233
PA5400,78,776
PA5417,16,144
PA2086,3,22
PA5401,79,526
PA5416,113,734
PA2729,325,1927
PA0604,218,1206
PA3486,12,60
PA5421,400,1940
PA5397,98,466
PA1929,5,22
PA0111,24,105
PA5410,343,1463
PA5510,704,2934
PA0606,255,1052
PA2154,8,33
PA5398,917,3748
PA2370,25,101
PA2785,1,4
PA5415,205,817
PA3727,204,813
PA1196,452,1789
PA5396,362,1410
PA1950,484,1824
PA0315,2044,7460
PA0504,79,284
PA3191,278,984
PA2803,17,60
PA4908,42,148
PA1761,159,549
PA4505,783,2609
PA5381,142,472
PA5391,14,46
PA3728,2690,8742
PA4506,981,3162
PA4025,301,965
PA0905,1888,6043
PA0502,301,955
PA2759,554,1741
PA4921,277,854
PA0091,902,2748
PA2443,797,2426
PA3236,227,687
PA2323,1119,3376
PA4447,1051,3161
PA2145,2,6
PA0446,1039,3060
PA1514,245,721
PA2378,221,650
PA5509,504,1466
PA3294,20,58
PA5376,762,2203
PA2525,243,701
PA2368,13,37
PA1990,166,465
PA1976,97,270
PA0740,298,829
PA4542,5498,15278
PA0077,1395,3827
PA5521,1017,2782
PA1429,8638,23492
PA2684,787,2102
PA3560,173,462
PA5392,20,53
PA0605,440,1165
PA1515,176,462
PA0779,2004,5247
PA1977,49,128
PA5435,6406,16675
PA0073,226,588
PA1981,5,13
PA0492,459,1189
PA5113,745,1929
PA1597,450,1161
PA3181,1949,4997
PA1989,174,445
PA3095,72,184
PA4772,1600,4031
PA4298,4,10
PA0979,2,5
PA1807,1356,3389
PA4965,298,743
PA0440,126,314
PA3128,244,607
PA2135,25,62
PA2472,19,47
PA4611,3154,7799
PA3729,1473,3638
PA1410,100,246
PA1024,86,211
PA0090,1693,4140
PA1235,84,205
PA3126,137,333
PA5508,1011,2446
PA4535,940,2274
PA3461,416,1002
PA3232,136,327
PA4121,10,24
PA1646,267,638
PA2762,75,179
PA3330,13,31
PA0447,3742,8921
PA4284,699,1665
PA1108,72,171
PA2093,8,19
PA4820,73,173
PA0503,139,329
PA2292,11,26
PA3229,99,233
PA3336,1760,4140
PA3614,6671,15674
PA5459,505,1186
PA1421,130,305
PA2495,55,129
PA4503,205,480
PA2444,410,958
PA2293,9,21
PA4475,959,2224
PA2108,140,323
PA3969a,207,476
PA2136,47,108
PA1279,170,389
PA3510,49,112
PA2442,756,1710
PA0072,340,767
PA1596,2371,5342
PA0089,324,729
PA0223,81,181
PA1320,13,29
PA0250,367,817
PA5448,681,1499
PA3460,759,1669
PA1209,127,279
PA2362,21,46
PA0677,16,35
PA1968,81,177
PA3511,28,61
PA2095,28,61
PA0603,502,1092
PA1806,715,1547
PA0108,290,627
PA0074,1331,2837
PA2121,422,898
PA1760,1180,2509
PA0500,1075,2285
PA4087,17,36
PA3192,359,759
PA0088,708,1491
PA0169,175,368
PA2100,350,735
PA0086,204,427
PA2992,409,851
PA3100,50,104
PA0076,201,418
PA1556,4333,9007
PA1951,312,647
PA4807,676,1400
PA3485,143,296
PA0501,445,921
PA2551,907,1876
PA4828,61,126
PA2526,584,1204
PA4571,8823,18189
PA5365,540,1109
PA4504,415,851
PA2322,185,378
PA3195,1810,3696
PA2006,172,351
PA2066,26,53
PA0170,55,112
PA4966,989,2011
PA3840,1106,2244
PA2891,75,152
PA4612,167,338
PA1077,1356,2743
PA2967,2962,5988
PA5411,392,792
PA5450,816,1648
PA1513,343,692
PA0122,403,812
PA3363,186,374
PA4017,1161,2329
PA3328,4,8
PA2342,13,26
PA4909,91,182
PA3231,13,26
PA2408,15,30
PA2514,15,30
PA4502,1685,3368
PA1205,501,999
PA3193,459,915
PA4683,1096,2178
PA1885,66,131
PA2320,456,905
PA5465,390,773
PA0097,187,369
PA4917,389,767
PA2642,2855,5617
PA3182,809,1586
PA2075,98,192
PA1342,2199,4298
PA2275,20,39
PA1338,279,542
PA0084,2953,5715
PA3233,334,644
PA4283,478,921
PA4160,26,50
PA2597,77,148
PA1586,2765,5306
PA1940,315,603
PA3272,522,998
PA4322,584,1116
PA2236,549,1049
PA3499,54,103
PA0078,343,654
PA3003,709,1349
PA1842,164,312
PA5007,414,787
PA2250,2026,3843
PA2683,380,720
PA3060,75,142
PA1826,166,314
PA5155,193,365
PA4412,2188,4126
PA2099,35,66
PA2364,69,130
PA1517,235,442
PA2536,327,615
PA1647,971,1826
PA0792,663,1246
PA1942,97,182
PA0699,16,30
PA0474,16,30
PA4125,23,43
PA5148,937,1751
PA3420,436,813
PA5153,1500,2797
PA0171,103,192
PA4024,723,1346
PA1849,7,13
PA5495,4957,9202
PA0473,737,1367
PA4487,1785,3307
PA2262,156,289
PA4071,27,50
PA2178,27,50
PA1420,47,87
PA3839,2559,4721
PA5543,44,81
