Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
predicted RNA,404,439,431,384,353,364,518,423,385
PA0001,25,49,29,48,12,24,28,24,31
predicted RNA,894,1052,762,608,692,630,969,756,821
PA0002,17,32,27,28,15,17,24,37,20
PA0003,4,14,9,6,12,5,10,11,7
predicted RNA,131,259,211,192,145,172,212,208,157
predicted RNA,1010,1289,959,811,828,865,1082,1013,863
PA0004,49,100,71,79,59,81,96,93,81
PA0005,0,2,1,1,0,2,5,1,2
PA0006,4,5,9,9,6,10,15,12,6
predicted RNA,98,165,134,128,85,122,109,90,106
PA0007,6,18,13,8,8,10,16,11,8
PA0008,11,11,10,2,10,10,8,14,10
predicted RNA,9,5,3,2,3,4,3,2,2
PA0009,6,10,7,8,3,7,9,5,4
PA0010,1,8,6,5,1,7,3,8,3
PA0011,10,16,11,8,13,12,12,14,11
predicted RNA,183,298,226,222,185,218,229,294,228
PA0012,0,1,1,2,0,0,0,1,0
predicted RNA,74,108,76,54,70,75,108,107,73
PA0013,9,18,11,6,5,12,10,15,12
PA0014,0,1,2,1,2,2,3,1,4
PA0015,0,2,4,4,3,1,5,2,4
predicted RNA,37,71,60,54,52,69,65,95,58
PA0016,9,12,15,13,4,17,19,17,10
PA0017,2,7,6,6,6,6,3,6,4
PA0018,4,0,0,2,0,2,5,3,0
PA0019,10,18,19,18,12,15,17,13,6
predicted RNA,200,206,178,153,127,163,229,213,211
predicted RNA,1073,889,724,308,437,309,486,381,396
PA0020,1,2,3,2,5,4,6,0,2
PA0021,7,3,6,4,7,8,9,6,4
predicted RNA,47,48,42,42,56,34,38,49,25
PA0022,18,24,27,20,21,24,35,33,29
PA0023,7,22,21,14,14,18,26,23,16
PA0024,2,2,2,2,1,1,2,3,4
PA0025,0,9,7,8,4,4,6,4,3
PA0026,1,5,2,9,1,3,4,4,0
predicted RNA,111,100,63,56,54,45,58,50,40
predicted RNA,3,2,1,0,1,0,1,0,0
predicted RNA,24,19,14,6,12,8,20,7,11
PA0027,3,2,0,0,1,4,3,6,0
PA0028,0,2,0,0,0,1,0,1,2
PA0029,15,17,20,9,6,15,15,12,14
PA0030,2,5,9,6,4,6,5,4,5
PA0031,28,62,67,42,27,65,75,79,38
PA0032,10,12,5,10,2,12,10,12,17
PA0032a,4,2,2,0,0,5,4,2,3
PA0033,18,55,42,32,28,42,50,46,35
PA0034,8,16,13,9,14,17,15,12,8
predicted RNA,892,854,1045,785,732,824,1012,808,890
PA0035,6,14,7,12,9,10,17,10,10
PA0036,19,32,33,25,14,29,26,20,25
PA0037,4,13,14,4,6,22,18,14,9
predicted RNA,3297,5885,4352,5205,4031,4362,5525,4189,4512
PA0038,2,5,4,1,0,0,3,1,1
PA0039,9,8,4,3,3,7,6,2,2
PA0040,7,8,7,10,11,18,11,16,13
PA0041,26,47,33,49,31,41,78,69,46
PA0041a,1,0,0,1,1,1,1,2,1
PA0042,1,9,8,6,2,4,7,6,9
PA0043,2,4,1,2,1,5,10,4,2
predicted RNA,417,973,694,582,615,734,898,759,555
PA0044,10,18,17,23,14,21,19,23,19
PA0045,0,0,2,5,1,4,6,4,1
PA0046,2,1,1,0,0,1,2,2,1
PA0047,11,5,7,5,7,6,11,7,3
PA0048,5,5,1,2,0,3,4,2,2
PA0049,9,9,6,5,3,8,19,12,14
predicted RNA,80,125,37,41,41,44,45,34,40
predicted RNA,414,386,283,218,265,145,234,194,222
PA0050,1,0,2,4,2,0,2,4,1
PA0051,5,13,12,8,4,6,7,6,7
PA0052,2,1,0,3,0,2,4,3,3
PA0054,0,2,1,2,3,1,0,2,1
predicted RNA,274,321,287,189,220,211,382,215,269
PA0055,3,3,4,5,2,2,9,3,1
PA0056,1,3,3,6,2,7,5,8,3
PA0057,2,4,1,1,0,1,2,3,6
PA0058,2,0,1,2,1,2,4,1,2
PA0059,4,1,4,2,5,3,6,6,4
PA0060,7,12,5,9,8,6,12,15,16
PA0061,37,65,34,50,37,45,61,57,37
PA0062,0,13,3,1,5,5,8,3,3
PA0063,12,21,13,19,15,17,21,18,22
PA0064,19,48,47,22,39,40,49,38,29
PA0065,10,26,10,10,10,10,11,18,15
PA0066,6,5,3,4,4,3,2,8,4
predicted RNA,16,22,27,19,16,21,21,22,18
PA0067,8,25,15,17,18,18,26,25,22
predicted RNA,110,117,98,91,78,78,144,105,68
predicted RNA,7,7,6,6,5,6,7,7,5
predicted RNA,185,229,170,174,148,206,246,205,166
PA0068,0,1,1,1,1,1,1,2,0
PA0069,9,17,19,26,8,24,25,18,22
PA0070,3,5,7,5,0,6,8,9,2
predicted RNA,10,7,6,2,5,3,4,6,4
PA0071,3,13,12,14,11,6,7,10,8
predicted RNA,78,204,177,152,111,203,160,226,185
PA0072,1,1,2,1,2,1,0,3,0
PA0073,0,0,1,0,0,1,0,3,0
PA0074,7,12,18,13,5,10,20,17,9
PA0075,6,1,2,0,0,0,0,2,1
PA0076,1,1,1,0,1,1,1,1,1
PA0077,4,14,20,10,7,10,17,7,16
PA0078,10,9,9,18,6,14,13,15,4
PA0079,4,23,19,21,10,21,18,25,21
PA0080,1,1,0,0,2,0,1,1,0
PA0081,1,14,2,7,5,11,12,6,7
predicted RNA,96,177,150,128,99,145,202,188,147
predicted RNA,38,72,61,41,41,54,55,67,48
PA0082,0,1,0,0,0,0,4,1,1
PA0083,2,2,1,0,0,3,4,2,2
PA0084,6,16,14,8,9,2,9,11,8
PA0085,0,10,4,2,1,2,2,3,1
predicted RNA,39,33,23,17,16,14,19,24,17
PA0086,2,3,13,2,5,6,5,4,3
PA0087,0,3,4,3,1,0,1,4,3
PA0088,5,10,6,12,5,6,15,11,5
PA0089,3,2,6,1,0,4,3,5,0
PA0090,9,23,19,23,9,16,21,14,16
PA0091,13,18,23,14,12,14,19,14,16
PA0092,1,0,0,0,2,1,1,1,0
PA0093,11,27,29,17,11,27,31,24,22
PA0094,2,5,0,0,1,1,2,2,2
predicted RNA,117,188,185,130,89,106,190,193,116
PA0095,5,14,9,9,11,9,16,10,4
PA0096,0,1,1,1,3,3,2,2,0
PA0097,0,2,1,4,0,3,1,2,0
PA0098,0,0,0,0,0,0,0,0,0
PA0099,0,0,0,0,0,0,0,0,0
PA0100,0,0,0,0,0,0,0,0,0
PA0101,3,12,12,15,5,7,11,11,4
predicted RNA,100,109,89,72,91,71,82,82,94
PA0102,0,3,2,3,4,2,7,4,3
PA0103,9,18,17,14,8,10,18,14,8
PA0103a,6,14,11,12,13,8,12,13,10
PA0105,13,34,23,81,32,55,30,27,26
PA0106,11,25,28,24,24,29,45,40,21
PA0107,7,13,5,9,10,4,11,13,7
PA0108,76,185,104,117,83,112,151,134,119
PA0109,140,283,221,281,177,246,340,254,255
PA0110,1,8,4,7,2,7,6,8,5
predicted RNA,4,9,8,8,5,7,10,9,8
PA0111,2,7,2,3,0,2,3,4,0
PA0112,2,4,7,6,6,4,10,6,5
PA0113,8,34,26,17,10,13,16,22,16
PA0114,16,24,8,15,19,17,16,13,19
PA0115,18,37,26,17,17,23,29,32,32
PA0116,1,0,0,0,0,1,0,1,0
predicted RNA,3,6,4,6,4,5,6,5,5
predicted RNA,15,21,14,17,11,13,17,9,18
PA0117,2,0,3,0,0,2,0,0,1
PA0118,0,0,2,2,1,2,1,1,0
PA0119,6,6,10,8,8,7,12,12,12
