Gene,PA14_control1,PA14_control2,PA14_control3,PA14_FBI1,PA14_FBI2,PA14_FBI3
CIA_RS06865,705,742,555,1292,903,1103
CIA_RS07310,1151,925,539,1599,885,1336
CIA_RS11715,274,235,355,1353,1317,1796
CIA_RS11720,1971,1680,1498,4456,3158,3723
CIA_RS11725,1234,1273,903,2458,1391,1817
CIA_RS11730,1153,554,322,511,288,349
fliI1,697,603,376,768,327,530
CIA_RS11740,472,452,288,651,289,449
CIA_RS11745,548,605,529,1041,602,797
CIA_RS11750,1027,1186,663,1370,1150,1387
CIA_RS11755,455,392,228,443,239,306
CIA_RS11760,229,147,55,142,88,124
CIA_RS07315,196,254,78,203,233,176
CIA_RS11765,150,134,53,152,83,148
CIA_RS11770,1620,1244,832,2272,1992,2632
CIA_RS11775,1232,809,637,1381,894,1269
CIA_RS11780,487,465,290,627,437,522
CIA_RS11785,517,708,468,1139,819,1154
CIA_RS11790,1993,2154,1253,2997,2270,2906
CIA_RS11795,407,332,277,659,571,701
CIA_RS11800,9346,7940,5889,14412,15732,14451
CIA_RS11805,559,537,514,1804,1596,1932
CIA_RS11810,585,365,361,987,840,1214
glyA,485,494,429,923,579,933
CIA_RS11815,941,827,674,1951,2456,2607
CIA_RS11820,1072,679,818,1899,668,1267
CIA_RS11825,1403,929,875,2300,1179,1603
CIA_RS11830,319,313,228,1047,894,1053
CIA_RS11835,1288,865,825,1790,1267,1677
CIA_RS11840,291,181,201,341,135,229
CIA_RS11845,510,419,325,699,322,494
CIA_RS11850,334,279,147,252,116,168
CIA_RS11855,680,816,474,718,415,572
CIA_RS11860,939,852,585,1022,544,876
CIA_RS07325,1735,1573,1144,2369,1219,2040
CIA_RS11865,201,174,112,174,123,159
CIA_RS11870,140,150,104,160,82,144
CIA_RS11875,809,521,437,549,261,422
CIA_RS11880,436,321,256,488,188,301
CIA_RS11885,349,310,309,712,439,564
CIA_RS11890,78,50,49,87,39,51
CIA_RS11895,117,135,67,203,86,141
CIA_RS11900,402,425,316,651,607,632
CIA_RS11905,286,258,173,269,152,246
CIA_RS11910,472,329,207,347,160,253
CIA_RS07330,350,314,280,513,220,358
CIA_RS11915,146,132,79,248,84,118
CIA_RS11920,191,147,123,177,143,156
CIA_RS11925,325,218,135,333,167,226
CIA_RS11930,183,154,113,200,106,148
CIA_RS11935,191,142,113,188,84,136
CIA_RS11940,51,57,24,62,50,52
CIA_RS11945,104,82,62,229,183,201
CIA_RS11950,90,64,53,129,77,71
CIA_RS11955,192,153,115,200,122,224
CIA_RS11960,107,194,78,221,146,179
CIA_RS07335,421,500,324,596,349,424
CIA_RS11965,296,319,187,462,314,373
CIA_RS11970,189,155,129,345,220,352
CIA_RS11975,47,72,54,174,109,139
CIA_RS11980,10444,10403,9059,16797,8229,12909
CIA_RS11985,822,929,688,1230,692,1090
CIA_RS11990,3207,3333,2716,4066,2790,3597
CIA_RS11995,4825,4769,4119,6612,4183,5954
CIA_RS12000,277,216,119,251,172,250
CIA_RS12005,382,387,310,583,435,542
CIA_RS12010,117,99,111,410,222,313
CIA_RS07340,676,726,575,1235,740,928
CIA_RS12015,367,182,190,482,340,487
CIA_RS12020,145,132,125,335,293,290
CIA_RS12025,292,264,249,722,410,662
CIA_RS12030,731,594,568,1135,1170,1423
CIA_RS12035,102,113,61,186,100,162
CIA_RS12040,75,50,27,68,55,70
CIA_RS12045,261,218,218,659,446,652
CIA_RS12050,717,440,513,1855,1495,1976
CIA_RS12055,62,59,69,319,232,321
CIA_RS12060,786,856,552,2024,1471,2102
CIA_RS07345,506,426,306,509,313,418
CIA_RS12065,449,362,406,1248,1102,1352
CIA_RS12070,390,352,281,850,644,914
CIA_RS12075,420,424,493,1560,1273,1677
CIA_RS12080,150,137,200,702,795,934
CIA_RS12085,2568,1999,2347,8059,6315,8473
CIA_RS12090,751,516,728,3276,2450,3506
CIA_RS12095,475,558,384,1477,1686,1763
CIA_RS12100,876,731,467,958,535,1100
CIA_RS12105,136520,131186,104021,163837,104482,127526
CIA_RS12110,3883,3251,2641,3458,1899,2886
CIA_RS07350,449,362,188,288,192,209
CIA_RS12115,5718,4667,4177,6004,3210,4371
CIA_RS12120,2152,2352,1819,3224,1963,3067
CIA_RS12125,871,725,470,954,793,926
CIA_RS12130,780,1018,751,2713,2265,3349
