Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
dnaA,3895,1291,1652,2370,2399,2384
dnaN,1970,486,538,858,806,870
PA0011,773,933,380,618,497,477
PA0099,286,414,294,396,286,289
PA0981,395,528,462,656,676,885
PA0982,357,2050,1525,3400,3872,4194
PA0983,309,808,543,1511,955,885
PA0984,178,119,73,121,81,110
pyoS5,812,757,693,1664,1178,1008
PA0986,16,30,33,37,22,37
PA0987,40,62,30,101,77,57
PA0988,159,231,106,208,191,144
PA0989,366,318,380,280,250,247
PA0990,87,188,91,239,162,199
PA0100,650,594,403,653,426,388
cupC1,262,475,343,362,364,272
cupC2,71,80,57,103,74,73
cupC3,329,476,277,604,454,393
ogt,663,887,678,952,757,670
pqsA,2832,815,1218,1085,1221,1388
pqsB,5442,4772,4693,1986,3575,3022
pqsC,2036,911,1478,998,1155,1379
pqsD,2650,2547,2823,1378,1726,1701
pqsE,3808,6378,5574,2960,3660,3342
phnA,4627,4282,4280,2740,2967,2937
PA0101,158,320,104,112,101,75
phnB,1267,3264,2324,1172,1297,1233
mvfR,3213,4820,4298,3424,2655,2086
nadA,1458,2638,1826,2225,1860,1437
PA1005,963,1495,533,677,667,490
PA1006,55,178,28,71,71,60
PA1007,312,1360,167,309,324,257
bcp,585,1108,359,322,567,471
PA1009,947,1453,434,797,622,589
dapA,1350,2976,505,1008,886,716
PA1011,1697,3216,646,878,1146,959
PA0102,643,708,576,539,657,789
PA1012,566,3835,509,920,1017,648
purC,1445,3411,1004,1798,1590,1255
PA1014,1001,565,743,794,768,764
PA1015,256,282,210,320,300,233
PA1016,207,301,133,222,206,182
pauA,158,160,138,171,135,111
PA1018,75,77,63,85,51,59
mucK,97,112,90,137,103,81
PA1019a,453,199,239,245,70,161
PA0103,181,591,199,374,211,237
PA1020,235,96,105,132,108,139
PA1021,194,140,202,196,170,171
PA1022,1109,539,828,934,885,786
PA1023,263,116,121,134,100,127
PA1024,229,190,182,151,193,157
PA1025,90,97,62,91,80,45
PA1026,85,650,174,399,255,240
PA1027,448,555,259,641,292,268
PA1028,422,389,302,388,381,326
PA1029,1463,637,1347,1883,1925,2311
PA0103a,413,438,256,534,334,310
PA1030,740,827,987,967,1332,1553
PA1031,675,677,549,1129,918,989
quiP,1196,1263,859,1170,1051,963
PA1033,610,576,437,606,690,777
PA1034,140,178,64,191,138,110
PA1035,518,374,310,894,638,691
PA1036,607,394,382,613,319,332
PA1037,839,576,471,926,572,485
PA1038,111,228,123,246,147,160
coxB,7382,18844,7713,18563,9768,7510
PA1039,416,359,331,439,273,235
PA1040,248,587,311,511,529,436
PA1041,33447,9498,15447,25315,12339,14104
PA1042,358,419,230,850,364,272
PA1043,393,591,295,629,385,258
PA1044,56,209,45,142,90,88
PA1045,471,891,353,574,589,599
PA1046,470,1784,726,1225,1419,1083
PA1047,484,500,190,353,324,305
PA1048,3098,2870,1665,2209,1735,1666
coxA,5891,7904,1881,5648,2956,2394
pdxH,935,393,309,360,422,459
PA1050,421,421,278,308,312,263
PA1051,202,257,134,318,204,182
PA1052,391,420,229,192,229,174
PA1052a,206,104,87,117,115,107
PA1053,8314,6883,4831,10483,5232,5741
PA1054,1128,1269,884,1168,1105,1075
PA1055,165,158,123,168,145,119
PA1056,635,647,542,556,476,480
PA1057,341,260,199,256,206,240
PA0107,1756,2249,562,1561,831,596
PA1058,127,126,58,78,63,54
PA1059,102,83,56,61,74,77
PA1060,245,734,303,900,590,428
PA1061,453,761,747,1193,572,481
PA1062,144,251,118,203,116,93
PA1063,58,101,34,71,33,45
PA1064,202,272,162,448,288,227
PA1065,193,300,177,410,208,191
PA1066,331,829,359,477,339,266
PA1067,42,102,46,99,53,63
coIII,4409,7337,3914,7523,6316,5163
PA1068,413,472,371,459,319,323
PA1069,972,819,832,973,844,704
braG,263,148,230,303,293,255
braF,544,361,383,528,452,386
braE,336,320,319,391,339,319
braD,274,495,283,594,422,329
braC,4641,3798,3562,5871,2929,2746
PA1075,181,581,258,252,347,331
PA1076,858,411,203,1119,475,419
flgB,9789,12293,11679,41414,20114,17796
PA0012,147,371,144,397,411,292
PA0109,2884,5694,3558,4637,5634,5167
flgC,1404,4436,4791,11343,6872,5172
flgD,1128,4507,4656,8242,5541,4008
flgE,5673,7186,6556,11359,5226,4255
flgF,13730,8515,14934,20800,23077,21816
flgG,3289,14424,11080,34344,22938,16519
flgH,1366,12939,9177,19388,7523,4096
flgI,787,9317,2402,3663,1357,889
flgJ,1566,6448,2128,3997,1128,944
flgK,3775,8138,2189,5503,2009,1795
flgL,6986,19561,7801,23426,9399,7000
PA0110,2129,2849,1436,1687,2935,2843
PA1088,883,3097,725,1463,613,498
PA1089,201,374,112,256,119,93
PA1090,168,314,109,221,138,114
fgtA,2446,2559,2184,2118,1758,1349
fliC,136741,323250,183504,534787,199132,148553
PA1093,7942,24920,8058,18795,5719,3616
fliD,29375,62614,26131,75878,34990,24739
PA1095,14175,64415,43245,158445,117466,114682
PA1096,2790,9418,3807,33714,15577,15878
fleQ,2404,1339,1248,3324,2405,2500
