,A1,A2,A3,B1,B2,B3
PA4556,99.97602498,101.7075792,99.2302777,40.37722329,46.23046616,66.52264514
PA0081,154.048631,157.956665,158.0282236,163.2405038,156.2332576,201.274786
PA5222,60.19817749,64.44812412,40.96674872,45.78712632,40.01960988,63.88744857
PA4384,28.01645913,30.00302438,26.18359088,5.812254693,7.96303517,6.416643306
PA3797,173.5940747,171.4366113,171.3963038,81.13536377,85.78642896,95.45232545
PA1741,211.3637054,194.4962351,230.8959842,242.7517739,301.9617186,218.3802533
PA0393,120.0652557,114.119205,138.9593748,139.7519274,136.6542084,155.904694
PA2617,10.22289581,12.97172923,11.88642749,41.49528359,28.91949865,37.91432599
PA5458,8.598785916,9.568697155,11.0163507,17.4672746,22.01643372,18.45717252
PA4298,22.99043813,22.13971832,15.77905872,1.077737915,0,1.104820539
PA2986,55.67169027,44.58551569,39.02953809,89.64594176,115.4065195,99.39566348
PA0440,1.197418653,0.614992175,2.301112729,1.347172393,0.799796076,1.150854728
PA3294,0,0,0,0,0,0
PA3933,34.85696684,48.88341475,33.46415052,43.20839163,78.07183717,60.34279764
PA4835,5.661527824,6.46166894,7.253276991,4.718207461,5.042032407,9.673543891
PA3902,322.6498988,381.5028085,351.3914407,218.7318086,273.9249627,258.9871524
PA2298,8.54644548,10.72974175,10.16720218,14.60100584,13.53115866,10.76959847
PA5450,67.92938992,72.76727323,42.98110899,25.23234739,22.18202198,25.86641452
PA4426,70.72835566,86.45579121,85.43583606,211.6666096,176.3695389,203.3900195
PA3630,20.27312769,21.28725391,13.85224297,24.32913313,27.28281269,23.90131562
Novel00033,0,0,0,0,0,0
PA4982,8.724733513,6.908221028,4.990048529,5.044272664,4.370656587,5.031273294
PA4143,24.83645856,23.36970267,21.23598319,2.133022956,1.688458383,2.332398916
PA4825,5.134064932,2.791955628,5.140412381,7.588276358,11.69967181,13.9324714
PA2527,14.51353988,14.77394996,16.08133953,36.87432789,47.62617095,50.46828689
PA1909,2.132901975,4.016667646,3.513306042,10.39848691,12.03026598,18.31297586
PA4619,23.95412988,40.11049929,23.78237936,62.26786246,56.10877089,60.04805863
PA3456,49.18374265,60.79690587,44.16931932,33.29469726,36.00669725,37.01570493
PA3360,11.98775501,7.547156102,7.643680001,5.800855632,9.298479029,8.919939197
PA2472,0.304021662,0.312290013,1.001566088,1.140145901,0.541510038,0.701278071
PA4465,262.5475992,306.3303883,311.8150924,266.8434015,287.1908866,280.1316747
PA5136,26.25110123,23.27508849,14.86872841,55.13043949,48.72603788,50.99171719
PA0565,177.5782459,151.3860385,107.4512007,1002.105511,1273.784958,967.8423467
PA1450,18.52577716,19.02961503,13.56247666,27.54646789,41.10190122,38.98438188
PA3517,3.426922002,4.986840318,4.076807011,3.641311156,2.797613054,2.634927646
PA2327,164.3421883,123.7219553,128.1507082,12.44681631,19.06964762,23.04958929
PA4214,0,0,0,0,0,0
PA2763,32.84348305,27.41107982,32.68519306,13.85663033,11.88268456,10.25904786
PA0989,6.569794319,8.248130353,5.611269544,12.04530611,12.35193085,12.90926673
PA3004,91.00381761,94.61879616,93.8404996,134.4324712,124.5341012,159.5702185
PA2725,12.17248516,15.18286415,11.69610164,29.83514912,32.52164428,33.59322961
PA4657,637.9978006,607.4697711,791.0936923,124.235581,112.3030734,128.3174952
PA0135,14.52188579,26.85029668,38.2726105,21.78406423,12.93287272,17.86518319
PA0587,612.987979,721.9253904,842.4863697,14.97140641,20.93051241,19.30830235
PA4419,45.966214,35.76995306,29.06244998,20.89491876,45.89850136,48.1949776
PA1747,56.33569662,106.8329265,80.89898358,104.0102623,73.3273355,179.9279164
PA2784,2.201705265,4.523168258,2.417758997,12.66052335,10.4575487,10.72151115
PA4425,93.76150905,121.0975502,107.504799,197.5308532,171.9157627,196.1335452
PA3963,24.60729414,29.26755932,15.92876516,23.50777482,31.37264609,22.10689295
PA2840,86.99836789,64.18439465,69.67232264,165.2942578,162.0206615,159.8391335
PA2237,136.1975871,172.1867032,135.3508423,22.64952593,18.38628271,24.16639057
PA4887,61.25655605,49.18816689,46.4385965,90.02425817,140.6766602,144.1677553
PA3111,275.5510943,255.0014998,191.7339111,181.4359248,153.5162069,174.2790167
PA1926,25.44272048,25.90741754,22.10858389,47.29295631,53.59281844,45.07918488
PA4389,394.4098261,433.9559807,471.0329682,377.9750402,324.8246895,395.3554447
PA2955,33.64122168,36.54977194,28.41726214,24.74710994,21.31778736,26.36384557
PA2799,713.9249492,556.6663175,710.531014,167.9115671,193.2947157,212.0150615
PA1954,1.601240193,4.111971144,3.956332904,2.401996526,0.356507342,1.84676747
PA3473,22.29593531,17.76097403,15.98944617,19.45316936,27.55564082,26.93920748
PA0712,215.8695208,277.1755433,203.93516,236.9143637,291.2001714,307.5512059
PA3638,48.68601529,44.94579384,31.13069372,45.76128708,44.73080719,45.72660177
PA4856,73.39173202,72.85994257,75.34793362,80.23604486,71.03342628,83.81053793
PA2303,59.42013973,36.29177355,54.22891209,1.204530611,3.575558929,0.92609957
PA1279,16.28761508,13.54380495,17.03421111,56.42815275,52.4957061,73.94764745
PA3492,19.78343861,20.32148058,14.77285787,17.80610468,10.5712177,16.12397512
PA3756,122.6099339,129.3030255,153.4915023,188.2169239,190.7250236,199.8600508
PA1369,66.3493969,63.68476743,88.38787472,100.345558,90.57132938,88.64974366
PA0481,23.98073572,27.47519097,26.33396961,49.11717726,40.24919714,54.60650165
PA4877,624.3129546,729.9595362,737.3809388,115.9360713,193.0801822,119.6211944
PA1451,7.617507054,4.068832161,7.026612085,11.88398504,13.56796915,13.58830618
PA2851,2229.593531,1838.41661,2275.482195,7006.607979,7164.209323,7062.170718
PA0676,5.972125531,6.13454695,10.77413853,3.199534434,6.838256452,8.199839939
PA2291,2.109360011,1.547662428,3.970888949,16.0471131,15.83349054,16.68205847
PA0436,384.458157,365.7866504,402.6327929,144.9219075,152.108077,144.0002809
PA1875,23.07139038,22.71140118,24.98350963,4.566471681,3.424478975,5.666743845
PA4183,70.00293662,75.50211631,69.1851036,84.6646035,96.63177209,129.1790169
PA1655,29.88185056,37.67056549,23.11906862,66.21922014,42.94228485,54.82878049
PA1754,322.1535143,306.7543125,361.1462408,314.4010206,263.3371647,274.1824633
PA1986,10.74143421,13.79195567,7.372183171,19.13426495,13.1533676,17.20622151
PA2937,925.0582237,551.3434707,1060.950205,12.9223915,30.6873213,33.62730476
PA2295,0,0.52713615,1.127075623,1.924531991,0.914052659,3.156630112
PA4789,12.04462292,13.74688392,14.69618214,20.07551018,41.71485418,36.01498326
PA4668,40.4215986,46.96629565,23.28560121,63.6179274,72.58731768,59.10253564
PA5213,100.920292,109.6597101,117.8575574,6.085454441,5.070657084,6.347821867
PA1030,67.27080762,78.17922115,67.40155477,116.7484795,69.53047328,106.4681376
PA5097,29.45956916,24.26853738,34.5925518,5.906832802,1.818339797,2.466960392
PA2703,7.000293662,12.58368605,9.609042167,2.625259023,7.792884846,4.036844278
PA1611,54.22543427,53.97971199,43.2230044,45.22532109,61.15741285,75.015959
PA3211,88.62151872,93.23410174,76.52017349,103.9932449,128.5703598,116.4978307
PA4227,5.055767645,5.665382465,3.533021564,74.11716131,128.5274988,155.1398673
PA3769,100.1734038,91.70164697,88.91469589,351.3405113,365.8626097,444.3752041
PA3856,260.293528,296.9839233,250.4558047,55.32611097,53.6111755,68.45083775
PA5428,36.94214378,28.69151615,40.07256001,55.41635879,56.57171455,60.27288288
PA1612,16.7259981,19.39777692,13.62736889,28.32789381,26.90855416,21.98723879
PA1524,67.54922544,77.48140596,67.68728177,19.63260717,14.03683341,25.53616133
PA3610,1.153569519,3.159847121,4.222565009,16.72770679,17.80729067,22.46987125
PA1763,7.982791018,6.969911322,7.451222172,2.095601501,2.132789537,3.068945942
PA4989,22.67383252,25.19174728,24.39068059,45.81299475,55.22117452,32.37685953
PA1676,113.5421463,108.7674012,131.6887798,100.4713617,134.0667516,120.6525981
PA2206,13.39138455,9.762027696,12.80800177,12.96013948,13.08020925,8.635780797
PA2172,25.09576029,23.43479933,21.71268804,6.559491208,11.51349895,8.770859433
PA4664,81.80487576,68.33739769,66.02140452,141.5649604,142.1962353,166.3413018
PA1892,4.994111942,5.129934732,5.484185042,2.913397209,0.988365883,1.279975015
PA1569,2.090897341,2.761409068,1.31204427,6.497085241,14.63084288,8.497689705
PA2495,13.56399396,13.93288827,12.67662222,61.25789395,80.70331317,78.5520396
PA0205,0,0.45673686,1.953108245,1.000505882,1.979951199,2.051295464
Novel00048,601.9409141,636.0501003,777.4988601,18.50333167,26.36436223,1.896830444
PA1069,27.658023,26.02743356,25.08148418,54.47155095,50.85239366,55.97757398
PA2399,5.350979884,6.069061207,4.651890728,3.720814238,4.368343126,8.142919858
PA3052,69.71393367,53.60023547,67.84512708,83.59884467,91.08381004,80.88502663
PA3324,12.20034317,11.58632813,15.67262324,5.697653226,6.355209294,3.539897174
PA0050,101.6532005,95.46772153,82.92398943,0,5.173149089,4.466295797
PA2433,1659.302941,1593.813722,2111.939348,75.08240806,128.3228371,88.63115881
PA5076,130.3706376,118.6865798,111.1625822,228.1615567,148.8878808,174.1437168
PA1952,0,0,0.59721537,0.815817545,0,0.418159168
PA2990,145.0019335,138.472761,151.14505,96.86225408,117.0290823,111.4906038
PA4165,15.10626751,20.31330292,13.2709186,22.66068654,30.08649385,29.14325406
PA0401,76.94544484,81.68372489,68.58680475,85.24042682,92.32363009,104.7104089
PA0116,258.3241278,292.8608309,264.6987033,168.4818133,143.8823017,180.6871059
PA5305,505.6646909,438.9439805,436.6682988,173.6095206,204.0245017,211.7412581
PA1934,158.0026912,138.0100551,131.0158852,189.4527476,156.9867448,161.9823499
PA1912,0.807726192,1.659387172,3.547954031,50.88963645,87.75987242,100.6105805
PA3369,1042.140492,895.5873151,947.7615268,155.2290255,193.4646509,192.9872006
PA4498,60.85600119,65.61936217,57.59745078,146.2644313,109.5917619,103.9238827
sRNA00141,13.21023159,0,0,0,0,5.078610543
PA2408,1.625068172,1.669264476,1.784536402,8.532091825,22.19116732,36.65198297
PA1971,4.986510554,4.481860785,2.395679006,28.28446879,33.02902153,24.68189264
PA0024,45.05581166,49.03055265,52.41638296,136.1788774,147.3924848,155.0359279
PA4804,20.50515204,18.65564247,18.33553711,27.24410437,34.4358551,33.33428494
PA3494,28.32069013,31.41818948,31.72180061,18.6927157,24.71734928,30.48571197
PA5153,143.5757441,199.9925153,146.914981,227.2051863,147.2389526,190.2624215
PA0996,141.7762178,113.9611369,161.7658133,4.348402011,4.459094727,4.052430549
PA1641,211.3637054,202.0348489,256.2824537,51.74300849,71.89564729,55.30042591
