,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA0998,629,419,3,2,1299,1470,165,195,32,33
PA0997,338,208,1,0,31,40,525,776,239,173
PA0996,260,131,1,1,13,19,57,65,543,507
PA0999,442,375,0,1,132,149,502,760,323,235
PA1001,188,140,7,5,18,9,733,1150,525,348
PA2664,3,19,122,114,11,8,1273,1647,797,593
PA4550,31,9,155,140,136,121,5241,7737,3857,2702
PA4552,67,27,209,247,20,60,790,1090,552,335
PA4551,25,15,132,137,9,7,59,69,446,374
PA3578,19,13,124,115,82,94,1160,1863,935,638
PA0524,40,223,801,822,1912,2029,10,19,170,140
PA0758,39,16,118,142,255,247,1192,1642,6590,6540
PA4553,22,15,100,106,45,39,1381,1884,993,790
PA0523,5,26,91,96,33,53,271,360,189,105
PA4554,364,235,714,691,185,217,1223,1633,915,645
PA0122,286,192,66,70,39,69,124,189,65,55
PA3392,145,150,350,371,7,22,308,428,207,154
PA2662,1,9,39,38,1,8,927,1324,713,534
PA3676,102,69,17,20,487,428,510,700,367,291
PA0519,487,750,1748,1825,130,211,1048,1508,867,599
PA3391,23,36,88,89,350,295,163,182,91,59
PA1002,34,19,0,2,69,97,149,201,861,716
PA4500,288,144,70,95,92,105,212,320,167,103
PA0525,4,10,33,29,82,138,61,92,446,333
PA2633,15,12,42,46,1,0,107,143,620,542
PA2194,148,120,43,62,63,100,483,637,391,254
PA0095,79,39,104,131,2,1,1656,2149,1331,1021
PA3361,49,52,4,8,57,74,660,846,3170,2745
PA0516,50,38,84,96,5,3,544,790,484,319
PA0391,28,16,54,53,94,152,887,1280,5321,5495
PA3280,50,19,8,4,78,84,162,199,118,61
PA2195,167,120,64,64,93,83,488,694,405,309
PA0918,32,38,81,67,17,23,1274,1632,1125,722
PA1003,99,68,36,34,752,842,9,12,115,86
PA4843,140,111,196,202,23,52,326,381,1666,1710
PA1336,1,4,14,16,85,126,1072,1347,892,668
PA1342,410,373,570,581,60,106,1115,1739,1138,733
PA5369,423,183,126,101,44,38,243,305,175,136
PA2400,32,9,0,1,100,83,1329,2002,1254,962
PA0100,79,65,126,113,851,1354,394,514,338,223
PA1639,11,4,19,28,72,73,634,798,533,390
PA4211,126,202,6,7,88,83,69,82,383,298
PA0520,7,7,19,25,1,0,43,69,311,229
PA1656,202,102,79,73,1,1,83,131,47,50
PA4209,33,38,5,8,73,113,155,150,759,516
PA1339,74,56,105,102,18,49,149,211,125,69
PA3393,17,12,29,36,26,23,8,15,107,88
PA0200,42,43,75,69,46,68,81,138,53,48
PA0938,224,104,83,91,15,21,769,1106,753,492
PA3217,16,6,26,27,51,67,901,1236,865,564
PA3479,52,37,20,16,58,54,1382,1847,1267,929
PA3335,41,34,19,6,24,49,139,219,106,90
PA3478,22,15,5,4,179,215,187,234,839,761
PA4919,400,222,402,431,44,48,196,331,192,127
PA2663,3,3,14,11,16,23,296,401,270,170
PA5262,44,46,68,76,28,50,594,756,485,418
PA4556,36,34,12,15,108,162,3302,4678,3246,2412
PA4210,18,10,2,3,25,24,29,53,207,201
PA0266,103,89,131,145,22,30,3,10,83,59
PA4812,172,86,173,186,17,11,1974,2825,2023,1388
PA3326,442,328,233,228,33,47,1831,2454,1777,1266
PA0443,16,5,2,0,2,1,1049,1472,991,779
PA1337,156,167,238,241,177,201,3,9,77,57
PA5368,77,56,33,32,11,17,3970,5439,3848,3023
PA5023,4,2,14,10,14,14,173,251,149,109
PA3577,8,1,15,14,41,48,298,360,264,164
PA1847,124,84,157,132,26,20,59,60,28,18
PA5427,256,205,304,303,126,125,1098,1522,1112,797
PA4501,42,40,20,7,1,1,182,234,834,657
PA0509,59,35,73,70,39,37,800,1241,877,605
PA1183,30,25,45,47,34,46,183,300,173,137
PA1338,34,48,65,83,20,14,327,524,341,246
PA0070,187,124,185,230,18,38,6,6,79,48
PA0099,46,33,55,68,475,706,6,11,87,61
PA2788,67,50,35,23,1,6,831,1109,844,565
PA1658,557,326,273,277,37,53,289,365,272,172
PA3678,39,18,13,9,33,41,1382,1814,1364,1026
PA3814,150,73,148,153,56,65,814,1393,607,697
