,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_00060,568,618,705,728,626,910
PA14_00070,314,323,328,363,316,500
PA14_00080,438,471,439,220,151,204
PA14_00120,883,916,963,946,718,1009
PA14_00130,231,216,238,198,179,241
PA14_00140,114,117,154,148,139,153
PA14_00150,64,70,79,83,70,82
PA14_00160,519,486,502,407,317,450
PA14_00180,853,995,951,911,761,1127
PA14_00210,2208,2249,2450,2142,1863,2586
PA14_00230,31,24,26,30,18,32
PA14_00240,298,305,330,266,259,346
PA14_00310,430,517,492,337,326,395
PA14_00320,102,112,119,97,77,80
PA14_00340,19,31,31,21,16,28
PA14_00360,40,34,32,20,26,29
PA14_00400,265,271,246,223,163,187
PA14_00410,337,399,362,249,203,269
PA14_00420,45,30,51,33,21,53
PA14_00430,109,73,120,119,96,173
PA14_00470,1201,1277,1358,687,516,661
PA14_00480,2675,2723,2855,1546,1120,1506
PA14_00490,257,277,255,274,216,322
PA14_00510,1005,985,987,578,512,562
PA14_00520,231,265,257,204,154,191
PA14_00530,225,231,263,201,172,255
PA14_00550,197,206,198,144,139,157
PA14_00570,528,519,595,691,520,826
PA14_00580,325,298,294,405,313,397
PA14_00590,212,238,257,197,191,212
PA14_00600,36,34,48,9,13,14
PA14_00620,103,112,104,17,15,18
PA14_00630,84,78,85,71,62,66
PA14_00650,86,75,83,40,27,52
PA14_00660,113,105,96,91,61,88
PA14_00670,307,297,343,270,217,285
PA14_00680,49,62,64,28,29,52
PA14_00690,52,58,40,38,25,33
PA14_00700,23,27,30,15,4,11
PA14_00720,369,371,412,229,189,256
PA14_00730,128,127,136,73,71,61
PA14_00740,248,247,269,187,171,192
PA14_00750,261,292,302,220,207,243
PA14_00760,421,433,459,391,343,394
PA14_00770,256,243,251,202,147,218
PA14_00780,268,303,293,204,192,232
PA14_00800,436,430,422,323,267,320
PA14_00810,266,295,262,261,211,291
PA14_00820,1627,1762,1801,668,651,811
PA14_00830,870,884,915,542,514,629
PA14_00850,64,74,50,16,20,33
PA14_00860,18,25,23,10,3,8
PA14_00890,101,106,107,32,44,48
PA14_00900,80,100,77,31,27,36
PA14_00910,730,893,827,355,346,466
PA14_00925,213,239,205,98,95,101
PA14_00940,345,404,361,162,175,206
PA14_00960,127,163,147,73,61,79
PA14_00970,163,125,135,66,55,70
PA14_00980,889,900,816,551,474,561
