,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA0001,4102,3185,5719,5851,4015,3076,4286,5553
PA0002,10636,9311,14625,14215,12457,7083,12715,14052
PA0003,1331,1293,1721,1546,1027,755,1433,1185
PA0004,17199,12916,18897,25654,19418,12226,14728,16570
PA0005,532,394,510,630,394,303,734,830
PA0006,262,301,359,217,198,127,250,257
PA0007,878,495,634,454,794,225,519,645
PA0008,919,807,763,714,915,356,616,979
PA0009,1666,959,1874,1272,1083,724,1145,1756
PA0010,291,107,79,184,158,132,169,222
PA0011,933,1135,1287,2534,1476,1033,1801,1437
PA0012,574,625,1382,1138,719,560,985,872
PA0013,506,259,493,698,462,359,295,456
PA0014,81,178,110,206,68,93,50,164
PA0015,29,55,10,16,20,8,28,22
PA0016,1581,2957,3889,1836,4308,903,3115,3779
PA0017,159,139,112,197,296,97,213,160
PA0018,47,99,34,16,74,20,25,55
PA0019,5719,4892,11621,10312,8588,5796,7630,7433
PA0020,4265,6007,6683,3082,6523,1965,3303,6879
PA0021,15,6,13,15,24,6,4,59
PA0022,69,92,99,46,83,24,174,84
PA0023,533,534,652,369,855,287,500,737
PA0024,679,1819,1413,743,1525,429,933,1888
PA0025,195,588,418,212,567,176,317,446
PA0026,2179,674,983,682,1247,403,734,1259
PA0027,501,177,251,94,277,101,124,187
PA0028,29,6,0,4,25,9,3,58
PA0029,5,8,3,10,16,12,2,36
PA0030,2,0,0,1,9,2,0,25
PA0031,97,148,61,19,62,16,19,118
PA0032,51,57,111,15,135,22,29,82
PA0032a,11,36,1,23,64,11,30,112
PA0033,43,31,90,84,101,21,72,145
PA0034,29,110,186,70,152,63,159,116
PA0035,1974,1134,1393,2392,2881,819,2041,2691
PA0036,4869,3619,4338,4366,6458,2525,5230,5848
PA0037,50,45,22,9,39,42,71,46
PA0038,546,249,329,394,377,206,474,509
PA0039,43813,19112,55713,64922,62190,37825,41757,29334
PA0040,589,811,799,689,778,510,692,752
PA0041,572,695,768,465,603,319,1031,722
PA0041a,24,44,12,73,17,69,113,100
PA0042,20,93,50,72,70,14,63,109
PA0043,53,106,80,46,92,34,90,126
PA0044,103,60,37,68,53,48,69,101
PA0045,281,473,367,474,524,317,695,504
PA0046,184,15,39,55,123,62,65,32
PA0047,36,37,26,10,48,1,19,62
PA0048,0,0,0,0,18,0,2,11
PA0049,35,34,74,53,134,5,15,27
PA0050,50,10,20,15,25,9,7,72
PA0051,56,45,132,11,15,23,38,71
PA0052,96,105,168,21,66,30,59,179
PA0054,333,397,333,343,268,312,374,325
PA0055,1660,1795,2648,1308,2351,644,1331,2008
PA0056,169,231,224,141,204,137,192,171
PA0057,60,48,8,10,14,1,11,41
PA0058,8,14,54,2,20,18,6,13
PA0059,691,973,1559,451,1124,400,573,1010
PA0060,99,97,31,57,96,24,61,121
PA0061,300,122,45,172,107,50,113,316
PA0062,65,116,239,61,202,11,51,110
PA0063,335,359,595,252,381,287,311,581
PA0064,64,83,102,38,128,41,101,167
PA0065,251,311,480,144,320,55,287,229
PA0066,141,393,191,134,270,81,124,247
PA0067,2045,2378,2574,1754,3863,964,2036,2789
PA0068,64,110,97,84,164,51,78,177
PA0069,226,286,232,142,239,123,73,230
PA0070,1043,2445,2209,851,2892,513,1209,2839
PA0071,1608,1407,2485,1880,2126,1362,2632,2701
PA0072,7,26,4,0,5,0,3,17
PA0073,2,9,6,0,6,0,1,25
PA0074,445,688,534,211,683,143,287,807
PA0075,38,43,17,8,38,10,1,60
PA0076,120,229,83,18,184,42,21,133
PA0077,351,436,394,181,490,134,257,672
PA0078,64,186,145,34,93,13,52,123
PA0079,115,373,269,153,132,104,187,137
PA0080,233,244,376,122,216,80,112,220
PA0081,1034,1008,1978,1155,1729,753,870,1064
PA0082,955,826,1284,821,1044,918,872,1312
PA0083,419,494,462,447,838,243,702,774
PA0084,4479,4488,6065,5325,7005,3837,4791,6230
PA0085,1898,1747,3371,2218,3215,1609,2303,2779
PA0086,98,42,219,88,248,60,77,165
PA0087,59,216,156,41,150,25,104,200
PA0088,201,537,431,156,489,171,231,466
PA0089,97,185,337,87,400,54,144,134
PA0090,925,1301,1085,533,1454,584,925,1267
PA0091,259,218,528,188,427,187,365,385
PA0092,605,514,1665,756,734,431,1064,1219
PA0093,1037,724,953,1135,1234,859,1060,1005
PA0094,322,715,249,191,571,137,422,919
PA0095,924,554,777,1066,1509,522,1283,857
PA0096,53,25,194,237,139,36,254,59
PA0097,48,52,40,38,54,14,27,33
PA0098,14,6,0,5,40,3,12,5
PA0099,1252,988,1008,2477,1567,1497,1520,873
PA0100,559,804,498,743,626,582,651,465
PA0101,312,198,189,213,168,78,229,146
PA0102,891,312,1136,837,1245,665,1007,1126
PA0103,77,39,91,53,96,23,40,81
PA0103a,714,380,560,562,508,289,598,534
PA0105,412,164,296,191,356,160,459,326
PA0106,254,225,306,134,187,96,260,309
PA0107,68,23,131,23,14,14,28,62
PA0108,322,132,198,118,245,66,137,244
PA0109,168,186,275,97,180,31,146,180
PA0110,166,159,160,44,145,83,128,170
PA0111,1,16,0,3,0,1,1,4
PA0112,21,1,0,1,24,12,15,47
PA0113,69,73,15,65,85,110,132,39
PA0114,2227,2261,2171,2020,2201,1390,1629,2600
PA0115,998,1722,1610,753,1446,512,912,1604
PA0116,134,99,162,99,124,114,136,213
PA0117,59,88,90,51,117,17,86,62
PA0118,364,172,428,360,474,200,201,283
PA0119,139,374,444,549,693,191,344,483
PA0120,26,98,50,15,52,2,18,17
PA0121,40,74,45,22,98,28,60,15
PA0122,6951,3645,6469,2805,1874,1665,3115,4180
PA0123,755,482,648,186,279,195,307,500
PA0124,118,369,506,334,348,249,294,356
PA0125,292,546,593,302,315,187,391,577
PA0126,832,344,574,369,454,458,459,951
PA0127,146,160,141,58,145,40,57,167
PA0128,826,482,952,773,608,170,591,588
PA0129,205,364,211,233,149,97,238,131
PA0130,836,630,1041,520,1071,697,942,1194
PA0131,102,118,53,17,48,31,19,155
PA0132,238,191,123,102,152,72,134,375
PA0133,207,83,183,103,203,83,159,311
PA0134,365,333,308,294,427,153,344,438
PA0135,0,2,0,7,15,1,47,2
PA0136,6,10,0,0,6,0,15,0
PA0137,5,6,1,12,0,0,3,38
PA0138,50,28,15,12,38,9,29,92
PA0139,28416,22082,30443,29338,25818,15973,24924,25275
PA0140,1127,740,1765,1034,969,471,991,1468
PA0141,1542,1577,1803,1967,2897,549,1227,3145
PA0142,50,76,127,15,69,26,55,67
PA0143,1590,962,1478,759,1117,699,1095,2696
PA0144,39,113,86,13,37,13,36,171
