,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS00005,"6,156","6,712","6,045","9,111","7,375","8,204","7,345","6,136","7,795","7,759","6,405","5,905"
PA14_RS00010,"7,977","8,928","7,374","11,534","9,680","8,331","10,208","8,544","8,946","10,000","9,530","9,302"
PA14_RS00015,"3,390","4,118","3,522","5,694","4,507","3,293","3,756","3,401","4,001","4,558","3,612","3,438"
PA14_RS00020,"13,877","15,110","12,470","20,497","16,246","11,694","14,797","12,507","14,497","15,314","13,225","12,681"
PA14_RS00025,771,861,769,"1,005",876,739,685,656,615,668,525,474
PA14_RS00030,700,711,642,967,725,903,693,660,776,777,649,601
PA14_RS00035,348,457,380,443,404,266,242,316,351,300,233,203
PA14_RS00040,"1,272","1,691","1,133","1,852","1,769","2,607","1,363","1,372","1,439","1,344","1,446","1,697"
PA14_RS00045,389,589,330,668,540,"1,584",351,531,313,301,345,306
PA14_RS00050,234,272,242,324,256,383,153,159,185,186,144,145
PA14_RS00055,"2,008","2,042","1,578","2,315","1,755","2,192","1,611","1,534","2,156","1,912","1,551","1,619"
PA14_RS00060,318,359,291,436,353,322,217,253,265,274,206,233
PA14_RS00065,78,132,81,138,161,248,54,158,66,63,90,56
PA14_RS00070,66,86,79,102,104,78,71,84,55,66,68,56
PA14_RS00075,892,984,905,"1,285","1,025",597,731,682,889,834,755,804
PA14_RS00080,"2,453","2,976","2,479","3,842","3,206","1,854","2,360","2,142","2,723","2,523","2,451","2,568"
PA14_RS00085,948,"1,035",882,"1,325","1,164",965,"1,010",799,966,972,952,"1,104"
PA14_RS00090,462,537,403,562,493,610,385,409,453,407,376,469
PA14_RS00095,"2,722","2,876","2,816","3,417","3,109","3,725","3,215","2,865","3,140","3,417","2,926","3,224"
PA14_RS00100,"2,305","2,798","2,264","3,218","2,604","2,701","1,563","1,652","1,630","1,587","1,356","1,435"
PA14_RS00105,17,21,28,26,23,22,22,18,19,25,14,12
PA14_RS00110,357,386,317,375,368,477,252,243,246,280,222,233
PA14_RS00115,"1,765","1,706","1,258","1,857","1,592","2,039","1,666","1,343","1,615","1,844","1,213","1,332"
PA14_RS00120,"1,748","1,319","1,234","2,344","1,252",964,877,430,"1,233","1,131",613,560
PA14_RS00125,"1,227",962,732,"1,508",888,722,734,387,840,867,498,528
PA14_RS00130,"2,136","2,121","2,010","2,677","2,104",749,"2,298","1,541","1,835","2,161","1,025","1,478"
PA14_RS00135,"1,275","1,250","1,299","1,540","1,207",418,"1,201",897,"1,452","1,350",680,909
PA14_RS00140,343,330,344,328,321,110,256,222,289,282,162,229
PA14_RS00145,37,63,47,45,41,50,33,35,45,54,29,29
PA14_RS00150,60,61,55,76,55,51,73,46,54,56,57,52
PA14_RS00155,78,101,64,126,89,82,98,74,83,90,50,74
PA14_RS00160,375,368,292,476,376,490,377,348,384,476,330,341
