,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0001,78,76,26,19
PA0002,49,38,40,22
PA0003,39,38,17,14
PA0004,99,83,52,27
PA0005,4,13,2,2
PA0006,3,6,3,4
PA0007,49,40,13,20
PA0008,50,30,18,6
PA0009,12,15,7,6
PA0010,2,4,1,0
PA0011,10,18,4,10
PA0012,2,2,0,1
PA0013,7,2,1,0
PA0014,1,0,0,0
PA0015,3,5,1,0
PA0016,31,19,11,7
PA0017,14,11,7,5
PA0018,13,10,3,1
PA0019,128,130,39,6
PA0020,18,24,18,6
PA0021,6,5,1,2
PA0022,4,3,2,1
PA0023,15,23,6,5
PA0024,7,13,15,3
PA0025,7,3,6,2
PA0026,40,41,22,9
PA0027,20,22,7,5
PA0028,5,2,1,0
PA0029,9,12,4,2
PA0030,5,7,4,2
PA0031,13,11,10,3
PA0032,7,4,3,1
PA0033,1,3,0,1
PA0034,1,6,1,1
PA0035,9,10,3,2
PA0036,24,26,7,5
PA0037,14,10,5,1
PA0038,21,24,7,3
PA0039,13,27,20,17
PA0040,7,23,5,3
PA0041,107,115,22,15
PA0042,3,4,0,0
PA0043,9,20,5,1
PA0044,13,36,12,2
PA0045,9,3,1,2
PA0046,1,4,0,0
PA0047,1,4,0,0
PA0048,0,1,0,0
PA0049,23,18,10,4
PA0050,1,1,1,3
PA0051,20,27,4,6
PA0052,5,11,17,1
PA0053,0,2,2,3
PA0054,6,6,1,2
PA0055,12,0,3,1
PA0056,9,8,2,0
PA0057,9,10,0,0
PA0058,5,5,1,0
PA0059,14,8,12,18
PA0060,5,5,3,2
PA0061,13,22,5,0
PA0062,3,6,2,1
PA0063,13,9,8,2
PA0064,15,11,6,0
PA0065,11,5,3,3
PA0066,12,12,5,4
PA0067,66,86,38,16
PA0068,2,5,2,2
PA0069,18,19,5,3
PA0070,18,14,5,7
PA0071,41,36,6,17
PA0072,15,7,2,1
PA0073,5,3,0,0
PA0074,26,19,10,1
PA0075,7,2,1,0
PA0076,1,5,0,0
PA0077,42,29,7,1
