,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
dnaA,2177,1579,3033,3019,2567,2763,3682,1290,1932,2654,364,519,900
dnaN,914,731,1213,1360,801,922,1200,294,767,1097,83,180,335
recF,1184,670,1337,1257,1361,1442,2078,314,723,939,78,209,290
gyrB,2463,1539,2305,3035,2421,2594,4041,867,1607,2114,295,475,729
lptA,352,260,503,609,189,249,568,36,105,236,55,38,45
PA0006,133,90,192,195,113,164,305,27,52,118,34,9,20
PA0007,211,139,226,229,150,256,494,32,99,157,55,44,43
glyS,705,602,751,1430,1168,1186,1312,385,465,703,129,141,134
glyQ,316,248,366,610,266,438,426,57,224,372,37,67,110
tag,26,14,22,34,14,25,49,5,7,13,8,4,6
PA0011,323,216,454,416,251,289,420,48,94,192,27,23,35
PA0012,33,21,53,44,24,26,38,4,13,17,5,3,4
PA0013,435,288,637,539,365,631,625,105,166,165,68,55,34
PA0014,38,21,34,35,27,29,48,5,8,25,14,5,6
PA0015,56,70,100,148,102,88,184,32,16,39,16,6,9
trkA,442,322,569,686,696,550,1105,194,120,274,72,44,54
PA0017,221,214,296,590,370,356,816,106,76,149,35,32,27
fmt,113,121,188,305,236,245,544,102,65,125,24,23,31
def,585,512,1072,889,769,763,958,261,244,401,56,95,91
PA0020,1344,1102,2010,2066,672,730,1252,106,136,226,70,32,39
PA0021,7,6,15,22,20,23,51,6,3,8,36,4,2
PA0022,278,220,357,500,317,370,580,119,99,191,48,36,34
qor,139,84,129,131,97,198,270,25,53,71,30,20,14
hemF,484,325,621,666,785,573,777,200,120,193,54,42,33
aroE,170,171,169,353,330,229,495,116,43,118,39,21,21
plcB,211,126,258,192,169,193,335,70,40,62,65,15,17
PA0027,201,99,195,229,126,90,284,49,13,35,34,4,6
PA0028,37,23,42,46,36,28,60,5,3,4,12,3,2
PA0029,25,21,41,37,44,64,115,21,12,24,26,12,7
PA0030,22,18,11,20,18,25,38,7,6,13,20,8,3
betC,15,5,23,16,20,87,105,4,19,26,48,11,10
PA0032,62,50,67,69,42,80,125,17,12,31,42,9,4
PA0033,3,2,5,6,8,57,78,1,12,27,20,2,6
PA0034,8,11,26,22,8,39,39,1,12,10,14,1,4
trpA,87,79,92,107,103,187,156,40,49,85,31,5,10
trpB,141,96,164,178,78,206,218,24,64,103,19,26,17
trpI,84,72,76,120,94,117,111,39,37,39,28,13,11
PA0038,45,42,62,55,55,72,103,6,22,44,12,11,9
PA0039,1755,1252,2921,2390,715,783,2109,192,418,737,58,94,141
PA0040,165,176,221,372,140,121,214,31,19,30,40,10,8
PA0041,1013,1021,1390,1848,1878,1234,1375,467,274,356,423,104,66
PA0042,95,68,154,91,114,83,115,32,32,43,17,15,7
PA0043,30,16,19,44,29,53,77,7,17,20,38,5,5
exoT,213,126,128,226,160,206,425,44,55,107,47,29,24
PA0045,267,227,341,537,222,234,345,19,55,72,16,23,4
PA0046,225,158,253,380,141,148,168,19,26,47,5,12,5
PA0047,342,295,437,822,394,312,337,95,53,92,30,21,10
PA0048,22,14,12,15,10,76,106,3,12,29,11,6,4
PA0049,22,15,14,37,13,108,105,10,29,38,36,17,10
PA0050,2,5,7,9,9,12,14,0,2,6,2,2,2
phzH,22,7,22,11,17,26,36,10,11,5,42,12,9
PA0052,2,3,5,5,3,16,16,1,4,4,4,4,2
PA0053,77,45,112,74,45,79,126,8,22,37,4,2,8
PA0054,27,33,42,62,34,88,145,6,17,34,6,4,6
PA0055,46,27,78,85,44,92,81,9,18,40,14,7,10
PA0056,17,15,33,39,22,57,42,4,22,12,25,3,9
PA0057,11,5,21,15,17,29,30,1,8,13,9,2,7
PA0058,4,4,6,24,10,14,17,2,6,8,11,5,1
osmC,20,9,16,21,28,48,59,3,18,37,6,8,6
PA0060,35,22,49,38,25,41,68,3,16,23,8,11,4
PA0061,62,59,61,108,153,117,226,65,19,45,22,8,4
PA0062,31,27,38,55,50,65,116,7,31,38,17,11,7
PA0063,119,93,145,179,167,259,357,58,45,77,46,18,17
PA0064,117,121,187,255,169,233,328,52,50,105,26,19,15
PA0065,65,45,95,109,41,85,89,18,21,40,24,10,12
PA0066,131,107,187,161,171,212,242,63,54,61,68,22,14
prlC,689,470,742,1004,649,780,971,227,260,418,66,95,76
PA0068,110,110,138,171,119,122,202,27,35,54,8,8,10
PA0069,41,27,38,65,43,94,160,13,34,31,47,11,12
PA0070,1890,2204,2826,4378,2628,1954,2904,455,371,623,142,121,107
PA0071,892,748,1155,1391,1164,883,1456,239,196,455,64,52,78
PA0072,229,230,281,672,852,278,574,278,47,130,69,8,11
PA0073,70,108,120,344,532,146,290,144,27,73,43,4,6
ppkA,445,500,666,937,1332,816,1057,318,161,328,122,30,34
pppA,168,145,175,309,270,219,346,51,29,82,13,7,18
PA0076,238,276,267,540,616,290,458,124,47,108,30,10,9
icmF1,946,931,1244,1783,1740,1324,1605,301,270,525,118,73,61
PA0078,360,399,483,833,788,508,645,149,65,157,43,17,25
PA0079,422,432,463,698,638,486,568,126,65,150,51,31,20
PA0080,62,100,155,187,98,75,107,11,22,32,19,5,3
fha1,1112,933,1296,1556,787,475,998,143,75,186,53,25,40
PA0082,1628,1293,1756,2326,1334,782,1288,273,64,158,91,25,30
PA0083,515,402,514,629,440,379,401,79,75,98,35,29,33
PA0084,1387,1046,1442,1625,1163,893,884,174,205,367,72,63,85
hcp1,2161,2029,2548,2773,2068,1430,1360,328,295,467,99,97,125
PA0086,760,898,1097,1580,1766,979,1080,465,133,258,123,38,46
PA0087,231,261,342,409,338,200,273,60,28,56,29,13,5
PA0088,412,558,686,823,1240,923,870,537,182,320,194,75,58
PA0089,489,514,551,769,998,408,439,354,67,130,89,19,22
clpV1,788,738,891,1442,1820,825,871,474,203,385,161,43,59
vgrG1,409,423,513,767,1095,634,750,290,190,369,79,49,50
PA0092,59,51,91,119,41,81,70,5,20,42,5,6,6
PA0093,351,308,572,661,496,508,581,144,107,106,61,26,30
PA0094,105,86,210,193,87,75,92,19,9,23,8,4,5
PA0095,363,283,441,443,311,348,566,89,74,109,104,23,25
PA0096,9,7,14,19,8,25,34,3,6,3,6,4,1
PA0097,37,54,58,73,84,61,79,23,8,22,29,7,1
PA0098,36,36,46,65,72,41,61,25,8,21,16,7,4
PA0099,61,84,136,96,74,102,139,17,17,36,27,16,12
PA0100,133,104,145,117,132,114,242,22,33,47,50,14,12
PA0101,93,80,98,213,236,122,235,70,23,37,50,10,9
PA0102,362,237,454,484,210,206,542,66,77,156,44,23,24
PA0103,29,20,32,41,37,56,121,5,21,31,39,9,7
PA0104,18,13,23,24,36,58,81,10,18,37,29,7,5
coxB,43,26,71,53,49,141,117,16,41,50,24,27,27
coxA,15,13,25,20,23,89,76,5,22,41,35,18,16
PA0107,0,2,6,3,1,19,14,3,6,9,18,7,3
coIII,7,7,12,10,1,57,47,3,11,21,21,11,8
PA0109,8,4,7,3,6,17,29,2,4,6,3,2,0
PA0110,19,14,18,30,41,40,50,17,5,9,8,5,0
PA0111,4,1,1,6,4,6,8,1,3,3,3,1,0
PA0112,2,2,8,2,5,19,25,2,4,6,15,5,1
PA0113,3,5,17,5,2,32,39,0,11,10,16,4,3
senC,23,38,51,85,42,94,168,5,14,51,27,7,13
PA0115,75,49,92,95,54,79,120,13,15,33,5,4,9
PA0116,106,97,107,133,84,85,160,27,43,43,30,17,14
PA0117,114,81,105,169,113,64,83,56,8,14,41,6,6
PA0118,33,22,42,45,20,34,28,6,5,7,10,4,4
PA0119,69,64,118,125,51,87,110,17,38,40,37,12,12
PA0120,88,51,82,79,76,83,105,52,31,26,38,10,13
PA0121,33,22,50,49,42,41,59,9,8,14,20,4,1
PA0122,32,15,40,30,42,62,83,14,19,33,14,12,10
PA0123,76,57,78,114,68,77,91,21,14,16,27,8,5
PA0124,64,40,87,72,15,27,46,3,12,10,1,3,2
PA0125,77,44,84,89,35,38,50,9,5,5,8,8,0
PA0126,95,125,166,325,166,140,142,24,30,65,14,20,9
PA0127,57,24,43,78,33,37,83,7,16,17,5,7,5
PA0128,186,128,217,274,458,215,667,89,57,188,31,12,28
gabP,12,12,12,24,31,175,363,9,70,120,27,26,34
PA0130,136,67,97,141,180,146,386,40,49,141,28,19,36
PA0131,62,40,46,63,103,39,84,26,11,20,8,1,9
PA0132,92,21,49,51,117,89,264,25,37,102,37,19,18
PA0133,38,50,66,76,32,91,82,5,28,29,20,15,22
PA0134,29,25,45,40,71,131,199,28,52,82,45,19,33
PA0135,1,0,2,0,1,0,2,1,0,1,13,1,1
PA0136,32,19,33,26,50,44,54,30,8,16,42,11,1
PA0137,7,4,8,14,13,21,54,2,8,15,14,3,6
PA0138,16,13,13,14,19,49,58,12,17,17,22,8,4
ahpC,1397,1128,2220,1944,1028,1511,1801,218,675,947,54,274,304
ahpF,178,142,267,314,337,296,1031,356,290,342,122,85,121
PA0141,92,59,91,310,489,247,1700,83,104,249,30,61,76
PA0142,114,69,133,192,109,184,275,24,57,82,22,17,13
nuh,103,87,150,231,162,220,349,43,72,177,29,16,25
PA0144,11,15,26,39,43,125,232,18,22,65,12,4,7
PA0145,25,25,35,52,40,57,71,6,20,11,4,2,6
PA0146,6,0,14,11,30,48,53,6,20,19,17,5,8
PA0147,21,12,22,28,38,67,75,10,24,17,30,12,13
PA0148,77,57,110,135,99,129,148,17,74,121,14,28,26
PA0149,38,28,32,86,78,54,96,42,10,29,24,3,10
PA0150,149,171,211,558,534,128,303,180,21,56,57,8,17
PA0151,20,15,30,41,45,46,91,12,23,37,39,9,17
pcaQ,50,49,45,90,85,151,265,23,23,40,29,12,13
pcaH,3,1,12,6,8,21,31,2,6,10,11,2,4
pcaG,4,3,11,4,7,27,46,2,16,12,11,6,7
pcaR,56,33,77,56,40,47,49,5,16,21,19,6,5
PA0156,193,124,180,263,420,240,305,131,54,79,55,14,22
PA0157,80,79,107,189,194,120,175,50,27,63,30,12,8
PA0158,357,272,458,527,564,605,790,128,198,326,97,62,67
PA0159,91,65,116,176,122,126,169,20,27,67,16,9,9
PA0160,14,8,18,16,8,24,16,3,14,19,1,2,4
PA0161,1258,439,1044,1013,576,394,377,335,58,71,126,25,36
opdC,221,138,241,482,190,265,264,45,112,115,68,43,64
PA0163,41,47,66,91,48,92,129,11,27,25,60,9,15
PA0164,145,47,102,172,108,435,631,64,57,92,36,22,17
PA0165,337,363,636,639,179,292,337,38,74,96,27,29,25
PA0166,7,5,4,9,12,58,70,3,14,15,32,6,6
PA0167,240,157,277,333,126,184,319,29,29,55,9,8,18
PA0168,134,96,147,209,227,112,191,77,14,46,18,6,4
PA0169,145,102,181,209,201,212,177,65,68,115,25,18,19
PA0170,101,59,125,140,97,112,63,27,22,59,5,6,6
PA0171,83,62,101,150,111,84,62,21,26,60,9,3,5
PA0172,581,459,577,901,1004,907,694,286,187,403,94,34,56
PA0173,2,3,8,8,6,20,25,2,6,9,19,1,2
PA0174,1,3,2,4,1,12,12,0,0,8,8,5,3
PA0175,9,4,6,7,10,39,43,1,14,12,53,8,10
aer2,37,25,58,55,48,219,214,10,63,93,45,40,41
PA0177,9,7,14,17,9,27,49,5,11,24,13,7,8
PA0178,18,21,26,27,32,167,152,12,44,64,44,39,20
PA0179,16,11,18,27,7,132,142,1,59,77,9,35,42
cttP,64,54,92,124,60,105,144,11,22,35,19,10,15
PA0181,28,30,57,77,40,76,95,3,16,30,14,7,6
PA0182,14,19,27,33,19,24,47,4,9,11,8,1,1
atsA,12,19,18,27,27,29,70,13,21,20,39,9,2
PA0184,9,10,21,24,21,26,38,7,10,10,18,7,2
PA0185,13,9,19,18,23,28,44,8,7,10,30,7,9
PA0186,18,7,16,13,19,76,83,7,14,15,27,5,7
PA0187,7,4,10,6,9,11,25,7,4,4,17,5,3
PA0188,21,7,22,17,31,38,34,10,9,20,11,6,6
PA0189,6,1,7,10,11,42,44,1,4,12,19,11,7
PA0190,13,13,21,12,29,24,35,15,11,5,14,5,3
PA0191,52,13,34,26,28,38,62,7,16,7,17,3,4
PA0192,8,7,11,15,8,34,57,3,5,18,37,8,8
PA0193,3,1,6,4,2,17,19,3,6,4,9,0,1
PA0194,4,5,10,6,5,19,39,5,6,10,27,5,2
pntAA,21,7,15,55,53,104,89,16,16,19,13,12,7
pntAB,8,0,10,19,12,19,13,1,2,4,5,0,1
pntB,31,33,62,67,80,126,119,11,19,32,25,11,10
tonB2,3,0,2,1,3,12,39,3,8,1,19,0,0
exbB1,10,6,10,10,7,17,52,1,3,9,15,2,2
exbD1,2,1,1,0,3,11,23,0,1,3,10,3,1
PA0200,19,16,16,67,33,9,46,7,3,6,5,2,4
PA0201,99,22,23,122,126,39,211,46,30,21,30,6,11
PA0202,1,3,8,4,4,49,143,6,26,14,22,8,14
PA0203,5,1,15,8,11,15,28,2,5,6,23,7,4
PA0204,1,0,5,3,2,19,9,3,5,5,18,2,3
PA0205,2,1,2,5,5,29,40,0,10,11,13,3,4
