Name,B_1,B_2,B_3,P_1,P_2,P_3
dnaA,2418,1569,1021.333333,1310,1507,1365
dnaN,302,234,173,243,369,315
recF,637,497,316,344,489,425
gyrB,589,372,301,345,474,385
lptA,196,179,139,170,185,148
PA0006,305,336,207,253,309,283
PA0007,140,154,96,129,182,191
glyS,227,173,130,110,130,96
glyQ,312,269,211,213.2,263,210
tag,38,50,21,54,60,46
htrB1,271,328,239,213,220,191
PA0012,180,248,199,108,146,118
PA0013,126,130,59,87,74,78
PA0014,34,34,15,19,25,17
PA0015,93,106,68,53,61,42
trkA,155,178,105,132,144.0769231,95
PA0017,57,62,41,29,34,28
fmt,52,25,30,21,23,20
def,330,312,173,211,258,266
tsaP,140,209,113,276,364,325
PA0021,2,5,2,14,6,18
PA0022,58,49,48,66,83,64
qor,135,187,122,266,264,251
hemF,119,119,76,174,281,125
aroE,53,38,24,58,91,61
plcB,56,63,68,337,323,349
PA0027,13,27,22,70,88.07692308,97
PA0028,5,5,4,10,18,19
PA0029,10,6,5,5,12,15
cosX,14,7,15,17,14,21
betC,24,29,24,38,50.07142857,43
PA0032,42,21,23,43,41,36
hptC,22,13,8,22,23,17
PA0034,83,69,29,86,108,92
trpA,20,18,20,40,39,29
trpB,70,76,40,61,64,53
trpI,50,47,29,24,30,21
PA0038,113,117,84,65,87,93
PA0039,395,447,404,376,545,572.25
PA0040,45,42.5,31.5,65.16666667,73,47.5
PA0041,241.1,270.25,180.5,437,467,413.5
PA0042,32,30,21,51,59,54
PA0043,50,61,43,51,63,50
exoT,68,103,60,400,555,535
PA0045,35,22,23,45,65,35
PA0046,15,13,11,21,23,17
PA0047,9,4,10,12,21,10
PA0048,12,13,12,22,34,30
PA0049,6,22,32,83,99,75
PA0050,40,107,85,205,230,286
phzH,25,58,35,102,78,68
PA0052,28,47,57,42,49,51
PA0053,91,79,63,95,114,100
PA0054,24,11,9,17,22,18
PA0055,35,43,24,73,80,52
PA0056,8,16,8,24,25,29
PA0057,238,83,43,70,67,45
dsbM,37,19.5,7,10,9,11
osmC,103,56,33,39,29,29
PA0060,100,91,40,45,41,25
PA0061,37,57,23,23,34,32
PA0062,83,37,18.25,22,19,26
PA0063,24,30,25,32,57,25
PA0064,20.33333333,34,23,40,47.5,42
PA0065,16,30,15,30,39,32
PA0066,56,64,34,66,53,70
prlC,353,740,533,563,653,510
PA0068,36,82,60,67,53,43
PA0069,111,133,122,42,46,28
tagQ1,46,26,24,135,190,149
tagR1,343,312,176,305,342,251
tagS1,3,2,4,9,18,11
tagT1,1,6,0,10,9,3
ppkA,20,28,22,66,107,77
pppA,7,17,7,26,35,16
tagF1,6,11,4,13,28,19
icmF1,32.2,49,41.28571429,99,116,83.14285714
tssL1,5,15,7,9,35,20
tssK1,8,11,7,28,46,20
tssJ1,1,4,8,15,16,13
fha1,146,306,231,109,171,117
tssA1,138,181,188.2,167,206,165
tssB1,10,16,9,46,59,46
tssC1,55,64,56,183,326,229
hcp1,22,36,22,179,249,164
tagJ1,16,13,11,45,52,36
tssE1,8,10,11,19,30,13
tssF1,9,6,15,25,44,31
tssG1,7,18,11,55,83,54
clpV1,37,39,26,104,173,91
vgrG1,39.59207459,39,30.13257576,83.5,154.4166667,90.5
tsi6,15,9,6,25,19,25
tse6,70,48,36,94,88,82
eagT6,67,89,82,108,121,112
PA0095,188.3333333,323.5,293.1666667,223.5,245.4166667,195.5
PA0096,4,7,11,16,30,9
PA0097,7,23,16,27,37,21
PA0098,12,15,14,15,25.125,22
PA0099,24,30,24,59,102,73
PA0100,85,104,66,158,186,173
PA0101,12,15,10,39,37,20
PA0102,213,254,217,138,177,145
PA0103,21,26,15,29,23,34
PA0104,42,41,38,64,73,62
coxB,569,411,308,167,183,172
coxA,177,216,193.2,149,154,131
PA0107,31,76,103,43,34,38
coIII,63,129,150,92,100,90
PA0109,74,81,68,103,107,141
PA0110,22,47,51,36,33,28
PA0111,7,17,31,23,18,15
PA0112,10,28,24,16,21,7
PA0113,37,72,78,81,79,98
senC,38,85,70,129,146,190
PA0115,8,10,7,22,27,15
PA0116,52,74,63,99,95,81
PA0117,9,5,10,14,15,19
PA0118,7,10,5,9,17,13
PA0119,230.6666667,326,293,57,68,57
PA0120,23,51,27,35,49,25
PA0121,10,14,10,22,22,15
rahU,205,382,291,933,1324,1380
PA0123,35,61,33,36,25,31
PA0124,11,17,17,11,8,7
PA0125,9,18,19,3,4,6
PA0126,18,12.5,10,11,19,18
PA0127,22,16,7,26,23,32
PA0128,445,293.25,236.25,714,707.25,628.25
bauD,52.33333333,56,30,75,114,92
bauC,68,78,56,259,477,313
bauB,18,18,20,81,134,111
bauA,81,58,49,261,431,381.8333333
bauR,72,76,40,66,62,69
PA0134,159,154,108,82,50,46
PA0135,12,16,8,12,10,20
PA0136,19,23,12,27,14,23
PA0137,22,23,11,21,14,25
PA0138,14,18,14,17,22,32
