,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA0084,118,90,91,94,103,106
PA5054,1421,1022,900,880,879,853
PA5034,905,923,983,902,751,577
PA2340,25,19,29,24,29,30
PA4360a,56,53,36,55,45,63
PA3632,214,233,231,263,231,162
PA4185,227,210,227,158,192,166
PA0318,1364,1287,1205,1517,1556,1619
PA5120,224,188,213,171,173,180
PA0723,640,649,628,613,670,628
PA1318,278,299,242,257,323,276
PA1159,1400,1400,1558,2074,2391,2334
PA0371,370,296,276,479,463,525
PA2453,1040,794,933,1157,652,465
PA2654,2639,2216,2826,2851,2518,2818
PA0443,63,32,67,48,55,76
PA3037,47,38,54,50,53,59
PA5071,292,295,271,480,385,371
PA2368,56,60,53,42,45,93
PA1950,2642,3061,2840,2736,3336,4001
PA0848,101,77,39,56,79,71
PA3908,153,130,119,103,128,82
PA2507,103,122,78,230,225,270
PA4918,328,283,343,324,320,362
PA0297,1307,1414,1173,2056,2342,2104
PA4042,188,187,201,194,196,156
PA3102,1758,1544,1515,1413,1223,1463
PA1311,154,163,158,141,178,147
PA4884,33,15,26,14,17,44
PA1367,72,80,94,90,80,63
PA1615,329,296,303,408,414,429
PA0941,165,155,176,173,184,179
PA0194,77,109,97,59,72,62
PA5564,364,328,410,312,367,321
PA0075,31,22,27,27,25,39
PA3010,983,858,712,782,842,900
PA2702,132,150,85,147,142,204
PA4405,633,670,641,595,507,477
PA3245,539,586,676,973,965,816
PA3490,441,407,623,478,354,334
PA1735,242,275,228,209,238,224
PA1896,165,189,152,151,124,131
PA4313,1157,1114,1061,879,1029,1081
PA1150,1506,1270,1546,1586,1548,1465
PA2305,5100,5582,4108,4608,5573,6659
PA5531,293,378,332,324,441,478
PA4231,71,88,93,91,133,96
PA0506,11462,10207,10767,5716,4716,4525
PA2485,533,394,376,586,655,613
PA3737,1819,1830,2417,2433,1876,1686
PA3389,18,26,26,16,24,21
PA5286,374,389,572,347,249,228
PA3842,109,125,62,137,106,128
PA5538,245,287,248,329,253,299
PA0248,313,301,324,296,281,343
PA4571,1281,1206,905,964,865,872
PA1710,1956,1864,2279,2312,1831,1724
PA5064,577,429,449,936,799,856
PA3202,873,970,934,1031,999,1051
PA2740,900,773,1002,932,919,832
PA3670,468,462,484,666,709,689
PA4823,4,9,3,1,-,4
PA5098,1576,1928,1481,1601,1694,2027
PA1035,370,429,404,359,417,337
PA4157,421,431,497,557,481,484
PA3999,2092,1715,1785,2424,2544,2336
PA0155,49,54,64,54,52,62
PA5187,344,275,249,324,407,364
PA0870,5033,5163,4378,5514,6293,6788
PA1289,1070,695,450,679,744,922
PA0793,536,677,499,586,760,821
PA1792,352,321,244,361,373,293
PA3677,1891,1871,1356,2398,1792,2288
PA3157,3095,2940,3096,2971,3008,2859
PA4167,41,22,41,35,44,33
PA1952,100,82,67,96,70,89
