,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
dnaA,75.0932,226.398286,374.6951508,122.672,155.432,103.7653848,79.0500014,96.32181535
dnaN,72.0999,294.6784353,396.6611731,141.046,175.411,110.5497633,78.80335252,104.4600915
PA0011,59.0477,117.7977454,197.4441451,134.388,157.488,77.49285189,62.14865526,71.4868844
PA0099,39.6774,47.69365676,38.21435479,77.019,84.5272,43.31601321,36.06904217,42.65292399
PA0981,104.444,53.76278939,89.76265352,87.3144,126.487,103.1441541,108.2854406,109.6005451
PA0982,82.7643,42.44240352,70.85208277,47.767,49.8865,75.93830974,83.36283089,79.57591011
PA0983,50.4073,38.52738703,94.96750198,44.2213,46.332,38.81095217,43.11782614,38.5777835
PA0984,52.7744,23.82875479,51.5754077,25.7433,36.0185,37.25225329,34.04976868,36.60425476
pyoS5,62.2347,65.8105004,307.794821,48.8258,64.5987,82.58725622,66.24386132,77.75788986
PA0986,65.4364,29.18332405,74.34072924,60.7233,77.5909,62.80801978,64.62263158,65.80706598
PA0987,32.9371,18.30658075,25.02140123,29.2834,30.6791,26.47729621,33.25612994,27.42293905
PA0988,86.1904,60.71586994,100.1082885,51.3439,62.2619,66.30433647,84.98382111,64.48741897
PA0989,27.3054,20.97159682,16.29335608,21.1327,27.4129,31.16741571,27.71343175,26.02828305
PA0990,100.897,54.01108532,45.79746149,67.5136,79.3624,84.17261681,88.78959802,81.59843161
PA0100,62.8559,87.91126966,59.01641596,114.52,127.993,64.56643865,57.79656381,62.34712702
cupC1,31.4456,24.09395425,53.65782582,29.4825,28.3862,36.55085921,26.97145352,27.84045245
cupC2,38.2008,20.18066867,14.01930122,31.8222,43.4211,39.80192401,35.13903035,38.16960614
cupC3,47.0925,29.9182349,18.59115162,38.3456,47.4592,49.03924248,45.64424152,40.50877048
ogt,25.3105,30.13416507,68.01043973,16.9705,20.8665,23.757514,21.00558898,28.70819015
pqsA,36.9152,23.6406932,5.672582829,26.918,34.8888,39.68713931,28.04451135,23.7893928
pqsB,30.9898,19.81669053,5.664186681,26.4889,27.5462,38.22951979,29.64091684,23.20841142
pqsC,27.0955,16.73108738,5.863676893,20.2591,27.3296,29.29460242,23.55208668,18.66105463
pqsD,26.7937,18.2887346,11.2508958,21.0246,29.4084,26.98366372,23.57578,20.70255135
pqsE,35.6514,23.23892747,9.235457877,28.0822,37.3747,38.01298364,32.67880654,26.02313977
phnA,27.1031,20.41918462,11.25023518,23.9634,22.5474,24.17914567,24.11282993,23.29101452
PA0101,45.8366,35.26656138,28.5239077,84.1398,69.6739,40.57490261,44.2899892,52.91142143
phnB,43.5946,28.05515222,17.2461639,43.2682,33.3415,40.0599611,37.04485645,39.47998495
mvfR,30.6965,31.5997424,50.64787636,27.1308,30.2886,36.92927828,35.64830796,37.15772411
nadA,42.4127,68.46201129,103.6568762,40.1409,40.9943,47.0752873,41.24394379,48.5694708
PA1005,41.5925,61.80509016,132.2557572,35.7212,38.911,45.93366765,46.38924789,42.83955528
PA1006,47.1368,67.84419856,76.65184892,45.2816,36.8656,54.48791862,58.12153341,46.97568981
PA1007,38.8043,42.00716274,40.46695205,41.4696,37.3528,38.44796661,35.23912529,37.36642277
bcp,49.1383,175.6260528,484.8670008,66.0145,73.7086,67.67584145,63.72134626,62.94015157
PA1009,66.5445,100.9586753,83.71581795,55.5082,73.1255,79.5505298,70.73685382,85.36891869
dapA,92.2814,213.7511482,277.5630922,84.1966,95.0287,120.8374266,113.8798618,127.1766441
PA1011,60.9017,141.5181762,158.6352704,67.3334,75.9829,85.41255333,78.68711986,92.46258725
PA0102,58.7343,188.2083887,199.450971,121.928,110.273,64.53285942,51.49938707,64.46707899
PA1012,39.4391,73.23410794,95.63388352,30.6685,38.7077,46.9330778,42.22178738,48.71220458
purC,45.84,118.6524518,302.5629661,57.8002,64.0412,67.95779698,63.72952896,72.66275509
PA1013.1,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!
PA1014,65.5772,78.19246955,88.40027679,68.9423,64.7202,70.63483644,59.16855599,71.47901381
PA1015,42.6391,63.29546858,64.34350607,43.6128,42.9468,45.33316383,42.92140665,51.13889783
PA1016,18.3849,32.28359714,38.69604184,22.7651,23.4048,16.0463943,20.60297873,18.98838639
pauA,28.1316,26.35607109,10.15395336,28.7029,26.8498,24.89288928,26.05829339,27.85808853
PA1018,23.6922,16.25070264,9.983499411,22.1677,22.9529,17.55442556,20.16163198,22.43164011
mucK,32.5309,23.11276812,12.28858673,32.1779,32.0632,31.7738107,32.10510221,29.75849002
PA1019a,23.5805,15.53699224,7.180814253,17.1741,13.1063,13.8334854,15.7694955,21.69954246
PA0103,50.4451,63.14055731,34.86598184,95.5212,89.8123,46.42016386,44.42008024,45.1839669
PA1020,36.5715,26.17721047,11.87114388,36.6506,27.4102,31.8809891,36.02847716,36.85485883
PA1021,49.9601,33.31959867,12.15158964,50.4269,38.6608,40.72541237,48.34616401,45.45380743
PA1022,29.4026,25.12179328,16.76923195,27.618,26.2734,28.63349617,28.00475113,27.37534527
PA1023,36.2181,38.69338189,16.78813588,35.795,40.8264,39.69008229,34.98474152,33.73740822
PA1024,24.8077,19.68675789,9.158697294,22.29,23.5384,21.28464551,20.17382603,21.65695158
PA1025,26.7621,15.40846733,8.733453174,23.9301,26.286,23.0350851,24.41489933,23.75625521
PA1026,19.5423,16.40336773,110.2326239,36.0665,30.369,13.61203381,19.47693005,18.02739708
PA1027,36.5435,40.04223515,36.31238633,42.274,38.4705,29.45675869,32.58797151,36.21396057
PA1028,29.7582,26.18096417,13.97795841,28.6182,30.5707,29.06765627,28.11612615,28.80948708
PA1029,92.137,188.7078733,1360.181569,238.265,252.89,81.84150611,58.85919452,89.32345029
PA0103a,54.2801,93.148201,73.64619848,87.0601,94.9944,60.3850491,52.39048879,50.48438265
PA1030,78.8327,117.8149946,443.0861328,127.359,122.936,94.97927117,69.09477396,81.74269971
PA1030.1,1749.23,0,0,0,0,0,0,0
PA1031,44.0186,50.03623585,94.73267673,40.6778,43.9849,44.78709889,41.49262559,38.00176184
quiP,34.8835,30.65215897,38.36299156,28.3198,31.9884,33.07529634,30.85358962,31.99719959
PA1033,40.442,50.76217886,129.7218887,44.374,47.5792,48.32289211,40.71283063,38.54152975
PA1034,66.4794,126.6008558,266.0022086,39.1398,49.4305,90.76435227,72.28109944,49.45594748
PA1035,57.5544,67.1878655,89.96198679,52.6431,52.18,61.93411405,55.93893453,54.56397713
