X,artificial_honey1,artificial_honey2,artificial_honey3,artificial_honey_mgo1,artificial_honey_mgo2,artificial_honey_mgo3,mgo1,mgo2,mgo3,manuka1,manuka2,manuka3,untreated1,untreated2,untreated3,untreated1_original,untreated2_original
PA14_00010,8403,9665,9353,13725,10387,13025,16812,22946,18736,9489,9445,14301,11063,13552,15215,4822,9855
PA14_00020,5556,5408,5830,7921,5921,8839,8630,11620,9857,4911,4140,7674,18678,25194,8873,2854,6542
PA14_00030,5143,5876,6009,6428,4707,6487,6846,8527,8171,4520,4253,7246,7595,8799,7595,2623,5567
PA14_00050,15230,18042,18311,20733,16115,21050,17996,22449,20449,12936,12652,20213,36511,43628,22303,7285,15262
PA14_00060,1869,2024,2037,1976,1306,1579,2878,3730,3117,1118,1133,1759,1080,1267,3696,1510,2534
PA14_00070,1689,2103,1995,1288,999,1017,2067,2803,2340,1182,1260,1975,935,1049,3119,1241,1993
PA14_00080,1618,1359,2005,1651,911,1186,1463,1722,1424,1060,1023,1421,4914,3758,1519,522,709
PA14_00090,3727,3573,3619,7048,5137,6416,4844,6530,5309,3455,3505,5302,7629,8373,5140,1624,4332
PA14_00100,1362,1201,1180,1775,1424,1935,2966,4584,3823,1005,981,1561,4044,4712,1451,488,1531
PA14_00110,389,367,445,190,144,147,339,495,433,190,150,268,580,765,420,144,262
PA14_00120,3006,3735,3452,3108,2385,2802,4137,5742,4102,2179,2040,2733,4690,4840,4921,2150,3671
PA14_00130,378,503,572,427,470,455,518,733,499,313,243,378,2543,2498,554,232,308
PA14_00140,560,724,609,1987,1455,1610,2126,2369,2295,990,867,905,567,704,697,288,569
PA14_00150,237,399,312,472,550,627,209,321,305,221,217,234,158,218,214,84,133
PA14_00160,1120,1404,1449,941,638,758,1061,1282,1007,838,913,1264,1564,1667,1829,584,1094
PA14_00170,4155,4753,4421,3412,2400,2848,2320,3073,2761,2995,3231,4965,2544,2693,6260,2292,4187
PA14_00180,2551,2815,2535,2260,1711,1890,933,1208,1159,2019,2185,3176,1752,1713,3327,1136,2235
PA14_00190,1209,1259,1081,1512,1149,1338,999,1112,1109,1084,1140,1775,1589,1808,1521,540,1040
PA14_00200,3249,4138,4187,4031,2912,3593,7242,9635,7603,3983,3675,5638,5504,7025,7013,2503,4260
PA14_00210,7132,8123,8026,4411,3100,3762,5763,7430,6286,7416,7749,11655,2656,2958,17188,6436,11214
PA14_00230,215,222,210,203,130,158,223,199,234,172,192,250,359,335,177,57,106
PA14_00240,2274,2166,1935,3635,2090,2109,3364,3718,2819,2413,1808,2194,2753,2850,2498,1084,1700
PA14_00250,2460,2247,2959,1494,925,1172,1504,1960,1520,1134,1136,1666,4948,6006,3112,1145,1517
PA14_00280,2269,1988,3270,1863,1354,1709,2813,3462,2993,2024,1725,4466,1774,1895,5706,2123,3184
PA14_00290,1674,1594,2266,1303,766,913,842,1008,1016,1148,1071,2423,1184,1240,3231,1181,1966
PA14_00300,559,598,957,390,326,353,719,839,829,619,681,1188,1544,1872,3919,998,1371
PA14_00310,631,486,717,304,184,234,311,297,313,393,421,748,733,725,1816,484,662
PA14_00320,192,199,233,143,103,120,81,93,88,120,148,243,287,316,415,137,159
PA14_00340,349,278,324,348,243,276,199,210,217,234,213,358,362,404,363,114,176
PA14_00360,160,167,201,145,112,133,139,142,149,114,111,165,428,434,178,61,86
PA14_00380,303,332,436,315,233,374,288,321,369,220,220,413,1285,1489,427,140,269
PA14_00400,773,885,986,643,406,500,704,896,696,572,580,899,727,716,1359,451,684
PA14_00410,1181,1195,1433,875,531,654,1034,1196,1134,960,955,1535,1158,785,2333,710,1012
PA14_00420,775,784,994,616,490,527,496,587,548,572,602,877,889,756,1171,380,513
PA14_00430,350,428,459,286,244,281,217,320,260,242,220,365,399,459,471,138,230
PA14_00440,543,515,580,609,410,520,669,710,679,422,485,682,2047,2404,948,276,477
PA14_00450,1092,1181,1367,700,560,691,1197,1533,1475,732,811,1313,3397,4373,3895,1660,1682
PA14_00460,294,396,400,404,383,429,636,648,726,253,285,484,855,848,513,201,359
PA14_00470,5193,11740,8427,9900,9354,9423,1951,2046,1992,3889,3048,3356,10722,11690,3515,1119,1561
PA14_00480,11984,21111,18947,25202,22507,21263,12300,13795,13955,11981,10443,13459,36391,42509,13446,5230,8073
PA14_00490,613,1032,785,819,716,896,915,1170,1103,747,795,1064,451,510,492,172,329
PA14_00510,3829,6609,4704,4682,3816,4852,2461,2825,2946,5180,4902,7305,1938,1914,2831,928,1975
PA14_00520,457,1113,762,493,544,686,201,314,296,630,612,844,171,221,636,253,520
PA14_00530,704,779,672,579,521,582,844,947,796,664,628,876,687,819,864,446,560
PA14_00550,527,540,612,366,292,312,462,525,529,355,352,515,1125,1182,736,238,353
PA14_00560,2834,1600,2144,840,506,848,1472,1125,1177,799,691,1227,1409,1733,3604,1358,2218
PA14_00570,778,1366,914,1468,1192,1727,2885,4109,3895,1657,1758,2449,402,385,2671,853,2072
PA14_00580,344,779,513,820,657,1083,675,1060,1016,892,980,1412,268,256,1351,416,1194
PA14_00590,582,752,586,1255,914,1127,676,771,805,1304,1366,2023,308,286,1227,328,838
PA14_00600,243,323,245,418,288,319,191,256,234,449,490,648,261,211,503,131,341
PA14_00620,193,188,187,385,304,380,300,317,348,318,337,446,256,282,297,93,196
PA14_00630,360,316,446,104,110,141,103,143,134,131,123,191,2568,2726,325,115,160
PA14_00640,171,160,179,184,119,182,167,221,242,96,109,146,393,474,244,60,136
PA14_00650,114,80,137,73,70,77,64,77,73,64,65,93,522,708,133,41,67
PA14_00660,228,284,286,134,140,183,338,444,382,180,162,259,1990,2090,280,133,199
PA14_00670,544,660,639,364,378,330,1307,1685,1305,392,361,485,3267,3592,799,399,491
PA14_00680,102,130,118,130,105,140,151,208,196,73,111,138,370,381,253,85,113
PA14_00690,162,183,220,175,138,182,160,236,236,114,129,202,225,237,273,73,170
PA14_00700,99,118,122,173,157,135,197,195,214,90,95,106,199,203,156,49,93
PA14_00710,12553,33064,23601,10479,11463,11453,389,457,398,2875,2618,2781,3266,3172,1106,274,587
PA14_00720,3432,7869,5416,4261,4081,3804,702,1023,682,1179,1104,1309,2182,2450,1086,360,662
PA14_00730,1570,2322,1859,2933,2415,2513,1030,1186,1105,1040,968,1277,1477,1824,1412,407,702
PA14_00740,813,1082,957,2054,1574,2039,391,515,445,504,373,560,355,455,299,81,166
PA14_00750,1436,1436,1539,1462,1035,1311,992,973,1002,1056,1063,1723,768,759,1567,536,952
PA14_00760,1105,1269,1220,1099,736,1056,896,1039,1080,1043,1111,1877,979,838,1488,476,864
PA14_00770,535,517,575,462,300,554,576,818,699,432,388,732,1551,1807,714,205,543
PA14_00780,597,610,611,474,353,568,984,1389,1377,537,469,758,1467,1652,844,255,612
PA14_00790,5797,5648,6207,4452,3595,4136,6574,7011,7207,6275,5594,8837,10969,13479,7697,2247,3588
PA14_00800,1054,1083,1176,946,681,808,733,827,795,1125,1191,1605,1769,1963,1453,440,667
PA14_00810,713,1032,841,2675,1910,2040,2443,2955,2657,2684,2322,3165,406,444,520,179,284
PA14_00820,5975,15364,10734,8713,7385,10063,3369,3804,3948,7428,7745,11208,8253,6324,4381,1062,2199
PA14_00830,5603,10596,7974,5285,4502,5926,4018,5394,4433,4743,5072,6547,3965,4200,4951,1769,3125
PA14_00850,1649,3074,2010,1148,904,850,205,198,284,1429,1603,2131,127,86,427,144,272
PA14_00860,778,1707,1003,528,466,416,118,130,134,647,890,969,177,90,212,81,150
PA14_00875,2270,5104,3580,1570,1211,1646,420,540,618,2121,2265,3299,915,571,1208,324,656
PA14_00890,748,1541,988,570,406,623,154,188,200,724,756,1115,230,122,373,107,183
PA14_00900,791,1313,925,699,480,622,184,202,223,707,748,1217,342,208,400,108,238
PA14_00910,2877,6032,4101,3525,2423,3306,416,523,536,3901,3658,5754,1209,792,1759,509,938
PA14_00925,1226,2371,1511,1574,1238,1429,192,254,282,1918,1763,2834,548,344,718,217,340
